sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.3;-1.31;16.8;-0.45;-0.64;6.76;1.04;0.23;-0.52;-3.0;-29.0;-30.0;6;2020-06-14 21:13:31:497
-1.3;-1.31;16.8;-0.45;-0.64;6.76;1.04;0.23;-0.52;-2.0;-31.0;-29.0;16;2020-06-14 21:13:31:507
-1.01;-1.17;13.99;-0.11;-0.75;3.91;1.04;0.23;-0.52;-2.0;-31.0;-29.0;25;2020-06-14 21:13:31:516
-1.01;-1.17;13.99;-0.11;-0.75;3.91;0.48;0.17;-0.25;-2.0;-31.0;-29.0;36;2020-06-14 21:13:31:527
-1.01;-1.17;13.99;-0.11;-0.75;3.91;0.48;0.17;-0.25;-1.0;-32.0;-28.0;46;2020-06-14 21:13:31:537
-1.45;-0.5;11.54;-0.5;-0.19;1.44;0.48;0.17;-0.25;-1.0;-32.0;-28.0;56;2020-06-14 21:13:31:547
-1.45;-0.5;11.54;-0.5;-0.19;1.44;0.48;0.17;-0.25;-1.0;-32.0;-28.0;65;2020-06-14 21:13:31:556
-1.45;-0.5;11.54;-0.5;-0.19;1.44;-0.49;0.12;0.23;0.0;-31.0;-28.0;76;2020-06-14 21:13:31:567
-0.35;-1.24;10.69;0.64;-0.82;0.59;-0.49;0.12;0.23;0.0;-31.0;-28.0;86;2020-06-14 21:13:31:577
-0.35;-1.24;10.69;0.64;-0.82;0.59;-0.49;0.12;0.23;0.0;-31.0;-28.0;95;2020-06-14 21:13:31:586
-0.35;-1.24;10.69;0.64;-0.82;0.59;-0.86;0.28;0.47;0.0;-31.0;-28.0;106;2020-06-14 21:13:31:597
-0.12;-1.34;11.62;0.94;-0.68;1.53;-0.86;0.28;0.47;-1.0;-31.0;-28.0;116;2020-06-14 21:13:31:607
-0.12;-1.34;11.62;0.94;-0.68;1.53;-0.86;0.28;0.47;-1.0;-31.0;-28.0;126;2020-06-14 21:13:31:617
-0.74;-1.16;11.17;0.35;-0.33;1.09;-0.5;-0.02;0.41;-1.0;-31.0;-28.0;136;2020-06-14 21:13:31:627
-0.74;-1.16;11.17;0.35;-0.33;1.09;-0.5;-0.02;0.41;-1.0;-30.0;-29.0;145;2020-06-14 21:13:31:636
-0.74;-1.16;11.17;0.35;-0.33;1.09;-0.5;-0.02;0.41;-1.0;-30.0;-29.0;155;2020-06-14 21:13:31:646
-2.4;-0.39;9.62;-1.22;0.4;0.2;-0.5;-0.02;0.41;-1.0;-30.0;-29.0;166;2020-06-14 21:13:31:657
-2.4;-0.39;9.62;-1.22;0.4;0.2;0.07;-0.45;0.45;-2.0;-30.0;-30.0;176;2020-06-14 21:13:31:667
-2.4;-0.39;9.62;-1.22;0.4;0.2;0.07;-0.45;0.45;-2.0;-30.0;-30.0;186;2020-06-14 21:13:31:677
-1.37;0.02;5.71;-0.47;0.81;-4.38;0.07;-0.45;0.45;-2.0;-30.0;-30.0;196;2020-06-14 21:13:31:687
-1.37;0.02;5.71;-0.47;0.81;-4.38;0.53;-0.75;0.54;-2.0;-30.0;-30.0;206;2020-06-14 21:13:31:697
-1.37;0.02;5.71;-0.47;0.81;-4.38;0.53;-0.75;0.54;-4.0;-30.0;-28.0;216;2020-06-14 21:13:31:707
2.16;-1.11;4.53;2.93;-0.55;-5.9;0.53;-0.75;0.54;-4.0;-30.0;-28.0;226;2020-06-14 21:13:31:717
2.16;-1.11;4.53;2.93;-0.55;-5.9;0.96;-0.78;0.02;-4.0;-30.0;-28.0;236;2020-06-14 21:13:31:727
2.16;-1.11;4.53;2.93;-0.55;-5.9;0.96;-0.78;0.02;-5.0;-31.0;-28.0;245;2020-06-14 21:13:31:736
1.23;-0.05;1.89;1.33;0.4;-8.57;0.96;-0.78;0.02;-5.0;-31.0;-28.0;256;2020-06-14 21:13:31:747
1.23;-0.05;1.89;1.33;0.4;-8.57;0.84;-0.95;-0.4;-5.0;-31.0;-28.0;266;2020-06-14 21:13:31:757
0.53;0.4;0.86;1.33;0.4;-8.57;0.84;-0.95;-0.4;-6.0;-32.0;-26.0;276;2020-06-14 21:13:31:767
0.53;0.4;0.86;0.41;0.63;-9.05;0.84;-0.95;-0.4;-6.0;-32.0;-26.0;285;2020-06-14 21:13:31:776
0.53;0.4;0.86;0.41;0.63;-9.05;-0.02;-0.78;-0.7;-6.0;-32.0;-26.0;295;2020-06-14 21:13:31:786
-0.66;0.91;2.16;0.41;0.63;-9.05;-0.02;-0.78;-0.7;-6.0;-32.0;-26.0;306;2020-06-14 21:13:31:797
-0.66;0.91;2.16;-0.68;1.07;-7.37;-0.02;-0.78;-0.7;-5.0;-32.0;-27.0;316;2020-06-14 21:13:31:807
-0.66;0.91;2.16;-0.68;1.07;-7.37;-0.02;-0.78;-0.7;-5.0;-32.0;-27.0;326;2020-06-14 21:13:31:817
0.08;0.65;4.26;-0.68;1.07;-7.37;-0.58;-0.86;-0.74;-5.0;-32.0;-27.0;335;2020-06-14 21:13:31:826
0.08;0.65;4.26;-0.26;0.87;-5.39;-0.58;-0.86;-0.74;-5.0;-31.0;-28.0;345;2020-06-14 21:13:31:836
0.08;0.65;4.26;-0.26;0.87;-5.39;-0.58;-0.86;-0.74;-5.0;-31.0;-28.0;356;2020-06-14 21:13:31:847
-0.01;0.64;4.43;-0.5;0.98;-5.69;-0.08;-0.48;-0.61;-5.0;-31.0;-28.0;366;2020-06-14 21:13:31:857
-0.01;0.64;4.43;-0.5;0.98;-5.69;-0.08;-0.48;-0.61;-6.0;-31.0;-28.0;376;2020-06-14 21:13:31:867
-0.01;0.64;4.43;-0.5;0.98;-5.69;-0.08;-0.48;-0.61;-6.0;-31.0;-28.0;385;2020-06-14 21:13:31:876
0.2;0.5;2.98;-0.18;0.6;-6.85;0.19;0.01;-0.43;-6.0;-31.0;-28.0;395;2020-06-14 21:13:31:886
0.2;0.5;2.98;-0.18;0.6;-6.85;0.19;0.01;-0.43;-5.0;-31.0;-27.0;406;2020-06-14 21:13:31:897
0.2;0.5;2.98;-0.18;0.6;-6.85;0.19;0.01;-0.43;-5.0;-31.0;-27.0;416;2020-06-14 21:13:31:907
0.85;-0.3;3.71;0.36;-0.1;-5.75;-0.06;0.38;-0.49;-5.0;-31.0;-27.0;426;2020-06-14 21:13:31:917
0.85;-0.3;3.71;0.36;-0.1;-5.75;-0.06;0.38;-0.49;-4.0;-32.0;-29.0;436;2020-06-14 21:13:31:927
0.08;-0.12;5.37;0.36;-0.1;-5.75;-0.06;0.38;-0.49;-4.0;-32.0;-29.0;446;2020-06-14 21:13:31:937
0.08;-0.12;5.37;0.36;-0.1;-5.75;-0.25;0.19;-0.68;-4.0;-32.0;-29.0;455;2020-06-14 21:13:31:946
0.08;-0.12;5.37;-0.84;0.34;-4.13;-0.25;0.19;-0.68;-4.0;-32.0;-29.0;465;2020-06-14 21:13:31:956
-1.24;0.35;5.74;-0.84;0.34;-4.13;-0.25;0.19;-0.68;-3.0;-31.0;-28.0;477;2020-06-14 21:13:31:968
-1.24;0.35;5.74;-0.84;0.34;-4.13;-0.25;0.19;-0.68;-3.0;-31.0;-28.0;486;2020-06-14 21:13:31:977
-1.24;0.35;5.74;-1.16;0.38;-3.23;0.15;0.5;-0.37;-3.0;-31.0;-28.0;496;2020-06-14 21:13:31:987
-0.47;-0.72;6.7;-1.16;0.38;-3.23;0.15;0.5;-0.37;-3.0;-31.0;-28.0;506;2020-06-14 21:13:31:997
-0.47;-0.72;6.7;-1.16;0.38;-3.23;0.15;0.5;-0.37;-2.0;-31.0;-29.0;516;2020-06-14 21:13:32:007
-0.47;-0.72;6.7;-0.54;-1.16;-3.3;0.63;0.34;-0.14;-2.0;-31.0;-29.0;526;2020-06-14 21:13:32:017
-0.46;-1.01;6.19;-0.54;-1.16;-3.3;0.63;0.34;-0.14;-2.0;-31.0;-29.0;536;2020-06-14 21:13:32:027
-0.46;-1.01;6.19;-0.54;-1.16;-3.3;0.63;0.34;-0.14;-1.0;-32.0;-28.0;545;2020-06-14 21:13:32:036
-0.46;-1.01;6.19;-0.38;0.26;-3.39;-0.02;-0.27;0.0;-1.0;-32.0;-28.0;556;2020-06-14 21:13:32:047
0.07;0.53;5.97;-0.38;0.26;-3.39;-0.02;-0.27;0.0;-1.0;-32.0;-28.0;566;2020-06-14 21:13:32:057
0.07;0.53;5.97;-0.38;0.26;-3.39;-0.02;-0.27;0.0;-1.0;-32.0;-27.0;576;2020-06-14 21:13:32:067
2.67;-0.77;6.63;2.28;0.3;-3.56;-0.04;0.11;0.04;-1.0;-32.0;-27.0;585;2020-06-14 21:13:32:076
2.67;-0.77;6.63;2.28;0.3;-3.56;-0.04;0.11;0.04;-1.0;-32.0;-27.0;596;2020-06-14 21:13:32:087
2.67;-0.77;6.63;2.28;0.3;-3.56;-0.04;0.11;0.04;-1.0;-32.0;-27.0;606;2020-06-14 21:13:32:097
0.19;-1.51;12.6;0.72;-1.78;0.56;-0.04;0.11;0.04;-2.0;-32.0;-29.0;616;2020-06-14 21:13:32:107
0.19;-1.51;12.6;0.72;-1.78;0.56;-0.74;-0.61;-0.43;-2.0;-32.0;-29.0;626;2020-06-14 21:13:32:117
0.19;-1.51;12.6;0.72;-1.78;0.56;-0.74;-0.61;-0.43;-2.0;-32.0;-29.0;635;2020-06-14 21:13:32:126
-2.1;-1.04;13.96;-2.43;-0.67;4.36;-0.74;-0.61;-0.43;-1.0;-32.0;-28.0;645;2020-06-14 21:13:32:136
-2.1;-1.04;13.96;-2.43;-0.67;4.36;-0.73;-0.54;0.05;-1.0;-32.0;-28.0;656;2020-06-14 21:13:32:147
0.33;-2.51;15.67;-0.1;-1.96;6.05;-0.73;-0.54;0.05;-1.0;-32.0;-28.0;666;2020-06-14 21:13:32:157
0.33;-2.51;15.67;-0.1;-1.96;6.05;-0.73;-0.54;0.05;-2.0;-31.0;-29.0;675;2020-06-14 21:13:32:166
0.33;-2.51;15.67;-0.1;-1.96;6.05;-0.01;0.44;0.55;-2.0;-31.0;-29.0;685;2020-06-14 21:13:32:176
2.1;-4.25;19.98;1.77;-3.65;10.29;-0.01;0.44;0.55;-2.0;-31.0;-29.0;696;2020-06-14 21:13:32:187
2.1;-4.25;19.98;1.77;-3.65;10.29;-0.01;0.44;0.55;-2.0;-31.0;-29.0;706;2020-06-14 21:13:32:197
2.1;-4.25;19.98;1.77;-3.65;10.29;-0.01;0.44;0.55;-2.0;-30.0;-29.0;716;2020-06-14 21:13:32:207
1.05;-3.26;19.81;0.69;-2.56;10.05;-0.44;-0.16;-0.02;-2.0;-30.0;-29.0;726;2020-06-14 21:13:32:217
1.05;-3.26;19.81;0.69;-2.56;10.05;-0.44;-0.16;-0.02;-2.0;-30.0;-29.0;736;2020-06-14 21:13:32:227
1.05;-3.26;19.81;0.69;-2.56;10.05;-0.44;-0.16;-0.02;-1.0;-30.0;-29.0;746;2020-06-14 21:13:32:237
1.69;-2.38;19.87;0.69;-2.56;10.05;-0.72;-0.02;-0.19;-1.0;-30.0;-29.0;756;2020-06-14 21:13:32:247
1.69;-2.38;19.87;1.54;-1.35;9.8;-0.72;-0.02;-0.19;-1.0;-30.0;-29.0;766;2020-06-14 21:13:32:257
1.69;-2.38;19.87;1.54;-1.35;9.8;-0.72;-0.02;-0.19;-2.0;-30.0;-31.0;776;2020-06-14 21:13:32:267
2.34;-1.94;18.41;1.54;-1.35;9.8;0.26;0.49;-0.33;-2.0;-30.0;-31.0;786;2020-06-14 21:13:32:277
2.34;-1.94;18.41;1.6;-0.86;7.02;0.26;0.49;-0.33;-2.0;-30.0;-31.0;796;2020-06-14 21:13:32:287
2.34;-1.94;18.41;1.6;-0.86;7.02;0.26;0.49;-0.33;-2.0;-30.0;-31.0;806;2020-06-14 21:13:32:297
1.32;-1.52;14.69;1.6;-0.86;7.02;0.88;0.6;-0.43;-2.0;-30.0;-29.0;816;2020-06-14 21:13:32:307
1.32;-1.52;14.69;0.81;-0.66;3.61;0.88;0.6;-0.43;-2.0;-30.0;-29.0;825;2020-06-14 21:13:32:316
0.29;-1.2;13.5;0.81;-0.66;3.61;0.88;0.6;-0.43;-2.0;-30.0;-29.0;836;2020-06-14 21:13:32:327
0.29;-1.2;13.5;0.81;-0.66;3.61;0.58;0.89;-0.37;0.0;-31.0;-29.0;846;2020-06-14 21:13:32:337
0.29;-1.2;13.5;-0.25;-1.03;3.54;0.58;0.89;-0.37;0.0;-31.0;-29.0;856;2020-06-14 21:13:32:347
-0.65;-1.57;13.79;-0.25;-1.03;3.54;0.58;0.89;-0.37;0.0;-31.0;-29.0;865;2020-06-14 21:13:32:356
-0.65;-1.57;13.79;-0.25;-1.03;3.54;0.11;0.82;-0.24;0.0;-31.0;-29.0;875;2020-06-14 21:13:32:366
-0.65;-1.57;13.79;-1.17;-0.94;4.21;0.11;0.82;-0.24;2.0;-32.0;-27.0;886;2020-06-14 21:13:32:377
-1.8;-1.27;14.53;-1.17;-0.94;4.21;0.11;0.82;-0.24;2.0;-32.0;-27.0;896;2020-06-14 21:13:32:387
-1.8;-1.27;14.53;-1.18;-0.84;4.44;-0.08;0.24;-0.07;2.0;-32.0;-26.0;906;2020-06-14 21:13:32:397
-1.8;-1.27;14.53;-1.18;-0.84;4.44;-0.08;0.24;-0.07;2.0;-32.0;-26.0;916;2020-06-14 21:13:32:407
-1.61;-1.44;15.02;-1.18;-0.84;4.44;-0.08;0.24;-0.07;2.0;-32.0;-26.0;926;2020-06-14 21:13:32:417
-1.61;-1.44;15.02;-0.78;-1.25;5.9;-0.08;0.24;-0.07;3.0;-32.0;-29.0;936;2020-06-14 21:13:32:427
-1.61;-1.44;15.02;-0.78;-1.25;5.9;0.24;0.25;0.01;3.0;-32.0;-29.0;946;2020-06-14 21:13:32:437
-2.08;-1.76;15.21;-0.78;-1.25;5.9;0.24;0.25;0.01;3.0;-32.0;-29.0;955;2020-06-14 21:13:32:446
-2.08;-1.76;15.21;-1.45;-1.19;3.32;0.24;0.25;0.01;3.0;-32.0;-29.0;966;2020-06-14 21:13:32:457
-1.94;-1.3;11.73;-1.45;-1.19;3.32;0.76;-0.25;0.06;3.0;-32.0;-26.0;976;2020-06-14 21:13:32:467
-1.94;-1.3;11.73;-1.45;-1.19;3.32;0.76;-0.25;0.06;3.0;-32.0;-26.0;985;2020-06-14 21:13:32:476
-1.94;-1.3;11.73;-1.04;-0.83;0.7;0.76;-0.25;0.06;3.0;-32.0;-26.0;995;2020-06-14 21:13:32:486
-1.94;-1.3;11.73;-1.04;-0.83;0.7;0.76;-0.25;0.06;3.0;-32.0;-26.0;1005;2020-06-14 21:13:32:496
-1.46;-0.49;9.59;-1.04;-0.83;0.7;1.0;-0.14;0.2;2.0;-32.0;-26.0;1016;2020-06-14 21:13:32:507
-1.46;-0.49;9.59;-0.93;-0.17;-1.78;1.0;-0.14;0.2;2.0;-32.0;-26.0;1026;2020-06-14 21:13:32:517
-1.84;0.77;7.42;-0.93;-0.17;-1.78;1.0;-0.14;0.2;2.0;-32.0;-26.0;1036;2020-06-14 21:13:32:527
-1.84;0.77;7.42;-1.61;0.24;-3.01;0.16;-0.89;0.29;1.0;-34.0;-25.0;1046;2020-06-14 21:13:32:537
-1.84;0.77;7.42;-1.61;0.24;-3.01;0.16;-0.89;0.29;1.0;-34.0;-25.0;1055;2020-06-14 21:13:32:546
-0.37;-0.45;9.13;-1.61;0.24;-3.01;0.16;-0.89;0.29;1.0;-34.0;-25.0;1066;2020-06-14 21:13:32:557
-0.37;-0.45;9.13;0.84;-1.22;1.47;-0.21;-1.36;0.39;1.0;-34.0;-25.0;1076;2020-06-14 21:13:32:567
