sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.2;2.72;28.02;-3.11;3.78;18.0;0.16;0.46;-0.24;-5.0;-28.0;-29.0;5;2020-06-14 21:16:30:379
-3.2;2.72;28.02;-3.11;3.78;18.0;0.16;0.46;-0.24;-2.0;-29.0;-30.0;14;2020-06-14 21:16:30:388
-1.48;1.37;25.64;-1.71;2.79;16.41;0.16;0.46;-0.24;-2.0;-29.0;-30.0;24;2020-06-14 21:16:30:398
-1.48;1.37;25.64;-1.71;2.79;16.41;1.13;0.28;0.08;-2.0;-29.0;-30.0;33;2020-06-14 21:16:30:407
-1.48;1.37;25.64;-1.49;2.26;11.68;1.13;0.28;0.08;-3.0;-30.0;-28.0;44;2020-06-14 21:16:30:418
-2.02;1.41;21.08;-1.49;2.26;11.68;1.13;0.28;0.08;-3.0;-30.0;-28.0;54;2020-06-14 21:16:30:428
-2.02;1.41;21.08;-1.49;2.26;11.68;1.09;0.36;0.27;-3.0;-30.0;-28.0;64;2020-06-14 21:16:30:438
-3.07;0.98;19.5;-1.49;2.26;11.68;1.09;0.36;0.27;-3.0;-31.0;-28.0;74;2020-06-14 21:16:30:448
-3.07;0.98;19.5;-2.74;1.53;9.31;1.09;0.36;0.27;-3.0;-31.0;-28.0;84;2020-06-14 21:16:30:458
-3.07;0.98;19.5;-2.74;1.53;9.31;0.29;0.3;0.62;-3.0;-31.0;-28.0;94;2020-06-14 21:16:30:468
-1.97;0.29;15.09;-2.74;1.53;9.31;0.29;0.3;0.62;-3.0;-31.0;-28.0;103;2020-06-14 21:16:30:477
-1.97;0.29;15.09;-0.15;0.92;5.65;0.29;0.3;0.62;-4.0;-31.0;-27.0;114;2020-06-14 21:16:30:488
-1.97;0.29;15.09;-0.15;0.92;5.65;0.52;0.69;0.29;-4.0;-31.0;-27.0;123;2020-06-14 21:16:30:497
0.64;0.41;16.02;-0.15;0.92;5.65;0.52;0.69;0.29;-4.0;-31.0;-27.0;133;2020-06-14 21:16:30:507
0.64;0.41;16.02;0.49;0.44;4.97;0.52;0.69;0.29;-4.0;-31.0;-27.0;144;2020-06-14 21:16:30:518
0.64;0.41;16.02;0.49;0.44;4.97;0.52;0.69;0.29;-4.0;-32.0;-27.0;155;2020-06-14 21:16:30:529
