sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.53;0.13;9.55;-3.56;-1.19;0.26;-0.45;-0.06;-0.78;-1.0;-36.0;-22.0;4;2020-06-14 21:21:17:663
-4.57;-0.46;10.89;-3.56;-1.19;0.26;-0.45;-0.06;-0.78;0.0;-35.0;-21.0;14;2020-06-14 21:21:17:673
-4.57;-0.46;10.89;-4.78;-1.29;1.43;-0.45;-0.06;-0.78;0.0;-35.0;-21.0;24;2020-06-14 21:21:17:683
-4.57;-0.46;10.89;-4.78;-1.29;1.43;0.33;0.08;-0.58;0.0;-35.0;-21.0;35;2020-06-14 21:21:17:694
-4.97;-0.03;9.97;-4.78;-1.29;1.43;0.33;0.08;-0.58;1.0;-34.0;-22.0;45;2020-06-14 21:21:17:704
-4.97;-0.03;9.97;-4.56;-0.82;-0.69;0.33;0.08;-0.58;1.0;-34.0;-22.0;55;2020-06-14 21:21:17:714
-4.97;-0.03;9.97;-4.56;-0.82;-0.69;0.33;0.08;-0.58;1.0;-34.0;-22.0;64;2020-06-14 21:21:17:723
-4.26;0.38;7.25;-4.56;-0.82;-0.69;0.44;0.11;-0.46;1.0;-35.0;-23.0;75;2020-06-14 21:21:17:734
-4.26;0.38;7.25;-4.03;-0.61;-3.13;0.44;0.11;-0.46;1.0;-35.0;-23.0;84;2020-06-14 21:21:17:743
-4.26;0.49;6.48;-4.03;-0.61;-3.13;0.44;0.11;-0.46;1.0;-35.0;-23.0;95;2020-06-14 21:21:17:754
-4.26;0.49;6.48;-4.03;-0.61;-3.13;-0.03;0.28;-0.42;1.0;-35.0;-23.0;105;2020-06-14 21:21:17:764
-4.26;0.49;6.48;-4.1;-0.63;-2.57;-0.03;0.28;-0.42;2.0;-35.0;-22.0;115;2020-06-14 21:21:17:774
-4.65;0.43;7.85;-4.1;-0.63;-2.57;-0.03;0.28;-0.42;2.0;-35.0;-22.0;124;2020-06-14 21:21:17:783
-4.65;0.43;7.85;-4.1;-0.63;-2.57;-0.11;0.34;-0.37;2.0;-35.0;-22.0;136;2020-06-14 21:21:17:795
-4.65;0.43;7.85;-3.95;-0.7;-1.56;-0.11;0.34;-0.37;3.0;-35.0;-22.0;145;2020-06-14 21:21:17:804
-4.32;0.49;8.0;-3.95;-0.7;-1.56;-0.11;0.34;-0.37;3.0;-35.0;-22.0;155;2020-06-14 21:21:17:814
-4.32;0.49;8.0;-3.95;-0.7;-1.56;-0.11;0.34;-0.37;3.0;-35.0;-22.0;164;2020-06-14 21:21:17:823
-4.32;0.49;8.0;-3.57;-0.31;-2.36;0.14;0.34;-0.28;4.0;-36.0;-23.0;174;2020-06-14 21:21:17:833
-4.08;0.81;7.08;-3.57;-0.31;-2.36;0.14;0.34;-0.28;4.0;-36.0;-23.0;185;2020-06-14 21:21:17:844
-4.08;0.81;7.08;-3.57;-0.31;-2.36;0.14;0.34;-0.28;4.0;-36.0;-23.0;195;2020-06-14 21:21:17:854
-4.08;0.81;7.08;-3.2;-0.48;-3.19;0.19;0.32;-0.05;4.0;-36.0;-23.0;205;2020-06-14 21:21:17:864
-3.86;0.49;6.35;-3.2;-0.48;-3.19;0.19;0.32;-0.05;4.0;-35.0;-23.0;215;2020-06-14 21:21:17:874
-3.86;0.49;6.35;-3.2;-0.48;-3.19;0.19;0.32;-0.05;4.0;-35.0;-23.0;224;2020-06-14 21:21:17:883
-3.86;0.49;6.35;-3.2;-0.48;-3.19;-0.04;0.33;0.12;4.0;-35.0;-23.0;234;2020-06-14 21:21:17:893
-3.39;0.02;5.6;-2.45;-1.14;-3.96;-0.04;0.33;0.12;5.0;-36.0;-21.0;245;2020-06-14 21:21:17:904
-3.39;0.02;5.6;-2.45;-1.14;-3.96;-0.04;0.33;0.12;5.0;-36.0;-21.0;255;2020-06-14 21:21:17:914
-4.08;-0.28;7.15;-2.45;-1.14;-3.96;0.01;0.23;0.33;5.0;-36.0;-21.0;265;2020-06-14 21:21:17:924
-4.08;-0.28;7.15;-3.32;-1.54;-1.91;0.01;0.23;0.33;5.0;-36.0;-22.0;275;2020-06-14 21:21:17:934
-4.08;-0.28;7.15;-3.32;-1.54;-1.91;0.01;0.23;0.33;5.0;-36.0;-22.0;285;2020-06-14 21:21:17:944
-6.21;-0.81;8.33;-3.32;-1.54;-1.91;0.01;0.23;0.33;5.0;-36.0;-22.0;295;2020-06-14 21:21:17:954
-6.21;-0.81;8.33;-4.95;-2.18;-2.34;1.06;-0.74;1.04;5.0;-36.0;-22.0;305;2020-06-14 21:21:17:964
-6.21;-0.81;8.33;-4.95;-2.18;-2.34;1.06;-0.74;1.04;2.0;-36.0;-20.0;314;2020-06-14 21:21:17:973
-3.03;-2.11;4.47;-4.95;-2.18;-2.34;1.06;-0.74;1.04;2.0;-36.0;-20.0;324;2020-06-14 21:21:17:983
-3.03;-2.11;4.47;-0.31;-4.11;-6.04;1.17;-1.06;1.42;2.0;-36.0;-20.0;334;2020-06-14 21:21:17:993
-3.03;-2.11;4.47;-0.31;-4.11;-6.04;1.17;-1.06;1.42;1.0;-37.0;-20.0;345;2020-06-14 21:21:18:004
0.38;-0.83;3.15;-0.31;-4.11;-6.04;1.17;-1.06;1.42;1.0;-37.0;-20.0;355;2020-06-14 21:21:18:014
0.38;-0.83;3.15;0.35;-2.29;-4.91;-0.23;0.35;0.78;1.0;-37.0;-20.0;365;2020-06-14 21:21:18:024
0.38;-0.83;3.15;0.35;-2.29;-4.91;-0.23;0.35;0.78;1.0;-38.0;-18.0;374;2020-06-14 21:21:18:033
-1.71;0.89;9.83;0.35;-2.29;-4.91;-0.23;0.35;0.78;1.0;-38.0;-18.0;385;2020-06-14 21:21:18:044
