ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.118,1.081,15.102,0.242,0.241,5.923,-1.568,0.275,0.74,-4.3,-36.7,-23.5,4,2020-06-14 20:23:41:809
-1.118,1.081,15.102,0.242,0.241,5.923,-1.338,0.144,0.296,-4.3,-36.7,-23.5,14,2020-06-14 20:23:41:819
-0.795,1.512,15.957,0.242,0.241,5.923,-1.338,0.144,0.296,-4.3,-36.7,-23.5,25,2020-06-14 20:23:41:830
-0.795,1.512,15.957,0.773,1.209,6.236,-1.338,0.144,0.296,-4.9,-34.8,-23.8,35,2020-06-14 20:23:41:840
-0.795,1.512,15.957,0.773,1.209,6.236,-1.338,0.144,0.296,-4.9,-34.8,-23.8,45,2020-06-14 20:23:41:850
-0.084,1.507,15.538,0.773,1.209,6.236,-0.538,0.15,0.128,-4.9,-34.8,-23.8,55,2020-06-14 20:23:41:860
-0.084,1.507,15.538,0.595,1.485,5.534,-0.538,0.15,0.128,-4.0,-34.9,-23.5,65,2020-06-14 20:23:41:870
-0.326,1.505,15.016,0.595,1.485,5.534,-0.538,0.15,0.128,-4.0,-34.9,-23.5,76,2020-06-14 20:23:41:881
-0.326,1.505,15.016,0.595,1.485,5.534,0.104,-0.044,0.087,-4.0,-34.9,-23.5,84,2020-06-14 20:23:41:889
-0.326,1.505,15.016,0.427,1.785,4.295,0.104,-0.044,0.087,-4.6,-34.9,-24.1,95,2020-06-14 20:23:41:900
-0.651,1.699,12.82,0.427,1.785,4.295,0.104,-0.044,0.087,-4.6,-34.9,-24.1,105,2020-06-14 20:23:41:910
