ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.88,0.34,8.57,-0.38,-0.08,-1.37,0.11,0.38,0.05,-1.0,-34.0,-25.0,5,2020-06-14 21:14:28:810
-0.88,0.34,8.57,-0.38,-0.08,-1.37,0.11,0.38,0.05,-1.0,-34.0,-24.0,15,2020-06-14 21:14:28:820
-0.6,-0.21,9.93,0.33,-0.59,-0.71,0.11,0.38,0.05,-1.0,-34.0,-24.0,24,2020-06-14 21:14:28:829
-0.6,-0.21,9.93,0.33,-0.59,-0.71,0.11,0.38,0.05,-1.0,-34.0,-24.0,34,2020-06-14 21:14:28:839
-0.6,-0.21,9.93,0.33,-0.59,-0.71,0.03,0.27,-0.2,-1.0,-34.0,-24.0,45,2020-06-14 21:14:28:850
-1.32,0.17,9.69,-0.31,-0.42,0.07,0.03,0.27,-0.2,0.0,-34.0,-24.0,54,2020-06-14 21:14:28:859
-1.32,0.17,9.69,-0.31,-0.42,0.07,0.03,0.27,-0.2,0.0,-34.0,-24.0,64,2020-06-14 21:14:28:869
-1.32,0.17,9.69,0.05,-0.06,-3.35,0.77,-0.1,-0.39,0.0,-34.0,-24.0,74,2020-06-14 21:14:28:879
-1.1,0.81,6.28,0.05,-0.06,-3.35,0.77,-0.1,-0.39,1.0,-34.0,-23.0,85,2020-06-14 21:14:28:890
-1.1,0.81,6.28,0.05,-0.06,-3.35,0.77,-0.1,-0.39,1.0,-34.0,-23.0,94,2020-06-14 21:14:28:899
-1.1,0.81,6.28,0.1,0.34,-6.2,0.85,-0.13,-0.5,1.0,-34.0,-23.0,104,2020-06-14 21:14:28:909
-0.51,1.13,3.64,0.1,0.34,-6.2,0.85,-0.13,-0.5,0.0,-34.0,-22.0,114,2020-06-14 21:14:28:919
-0.51,1.13,3.64,0.1,0.34,-6.2,0.85,-0.13,-0.5,0.0,-34.0,-22.0,124,2020-06-14 21:14:28:929
-0.66,1.52,3.44,0.52,0.37,-6.44,0.26,-0.29,-0.89,0.0,-34.0,-22.0,135,2020-06-14 21:14:28:940
-0.66,1.52,3.44,0.52,0.37,-6.44,0.26,-0.29,-0.89,0.0,-36.0,-23.0,145,2020-06-14 21:14:28:950
-0.66,1.52,3.44,0.52,0.37,-6.44,0.26,-0.29,-0.89,0.0,-36.0,-23.0,155,2020-06-14 21:14:28:960
-2.85,2.14,3.89,-2.04,1.14,-6.35,0.26,-0.29,-0.89,0.0,-36.0,-23.0,165,2020-06-14 21:14:28:970
-2.85,2.14,3.89,-2.04,1.14,-6.35,0.06,-0.36,-0.79,2.0,-34.0,-23.0,175,2020-06-14 21:14:28:980
-2.85,2.14,3.89,-2.04,1.14,-6.35,0.06,-0.36,-0.79,2.0,-34.0,-23.0,185,2020-06-14 21:14:28:990
-1.31,1.65,5.1,-1.01,0.77,-4.62,0.06,-0.36,-0.79,2.0,-34.0,-23.0,195,2020-06-14 21:14:29:000
-1.31,1.65,5.1,-1.01,0.77,-4.62,0.41,-0.44,-0.38,2.0,-35.0,-22.0,205,2020-06-14 21:14:29:010
-1.31,1.65,5.1,-0.39,-0.02,-5.24,0.41,-0.44,-0.38,2.0,-35.0,-22.0,216,2020-06-14 21:14:29:021
-0.97,1.23,4.5,-0.39,-0.02,-5.24,0.41,-0.44,-0.38,2.0,-35.0,-22.0,225,2020-06-14 21:14:29:030
-0.97,1.23,4.5,-0.39,-0.02,-5.24,0.74,-0.39,-0.19,2.0,-35.0,-22.0,235,2020-06-14 21:14:29:040
-0.97,1.23,4.5,-0.64,0.3,-6.95,0.74,-0.39,-0.19,2.0,-35.0,-20.0,245,2020-06-14 21:14:29:050
-0.96,1.65,2.57,-0.64,0.3,-6.95,0.74,-0.39,-0.19,2.0,-35.0,-20.0,255,2020-06-14 21:14:29:060
-0.96,1.65,2.57,-0.64,0.3,-6.95,0.74,-0.39,-0.19,2.0,-35.0,-20.0,265,2020-06-14 21:14:29:070
-0.96,1.65,2.57,-0.16,-0.23,-6.9,0.32,-0.13,-0.09,3.0,-36.0,-20.0,275,2020-06-14 21:14:29:080
-0.58,1.14,3.18,-0.16,-0.23,-6.9,0.32,-0.13,-0.09,3.0,-36.0,-20.0,285,2020-06-14 21:14:29:090
-0.58,1.14,3.18,-0.16,-0.23,-6.9,0.32,-0.13,-0.09,3.0,-36.0,-20.0,294,2020-06-14 21:14:29:099
-0.8,0.88,4.99,-0.54,-0.5,-4.84,-0.42,-0.53,-0.25,2.0,-35.0,-21.0,304,2020-06-14 21:14:29:109
-0.8,0.88,4.99,-0.54,-0.5,-4.84,-0.42,-0.53,-0.25,2.0,-35.0,-21.0,314,2020-06-14 21:14:29:119
-0.8,0.88,4.99,-0.54,-0.5,-4.84,-0.42,-0.53,-0.25,2.0,-35.0,-21.0,324,2020-06-14 21:14:29:129
-0.82,0.61,5.29,-0.69,-0.66,-4.42,-0.15,-0.46,-0.29,2.0,-36.0,-20.0,335,2020-06-14 21:14:29:140
-0.82,0.61,5.29,-0.69,-0.66,-4.42,-0.15,-0.46,-0.29,2.0,-36.0,-20.0,344,2020-06-14 21:14:29:149
-0.82,0.61,5.29,-0.69,-0.66,-4.42,-0.15,-0.46,-0.29,2.0,-36.0,-20.0,355,2020-06-14 21:14:29:160
-0.49,0.29,5.67,-0.41,-1.02,-3.95,-0.15,-0.46,-0.29,2.0,-35.0,-22.0,365,2020-06-14 21:14:29:170
-0.49,0.29,5.67,-0.41,-1.02,-3.95,0.15,-0.11,-0.17,2.0,-35.0,-22.0,375,2020-06-14 21:14:29:180
-0.49,0.29,5.67,-0.41,-1.02,-3.95,0.15,-0.11,-0.17,2.0,-35.0,-22.0,385,2020-06-14 21:14:29:190
-0.22,-0.04,7.6,-0.21,-1.36,-2.0,0.15,-0.11,-0.17,3.0,-36.0,-21.0,395,2020-06-14 21:14:29:200
-0.22,-0.04,7.6,-0.21,-1.36,-2.0,-0.23,-0.62,-0.33,3.0,-36.0,-21.0,405,2020-06-14 21:14:29:210
