ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-3.391804,-2.49147,6.97733,0.75091,-1.247369,-1.856315,-0.648898,-0.25818,-0.456005,45.6995,-6.0423,-4.486,5,2020-06-13 22:51:21:844
-3.391804,-2.49147,6.97733,0.75091,-1.247369,-1.856315,-0.648898,-0.25818,-0.456005,45.6995,-6.0423,-4.486,16,2020-06-13 22:51:21:855
-3.391804,-2.49147,6.97733,0.521255,-1.6816,-1.730268,-0.648898,-0.25818,-0.456005,45.6995,-6.0423,-4.486,25,2020-06-13 22:51:21:864
-3.581048,-2.616036,6.565304,0.521255,-1.6816,-1.730268,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907,36,2020-06-13 22:51:21:875
-3.581048,-2.616036,6.565304,0.521255,-1.6816,-1.730268,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907,46,2020-06-13 22:51:21:885
-3.581048,-2.616036,6.565304,0.611544,-1.659086,-2.366244,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907,55,2020-06-13 22:51:21:894
-2.723459,-3.181374,5.834676,0.611544,-1.659086,-2.366244,-0.667003,-0.039855,-0.39104,45.7878,-5.1563,-4.7907,66,2020-06-13 22:51:21:905
-2.723459,-3.181374,5.834676,0.611544,-1.659086,-2.366244,-1.276183,0.3084,-0.415535,45.9373,-4.3739,-5.5967,75,2020-06-13 22:51:21:914
-2.723459,-3.181374,5.834676,1.379554,-1.784411,-2.58532,-1.276183,0.3084,-0.415535,45.9373,-4.3739,-5.5967,86,2020-06-13 22:51:21:925
-2.943845,-3.605377,6.610818,1.379554,-1.784411,-2.58532,-1.276183,0.3084,-0.415535,45.9373,-4.3739,-5.5967,96,2020-06-13 22:51:21:935
-2.943845,-3.605377,6.610818,1.379554,-1.784411,-2.58532,-1.592488,0.151845,-0.59339,45.7467,-3.7063,-6.0355,106,2020-06-13 22:51:21:945
-2.943845,-3.605377,6.610818,0.440629,-1.359775,-0.315633,-1.592488,0.151845,-0.59339,45.7467,-3.7063,-6.0355,116,2020-06-13 22:51:21:955
-2.943845,-3.605377,6.610818,0.440629,-1.359775,-0.315633,-1.592488,0.151845,-0.59339,45.7467,-3.7063,-6.0355,125,2020-06-13 22:51:21:964
-3.667286,-3.437692,7.789404,0.440629,-1.359775,-0.315633,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91,136,2020-06-13 22:51:21:975
-3.667286,-3.437692,7.789404,0.440629,-1.359775,-0.315633,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91,146,2020-06-13 22:51:21:985
-3.456482,-4.860619,6.047876,0.505214,-1.595103,-1.525963,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91,156,2020-06-13 22:51:21:995
-3.456482,-4.860619,6.047876,0.505214,-1.595103,-1.525963,-1.614853,0.24024,-0.64664,45.5587,-3.1901,-5.91,165,2020-06-13 22:51:22:004
-3.456482,-4.860619,6.047876,1.13103,-1.638716,-0.369158,-1.790578,-0.802395,-0.57209,45.595,-1.4161,-5.7071,176,2020-06-13 22:51:22:015
-3.456482,-4.860619,6.047876,1.13103,-1.638716,-0.369158,-1.790578,-0.802395,-0.57209,45.595,-1.4161,-5.7071,185,2020-06-13 22:51:22:024
-1.511336,-4.074895,10.383731,1.13103,-1.638716,-0.369158,-1.790578,-0.802395,-0.57209,45.595,-1.4161,-5.7071,196,2020-06-13 22:51:22:035
-1.511336,-4.074895,10.383731,1.13103,-1.638716,-0.369158,-1.614853,-1.89189,-1.21961,45.595,-1.4161,-5.7071,205,2020-06-13 22:51:22:044
