ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0148,-1.052,0.6971,-0.5663,2.5919,9.441,0.6852,-3.4466,-8.292,0.5935,0.0725,-0.166,10.75,24.05,-27.1,342.9,-15.33,3.43,3,2020-06-14 00:34:08:228
-0.4796,-1.4016,-0.4485,-0.549,2.7246,9.4046,0.1792,-4.0245,-9.445,0.5935,0.0725,-0.166,10.75,24.05,-27.1,342.9,-15.33,3.43,13,2020-06-14 00:34:08:238
-0.4796,-1.4016,-0.4485,-0.549,2.7246,9.4046,0.1792,-4.0245,-9.445,0.0151,-0.343,-0.0775,10.75,24.05,-27.1,342.9,-15.33,3.43,23,2020-06-14 00:34:08:248
-0.4796,-1.4016,-0.4485,-0.549,2.7246,9.4046,0.1792,-4.0245,-9.445,0.0151,-0.343,-0.0775,10.75,24.05,-27.1,342.9,-15.33,3.43,33,2020-06-14 00:34:08:258
-0.324,-1.4028,-0.1385,-0.4555,2.6572,9.4288,0.1157,-4.0166,-9.3331,0.0151,-0.343,-0.0775,8.98,27.29,-26.27,342.9,-15.33,3.43,43,2020-06-14 00:34:08:268
-0.324,-1.4028,-0.1385,-0.4555,2.6572,9.4288,0.1157,-4.0166,-9.3331,0.0151,-0.343,-0.0775,8.98,27.29,-26.27,342.9,-15.33,3.43,52,2020-06-14 00:34:08:277
-0.324,-1.4028,-0.1385,-0.4555,2.6572,9.4288,0.1157,-4.0166,-9.3331,-1.0981,-0.4996,-0.0275,8.98,27.29,-26.27,342.9,-15.33,3.43,63,2020-06-14 00:34:08:288
0.1381,-0.6355,0.9329,-0.3021,2.307,9.5266,0.4664,-2.846,-8.2229,-1.0981,-0.4996,-0.0275,8.98,27.29,-26.27,342.9,-15.33,3.43,73,2020-06-14 00:34:08:298
0.1381,-0.6355,0.9329,-0.3021,2.307,9.5266,0.4664,-2.846,-8.2229,-1.0981,-0.4996,-0.0275,8.16,27.3,-26.97,347.66,-13.61,1.82,83,2020-06-14 00:34:08:308
0.3273,-0.3302,1.7242,-0.3021,2.307,9.5266,0.4664,-2.846,-8.2229,-2.0813,-0.7371,-0.0253,8.16,27.3,-26.97,347.66,-13.61,1.82,93,2020-06-14 00:34:08:318
0.3273,-0.3302,1.7242,-0.1023,1.6792,9.6613,0.4664,-2.846,-8.2229,-2.0813,-0.7371,-0.0253,8.16,27.3,-26.97,347.66,-13.61,1.82,103,2020-06-14 00:34:08:328
0.3273,-0.3302,1.7242,-0.1023,1.6792,9.6613,0.219,-1.5351,-6.1932,-2.0813,-0.7371,-0.0253,8.16,27.3,-26.97,347.66,-13.61,1.82,113,2020-06-14 00:34:08:338
0.1669,-0.3841,7.408,-0.1023,1.6792,9.6613,0.219,-1.5351,-6.1932,-3.3053,-0.2865,-0.2778,6.27,29.54,-25.09,347.66,-13.61,1.82,123,2020-06-14 00:34:08:348
0.1669,-0.3841,7.408,-0.0105,0.724,9.7799,0.219,-1.5351,-6.1932,-3.3053,-0.2865,-0.2778,6.27,29.54,-25.09,347.66,-13.61,1.82,133,2020-06-14 00:34:08:358
0.1669,-0.3841,7.408,-0.0105,0.724,9.7799,0.0986,-1.9454,0.9294,-3.3053,-0.2865,-0.2778,6.27,29.54,-25.09,347.66,-13.61,1.82,142,2020-06-14 00:34:08:367
-1.0698,-2.248,15.2562,-0.0105,0.724,9.7799,0.0986,-1.9454,0.9294,-3.4555,-0.4846,-0.3705,6.27,29.54,-25.09,347.66,-13.61,1.82,153,2020-06-14 00:34:08:378
-1.0698,-2.248,15.2562,0.1176,-0.3003,9.8013,0.0986,-1.9454,0.9294,-3.4555,-0.4846,-0.3705,5.64,35.59,-19.99,350.91,-4.23,0.06,162,2020-06-14 00:34:08:387
-1.0698,-2.248,15.2562,0.1176,-0.3003,9.8013,-1.4866,-2.4242,8.9272,-3.4555,-0.4846,-0.3705,5.64,35.59,-19.99,350.91,-4.23,0.06,173,2020-06-14 00:34:08:398
-0.3323,-3.7862,22.9967,0.1176,-0.3003,9.8013,-1.4866,-2.4242,8.9272,-2.1974,-0.9523,0.29,5.64,35.59,-19.99,350.91,-4.23,0.06,183,2020-06-14 00:34:08:408
-0.3323,-3.7862,22.9967,0.3099,-0.9243,9.7581,-1.4866,-2.4242,8.9272,-2.1974,-0.9523,0.29,5.64,35.59,-19.99,350.91,-4.23,0.06,193,2020-06-14 00:34:08:418
-0.3323,-3.7862,22.9967,0.3099,-0.9243,9.7581,0.5056,-1.6564,16.0614,-2.1974,-0.9523,0.29,8.02,38.2,-14.95,350.91,-4.23,0.06,203,2020-06-14 00:34:08:428
1.6716,-1.4926,26.3629,0.3099,-0.9243,9.7581,0.5056,-1.6564,16.0614,-1.145,-1.3571,0.013,8.02,38.2,-14.95,350.91,-4.23,0.06,213,2020-06-14 00:34:08:438
1.6716,-1.4926,26.3629,0.7478,-1.3736,9.6811,0.5056,-1.6564,16.0614,-1.145,-1.3571,0.013,8.02,38.2,-14.95,350.91,-4.23,0.06,223,2020-06-14 00:34:08:448
1.8643,-1.6614,23.77,0.7478,-1.3736,9.6811,1.3686,0.1987,15.7483,-1.145,-1.3571,0.013,8.02,38.2,-14.95,350.91,-4.23,0.06,234,2020-06-14 00:34:08:459
1.8643,-1.6614,23.77,0.7478,-1.3736,9.6811,1.3686,0.1987,15.7483,-1.1503,-0.8575,-0.0456,4.74,37.59,-12.81,350.52,8.05,-4.42,243,2020-06-14 00:34:08:468
1.8643,-1.6614,23.77,1.0205,-1.6805,9.6075,1.3686,0.1987,15.7483,-1.1503,-0.8575,-0.0456,4.74,37.59,-12.81,350.52,8.05,-4.42,253,2020-06-14 00:34:08:478
1.2442,-1.386,22.2222,1.0205,-1.6805,9.6075,0.2409,0.0789,12.8365,-1.1503,-0.8575,-0.0456,4.74,37.59,-12.81,350.52,8.05,-4.42,263,2020-06-14 00:34:08:488
1.2442,-1.386,22.2222,1.0205,-1.6805,9.6075,0.2409,0.0789,12.8365,-1.3516,-0.115,0.1046,4.74,37.59,-12.81,350.52,8.05,-4.42,273,2020-06-14 00:34:08:498
1.2442,-1.386,22.2222,1.0663,-2.0453,9.5315,0.2409,0.0789,12.8365,-1.3516,-0.115,0.1046,6.32,39.52,-12.05,350.52,8.05,-4.42,283,2020-06-14 00:34:08:508
2.3899,-0.5205,21.2705,1.0663,-2.0453,9.5315,0.9454,1.3562,12.0111,-1.3516,-0.115,0.1046,6.32,39.52,-12.05,350.52,8.05,-4.42,293,2020-06-14 00:34:08:518
2.3899,-0.5205,21.2705,1.0663,-2.0453,9.5315,0.9454,1.3562,12.0111,-0.346,-0.0617,0.3582,6.32,39.52,-12.05,350.52,8.05,-4.42,303,2020-06-14 00:34:08:528
2.3899,-0.5205,21.2705,1.0652,-2.1746,9.503,0.9454,1.3562,12.0111,-0.346,-0.0617,0.3582,6.32,39.52,-12.05,350.52,8.05,-4.42,313,2020-06-14 00:34:08:538
2.348,-0.317,18.0,1.0652,-2.1746,9.503,1.143,1.7301,7.7346,-0.346,-0.0617,0.3582,4.67,39.55,-9.9,350.65,12.81,-6.4,323,2020-06-14 00:34:08:548
2.348,-0.317,18.0,1.0652,-2.1746,9.503,1.143,1.7301,7.7346,0.5627,0.0917,0.4018,4.67,39.55,-9.9,350.65,12.81,-6.4,333,2020-06-14 00:34:08:558
1.747,-0.6319,14.0256,1.0392,-2.0572,9.532,1.143,1.7301,7.7346,0.5627,0.0917,0.4018,4.67,39.55,-9.9,350.65,12.81,-6.4,343,2020-06-14 00:34:08:568
1.747,-0.6319,14.0256,1.0392,-2.0572,9.532,0.6607,1.3795,3.5572,0.5627,0.0917,0.4018,4.67,39.55,-9.9,350.65,12.81,-6.4,353,2020-06-14 00:34:08:578
1.747,-0.6319,14.0256,1.0392,-2.0572,9.532,0.6607,1.3795,3.5572,0.5488,0.5838,0.1004,6.37,38.23,-11.38,350.65,12.81,-6.4,363,2020-06-14 00:34:08:588
1.6692,-0.578,11.9654,0.902,-1.8771,9.583,0.6607,1.3795,3.5572,0.5488,0.5838,0.1004,6.37,38.23,-11.38,350.65,12.81,-6.4,373,2020-06-14 00:34:08:598
1.6692,-0.578,11.9654,0.902,-1.8771,9.583,0.997,1.1838,1.8325,0.5488,0.5838,0.1004,6.37,38.23,-11.38,350.65,12.81,-6.4,383,2020-06-14 00:34:08:608
