ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.3247,1.7049,10.7139,0.1462,1.4661,9.6953,1.4614,0.1841,1.071,-0.0089,0.2151,-0.0713,36.56,-11.32,-24.31,258.85,-8.63,-0.9,8,2020-06-18 19:40:59:476
2.0194,1.5252,10.678,0.1462,1.4661,9.6953,1.4614,0.1841,1.071,-0.0089,0.2151,-0.0713,36.56,-11.32,-24.31,258.85,-8.63,-0.9,17,2020-06-18 19:40:59:485
2.0194,1.5252,10.678,0.1462,1.4661,9.6953,1.4614,0.1841,1.071,0.1269,0.1539,-0.3014,36.41,-11.95,-26.63,258.85,-8.63,-0.9,27,2020-06-18 19:40:59:495
2.0194,1.5252,10.678,0.0966,1.4957,9.6914,2.1263,-0.027,0.7971,0.1269,0.1539,-0.3014,36.41,-11.95,-26.63,258.85,-8.63,-0.9,38,2020-06-18 19:40:59:506
2.4099,1.3982,10.5031,0.0966,1.4957,9.6914,2.1263,-0.027,0.7971,0.1269,0.1539,-0.3014,36.41,-11.95,-26.63,258.85,-8.63,-0.9,47,2020-06-18 19:40:59:515
2.4099,1.3982,10.5031,0.0966,1.4957,9.6914,2.1263,-0.027,0.7971,0.2441,0.2284,-0.5837,36.41,-11.95,-26.63,258.85,-8.63,-0.9,57,2020-06-18 19:40:59:525
2.4099,1.3982,10.5031,0.0361,1.5563,9.6823,2.2378,-0.0264,0.8657,0.2441,0.2284,-0.5837,37.17,-10.44,-25.23,260.92,-9.13,-0.21,67,2020-06-18 19:40:59:535
2.0745,1.6186,10.7091,0.0361,1.5563,9.6823,2.2378,-0.0264,0.8657,0.2441,0.2284,-0.5837,37.17,-10.44,-25.23,260.92,-9.13,-0.21,77,2020-06-18 19:40:59:545
2.0745,1.6186,10.7091,0.0361,1.5563,9.6823,2.2378,-0.0264,0.8657,0.4806,0.2194,-0.7856,37.17,-10.44,-25.23,260.92,-9.13,-0.21,88,2020-06-18 19:40:59:556
1.9882,1.6785,9.7294,-0.0542,1.6737,9.6626,2.071,-0.0737,0.3235,0.4806,0.2194,-0.7856,37.17,-10.39,-22.14,260.92,-9.13,-0.21,98,2020-06-18 19:40:59:566
1.9882,1.6785,9.7294,-0.0542,1.6737,9.6626,2.071,-0.0737,0.3235,0.4806,0.2194,-0.7856,37.17,-10.39,-22.14,260.92,-9.13,-0.21,107,2020-06-18 19:40:59:575
1.9882,1.6785,9.7294,-0.0542,1.6737,9.6626,2.071,-0.0737,0.3235,0.6095,0.0564,-1.0029,37.17,-10.39,-22.14,260.92,-9.13,-0.21,118,2020-06-18 19:40:59:586
2.2446,1.4462,8.2777,-0.1154,1.8398,9.6318,2.5314,-0.493,-1.0389,0.6095,0.0564,-1.0029,38.71,-10.09,-22.88,262.03,-10.81,0.69,127,2020-06-18 19:40:59:595
2.2446,1.4462,8.2777,-0.1154,1.8398,9.6318,2.5314,-0.493,-1.0389,0.6095,0.0564,-1.0029,38.71,-10.09,-22.88,262.03,-10.81,0.69,138,2020-06-18 19:40:59:606
2.2446,1.4462,8.2777,-0.1154,1.8398,9.6318,2.5314,-0.493,-1.0389,0.4667,-0.0107,-1.3161,38.71,-10.09,-22.88,262.03,-10.81,0.69,148,2020-06-18 19:40:59:616
2.0409,1.288,7.8609,-0.1685,1.9786,9.6035,2.2412,-0.7132,-1.8617,0.4667,-0.0107,-1.3161,38.71,-10.09,-22.88,262.03,-10.81,0.69,157,2020-06-18 19:40:59:625
2.0409,1.288,7.8609,-0.1685,1.9786,9.6035,2.2412,-0.7132,-1.8617,0.4667,-0.0107,-1.3161,37.78,-7.48,-24.94,262.03,-10.81,0.69,168,2020-06-18 19:40:59:636
