ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.6755,-1.0547,12.4578,0.4453,-1.4734,9.6851,0.2451,0.5297,2.9054,-0.6688,0.0319,-0.107,38.09,-5.49,-30.22,257.97,7.69,-2.67,8,2020-06-18 18:29:43:658
0.6755,-1.0547,12.4578,0.4453,-1.4734,9.6851,0.2451,0.5297,2.9054,-0.5937,0.0729,-0.0351,38.09,-5.49,-30.22,257.97,7.69,-2.67,17,2020-06-18 18:29:43:667
0.7474,-0.5972,13.531,0.4453,-1.4734,9.6851,0.2451,0.5297,2.9054,-0.5937,0.0729,-0.0351,38.09,-5.49,-30.22,257.97,7.69,-2.67,27,2020-06-18 18:29:43:677
0.7474,-0.5972,13.531,0.4269,-1.6273,9.6613,0.5577,1.1914,3.9345,-0.5937,0.0729,-0.0351,37.47,-3.85,-28.24,257.72,9.55,-2.53,37,2020-06-18 18:29:43:687
1.5666,-0.5565,14.403,0.4269,-1.6273,9.6613,0.5577,1.1914,3.9345,-0.4526,0.1507,-0.0218,37.47,-3.85,-28.24,257.72,9.55,-2.53,48,2020-06-18 18:29:43:698
1.5666,-0.5565,14.403,0.4269,-1.6273,9.6613,0.5577,1.1914,3.9345,-0.4526,0.1507,-0.0218,37.47,-3.85,-28.24,257.72,9.55,-2.53,58,2020-06-18 18:29:43:708
1.5666,-0.5565,14.403,0.3893,-1.7366,9.6438,1.4605,1.105,4.478,-0.4526,0.1507,-0.0218,39.32,-4.56,-28.5,257.72,9.55,-2.53,68,2020-06-18 18:29:43:718
1.3822,-0.8894,14.8917,0.3893,-1.7366,9.6438,1.4605,1.105,4.478,-0.4526,0.1507,-0.0218,39.32,-4.56,-28.5,257.72,9.55,-2.53,78,2020-06-18 18:29:43:728
1.3822,-0.8894,14.8917,0.3893,-1.7366,9.6438,1.4605,1.105,4.478,-0.1857,0.2721,-0.2811,39.32,-4.56,-28.5,257.72,9.55,-2.53,87,2020-06-18 18:29:43:737
1.3822,-0.8894,14.8917,0.3374,-1.7764,9.6385,-0.0267,0.9047,6.0368,-0.1857,0.2721,-0.2811,37.32,-3.4,-27.63,258.41,10.44,-2.0,97,2020-06-18 18:29:43:747
-0.0072,-0.9421,16.4248,0.3374,-1.7764,9.6385,-0.0267,0.9047,6.0368,-0.1857,0.2721,-0.2811,37.32,-3.4,-27.63,258.41,10.44,-2.0,108,2020-06-18 18:29:43:758
-0.0072,-0.9421,16.4248,0.3374,-1.7764,9.6385,-0.0267,0.9047,6.0368,0.3618,-0.2403,-0.1363,37.32,-3.4,-27.63,258.41,10.44,-2.0,118,2020-06-18 18:29:43:768
-0.0072,-0.9421,16.4248,0.3906,-1.6731,9.655,-0.0912,0.9754,5.9994,0.3618,-0.2403,-0.1363,39.01,-2.82,-30.07,258.41,10.44,-2.0,128,2020-06-18 18:29:43:778
0.7498,-0.6427,15.6893,0.3906,-1.6731,9.655,-0.0912,0.9754,5.9994,0.3618,-0.2403,-0.1363,39.01,-2.82,-30.07,258.41,10.44,-2.0,137,2020-06-18 18:29:43:787
0.7498,-0.6427,15.6893,0.3906,-1.6731,9.655,-0.0912,0.9754,5.9994,0.8348,-0.2429,-0.0793,39.01,-2.82,-30.07,258.41,10.44,-2.0,147,2020-06-18 18:29:43:797
0.7498,-0.6427,15.6893,0.4818,-1.4859,9.6815,0.44,0.7256,4.1397,0.8348,-0.2429,-0.0793,39.01,-3.83,-28.51,258.73,8.71,-2.85,157,2020-06-18 18:29:43:807
