ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.4935,0.3634,11.6937,-0.2075,-0.3541,9.7981,-0.4288,0.6495,1.2266,-0.4925,0.0452,0.0288,39.02,-9.11,-26.9,255.85,1.45,1.1,10,2020-06-18 18:37:24:813
-0.4935,0.3634,11.6937,-0.2075,-0.3541,9.7981,-0.4288,0.6495,1.2266,-0.4925,0.0452,0.0288,41.94,-8.63,-27.3,255.85,1.45,1.1,21,2020-06-18 18:37:24:824
-0.7594,0.2221,13.8879,-0.2075,-0.3541,9.7981,-0.3716,0.6489,3.5122,-0.2363,0.3153,0.1125,41.94,-8.63,-27.3,255.85,1.45,1.1,30,2020-06-18 18:37:24:833
-0.7594,0.2221,13.8879,-0.2988,-0.4264,9.7928,-0.3716,0.6489,3.5122,-0.2363,0.3153,0.1125,41.94,-8.63,-27.3,255.85,1.45,1.1,41,2020-06-18 18:37:24:844
-0.1868,0.5886,13.9287,-0.2988,-0.4264,9.7928,-0.3716,0.6489,3.5122,-0.2363,0.3153,0.1125,41.94,-8.63,-27.3,255.85,1.45,1.1,51,2020-06-18 18:37:24:854
-0.1868,0.5886,13.9287,-0.2988,-0.4264,9.7928,0.02,1.018,3.9076,-0.0542,0.1123,0.0885,40.09,-8.34,-25.49,256.89,2.49,1.75,60,2020-06-18 18:37:24:863
-0.1868,0.5886,13.9287,-0.3468,-0.4418,9.7906,0.02,1.018,3.9076,-0.0542,0.1123,0.0885,40.09,-8.34,-25.49,256.89,2.49,1.75,71,2020-06-18 18:37:24:874
-0.4288,0.4353,14.9659,-0.3468,-0.4418,9.7906,0.02,1.018,3.9076,-0.0542,0.1123,0.0885,40.09,-8.34,-25.49,256.89,2.49,1.75,80,2020-06-18 18:37:24:883
-0.4288,0.4353,14.9659,-0.3468,-0.4418,9.7906,-0.0318,0.9069,4.7346,-0.0542,0.1123,0.0885,40.56,-8.64,-26.56,256.89,2.49,1.75,91,2020-06-18 18:37:24:894
-0.4288,0.4353,14.9659,-0.331,-0.4181,9.7921,-0.0318,0.9069,4.7346,0.1716,-0.1726,-0.025,40.56,-8.64,-26.56,256.89,2.49,1.75,100,2020-06-18 18:37:24:903
