ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1916,1.6043,10.7714,-0.2118,1.3478,9.7113,0.3291,0.1722,0.8522,0.0593,-0.3596,-0.0244,37.33,-13.07,-23.8,255.39,-8.0,1.87,9,2020-06-18 18:38:57:009
-0.3354,1.3815,9.5521,-0.2118,1.3478,9.7113,-0.2753,0.0535,0.2239,0.0593,-0.3596,-0.0244,37.33,-13.07,-23.8,255.39,-8.0,1.87,19,2020-06-18 18:38:57:019
-0.3354,1.3815,9.5521,-0.1235,1.3629,9.7107,-0.2753,0.0535,0.2239,0.0593,-0.3596,-0.0244,37.33,-13.04,-21.95,255.13,-7.99,0.73,30,2020-06-18 18:38:57:030
-0.3354,1.3815,9.5521,-0.1235,1.3629,9.7107,-0.2753,0.0535,0.2239,-0.0489,-0.2403,-0.0782,37.33,-13.04,-21.95,255.13,-7.99,0.73,39,2020-06-18 18:38:57:039
-0.0287,1.3455,9.3749,-0.1235,1.3629,9.7107,-0.0451,-0.0245,-0.568,-0.0489,-0.2403,-0.0782,37.33,-13.04,-21.95,255.13,-7.99,0.73,50,2020-06-18 18:38:57:050
-0.0287,1.3455,9.3749,-0.0434,1.3482,9.7134,-0.0451,-0.0245,-0.568,-0.0489,-0.2403,-0.0782,37.33,-13.04,-21.95,255.13,-7.99,0.73,59,2020-06-18 18:38:57:059
0.4,1.506,10.3977,-0.0434,1.3482,9.7134,-0.0451,-0.0245,-0.568,-0.0489,-0.2403,-0.0782,39.17,-12.75,-24.23,255.13,-7.99,0.73,70,2020-06-18 18:38:57:070
0.4,1.506,10.3977,-0.0434,1.3482,9.7134,0.4401,0.1399,0.6584,0.0768,-0.2254,-0.3365,39.17,-12.75,-24.23,255.13,-7.99,0.73,79,2020-06-18 18:38:57:079
0.4,1.506,10.3977,0.0202,1.3787,9.7092,0.4401,0.1399,0.6584,0.0768,-0.2254,-0.3365,39.17,-12.75,-24.23,255.13,-7.99,0.73,90,2020-06-18 18:38:57:090
-0.4312,1.4821,9.5138,0.0202,1.3787,9.7092,0.4401,0.1399,0.6584,0.0768,-0.2254,-0.3365,39.17,-12.75,-24.23,255.13,-7.99,0.73,99,2020-06-18 18:38:57:099
-0.4312,1.4821,9.5138,0.0202,1.3787,9.7092,-0.4859,0.0769,-0.305,0.1168,-0.1875,-0.2929,40.72,-14.07,-25.26,255.84,-8.08,-0.12,110,2020-06-18 18:38:57:110
-0.4312,1.4821,9.5138,0.0383,1.4139,9.7041,-0.4859,0.0769,-0.305,0.1168,-0.1875,-0.2929,40.72,-14.07,-25.26,255.84,-8.08,-0.12,119,2020-06-18 18:38:57:119
