ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.0348,0.6988,6.9602,-0.8486,1.8661,9.59,1.6883,-1.3053,-2.2119,-0.0984,0.2955,0.0027,41.78,-11.19,-21.08,261.35,-11.11,4.59,6,2020-06-18 18:48:17:907
-0.4959,0.6796,6.4212,-0.8486,1.8661,9.59,1.6883,-1.3053,-2.2119,0.4401,-0.2387,-0.4063,39.32,-11.39,-22.07,261.35,-11.11,4.59,17,2020-06-18 18:48:17:918
-0.4959,0.6796,6.4212,-0.8225,1.9403,9.5775,1.6883,-1.3053,-2.2119,0.4401,-0.2387,-0.4063,39.32,-11.39,-22.07,261.35,-11.11,4.59,27,2020-06-18 18:48:17:928
-1.4301,-0.7481,2.8975,-0.8225,1.9403,9.5775,-0.4398,-1.6533,-4.9561,0.4401,-0.2387,-0.4063,39.32,-11.39,-22.07,261.35,-11.11,4.59,36,2020-06-18 18:48:17:937
-1.4301,-0.7481,2.8975,-0.812,2.041,9.5575,-0.4398,-1.6533,-4.9561,0.3623,-0.1497,-0.41,38.86,-11.26,-22.7,261.39,-11.41,4.91,46,2020-06-18 18:48:17:947
-1.4301,-0.7481,2.8975,-0.812,2.041,9.5575,-0.4398,-1.6533,-4.9561,0.3623,-0.1497,-0.41,38.86,-11.26,-22.7,261.39,-11.41,4.91,56,2020-06-18 18:48:17:957
-2.2517,0.0544,2.1477,-0.812,2.041,9.5575,-1.4362,-1.9252,-7.554,0.3623,-0.1497,-0.41,38.86,-11.26,-22.7,261.39,-11.41,4.91,66,2020-06-18 18:48:17:967
-2.2517,0.0544,2.1477,-0.7832,2.0002,9.5685,-1.4362,-1.9252,-7.554,0.3623,-0.1497,-0.41,40.25,-11.67,-21.89,261.39,-11.41,4.91,76,2020-06-18 18:48:17:977
-2.2517,0.0544,2.1477,-0.7832,2.0002,9.5685,-1.4362,-1.9252,-7.554,-0.5378,-0.1668,0.1609,40.25,-11.67,-21.89,261.39,-11.41,4.91,87,2020-06-18 18:48:17:988
0.1892,-1.1002,3.5443,-0.7832,2.0002,9.5685,0.1017,-2.3815,-6.1647,-0.5378,-0.1668,0.1609,40.25,-11.67,-21.89,261.39,-11.41,4.91,97,2020-06-18 18:48:17:998
