ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.4983,0.6293,7.3195,-0.439,1.6314,9.66,-0.5334,-0.8749,-2.3865,-0.2289,0.3382,0.734,39.8,-18.19,-23.84,251.11,-9.86,2.17,6,2020-06-18 19:13:11:858
-0.4983,0.6293,7.3195,-0.4603,1.5541,9.6718,-0.5334,-0.8749,-2.3865,-0.3178,0.123,0.8661,38.72,-19.54,-24.31,251.11,-9.86,2.17,15,2020-06-18 19:13:11:867
-0.4983,0.6293,7.3195,-0.4603,1.5541,9.6718,0.3105,-0.822,-2.5237,-0.3178,0.123,0.8661,38.72,-19.54,-24.31,251.11,-9.86,2.17,25,2020-06-18 19:13:11:877
0.0024,0.5958,7.1016,-0.4603,1.5541,9.6718,0.3105,-0.822,-2.5237,-0.3178,0.123,0.8661,38.72,-19.54,-24.31,251.11,-9.86,2.17,36,2020-06-18 19:13:11:888
0.0024,0.5958,7.1016,-0.4026,1.4482,9.6908,0.3105,-0.822,-2.5237,-0.3178,0.123,0.8661,38.72,-19.54,-24.31,251.11,-9.86,2.17,45,2020-06-18 19:13:11:897
-0.0096,0.3969,8.1652,-0.4026,1.4482,9.6908,0.5206,-0.8855,-1.7261,-0.4654,-0.1966,0.7777,39.34,-19.23,-23.84,248.43,-8.49,2.38,56,2020-06-18 19:13:11:908
-0.0096,0.3969,8.1652,-0.4026,1.4482,9.6908,0.5206,-0.8855,-1.7261,-0.4654,-0.1966,0.7777,39.34,-19.23,-23.84,248.43,-8.49,2.38,65,2020-06-18 19:13:11:917
-0.0096,0.3969,8.1652,-0.3404,1.3232,9.711,0.5206,-0.8855,-1.7261,-0.4654,-0.1966,0.7777,39.34,-19.23,-23.84,248.43,-8.49,2.38,75,2020-06-18 19:13:11:927
-1.1067,0.0137,8.031,-0.3404,1.3232,9.711,-0.5197,-1.1521,-1.6144,-0.4015,0.0143,0.7,37.49,-21.03,-23.86,248.43,-8.49,2.38,85,2020-06-18 19:13:11:937
-1.1067,0.0137,8.031,-0.3404,1.3232,9.711,-0.5197,-1.1521,-1.6144,-0.4015,0.0143,0.7,37.49,-21.03,-23.86,248.43,-8.49,2.38,95,2020-06-18 19:13:11:947
-1.1067,0.0137,8.031,-0.2987,1.1868,9.73,-0.5197,-1.1521,-1.6144,-0.5799,-0.1604,0.9982,37.49,-21.03,-23.86,248.43,-8.49,2.38,106,2020-06-18 19:13:11:958
-0.1677,-0.1636,8.5005,-0.2987,1.1868,9.73,-0.1757,-1.185,-1.2308,-0.5799,-0.1604,0.9982,38.11,-21.77,-24.46,243.22,-6.95,1.76,115,2020-06-18 19:13:11:967
-0.1677,-0.1636,8.5005,-0.2987,1.1868,9.73,-0.1757,-1.185,-1.2308,-0.5799,-0.1604,0.9982,38.11,-21.77,-24.46,243.22,-6.95,1.76,126,2020-06-18 19:13:11:978
-0.1677,-0.1636,8.5005,-0.2158,0.9955,9.7536,-0.1757,-1.185,-1.2308,-0.7423,-0.0698,1.0142,38.11,-21.77,-24.46,243.22,-6.95,1.76,135,2020-06-18 19:13:11:987
1.6074,-0.2834,9.0682,-0.2158,0.9955,9.7536,1.7511,-1.1956,-0.6011,-0.7423,-0.0698,1.0142,38.11,-21.77,-24.46,243.22,-6.95,1.76,145,2020-06-18 19:13:11:997
1.6074,-0.2834,9.0682,-0.2158,0.9955,9.7536,1.7511,-1.1956,-0.6011,-0.7423,-0.0698,1.0142,37.19,-22.08,-24.63,243.22,-6.95,1.76,156,2020-06-18 19:13:12:008
1.1594,-0.1971,9.3078,-0.1922,0.7667,9.7747,1.7511,-1.1956,-0.6011,-0.7423,-0.0698,1.0142,37.19,-22.08,-24.63,243.22,-6.95,1.76,165,2020-06-18 19:13:12:017
1.1594,-0.1971,9.3078,-0.1922,0.7667,9.7747,1.2445,-0.8224,-0.4174,-0.7935,0.1613,0.7926,37.19,-22.08,-24.63,243.22,-6.95,1.76,176,2020-06-18 19:13:12:028
1.1594,-0.1971,9.3078,-0.1922,0.7667,9.7747,1.2445,-0.8224,-0.4174,-0.7935,0.1613,0.7926,36.42,-23.44,-26.18,239.57,-4.48,1.13,186,2020-06-18 19:13:12:038
1.4948,-0.2355,8.9317,-0.2047,0.5174,9.7909,1.2445,-0.8224,-0.4174,-0.7935,0.1613,0.7926,36.42,-23.44,-26.18,239.57,-4.48,1.13,195,2020-06-18 19:13:12:047
1.4948,-0.2355,8.9317,-0.2047,0.5174,9.7909,1.9027,-0.7004,-0.577,-0.9389,0.0111,0.7293,36.42,-23.44,-26.18,239.57,-4.48,1.13,205,2020-06-18 19:13:12:057
1.4948,-0.2355,8.9317,-0.2047,0.5174,9.7909,1.9027,-0.7004,-0.577,-0.9389,0.0111,0.7293,35.19,-21.56,-27.16,239.57,-4.48,1.13,216,2020-06-18 19:13:12:068
2.0146,-0.4654,9.2239,-0.1531,0.2179,9.803,1.9027,-0.7004,-0.577,-0.9389,0.0111,0.7293,35.19,-21.56,-27.16,239.57,-4.48,1.13,226,2020-06-18 19:13:12:078
2.0146,-0.4654,9.2239,-0.1531,0.2179,9.803,2.0887,-0.683,-0.4195,-1.1285,-0.1412,0.521,35.19,-21.56,-27.16,239.57,-4.48,1.13,235,2020-06-18 19:13:12:087
2.0074,-0.8847,9.2335,-0.1531,0.2179,9.803,2.0887,-0.683,-0.4195,-1.1285,-0.1412,0.521,35.19,-21.56,-27.16,239.57,-4.48,1.13,245,2020-06-18 19:13:12:097
2.0074,-0.8847,9.2335,-0.1194,-0.1278,9.8051,2.0887,-0.683,-0.4195,-1.1285,-0.1412,0.521,33.65,-23.36,-28.26,236.32,-1.27,0.89,256,2020-06-18 19:13:12:108
2.0074,-0.8847,9.2335,-0.1194,-0.1278,9.8051,2.1825,-0.8343,0.1169,-1.2691,0.1027,0.4203,33.65,-23.36,-28.26,236.32,-1.27,0.89,265,2020-06-18 19:13:12:117
2.556,-1.3086,10.1869,-0.1194,-0.1278,9.8051,2.1825,-0.8343,0.1169,-1.2691,0.1027,0.4203,33.65,-23.36,-28.26,236.32,-1.27,0.89,276,2020-06-18 19:13:12:128
2.556,-1.3086,10.1869,-0.133,-0.5069,9.7926,2.1825,-0.8343,0.1169,-1.2691,0.1027,0.4203,34.73,-22.33,-29.33,236.32,-1.27,0.89,285,2020-06-18 19:13:12:137
2.556,-1.3086,10.1869,-0.133,-0.5069,9.7926,3.2107,-0.9312,0.6084,-1.2691,0.1027,0.4203,34.73,-22.33,-29.33,236.32,-1.27,0.89,296,2020-06-18 19:13:12:148
3.0806,-1.6296,10.6061,-0.133,-0.5069,9.7926,3.2107,-0.9312,0.6084,-1.2952,-0.0134,0.2195,34.73,-22.33,-29.33,236.32,-1.27,0.89,305,2020-06-18 19:13:12:157
3.0806,-1.6296,10.6061,-0.1027,-0.8869,9.7659,3.2107,-0.9312,0.6084,-1.2952,-0.0134,0.2195,33.49,-18.92,-26.93,238.0,2.96,0.78,315,2020-06-18 19:13:12:167
3.265,-1.7734,10.1151,-0.1027,-0.8869,9.7659,3.4112,-0.7548,0.6144,-1.2952,-0.0134,0.2195,33.49,-18.92,-26.93,238.0,2.96,0.78,326,2020-06-18 19:13:12:178
3.265,-1.7734,10.1151,-0.1027,-0.8869,9.7659,3.4112,-0.7548,0.6144,-1.2084,-0.1966,-0.0947,33.49,-18.92,-26.93,238.0,2.96,0.78,335,2020-06-18 19:13:12:187
3.265,-1.7734,10.1151,-0.0224,-1.2473,9.727,3.4112,-0.7548,0.6144,-1.2084,-0.1966,-0.0947,33.49,-18.92,-26.93,238.0,2.96,0.78,346,2020-06-18 19:13:12:198
2.9728,-2.0297,10.2851,-0.0224,-1.2473,9.727,3.1687,-0.5628,0.4605,-1.2084,-0.1966,-0.0947,34.73,-19.81,-28.28,238.0,2.96,0.78,355,2020-06-18 19:13:12:207
2.9728,-2.0297,10.2851,-0.0224,-1.2473,9.727,3.1687,-0.5628,0.4605,-1.2393,-0.0443,-0.3222,34.73,-19.81,-28.28,238.0,2.96,0.78,366,2020-06-18 19:13:12:218
2.9728,-2.0297,10.2851,0.0323,-1.6113,9.6733,3.1687,-0.5628,0.4605,-1.2393,-0.0443,-0.3222,34.73,-19.81,-28.28,238.0,2.96,0.78,375,2020-06-18 19:13:12:227
2.12,-2.3315,10.7475,0.0323,-1.6113,9.6733,2.2542,-0.6002,1.1641,-1.2393,-0.0443,-0.3222,35.5,-18.8,-30.44,236.03,9.46,-0.19,385,2020-06-18 19:13:12:237
2.12,-2.3315,10.7475,0.0323,-1.6113,9.6733,2.2542,-0.6002,1.1641,-1.0981,0.0175,-0.4356,35.5,-18.8,-30.44,236.03,9.46,-0.19,396,2020-06-18 19:13:12:248
2.12,-2.3315,10.7475,0.0651,-1.9434,9.6119,2.2542,-0.6002,1.1641,-1.0981,0.0175,-0.4356,35.5,-18.8,-30.44,236.03,9.46,-0.19,405,2020-06-18 19:13:12:257
1.8158,-2.6525,10.3402,0.0651,-1.9434,9.6119,1.678,-0.607,0.8552,-1.0981,0.0175,-0.4356,34.72,-16.01,-30.49,236.03,9.46,-0.19,416,2020-06-18 19:13:12:268
