ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.9127,-2.2117,15.2534,0.3487,-2.5421,9.465,0.1429,0.2813,5.5554,0.4092,0.0793,-0.0186,37.77,3.66,-29.25,264.73,14.95,-1.67,4,2020-06-18 19:14:18:301
0.091,-2.389,15.0234,0.3527,-2.4374,9.4924,0.1429,0.2813,5.5554,0.4092,0.0793,-0.0186,37.77,3.66,-29.25,264.73,14.95,-1.67,15,2020-06-18 19:14:18:312
0.091,-2.389,15.0234,0.3527,-2.4374,9.4924,0.1429,0.2813,5.5554,0.4092,0.0793,-0.0186,39.93,1.95,-27.94,263.53,14.39,-2.13,24,2020-06-18 19:14:18:321
0.5534,-2.1686,14.8964,0.3319,-2.2678,9.5351,-0.1953,0.1838,5.1031,0.6084,-0.0927,0.1956,39.93,1.95,-27.94,263.53,14.39,-2.13,35,2020-06-18 19:14:18:332
0.5534,-2.1686,14.8964,0.3319,-2.2678,9.5351,-0.1953,0.1838,5.1031,0.6084,-0.0927,0.1956,39.93,1.95,-27.94,263.53,14.39,-2.13,44,2020-06-18 19:14:18:341
0.5534,-2.1686,14.8964,0.3319,-2.2678,9.5351,0.5937,-0.0534,5.1191,0.6084,-0.0927,0.1956,39.93,1.95,-27.94,263.53,14.39,-2.13,55,2020-06-18 19:14:18:352
1.0372,-2.3938,14.6353,0.3319,-2.2678,9.5351,0.5937,-0.0534,5.1191,0.6084,-0.0927,0.1956,37.47,1.03,-27.83,263.53,14.39,-2.13,64,2020-06-18 19:14:18:361
1.0372,-2.3938,14.6353,0.3737,-2.0652,9.5794,0.5937,-0.0534,5.1191,0.7703,-0.1199,0.1561,37.47,1.03,-27.83,263.53,14.39,-2.13,75,2020-06-18 19:14:18:372
1.0372,-2.3938,14.6353,0.3737,-2.0652,9.5794,0.5937,-0.0534,5.1191,0.7703,-0.1199,0.1561,37.47,1.03,-27.83,263.53,14.39,-2.13,84,2020-06-18 19:14:18:381
0.5893,-2.595,13.7059,0.3438,-1.8452,9.6254,0.3568,-0.5645,3.8051,0.7703,-0.1199,0.1561,39.78,0.02,-28.54,262.0,12.16,-2.23,95,2020-06-18 19:14:18:392
0.5893,-2.595,13.7059,0.3438,-1.8452,9.6254,0.3568,-0.5645,3.8051,0.7575,0.425,0.2398,39.78,0.02,-28.54,262.0,12.16,-2.23,104,2020-06-18 19:14:18:401
0.5893,-2.595,13.7059,0.3438,-1.8452,9.6254,0.3568,-0.5645,3.8051,0.7575,0.425,0.2398,39.78,0.02,-28.54,262.0,12.16,-2.23,115,2020-06-18 19:14:18:412
0.6444,-2.7268,14.4365,0.3438,-1.8452,9.6254,0.3248,-0.9073,4.0917,0.7575,0.425,0.2398,39.31,0.31,-28.24,262.0,12.16,-2.23,124,2020-06-18 19:14:18:421
0.6444,-2.7268,14.4365,0.2142,-1.6173,9.67,0.3248,-0.9073,4.0917,1.0153,0.1682,0.2605,39.31,0.31,-28.24,262.0,12.16,-2.23,134,2020-06-18 19:14:18:431
0.4192,-2.7891,13.8329,0.2142,-1.6173,9.67,0.3248,-0.9073,4.0917,1.0153,0.1682,0.2605,39.31,0.31,-28.24,262.0,12.16,-2.23,145,2020-06-18 19:14:18:442
0.4192,-2.7891,13.8329,0.1863,-1.2993,9.7184,0.2352,-1.3057,3.5437,1.0153,0.1682,0.2605,39.16,-1.89,-27.6,260.76,9.49,-1.27,154,2020-06-18 19:14:18:451
0.4192,-2.7891,13.8329,0.1863,-1.2993,9.7184,0.2352,-1.3057,3.5437,1.2699,0.0149,0.3575,39.16,-1.89,-27.6,260.76,9.49,-1.27,165,2020-06-18 19:14:18:462
1.4684,-1.7446,11.9644,0.1863,-1.2993,9.7184,0.2352,-1.3057,3.5437,1.2699,0.0149,0.3575,39.16,-1.89,-27.6,260.76,9.49,-1.27,174,2020-06-18 19:14:18:471
1.4684,-1.7446,11.9644,0.1863,-1.2993,9.7184,1.6109,-0.3382,1.9227,1.2699,0.0149,0.3575,38.86,-2.93,-27.29,260.76,9.49,-1.27,185,2020-06-18 19:14:18:482
1.89,-0.9853,11.9189,0.1252,-0.9365,9.761,1.6109,-0.3382,1.9227,1.2891,0.5448,0.2968,38.86,-2.93,-27.29,260.76,9.49,-1.27,195,2020-06-18 19:14:18:492
1.89,-0.9853,11.9189,0.1252,-0.9365,9.761,1.6109,-0.3382,1.9227,1.2891,0.5448,0.2968,38.86,-2.93,-27.29,260.76,9.49,-1.27,204,2020-06-18 19:14:18:501
1.89,-0.9853,11.9189,0.1252,-0.9365,9.761,1.9208,-0.5785,2.0318,1.2891,0.5448,0.2968,37.47,-4.58,-27.77,258.49,5.48,-0.73,215,2020-06-18 19:14:18:512
1.7607,-1.7854,12.0985,-0.0277,-0.5566,9.7908,1.9208,-0.5785,2.0318,1.4105,0.3946,0.048,37.47,-4.58,-27.77,258.49,5.48,-0.73,225,2020-06-18 19:14:18:522
1.7607,-1.7854,12.0985,-0.0277,-0.5566,9.7908,1.9208,-0.5785,2.0318,1.4105,0.3946,0.048,37.47,-4.58,-27.77,258.49,5.48,-0.73,235,2020-06-18 19:14:18:532
1.7607,-1.7854,12.0985,-0.0277,-0.5566,9.7908,0.8953,-2.2052,2.26,1.4105,0.3946,0.048,37.78,-5.46,-27.9,258.49,5.48,-0.73,244,2020-06-18 19:14:18:541
-0.0886,-2.5519,12.7741,-0.0717,-0.0704,9.8061,0.8953,-2.2052,2.26,1.6524,-0.3654,-0.1538,37.78,-5.46,-27.9,258.49,5.48,-0.73,255,2020-06-18 19:14:18:552
-0.0886,-2.5519,12.7741,-0.0717,-0.0704,9.8061,0.8953,-2.2052,2.26,1.6524,-0.3654,-0.1538,37.78,-5.46,-27.9,258.49,5.48,-0.73,264,2020-06-18 19:14:18:561
-1.4109,-1.8476,10.9607,-0.0717,-0.0704,9.8061,-0.7474,-2.5635,2.1756,1.6524,-0.3654,-0.1538,40.55,-7.61,-26.88,258.64,0.41,0.42,274,2020-06-18 19:14:18:571
-1.4109,-1.8476,10.9607,0.0941,0.4455,9.7961,-0.7474,-2.5635,2.1756,1.9964,-0.7079,0.0581,40.55,-7.61,-26.88,258.64,0.41,0.42,285,2020-06-18 19:14:18:582
-1.4109,-1.8476,10.9607,0.0941,0.4455,9.7961,-0.7474,-2.5635,2.1756,1.9964,-0.7079,0.0581,40.55,-7.61,-26.88,258.64,0.41,0.42,294,2020-06-18 19:14:18:591
-0.8767,-1.2727,6.4452,0.0941,0.4455,9.7961,-1.5549,-2.1498,-2.5335,1.9964,-0.7079,0.0581,37.94,-9.42,-26.62,258.64,0.41,0.42,305,2020-06-18 19:14:18:602
-0.8767,-1.2727,6.4452,0.2385,0.9819,9.7545,-1.5549,-2.1498,-2.5335,1.9964,-0.7079,0.0581,37.94,-9.42,-26.62,258.64,0.41,0.42,314,2020-06-18 19:14:18:611
-0.8767,-1.2727,6.4452,0.2385,0.9819,9.7545,-1.5549,-2.1498,-2.5335,1.3908,0.2609,0.48,37.94,-9.42,-26.62,258.64,0.41,0.42,324,2020-06-18 19:14:18:621
1.9068,-0.9182,7.0968,0.2385,0.9819,9.7545,1.4605,-2.315,-3.7024,1.3908,0.2609,0.48,39.63,-10.28,-26.72,259.76,-5.75,-1.4,335,2020-06-18 19:14:18:632
1.9068,-0.9182,7.0968,0.1431,1.3304,9.7149,1.4605,-2.315,-3.7024,1.3908,0.2609,0.48,39.63,-10.28,-26.72,259.76,-5.75,-1.4,344,2020-06-18 19:14:18:641
2.4194,-0.0726,9.8396,0.1431,1.3304,9.7149,1.4605,-2.315,-3.7024,1.1773,0.148,0.1689,39.63,-10.28,-26.72,259.76,-5.75,-1.4,355,2020-06-18 19:14:18:652
2.4194,-0.0726,9.8396,0.1431,1.3304,9.7149,2.3221,-1.7082,-0.2645,1.1773,0.148,0.1689,37.02,-11.78,-25.68,259.76,-5.75,-1.4,364,2020-06-18 19:14:18:661
2.4194,-0.0726,9.8396,0.1348,1.6713,9.6622,2.3221,-1.7082,-0.2645,1.1773,0.148,0.1689,37.02,-11.78,-25.68,259.76,-5.75,-1.4,375,2020-06-18 19:14:18:672
1.5714,-0.3337,7.4417,0.1348,1.6713,9.6622,2.3221,-1.7082,-0.2645,1.4452,-0.2696,-0.2604,37.02,-11.78,-25.68,259.76,-5.75,-1.4,384,2020-06-18 19:14:18:681
1.5714,-0.3337,7.4417,0.1348,1.6713,9.6622,1.3696,-2.3746,-2.7091,1.4452,-0.2696,-0.2604,38.25,-13.98,-26.25,256.15,-9.81,-0.8,394,2020-06-18 19:14:18:691
1.5714,-0.3337,7.4417,0.2089,2.0652,9.5845,1.3696,-2.3746,-2.7091,1.4452,-0.2696,-0.2604,38.25,-13.98,-26.25,256.15,-9.81,-0.8,405,2020-06-18 19:14:18:702
1.9954,-0.3313,6.7566,0.2089,2.0652,9.5845,1.3696,-2.3746,-2.7091,1.4452,-0.2696,-0.2604,38.25,-13.98,-26.25,256.15,-9.81,-0.8,414,2020-06-18 19:14:18:711
1.9954,-0.3313,6.7566,0.2089,2.0652,9.5845,1.708,-2.7078,-2.9941,1.1975,0.0441,-0.4617,38.1,-14.55,-24.85,256.15,-9.81,-0.8,424,2020-06-18 19:14:18:721
1.9954,-0.3313,6.7566,0.1991,2.4029,9.5056,1.708,-2.7078,-2.9941,1.1975,0.0441,-0.4617,38.1,-14.55,-24.85,256.15,-9.81,-0.8,435,2020-06-18 19:14:18:732
1.8613,0.2987,6.4835,0.1991,2.4029,9.5056,1.708,-2.7078,-2.9941,1.1975,0.0441,-0.4617,38.1,-14.55,-24.85,256.15,-9.81,-0.8,444,2020-06-18 19:14:18:741
1.8613,0.2987,6.4835,0.1991,2.4029,9.5056,1.8842,-2.3251,-3.7201,1.1778,-0.1354,-0.5219,38.1,-14.55,-24.85,256.15,-9.81,-0.8,454,2020-06-18 19:14:18:751
3.1093,0.4904,4.5959,0.1936,2.735,9.4156,1.8842,-2.3251,-3.7201,1.1778,-0.1354,-0.5219,38.41,-13.81,-25.32,258.77,-14.18,-1.2,465,2020-06-18 19:14:18:762
