ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.963,1.0677,9.7246,-0.1005,1.2468,9.7265,-0.8683,-0.1465,0.1795,0.2835,0.1384,0.3016,38.09,-6.77,-27.26,264.76,-7.3,0.59,10,2020-06-18 19:14:59:250
-1.2528,1.1108,9.5521,-0.1005,1.2468,9.7265,-0.9781,-0.16,-0.2942,0.2835,0.1384,0.3016,38.09,-6.77,-27.26,264.76,-7.3,0.59,20,2020-06-18 19:14:59:260
-1.2528,1.1108,9.5521,-0.1816,1.3169,9.7161,-0.9781,-0.16,-0.2942,0.2537,0.173,0.3591,38.09,-6.77,-27.26,264.76,-7.3,0.59,29,2020-06-18 19:14:59:269
-1.2528,1.1108,9.5521,-0.1816,1.3169,9.7161,-0.9781,-0.16,-0.2942,0.2537,0.173,0.3591,38.86,-6.46,-26.78,264.76,-7.3,0.59,40,2020-06-18 19:14:59:280
-1.5595,0.9982,9.8468,-0.2624,1.3727,9.7066,-1.2458,-0.3918,-0.0322,0.2537,0.173,0.3591,38.86,-6.46,-26.78,264.76,-7.3,0.59,50,2020-06-18 19:14:59:290
-1.5595,0.9982,9.8468,-0.2624,1.3727,9.7066,-1.2458,-0.3918,-0.0322,0.2537,0.173,0.3591,38.86,-6.46,-26.78,264.76,-7.3,0.59,59,2020-06-18 19:14:59:299
-2.2541,0.773,9.6408,-0.2624,1.3727,9.7066,-1.2458,-0.3918,-0.0322,0.3458,0.237,0.5396,37.78,-5.46,-27.9,268.63,-8.05,1.55,69,2020-06-18 19:14:59:309
-2.2541,0.773,9.6408,-0.3965,1.4561,9.6898,-1.7881,-0.6372,-0.1322,0.3458,0.237,0.5396,37.78,-5.46,-27.9,268.63,-8.05,1.55,80,2020-06-18 19:14:59:320
-2.2541,0.773,9.6408,-0.3965,1.4561,9.6898,-1.7881,-0.6372,-0.1322,0.3458,0.237,0.5396,37.78,-5.46,-27.9,268.63,-8.05,1.55,89,2020-06-18 19:14:59:329
-2.2829,0.5023,8.7664,-0.3965,1.4561,9.6898,-1.7881,-0.6372,-0.1322,0.5019,0.3307,0.8368,37.78,-5.46,-27.9,268.63,-8.05,1.55,99,2020-06-18 19:14:59:339
-2.2829,0.5023,8.7664,-0.4678,1.6036,9.6633,-1.8106,-1.1052,-1.0363,0.5019,0.3307,0.8368,40.86,-8.3,-23.93,268.63,-8.05,1.55,109,2020-06-18 19:14:59:349
-2.1104,0.6509,7.9687,-0.4678,1.6036,9.6633,-1.8106,-1.1052,-1.0363,0.5019,0.3307,0.8368,40.86,-8.3,-23.93,268.63,-8.05,1.55,120,2020-06-18 19:14:59:360
-2.1104,0.6509,7.9687,-0.4678,1.6036,9.6633,-1.8106,-1.1052,-1.0363,0.4891,-0.0597,1.0387,40.86,-8.3,-23.93,268.63,-8.05,1.55,130,2020-06-18 19:14:59:370
-2.1104,0.6509,7.9687,-0.4389,1.7303,9.6428,-1.6221,-1.0325,-2.0055,0.4891,-0.0597,1.0387,38.4,-11.01,-25.35,260.57,-10.16,2.61,139,2020-06-18 19:14:59:379
-2.4649,0.9551,7.6813,-0.4389,1.7303,9.6428,-1.6221,-1.0325,-2.0055,0.4891,-0.0597,1.0387,38.4,-11.01,-25.35,260.57,-10.16,2.61,149,2020-06-18 19:14:59:389
-2.4649,0.9551,7.6813,-0.4389,1.7303,9.6428,-1.6221,-1.0325,-2.0055,0.4891,-0.0597,1.0387,38.4,-11.01,-25.35,260.57,-10.16,2.61,159,2020-06-18 19:14:59:399
-2.4649,0.9551,7.6813,-0.3665,1.9035,9.6132,-2.2314,-0.9706,-1.9601,0.5035,0.1065,1.4121,38.4,-11.01,-25.35,260.57,-10.16,2.61,169,2020-06-18 19:14:59:409
-2.199,0.9599,7.6405,-0.3665,1.9035,9.6132,-2.2314,-0.9706,-1.9601,0.5035,0.1065,1.4121,39.33,-12.62,-25.46,260.57,-10.16,2.61,180,2020-06-18 19:14:59:420
-2.199,0.9599,7.6405,-0.3665,1.9035,9.6132,-2.2314,-0.9706,-1.9601,0.5035,0.1065,1.4121,39.33,-12.62,-25.46,260.57,-10.16,2.61,189,2020-06-18 19:14:59:429
-2.199,0.9599,7.6405,-0.3625,2.0768,9.5774,-1.0167,-1.0187,-2.6534,0.5796,0.3765,1.8201,39.33,-12.62,-25.46,260.57,-10.16,2.61,199,2020-06-18 19:14:59:439
-0.218,1.0054,6.1673,-0.3625,2.0768,9.5774,-1.0167,-1.0187,-2.6534,0.5796,0.3765,1.8201,39.03,-16.44,-24.34,254.93,-12.23,2.17,210,2020-06-18 19:14:59:450
-0.218,1.0054,6.1673,-0.3625,2.0768,9.5774,-1.0167,-1.0187,-2.6534,0.5796,0.3765,1.8201,39.03,-16.44,-24.34,254.93,-12.23,2.17,219,2020-06-18 19:14:59:459
1.4397,0.3873,4.5049,-0.427,2.2346,9.5391,1.5801,-1.6581,-4.9933,0.3091,0.7254,1.6006,39.03,-16.44,-24.34,254.93,-12.23,2.17,229,2020-06-18 19:14:59:469
1.4397,0.3873,4.5049,-0.427,2.2346,9.5391,1.5801,-1.6581,-4.9933,0.3091,0.7254,1.6006,38.26,-16.75,-24.36,254.93,-12.23,2.17,240,2020-06-18 19:14:59:480
1.4397,0.3873,4.5049,-0.427,2.2346,9.5391,1.5801,-1.6581,-4.9933,0.3091,0.7254,1.6006,38.26,-16.75,-24.36,254.93,-12.23,2.17,249,2020-06-18 19:14:59:489
0.2252,0.064,6.0068,-0.475,2.228,9.5384,1.0157,-2.055,-3.8983,-0.3242,0.2391,1.2273,38.26,-16.75,-24.36,254.93,-12.23,2.17,260,2020-06-18 19:14:59:500
0.2252,0.064,6.0068,-0.475,2.228,9.5384,1.0157,-2.055,-3.8983,-0.3242,0.2391,1.2273,38.26,-16.75,-24.36,254.93,-12.23,2.17,269,2020-06-18 19:14:59:509
0.2252,0.064,6.0068,-0.475,2.228,9.5384,1.0157,-2.055,-3.8983,-0.3242,0.2391,1.2273,37.8,-19.38,-22.33,250.46,-13.13,2.85,280,2020-06-18 19:14:59:520
-0.0479,-0.2786,6.747,-0.4339,2.1237,9.5641,0.3457,-2.3759,-2.7912,-0.3242,0.2391,1.2273,37.8,-19.38,-22.33,250.46,-13.13,2.85,289,2020-06-18 19:14:59:529
-0.0479,-0.2786,6.747,-0.4339,2.1237,9.5641,0.3457,-2.3759,-2.7912,-0.4814,0.1443,1.3098,37.8,-19.38,-22.33,250.46,-13.13,2.85,300,2020-06-18 19:14:59:540
0.7402,-0.6092,6.3805,-0.4339,2.1237,9.5641,0.3457,-2.3759,-2.7912,-0.4814,0.1443,1.3098,38.88,-20.7,-22.59,250.46,-13.13,2.85,309,2020-06-18 19:14:59:549
0.7402,-0.6092,6.3805,-0.4154,1.9668,9.5984,1.1717,-2.6224,-3.177,-0.4814,0.1443,1.3098,38.88,-20.7,-22.59,250.46,-13.13,2.85,320,2020-06-18 19:14:59:560
0.7402,-0.6092,6.3805,-0.4154,1.9668,9.5984,1.1717,-2.6224,-3.177,-0.7573,0.5976,1.1282,38.88,-20.7,-22.59,250.46,-13.13,2.85,329,2020-06-18 19:14:59:569
0.8408,-1.0092,6.1961,-0.4154,1.9668,9.5984,1.1717,-2.6224,-3.177,-0.7573,0.5976,1.1282,37.95,-22.62,-22.44,244.32,-11.57,2.48,340,2020-06-18 19:14:59:580
0.8408,-1.0092,6.1961,-0.5531,1.7251,9.6379,1.421,-2.7757,-3.4137,-0.7573,0.5976,1.1282,37.95,-22.62,-22.44,244.32,-11.57,2.48,349,2020-06-18 19:14:59:589
0.8408,-1.0092,6.1961,-0.5531,1.7251,9.6379,1.421,-2.7757,-3.4137,-0.7573,0.5976,1.1282,37.95,-22.62,-22.44,244.32,-11.57,2.48,360,2020-06-18 19:14:59:600
1.1355,-1.1865,6.6776,-0.5531,1.7251,9.6379,1.421,-2.7757,-3.4137,-1.2063,0.8202,1.0115,38.26,-21.31,-23.53,244.32,-11.57,2.48,369,2020-06-18 19:14:59:609
1.1355,-1.1865,6.6776,-0.7225,1.3743,9.683,1.9969,-2.5448,-2.6912,-1.2063,0.8202,1.0115,38.26,-21.31,-23.53,244.32,-11.57,2.48,380,2020-06-18 19:14:59:620
1.799,-1.0523,6.9554,-0.7225,1.3743,9.683,1.9969,-2.5448,-2.6912,-1.2063,0.8202,1.0115,38.26,-21.31,-23.53,244.32,-11.57,2.48,389,2020-06-18 19:14:59:629
1.799,-1.0523,6.9554,-0.7225,1.3743,9.683,1.9969,-2.5448,-2.6912,-1.5147,0.6471,0.904,37.96,-23.37,-23.2,242.09,-8.06,4.27,399,2020-06-18 19:14:59:639
1.799,-1.0523,6.9554,-0.8579,0.9456,9.7232,2.8668,-1.9157,-2.5105,-1.5147,0.6471,0.904,37.96,-23.37,-23.2,242.09,-8.06,4.27,410,2020-06-18 19:14:59:650
2.108,-1.0284,7.3387,-0.8579,0.9456,9.7232,2.8668,-1.9157,-2.5105,-1.5147,0.6471,0.904,37.96,-23.37,-23.2,242.09,-8.06,4.27,419,2020-06-18 19:14:59:659
2.108,-1.0284,7.3387,-0.8579,0.9456,9.7232,2.8668,-1.9157,-2.5105,-1.9312,0.3525,0.6222,37.96,-23.37,-23.2,242.09,-8.06,4.27,430,2020-06-18 19:14:59:670
2.108,-1.0284,7.3387,-0.9509,0.4166,9.7515,3.0143,-1.8918,-1.6538,-1.9312,0.3525,0.6222,38.26,-22.33,-22.75,242.09,-8.06,4.27,439,2020-06-18 19:14:59:679
2.1392,-2.1111,8.6969,-0.9509,0.4166,9.7515,3.0143,-1.8918,-1.6538,-1.9312,0.3525,0.6222,38.26,-22.33,-22.75,242.09,-8.06,4.27,449,2020-06-18 19:14:59:689
2.1392,-2.1111,8.6969,-0.9509,0.4166,9.7515,3.0143,-1.8918,-1.6538,-1.9312,0.3525,0.6222,38.26,-22.33,-22.75,242.09,-8.06,4.27,460,2020-06-18 19:14:59:700
2.8578,-2.3219,10.1438,-0.9368,-0.0872,9.7614,3.3861,-2.1026,0.0712,-2.108,-0.1284,0.5577,37.03,-21.19,-24.49,238.41,0.51,5.48,469,2020-06-18 19:14:59:709
2.8578,-2.3219,10.1438,-0.9368,-0.0872,9.7614,3.3861,-2.1026,0.0712,-2.108,-0.1284,0.5577,37.03,-21.19,-24.49,238.41,0.51,5.48,480,2020-06-18 19:14:59:720
2.8578,-2.3219,10.1438,-0.8701,-0.6938,9.7433,3.3861,-2.1026,0.0712,-2.108,-0.1284,0.5577,37.03,-21.19,-24.49,238.41,0.51,5.48,489,2020-06-18 19:14:59:729
3.6675,-2.4681,11.8494,-0.8701,-0.6938,9.7433,4.4037,-1.6673,2.1206,-1.9525,-0.1401,0.3218,37.34,-21.78,-24.79,238.41,0.51,5.48,499,2020-06-18 19:14:59:739
3.6675,-2.4681,11.8494,-0.8701,-0.6938,9.7433,4.4037,-1.6673,2.1206,-1.9525,-0.1401,0.3218,37.34,-21.78,-24.79,238.41,0.51,5.48,510,2020-06-18 19:14:59:750
3.6675,-2.4681,11.8494,-0.798,-1.2508,9.6938,4.4037,-1.6673,2.1206,-1.9525,-0.1401,0.3218,37.34,-21.78,-24.79,238.41,0.51,5.48,519,2020-06-18 19:14:59:759
4.1945,-3.6083,11.1739,-0.798,-1.2508,9.6938,4.9064,-2.0417,1.7762,-1.9413,-0.0432,-0.2471,37.34,-21.78,-24.79,238.41,0.51,5.48,530,2020-06-18 19:14:59:770
4.1945,-3.6083,11.1739,-0.798,-1.2508,9.6938,4.9064,-2.0417,1.7762,-1.9413,-0.0432,-0.2471,37.96,-19.89,-26.8,236.43,7.33,4.71,539,2020-06-18 19:14:59:779
4.2184,-4.6623,12.1824,-0.7389,-1.859,9.6004,4.9064,-2.0417,1.7762,-1.9413,-0.0432,-0.2471,37.96,-19.89,-26.8,236.43,7.33,4.71,549,2020-06-18 19:14:59:789
4.2184,-4.6623,12.1824,-0.7389,-1.859,9.6004,4.9997,-2.7175,2.6057,-1.9413,-0.0432,-0.2471,37.96,-19.89,-26.8,236.43,7.33,4.71,560,2020-06-18 19:14:59:800
4.2184,-4.6623,12.1824,-0.7389,-1.859,9.6004,4.9997,-2.7175,2.6057,-2.198,0.018,-0.5507,37.96,-19.89,-26.8,236.43,7.33,4.71,569,2020-06-18 19:14:59:809
3.2052,-4.291,14.4509,-0.7006,-2.4817,9.4615,4.9997,-2.7175,2.6057,-2.198,0.018,-0.5507,37.49,-15.78,-27.64,236.43,7.33,4.71,580,2020-06-18 19:14:59:820
3.2052,-4.291,14.4509,-0.7006,-2.4817,9.4615,3.8675,-1.715,5.0589,-2.198,0.018,-0.5507,37.49,-15.78,-27.64,236.43,7.33,4.71,589,2020-06-18 19:14:59:829
3.2052,-4.291,14.4509,-0.7006,-2.4817,9.4615,3.8675,-1.715,5.0589,-1.6729,0.7046,-0.7589,37.49,-15.78,-27.64,236.43,7.33,4.71,599,2020-06-18 19:14:59:839
2.7572,-4.5138,13.6891,-0.7006,-2.4817,9.4615,3.8675,-1.715,5.0589,-1.6729,0.7046,-0.7589,39.79,-12.94,-27.3,242.01,14.66,4.24,610,2020-06-18 19:14:59:850
2.7572,-4.5138,13.6891,-0.8122,-2.96,9.3139,3.6301,-1.597,4.5176,-1.6729,0.7046,-0.7589,39.79,-12.94,-27.3,242.01,14.66,4.24,619,2020-06-18 19:14:59:859
2.7572,-4.5138,13.6891,-0.8122,-2.96,9.3139,3.6301,-1.597,4.5176,-1.2334,0.8617,-1.119,39.79,-12.94,-27.3,242.01,14.66,4.24,630,2020-06-18 19:14:59:870
1.9523,-4.3725,11.7656,-0.9226,-3.3405,9.1739,3.6301,-1.597,4.5176,-1.2334,0.8617,-1.119,38.25,-10.45,-26.91,242.01,14.66,4.24,639,2020-06-18 19:14:59:879
1.9523,-4.3725,11.7656,-0.9226,-3.3405,9.1739,2.9099,-1.0999,2.2817,-1.2334,0.8617,-1.119,38.25,-10.45,-26.91,242.01,14.66,4.24,649,2020-06-18 19:14:59:889
1.823,-4.4922,11.0206,-0.9226,-3.3405,9.1739,2.9099,-1.0999,2.2817,-1.2739,0.3078,-1.3885,38.25,-10.45,-26.91,242.01,14.66,4.24,660,2020-06-18 19:14:59:900
1.823,-4.4922,11.0206,-0.8533,-3.7229,9.0323,2.9099,-1.0999,2.2817,-1.2739,0.3078,-1.3885,39.02,-7.35,-27.39,244.71,19.92,5.74,669,2020-06-18 19:14:59:909
1.823,-4.4922,11.0206,-0.8533,-3.7229,9.0323,2.4521,-0.6109,2.2073,-1.2739,0.3078,-1.3885,39.02,-7.35,-27.39,244.71,19.92,5.74,680,2020-06-18 19:14:59:920
0.757,-4.2024,11.9308,-0.8533,-3.7229,9.0323,2.4521,-0.6109,2.2073,-1.2739,0.3078,-1.3885,39.02,-7.35,-27.39,244.71,19.92,5.74,689,2020-06-18 19:14:59:929
0.757,-4.2024,11.9308,-0.6774,-4.0888,8.8878,2.4521,-0.6109,2.2073,-1.2127,0.1065,-1.756,39.02,-7.35,-27.39,244.71,19.92,5.74,700,2020-06-18 19:14:59:940
0.757,-4.2024,11.9308,-0.6774,-4.0888,8.8878,0.9119,-0.1079,3.8052,-1.2127,0.1065,-1.756,40.86,-3.04,-26.93,244.71,19.92,5.74,710,2020-06-18 19:14:59:950
0.0168,-4.3246,13.2651,-0.6774,-4.0888,8.8878,0.9119,-0.1079,3.8052,-1.2127,0.1065,-1.756,40.86,-3.04,-26.93,244.71,19.92,5.74,719,2020-06-18 19:14:59:959
0.0168,-4.3246,13.2651,-0.4693,-4.349,8.777,0.9119,-0.1079,3.8052,-0.7812,0.0894,-1.7885,40.86,-3.04,-26.93,244.71,19.92,5.74,730,2020-06-18 19:14:59:970
0.6755,-4.9282,12.3572,-0.4693,-4.349,8.777,0.6949,-0.2317,4.0553,-0.7812,0.0894,-1.7885,41.31,0.06,-27.42,251.88,26.33,3.06,739,2020-06-18 19:14:59:979
0.6755,-4.9282,12.3572,-0.4693,-4.349,8.777,0.6949,-0.2317,4.0553,-0.7812,0.0894,-1.7885,41.31,0.06,-27.42,251.88,26.33,3.06,749,2020-06-18 19:14:59:989
0.6755,-4.9282,12.3572,-0.1569,-4.5258,8.6984,0.6949,-0.2317,4.0553,-0.623,-0.3436,-1.9163,41.31,0.06,-27.42,251.88,26.33,3.06,760,2020-06-18 19:15:00:000
1.1594,-5.036,13.0759,-0.1569,-4.5258,8.6984,1.0223,-0.3882,3.977,-0.623,-0.3436,-1.9163,40.85,2.56,-26.99,251.88,26.33,3.06,769,2020-06-18 19:15:00:009
1.1594,-5.036,13.0759,-0.1569,-4.5258,8.6984,1.0223,-0.3882,3.977,-0.623,-0.3436,-1.9163,40.85,2.56,-26.99,251.88,26.33,3.06,780,2020-06-18 19:15:00:020
1.1594,-5.036,13.0759,0.3087,-4.6438,8.6319,1.0223,-0.3882,3.977,-0.4617,-0.7388,-2.1219,40.85,2.56,-26.99,251.88,26.33,3.06,790,2020-06-18 19:15:00:030
1.2265,-5.254,16.1804,0.3087,-4.6438,8.6319,0.8581,-0.4815,6.4969,-0.4617,-0.7388,-2.1219,40.85,2.56,-26.99,251.88,26.33,3.06,799,2020-06-18 19:15:00:039
1.2265,-5.254,16.1804,0.3087,-4.6438,8.6319,0.8581,-0.4815,6.4969,-0.4617,-0.7388,-2.1219,37.76,7.24,-26.97,261.29,28.26,-2.05,810,2020-06-18 19:15:00:050
1.2265,-5.254,16.1804,0.9684,-4.551,8.6325,0.8581,-0.4815,6.4969,0.5429,-1.7897,-2.3776,37.76,7.24,-26.97,261.29,28.26,-2.05,819,2020-06-18 19:15:00:059
1.3415,-5.2995,16.8128,0.9684,-4.551,8.6325,0.1342,-0.7895,8.2828,0.5429,-1.7897,-2.3776,37.76,7.24,-26.97,261.29,28.26,-2.05,830,2020-06-18 19:15:00:070
1.3415,-5.2995,16.8128,0.9684,-4.551,8.6325,0.1342,-0.7895,8.2828,0.5429,-1.7897,-2.3776,34.84,9.65,-30.32,261.29,28.26,-2.05,840,2020-06-18 19:15:00:080
1.5475,-4.8204,11.8638,1.7733,-4.1972,8.6839,0.1342,-0.7895,8.2828,0.9663,-1.3535,-2.6103,34.84,9.65,-30.32,261.29,28.26,-2.05,849,2020-06-18 19:15:00:089
1.5475,-4.8204,11.8638,1.7733,-4.1972,8.6839,-0.3118,-0.6183,3.1351,0.9663,-1.3535,-2.6103,34.84,9.65,-30.32,261.29,28.26,-2.05,859,2020-06-18 19:15:00:099
1.5475,-4.8204,11.8638,1.7733,-4.1972,8.6839,-0.3118,-0.6183,3.1351,0.9663,-1.3535,-2.6103,32.84,10.76,-33.17,268.42,25.34,-11.54,870,2020-06-18 19:15:00:110
0.1437,-4.854,11.5332,2.1166,-3.8583,8.7638,-0.3118,-0.6183,3.1351,0.5083,0.3728,-2.3813,32.84,10.76,-33.17,268.42,25.34,-11.54,879,2020-06-18 19:15:00:119
0.1437,-4.854,11.5332,2.1166,-3.8583,8.7638,-2.1081,-0.9094,2.7018,0.5083,0.3728,-2.3813,32.84,10.76,-33.17,268.42,25.34,-11.54,890,2020-06-18 19:15:00:130
