ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.2025,2.1384,10.8074,-0.3183,2.0765,9.579,-0.6704,0.0479,0.8831,0.3346,0.0042,-0.1847,39.63,-9.51,-24.56,263.52,-11.72,1.88,7,2020-06-18 19:17:15:971
-1.2025,2.1384,10.8074,-0.3183,2.0765,9.579,-0.6704,0.0479,0.8831,0.3346,0.0042,-0.1847,38.86,-8.47,-23.51,263.52,-11.72,1.88,16,2020-06-18 19:17:15:980
-1.684,2.1169,10.8337,-0.3411,2.1863,9.5538,-1.17,-0.1509,1.1427,0.3346,0.0042,-0.1847,38.86,-8.47,-23.51,263.52,-11.72,1.88,27,2020-06-18 19:17:15:991
-1.684,2.1169,10.8337,-0.3411,2.1863,9.5538,-1.17,-0.1509,1.1427,0.5376,-0.0192,-0.0281,38.86,-8.47,-23.51,263.52,-11.72,1.88,36,2020-06-18 19:17:16:000
-1.684,2.1169,10.8337,-0.342,2.3204,9.522,-1.17,-0.1509,1.1427,0.5376,-0.0192,-0.0281,38.86,-8.47,-23.51,263.52,-11.72,1.88,46,2020-06-18 19:17:16:010
-1.6265,2.16,9.4994,-0.342,2.3204,9.522,-1.282,-0.2952,0.2087,0.5376,-0.0192,-0.0281,38.71,-9.35,-22.88,265.54,-13.69,2.06,57,2020-06-18 19:17:16:021
-1.6265,2.16,9.4994,-0.342,2.3204,9.522,-1.282,-0.2952,0.2087,0.6702,0.0287,0.1263,38.71,-9.35,-22.88,265.54,-13.69,2.06,67,2020-06-18 19:17:16:031
-1.6265,2.16,9.4994,-0.3548,2.504,9.4749,-1.282,-0.2952,0.2087,0.6702,0.0287,0.1263,38.71,-9.35,-22.88,265.54,-13.69,2.06,76,2020-06-18 19:17:16:040
-1.6026,2.1289,8.6754,-0.3548,2.504,9.4749,-1.1856,-0.4809,-0.998,0.6702,0.0287,0.1263,39.32,-8.66,-26.59,265.54,-13.69,2.06,86,2020-06-18 19:17:16:050
-1.6026,2.1289,8.6754,-0.3548,2.504,9.4749,-1.1856,-0.4809,-0.998,0.4987,0.156,0.2201,39.32,-8.66,-26.59,265.54,-13.69,2.06,97,2020-06-18 19:17:16:061
-2.4913,2.2534,9.4587,-0.389,2.6512,9.4335,-1.1856,-0.4809,-0.998,0.4987,0.156,0.2201,39.32,-8.66,-26.59,265.54,-13.69,2.06,106,2020-06-18 19:17:16:070
-2.4913,2.2534,9.4587,-0.389,2.6512,9.4335,-2.1038,-0.5314,-0.1595,0.4987,0.156,0.2201,39.63,-8.49,-25.35,269.26,-15.68,2.36,116,2020-06-18 19:17:16:080
-2.4913,2.2534,9.4587,-0.389,2.6512,9.4335,-2.1038,-0.5314,-0.1595,0.6755,0.0133,0.3878,39.63,-8.49,-25.35,269.26,-15.68,2.36,127,2020-06-18 19:17:16:091
-3.3058,2.1768,9.1162,-0.3783,2.8344,9.3805,-2.1038,-0.5314,-0.1595,0.6755,0.0133,0.3878,39.63,-8.49,-25.35,269.26,-15.68,2.36,136,2020-06-18 19:17:16:100
-3.3058,2.1768,9.1162,-0.3783,2.8344,9.3805,-3.0484,-0.8249,-0.4917,0.6755,0.0133,0.3878,39.63,-8.49,-25.35,269.26,-15.68,2.36,147,2020-06-18 19:17:16:111
-3.3058,2.1768,9.1162,-0.3783,2.8344,9.3805,-3.0484,-0.8249,-0.4917,0.8875,-0.3191,0.7516,39.17,-9.21,-23.8,269.26,-15.68,2.36,156,2020-06-18 19:17:16:120
-3.1261,2.1432,7.1016,-0.2865,3.0342,9.321,-3.0484,-0.8249,-0.4917,0.8875,-0.3191,0.7516,39.17,-9.21,-23.8,269.26,-15.68,2.36,166,2020-06-18 19:17:16:130
-3.1261,2.1432,7.1016,-0.2865,3.0342,9.321,-2.8372,-0.9951,-2.7613,0.8875,-0.3191,0.7516,39.17,-9.21,-23.8,269.26,-15.68,2.36,177,2020-06-18 19:17:16:141
-3.1261,2.1432,7.1016,-0.2865,3.0342,9.321,-2.8372,-0.9951,-2.7613,0.8875,-0.3191,0.7516,39.17,-9.21,-23.8,269.26,-15.68,2.36,186,2020-06-18 19:17:16:150
