ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.8001,-0.8463,4.2677,-0.8535,1.3442,9.6765,1.3966,-1.7585,-3.2661,-0.1043,-0.8256,-0.2875,41.79,-16.8,-21.48,252.43,-9.93,3.97,5,2020-06-18 19:21:13:931
0.8001,-0.8463,4.2677,-0.8535,1.3442,9.6765,1.3966,-1.7585,-3.2661,-0.1043,-0.8256,-0.2875,41.79,-16.8,-21.48,252.43,-9.93,3.97,16,2020-06-18 19:21:13:942
0.6612,-1.3614,1.6662,-0.6156,1.288,9.7022,1.5761,-2.5451,-7.1051,-0.1043,-0.8256,-0.2875,41.64,-14.91,-23.21,254.12,-7.55,3.63,25,2020-06-18 19:21:13:951
0.6612,-1.3614,1.6662,-0.6156,1.288,9.7022,1.5761,-2.5451,-7.1051,-0.4483,-0.6509,-0.515,41.64,-14.91,-23.21,254.12,-7.55,3.63,36,2020-06-18 19:21:13:962
0.6612,-1.3614,1.6662,-0.4786,1.1354,9.7289,1.5761,-2.5451,-7.1051,-0.4483,-0.6509,-0.515,41.64,-14.91,-23.21,254.12,-7.55,3.63,47,2020-06-18 19:21:13:973
-0.5438,-1.2488,2.4136,-0.4786,1.1354,9.7289,0.3502,-2.4003,-7.3411,-0.4483,-0.6509,-0.515,41.95,-13.9,-24.61,254.12,-7.55,3.63,55,2020-06-18 19:21:13:981
-0.5438,-1.2488,2.4136,-0.4786,1.1354,9.7289,0.3502,-2.4003,-7.3411,-1.2143,-0.6445,-0.32,41.95,-13.9,-24.61,254.12,-7.55,3.63,66,2020-06-18 19:21:13:992
-0.5438,-1.2488,2.4136,-0.308,0.7809,9.7707,0.3502,-2.4003,-7.3411,-1.2143,-0.6445,-0.32,41.95,-13.9,-24.61,254.12,-7.55,3.63,75,2020-06-18 19:21:14:001
-0.1461,-1.8716,3.5347,-0.308,0.7809,9.7707,-0.4709,-2.0953,-5.8707,-1.2143,-0.6445,-0.32,41.95,-13.9,-24.61,254.12,-7.55,3.63,85,2020-06-18 19:21:14:011
-0.1461,-1.8716,3.5347,-0.308,0.7809,9.7707,-0.4709,-2.0953,-5.8707,-1.9173,-0.97,0.1492,39.33,-12.92,-25.46,254.11,-4.57,1.81,96,2020-06-18 19:21:14:022
2.1152,-1.6249,5.1205,-0.0411,0.2243,9.804,-0.4709,-2.0953,-5.8707,-1.9173,-0.97,0.1492,39.33,-12.92,-25.46,254.11,-4.57,1.81,105,2020-06-18 19:21:14:031
2.1152,-1.6249,5.1205,-0.0411,0.2243,9.804,2.0263,-1.7554,-4.2694,-1.9173,-0.97,0.1492,39.33,-12.92,-25.46,254.11,-4.57,1.81,116,2020-06-18 19:21:14:042
2.1152,-1.6249,5.1205,-0.0411,0.2243,9.804,2.0263,-1.7554,-4.2694,-2.5299,-0.2413,1.0E-4,39.64,-10.31,-29.04,254.11,-4.57,1.81,125,2020-06-18 19:21:14:051
3.2483,-2.1327,8.7089,0.0842,-0.514,9.7928,2.0263,-1.7554,-4.2694,-2.5299,-0.2413,1.0E-4,39.64,-10.31,-29.04,254.11,-4.57,1.81,135,2020-06-18 19:21:14:061
3.2483,-2.1327,8.7089,0.0842,-0.514,9.7928,2.9574,-1.6539,0.2228,-2.5299,-0.2413,1.0E-4,39.64,-10.31,-29.04,254.11,-4.57,1.81,146,2020-06-18 19:21:14:072
1.7559,-2.6405,12.9729,0.0842,-0.514,9.7928,2.9574,-1.6539,0.2228,-2.5299,-0.2413,1.0E-4,39.02,-8.68,-27.68,255.1,3.0,-0.49,155,2020-06-18 19:21:14:081
1.7559,-2.6405,12.9729,0.3149,-1.2713,9.7188,2.9574,-1.6539,0.2228,-2.4947,-0.9274,-0.3738,39.02,-8.68,-27.68,255.1,3.0,-0.49,166,2020-06-18 19:21:14:092
1.7559,-2.6405,12.9729,0.3149,-1.2713,9.7188,1.4956,-1.4212,4.0849,-2.4947,-0.9274,-0.3738,39.02,-8.68,-27.68,255.1,3.0,-0.49,175,2020-06-18 19:21:14:101
2.4027,-3.2969,13.4017,0.3149,-1.2713,9.7188,1.4956,-1.4212,4.0849,-2.4947,-0.9274,-0.3738,37.32,-5.06,-30.55,255.1,3.0,-0.49,185,2020-06-18 19:21:14:111
2.4027,-3.2969,13.4017,0.5842,-1.965,9.59,1.4956,-1.4212,4.0849,-2.4042,-0.6509,-0.4622,37.32,-5.06,-30.55,255.1,3.0,-0.49,196,2020-06-18 19:21:14:122
2.4027,-3.2969,13.4017,0.5842,-1.965,9.59,1.7115,-1.632,4.9588,-2.4042,-0.6509,-0.4622,37.32,-5.06,-30.55,255.1,3.0,-0.49,205,2020-06-18 19:21:14:131
1.1283,-3.7377,16.0511,0.5842,-1.965,9.59,1.7115,-1.632,4.9588,-2.4042,-0.6509,-0.4622,37.32,-2.67,-28.41,258.18,11.56,-3.49,216,2020-06-18 19:21:14:142
1.1283,-3.7377,16.0511,0.6804,-2.6418,9.4196,1.7115,-1.632,4.9588,-2.4074,-0.1013,-0.6204,37.32,-2.67,-28.41,258.18,11.56,-3.49,225,2020-06-18 19:21:14:151
1.1283,-3.7377,16.0511,0.6804,-2.6418,9.4196,-0.0362,-1.1082,8.422,-2.4074,-0.1013,-0.6204,37.32,-2.67,-28.41,258.18,11.56,-3.49,237,2020-06-18 19:21:14:163
0.3162,-3.6251,18.9783,0.6804,-2.6418,9.4196,-0.0362,-1.1082,8.422,-2.4074,-0.1013,-0.6204,37.32,-2.67,-28.41,258.18,11.56,-3.49,245,2020-06-18 19:21:14:171
0.3162,-3.6251,18.9783,0.8176,-3.2106,9.2301,-0.0362,-1.1082,8.422,-2.026,-0.4347,-0.515,36.08,1.71,-29.73,258.18,11.56,-3.49,256,2020-06-18 19:21:14:182
0.8648,-3.776,20.7558,0.8176,-3.2106,9.2301,-0.4096,-0.548,11.0388,-2.026,-0.4347,-0.515,36.08,1.71,-29.73,258.18,11.56,-3.49,265,2020-06-18 19:21:14:191
0.8648,-3.776,20.7558,0.8176,-3.2106,9.2301,-0.4096,-0.548,11.0388,-2.026,-0.4347,-0.515,36.08,1.71,-29.73,258.18,11.56,-3.49,276,2020-06-18 19:21:14:202
0.8648,-3.776,20.7558,0.9271,-3.607,9.072,-0.4096,-0.548,11.0388,-1.4262,-0.162,-0.4319,36.08,3.47,-30.84,260.82,19.11,-5.06,285,2020-06-18 19:21:14:211
1.2624,-3.9006,22.3895,0.9271,-3.607,9.072,0.2815,-0.3195,12.9596,-1.4262,-0.162,-0.4319,36.08,3.47,-30.84,260.82,19.11,-5.06,296,2020-06-18 19:21:14:222
1.2624,-3.9006,22.3895,0.9271,-3.607,9.072,0.2815,-0.3195,12.9596,-1.4262,-0.162,-0.4319,36.08,3.47,-30.84,260.82,19.11,-5.06,305,2020-06-18 19:21:14:231
1.2624,-3.9006,22.3895,0.943,-3.7646,9.0061,0.2815,-0.3195,12.9596,-0.3557,0.1123,-0.4452,36.08,3.47,-30.84,260.82,19.11,-5.06,315,2020-06-18 19:21:14:241
1.7223,-4.4803,22.0709,0.943,-3.7646,9.0061,0.5865,-0.6219,13.471,-0.3557,0.1123,-0.4452,38.08,4.98,-30.34,260.82,19.11,-5.06,326,2020-06-18 19:21:14:252
1.7223,-4.4803,22.0709,0.943,-3.7646,9.0061,0.5865,-0.6219,13.471,-0.3557,0.1123,-0.4452,38.08,4.98,-30.34,260.82,19.11,-5.06,335,2020-06-18 19:21:14:261
1.7223,-4.4803,22.0709,0.9818,-3.6816,9.0362,0.5865,-0.6219,13.471,0.4779,-0.0251,-0.5752,38.08,4.98,-30.34,260.82,19.11,-5.06,346,2020-06-18 19:21:14:272
0.4072,-4.5425,20.5617,0.9818,-3.6816,9.0362,-0.0754,-1.0618,11.8587,0.4779,-0.0251,-0.5752,36.54,5.67,-31.78,263.08,22.05,-6.2,355,2020-06-18 19:21:14:281
0.4072,-4.5425,20.5617,0.9818,-3.6816,9.0362,-0.0754,-1.0618,11.8587,0.4779,-0.0251,-0.5752,36.54,5.67,-31.78,263.08,22.05,-6.2,365,2020-06-18 19:21:14:291
0.4072,-4.5425,20.5617,1.0512,-3.3887,9.1423,-0.0754,-1.0618,11.8587,0.4779,-0.0251,-0.5752,36.54,5.67,-31.78,263.08,22.05,-6.2,376,2020-06-18 19:21:14:302
-0.1222,-4.6575,17.9531,1.0512,-3.3887,9.1423,-1.1996,-1.2429,9.3236,1.3259,-0.0357,-0.4159,35.62,4.05,-30.85,263.08,22.05,-6.2,385,2020-06-18 19:21:14:311
-0.1222,-4.6575,17.9531,1.0512,-3.3887,9.1423,-1.1996,-1.2429,9.3236,1.3259,-0.0357,-0.4159,35.62,4.05,-30.85,263.08,22.05,-6.2,396,2020-06-18 19:21:14:322
1.0875,-4.4922,16.0966,1.0337,-2.9614,9.2915,-1.1996,-1.2429,9.3236,1.3259,-0.0357,-0.4159,35.62,4.05,-30.85,263.08,22.05,-6.2,406,2020-06-18 19:21:14:332
1.0875,-4.4922,16.0966,1.0337,-2.9614,9.2915,-0.2117,-1.6542,6.9777,1.6683,0.3446,-0.1283,37.01,2.14,-31.73,260.89,17.58,-6.35,416,2020-06-18 19:21:14:342
1.0875,-4.4922,16.0966,1.0337,-2.9614,9.2915,-0.2117,-1.6542,6.9777,1.6683,0.3446,-0.1283,37.01,2.14,-31.73,260.89,17.58,-6.35,426,2020-06-18 19:21:14:352
1.8948,-3.903,14.9947,0.9437,-2.4823,9.4402,-0.2117,-1.6542,6.9777,1.6683,0.3446,-0.1283,37.01,2.14,-31.73,260.89,17.58,-6.35,435,2020-06-18 19:21:14:361
1.8948,-3.903,14.9947,0.9437,-2.4823,9.4402,0.965,-1.4838,5.4766,1.7312,0.4356,-0.2044,37.01,2.14,-31.73,260.89,17.58,-6.35,446,2020-06-18 19:21:14:372
1.8948,-3.903,14.9947,0.9437,-2.4823,9.4402,0.965,-1.4838,5.4766,1.7312,0.4356,-0.2044,35.16,2.55,-31.78,260.89,17.58,-6.35,456,2020-06-18 19:21:14:382
1.6074,-3.7089,14.9252,0.8407,-1.9726,9.5694,0.965,-1.4838,5.4766,1.7312,0.4356,-0.2044,35.16,2.55,-31.78,260.89,17.58,-6.35,465,2020-06-18 19:21:14:391
1.6074,-3.7089,14.9252,0.8407,-1.9726,9.5694,0.7826,-1.8068,5.2088,1.7312,0.4356,-0.2044,35.16,2.55,-31.78,260.89,17.58,-6.35,476,2020-06-18 19:21:14:402
1.6074,-3.7089,14.9252,0.8407,-1.9726,9.5694,0.7826,-1.8068,5.2088,2.1173,0.3552,-0.2529,37.32,1.86,-31.1,264.8,11.6,-5.02,485,2020-06-18 19:21:14:411
1.8852,-3.6251,13.5933,0.7645,-1.3513,9.683,0.7826,-1.8068,5.2088,2.1173,0.3552,-0.2529,37.32,1.86,-31.1,264.8,11.6,-5.02,496,2020-06-18 19:21:14:422
1.8852,-3.6251,13.5933,0.7645,-1.3513,9.683,1.1366,-2.2888,3.2797,2.1173,0.3552,-0.2529,37.32,1.86,-31.1,264.8,11.6,-5.02,505,2020-06-18 19:21:14:431
1.8852,-3.6251,13.5933,0.7645,-1.3513,9.683,1.1366,-2.2888,3.2797,2.5845,0.2077,-0.3653,36.4,-2.14,-31.23,264.8,11.6,-5.02,515,2020-06-18 19:21:14:441
1.4541,-3.0023,9.9258,0.7196,-0.6156,9.7608,1.1366,-2.2888,3.2797,2.5845,0.2077,-0.3653,36.4,-2.14,-31.23,264.8,11.6,-5.02,525,2020-06-18 19:21:14:451
1.4541,-3.0023,9.9258,0.7196,-0.6156,9.7608,0.6743,-2.3514,-0.8997,2.5845,0.2077,-0.3653,36.4,-2.14,-31.23,264.8,11.6,-5.02,535,2020-06-18 19:21:14:461
1.4804,-1.8788,5.475,0.7196,-0.6156,9.7608,0.6743,-2.3514,-0.8997,2.5845,0.2077,-0.3653,36.4,-2.14,-31.23,264.8,11.6,-5.02,546,2020-06-18 19:21:14:472
1.4804,-1.8788,5.475,0.6485,0.1239,9.7844,0.6743,-2.3514,-0.8997,2.4945,0.2242,-0.3925,38.86,-3.41,-30.22,263.49,3.6,-4.22,555,2020-06-18 19:21:14:481
1.4804,-1.8788,5.475,0.6485,0.1239,9.7844,0.9065,-1.9122,-5.3758,2.4945,0.2242,-0.3925,38.86,-3.41,-30.22,263.49,3.6,-4.22,565,2020-06-18 19:21:14:491
1.4541,-1.0763,2.2603,0.6485,0.1239,9.7844,0.9065,-1.9122,-5.3758,2.4945,0.2242,-0.3925,38.86,-3.41,-30.22,263.49,3.6,-4.22,575,2020-06-18 19:21:14:501
1.4541,-1.0763,2.2603,0.6166,0.703,9.762,0.9065,-1.9122,-5.3758,1.7813,0.1363,-0.5629,36.4,-6.39,-29.63,263.49,3.6,-4.22,585,2020-06-18 19:21:14:511
1.4541,-1.0763,2.2603,0.6166,0.703,9.762,0.6385,-1.7102,-8.351,1.7813,0.1363,-0.5629,36.4,-6.39,-29.63,263.49,3.6,-4.22,596,2020-06-18 19:21:14:522
0.4671,-0.82,2.0327,0.6166,0.703,9.762,0.6385,-1.7102,-8.351,1.7813,0.1363,-0.5629,36.4,-6.39,-29.63,263.49,3.6,-4.22,605,2020-06-18 19:21:14:531
0.4671,-0.82,2.0327,0.4297,1.0515,9.7406,0.6385,-1.7102,-8.351,0.9781,0.7845,-0.4447,38.25,-6.36,-29.59,264.25,-4.11,-3.61,615,2020-06-18 19:21:14:541
0.0168,-0.2163,3.4413,0.4297,1.0515,9.7406,-0.4702,-1.5882,-6.8854,0.9781,0.7845,-0.4447,38.25,-6.36,-29.59,264.25,-4.11,-3.61,625,2020-06-18 19:21:14:551
0.0168,-0.2163,3.4413,0.4297,1.0515,9.7406,-0.4702,-1.5882,-6.8854,0.9781,0.7845,-0.4447,38.25,-6.36,-29.59,264.25,-4.11,-3.61,636,2020-06-18 19:21:14:562
0.0168,-0.2163,3.4413,0.2492,1.3046,9.7163,-0.4702,-1.5882,-6.8854,0.8433,0.3541,-0.2636,39.78,-3.82,-28.49,264.25,-4.11,-3.61,646,2020-06-18 19:21:14:572
0.7761,0.2748,2.5885,0.2492,1.3046,9.7163,0.2496,-1.2012,-6.5981,0.8433,0.3541,-0.2636,39.78,-3.82,-28.49,264.25,-4.11,-3.61,655,2020-06-18 19:21:14:581
