ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0838,1.003,9.8803,-0.7363,1.1868,9.7067,0.2414,0.1019,0.4668,0.8278,1.2458,0.5982,36.41,-16.01,-22.09,248.61,-5.39,2.45,9,2020-06-18 19:21:47:003
0.4,0.9048,9.4683,-0.7363,1.1868,9.7067,0.6862,-0.2923,-0.0616,0.8278,1.2458,0.5982,36.41,-16.01,-22.09,248.61,-5.39,2.45,19,2020-06-18 19:21:47:013
0.4,0.9048,9.4683,-0.7363,1.1868,9.7067,0.6862,-0.2923,-0.0616,0.8278,1.2458,0.5982,36.41,-16.01,-22.09,248.61,-5.39,2.45,28,2020-06-18 19:21:47:022
0.4,0.9048,9.4683,-0.9371,1.4586,9.6522,0.6862,-0.2923,-0.0616,0.8278,1.2458,0.5982,36.26,-20.71,-20.8,248.61,-5.39,2.45,39,2020-06-18 19:21:47:033
1.9332,0.8401,8.2274,-0.9371,1.4586,9.6522,2.5858,-0.6884,-0.8305,1.0004,0.14,0.5301,36.26,-20.71,-20.8,248.61,-5.39,2.45,48,2020-06-18 19:21:47:042
1.9332,0.8401,8.2274,-0.9371,1.4586,9.6522,2.5858,-0.6884,-0.8305,1.0004,0.14,0.5301,36.26,-20.71,-20.8,248.61,-5.39,2.45,59,2020-06-18 19:21:47:053
1.9332,0.8401,8.2274,-0.8598,1.7674,9.6077,2.5858,-0.6884,-0.8305,1.0004,0.14,0.5301,35.33,-20.53,-18.04,242.0,-8.55,5.55,68,2020-06-18 19:21:47:062
1.9595,1.1683,4.8738,-0.8598,1.7674,9.6077,2.8478,-0.7321,-4.4069,0.9024,-0.0848,0.1737,35.33,-20.53,-18.04,242.0,-8.55,5.55,78,2020-06-18 19:21:47:072
1.9595,1.1683,4.8738,-0.8598,1.7674,9.6077,2.8478,-0.7321,-4.4069,0.9024,-0.0848,0.1737,35.33,-20.53,-18.04,242.0,-8.55,5.55,89,2020-06-18 19:21:47:083
2.3021,1.2904,3.2161,-0.851,2.0058,9.5615,2.8478,-0.7321,-4.4069,0.9024,-0.0848,0.1737,38.26,-22.26,-18.41,242.0,-8.55,5.55,98,2020-06-18 19:21:47:092
2.3021,1.2904,3.2161,-0.851,2.0058,9.5615,3.1819,-0.7994,-6.4764,0.4955,0.3483,-0.0329,38.26,-22.26,-18.41,242.0,-8.55,5.55,109,2020-06-18 19:21:47:103
2.3021,1.2904,3.2161,-0.851,2.0058,9.5615,3.1819,-0.7994,-6.4764,0.4955,0.3483,-0.0329,38.26,-22.26,-18.41,242.0,-8.55,5.55,119,2020-06-18 19:21:47:113
2.7213,1.3048,3.1466,-0.9103,2.131,9.5289,3.1819,-0.7994,-6.4764,0.4955,0.3483,-0.0329,37.18,-20.92,-16.13,244.87,-11.8,5.09,129,2020-06-18 19:21:47:123
2.7213,1.3048,3.1466,-0.9103,2.131,9.5289,3.561,-0.7825,-6.5417,0.4955,0.3483,-0.0329,37.18,-20.92,-16.13,244.87,-11.8,5.09,138,2020-06-18 19:21:47:132
2.7213,1.3048,3.1466,-0.9103,2.131,9.5289,3.561,-0.7825,-6.5417,0.2819,-0.1476,-0.3371,37.18,-20.92,-16.13,244.87,-11.8,5.09,149,2020-06-18 19:21:47:143
2.9991,1.1204,1.4147,-0.8547,2.1983,9.5188,3.561,-0.7825,-6.5417,0.2819,-0.1476,-0.3371,37.18,-20.92,-16.13,244.87,-11.8,5.09,159,2020-06-18 19:21:47:153
2.9991,1.1204,1.4147,-0.8547,2.1983,9.5188,3.8284,-1.0824,-8.1099,0.2819,-0.1476,-0.3371,38.1,-21.66,-17.49,244.87,-11.8,5.09,168,2020-06-18 19:21:47:162
3.5812,0.6053,0.2217,-0.8547,2.1983,9.5188,3.8284,-1.0824,-8.1099,-0.0196,-0.6696,-0.6029,38.1,-21.66,-17.49,244.87,-11.8,5.09,179,2020-06-18 19:21:47:173
3.5812,0.6053,0.2217,-0.8547,2.1983,9.5188,3.8284,-1.0824,-8.1099,-0.0196,-0.6696,-0.6029,38.1,-21.66,-17.49,244.87,-11.8,5.09,188,2020-06-18 19:21:47:182
3.5812,0.6053,0.2217,-0.6537,2.1712,9.5409,4.2918,-1.6841,-10.1129,-0.0196,-0.6696,-0.6029,37.95,-21.97,-18.42,245.26,-12.79,3.92,199,2020-06-18 19:21:47:193
4.4101,-0.396,-1.5341,-0.6537,2.1712,9.5409,4.2918,-1.6841,-10.1129,-0.0196,-0.6696,-0.6029,37.95,-21.97,-18.42,245.26,-12.79,3.92,209,2020-06-18 19:21:47:203
4.4101,-0.396,-1.5341,-0.6537,2.1712,9.5409,4.2918,-1.6841,-10.1129,-0.8041,-0.5551,-0.8532,37.95,-21.97,-18.42,245.26,-12.79,3.92,218,2020-06-18 19:21:47:212
5.1551,-1.8692,-0.9449,-0.5009,1.9456,9.5987,5.3348,-2.9153,-10.9407,-0.8041,-0.5551,-0.8532,37.02,-18.62,-19.72,245.26,-12.79,3.92,228,2020-06-18 19:21:47:222
5.1551,-1.8692,-0.9449,-0.5009,1.9456,9.5987,5.3348,-2.9153,-10.9407,-0.8041,-0.5551,-0.8532,37.02,-18.62,-19.72,245.26,-12.79,3.92,239,2020-06-18 19:21:47:233
5.1551,-1.8692,-0.9449,-0.5009,1.9456,9.5987,5.3348,-2.9153,-10.9407,-1.577,-0.3958,-1.1573,37.02,-18.62,-19.72,245.26,-12.79,3.92,248,2020-06-18 19:21:47:242
5.0904,-3.0741,1.6854,-0.3973,1.481,9.686,5.4242,-4.0568,-8.9143,-1.577,-0.3958,-1.1573,37.02,-18.62,-19.72,245.26,-12.79,3.92,258,2020-06-18 19:21:47:252
5.0904,-3.0741,1.6854,-0.3973,1.481,9.686,5.4242,-4.0568,-8.9143,-1.577,-0.3958,-1.1573,38.25,-15.37,-20.97,252.89,-8.69,2.35,269,2020-06-18 19:21:47:263
5.0904,-3.0741,1.6854,-0.3973,1.481,9.686,5.4242,-4.0568,-8.9143,-1.9152,-0.5412,-1.3832,38.25,-15.37,-20.97,252.89,-8.69,2.35,278,2020-06-18 19:21:47:272
6.7145,-3.982,2.1166,-0.2483,0.8919,9.7628,6.4316,-4.5872,-7.0123,-1.9152,-0.5412,-1.3832,38.25,-15.37,-20.97,252.89,-8.69,2.35,288,2020-06-18 19:21:47:282
6.7145,-3.982,2.1166,-0.2483,0.8919,9.7628,6.4316,-4.5872,-7.0123,-1.9152,-0.5412,-1.3832,36.56,-11.75,-23.84,252.89,-8.69,2.35,299,2020-06-18 19:21:47:293
6.9661,-4.8779,1.5967,-0.2483,0.8919,9.7628,6.4316,-4.5872,-7.0123,-2.3717,-0.2259,-1.8929,36.56,-11.75,-23.84,252.89,-8.69,2.35,308,2020-06-18 19:21:47:302
6.9661,-4.8779,1.5967,-0.1217,0.1953,9.804,7.2663,-4.9938,-7.985,-2.3717,-0.2259,-1.8929,36.56,-11.75,-23.84,252.89,-8.69,2.35,319,2020-06-18 19:21:47:313
6.9661,-4.8779,1.5967,-0.1217,0.1953,9.804,7.2663,-4.9938,-7.985,-2.3717,-0.2259,-1.8929,38.71,-7.31,-24.46,260.45,-1.14,0.71,328,2020-06-18 19:21:47:322
4.7143,-4.8851,5.0606,-0.1217,0.1953,9.804,7.2663,-4.9938,-7.985,-3.046,-0.3404,-2.3904,38.71,-7.31,-24.46,260.45,-1.14,0.71,339,2020-06-18 19:21:47:333
4.7143,-4.8851,5.0606,0.0239,-0.6999,9.7816,4.8124,-4.2386,-4.4791,-3.046,-0.3404,-2.3904,38.71,-7.31,-24.46,260.45,-1.14,0.71,349,2020-06-18 19:21:47:343
4.7143,-4.8851,5.0606,0.0239,-0.6999,9.7816,4.8124,-4.2386,-4.4791,-3.046,-0.3404,-2.3904,38.71,-7.31,-24.46,260.45,-1.14,0.71,358,2020-06-18 19:21:47:352
1.4924,-6.1763,8.4814,0.0239,-0.6999,9.7816,4.8124,-4.2386,-4.4791,-3.4769,-0.5577,-2.7259,35.77,0.13,-26.94,260.45,-1.14,0.71,369,2020-06-18 19:21:47:363
1.4924,-6.1763,8.4814,0.3101,-1.7056,9.6522,0.9592,-4.6746,-0.4993,-3.4769,-0.5577,-2.7259,35.77,0.13,-26.94,260.45,-1.14,0.71,378,2020-06-18 19:21:47:372
1.4924,-6.1763,8.4814,0.3101,-1.7056,9.6522,0.9592,-4.6746,-0.4993,-3.4769,-0.5577,-2.7259,35.77,0.13,-26.94,260.45,-1.14,0.71,388,2020-06-18 19:21:47:382
