ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.7518,5.374,35.0323,1.2996,-1.9718,9.5181,0.1668,8.1004,29.1697,-0.7587,-1.1161,0.1281,4.65,33.15,-9.93,349.98,6.6,-3.47,11,2020-06-14 00:38:38:500
2.5946,5.5212,39.0917,1.2996,-1.9718,9.5181,0.1668,8.1004,29.1697,-0.7587,-1.1161,0.1281,1.28,35.1,-10.55,349.98,6.6,-3.47,21,2020-06-14 00:38:38:510
2.5946,5.5212,39.0917,1.3159,-1.5142,9.5993,0.1668,8.1004,29.1697,2.2933,0.0962,0.4178,1.28,35.1,-10.55,349.98,6.6,-3.47,31,2020-06-14 00:38:38:520
2.5946,5.5212,39.0917,1.3159,-1.5142,9.5993,3.0891,4.5494,28.5842,2.2933,0.0962,0.4178,1.28,35.1,-10.55,349.98,6.6,-3.47,41,2020-06-14 00:38:38:530
4.4908,2.5656,38.8295,1.3159,-1.5142,9.5993,3.0891,4.5494,28.5842,2.2933,0.0962,0.4178,2.08,35.72,-14.09,353.38,8.88,-7.81,51,2020-06-14 00:38:38:540
4.4908,2.5656,38.8295,1.2331,-0.3928,9.7209,3.0891,4.5494,28.5842,2.2933,0.0962,0.4178,2.08,35.72,-14.09,353.38,8.88,-7.81,61,2020-06-14 00:38:38:550
4.4908,2.5656,38.8295,1.2331,-0.3928,9.7209,2.2334,-0.7989,23.0205,4.7977,0.1537,-0.0945,2.08,35.72,-14.09,353.38,8.88,-7.81,71,2020-06-14 00:38:38:560
3.3727,-1.6458,32.2491,1.2331,-0.3928,9.7209,2.2334,-0.7989,23.0205,4.7977,0.1537,-0.0945,2.08,35.72,-14.09,353.38,8.88,-7.81,81,2020-06-14 00:38:38:570
3.3727,-1.6458,32.2491,1.2531,1.2273,9.6485,2.2334,-0.7989,23.0205,4.7977,0.1537,-0.0945,2.34,28.57,-20.01,353.38,8.88,-7.81,91,2020-06-14 00:38:38:580
3.2231,-5.2096,25.4053,1.2531,1.2273,9.6485,1.6535,-6.0854,15.8067,6.483,-0.4972,-0.543,2.34,28.57,-20.01,353.38,8.88,-7.81,101,2020-06-14 00:38:38:590
3.2231,-5.2096,25.4053,1.2531,1.2273,9.6485,1.6535,-6.0854,15.8067,6.483,-0.4972,-0.543,2.34,28.57,-20.01,353.38,8.88,-7.81,112,2020-06-14 00:38:38:601
3.2231,-5.2096,25.4053,1.3744,2.9973,9.2357,1.6535,-6.0854,15.8067,6.483,-0.4972,-0.543,2.34,28.57,-20.01,353.38,8.88,-7.81,121,2020-06-14 00:38:38:610
3.8611,-8.6405,19.1265,1.3744,2.9973,9.2357,2.2279,-12.9744,8.1503,6.8612,-0.347,-1.1215,1.71,23.36,-27.29,348.77,-17.8,-8.46,131,2020-06-14 00:38:38:620
