ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.970402,-3.253239,16.204796,0.699015,-0.009952,4.680149,-1.242458,-1.389877,-0.069917,-29.4079,17.2731,-26.6936,5,2020-06-14 09:51:55:823
0.970402,-3.253239,16.204796,1.601176,0.005015,8.07833,-1.242458,-1.389877,-0.069917,-29.8805,18.046,-25.8775,15,2020-06-14 09:51:55:833
0.783553,-3.131068,19.036276,1.601176,0.005015,8.07833,-1.242458,-1.389877,-0.069917,-29.8805,18.046,-25.8775,25,2020-06-14 09:51:55:843
0.783553,-3.131068,19.036276,1.601176,0.005015,8.07833,-0.379808,-0.562372,-0.249902,-29.8805,18.046,-25.8775,35,2020-06-14 09:51:55:853
0.783553,-3.131068,19.036276,-0.206707,-0.577033,8.867333,-0.379808,-0.562372,-0.249902,-30.8304,18.4334,-24.6326,45,2020-06-14 09:51:55:863
0.160723,-3.377805,17.97986,-0.206707,-0.577033,8.867333,-0.379808,-0.562372,-0.249902,-30.8304,18.4334,-24.6326,55,2020-06-14 09:51:55:873
0.160723,-3.377805,17.97986,-0.206707,-0.577033,8.867333,1.495657,-0.030937,-0.040097,-30.8304,18.4334,-24.6326,65,2020-06-14 09:51:55:883
0.160723,-3.377805,17.97986,0.99375,-1.709115,3.488321,1.495657,-0.030937,-0.040097,-31.5496,18.1147,-23.8194,75,2020-06-14 09:51:55:893
0.956029,-4.628256,12.810372,0.99375,-1.709115,3.488321,1.495657,-0.030937,-0.040097,-31.5496,18.1147,-23.8194,85,2020-06-14 09:51:55:903
0.956029,-4.628256,12.810372,0.99375,-1.709115,3.488321,1.908877,-0.322747,-0.143402,-31.5496,18.1147,-23.8194,95,2020-06-14 09:51:55:913
0.956029,-4.628256,12.810372,0.99375,-1.709115,3.488321,1.908877,-0.322747,-0.143402,-31.5496,18.1147,-23.8194,107,2020-06-14 09:51:55:925
0.304453,-4.261744,10.920322,0.652029,-2.435113,0.398797,1.908877,-0.322747,-0.143402,-31.8385,17.1691,-23.8446,116,2020-06-14 09:51:55:934
0.304453,-4.261744,10.920322,0.652029,-2.435113,0.398797,1.908877,-0.322747,-0.143402,-31.8385,17.1691,-23.8446,125,2020-06-14 09:51:55:943
0.304453,-4.261744,10.920322,0.652029,-2.435113,0.398797,2.265652,-0.158737,-0.176417,-31.8385,17.1691,-23.8446,135,2020-06-14 09:51:55:953
-0.672911,-3.912001,10.824503,-0.826123,-2.698359,0.528272,2.265652,-0.158737,-0.176417,-31.9203,15.753,-24.3831,149,2020-06-14 09:51:55:967
-0.672911,-3.912001,10.824503,-0.826123,-2.698359,0.528272,2.265652,-0.158737,-0.176417,-31.9203,15.753,-24.3831,155,2020-06-14 09:51:55:973
-0.359101,-3.032853,7.657652,-0.826123,-2.698359,0.528272,2.546812,0.010598,-0.101867,-31.9203,15.753,-24.3831,172,2020-06-14 09:51:55:990
-0.359101,-3.032853,7.657652,-0.43486,-2.928385,-2.269405,2.546812,0.010598,-0.101867,-31.9203,15.753,-24.3831,175,2020-06-14 09:51:55:993
-0.359101,-3.032853,7.657652,-0.43486,-2.928385,-2.269405,2.546812,0.010598,-0.101867,-32.3652,14.4153,-24.8871,186,2020-06-14 09:51:56:004
-0.359101,-3.032853,7.657652,-0.43486,-2.928385,-2.269405,2.147437,0.175673,-0.116777,-32.3652,14.4153,-24.8871,195,2020-06-14 09:51:56:013
-1.197526,-2.199219,5.880191,-0.43486,-2.928385,-2.269405,2.147437,0.175673,-0.116777,-32.3652,14.4153,-24.8871,205,2020-06-14 09:51:56:023
-1.197526,-2.199219,5.880191,-1.306251,-2.643234,-4.807329,2.147437,0.175673,-0.116777,-32.736,12.0221,-26.0313,215,2020-06-14 09:51:56:033
-1.197526,-2.199219,5.880191,-1.306251,-2.643234,-4.807329,1.604287,0.161828,-0.037967,-32.736,12.0221,-26.0313,225,2020-06-14 09:51:56:043
-1.314905,-2.10819,5.602313,-1.306251,-2.643234,-4.807329,1.604287,0.161828,-0.037967,-32.736,12.0221,-26.0313,235,2020-06-14 09:51:56:053
-1.314905,-2.10819,5.602313,-1.198977,-3.015032,-4.75779,1.604287,0.161828,-0.037967,-32.736,12.0221,-26.0313,245,2020-06-14 09:51:56:063
-0.581882,-1.758447,5.54003,-1.198977,-3.015032,-4.75779,1.604287,0.161828,-0.037967,-32.736,12.0221,-26.0313,255,2020-06-14 09:51:56:073
