ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-10.564,-6.0212,14.6696,-2.8123,2.574,9.0353,-8.0471,-8.6925,4.0227,3.8933,1.8773,-1.1609,-12.71,20.08,-31.67,39.81,-15.22,17.29,9,2020-06-14 00:55:04:145
-10.564,-6.0212,14.6696,-2.8123,2.574,9.0353,-8.0471,-8.6925,4.0227,3.8933,1.8773,-1.1609,-12.71,20.08,-31.67,39.81,-15.22,17.29,19,2020-06-14 00:55:04:155
-11.2954,-6.2894,10.9108,-3.4612,3.4888,8.4864,-7.379,-10.2364,1.1717,3.7112,2.264,0.0684,-12.71,20.08,-31.67,39.81,-15.22,17.29,29,2020-06-14 00:55:04:165
-11.2954,-6.2894,10.9108,-3.4612,3.4888,8.4864,-7.379,-10.2364,1.1717,3.7112,2.264,0.0684,-12.71,20.08,-31.67,39.81,-15.22,17.29,39,2020-06-14 00:55:04:175
-10.1186,-6.372,7.1459,-3.4612,3.4888,8.4864,-7.379,-10.2364,1.1717,3.7112,2.264,0.0684,-11.6,14.47,-36.63,39.81,-15.22,17.29,49,2020-06-14 00:55:04:185
-10.1186,-6.372,7.1459,-3.9404,4.4023,7.8271,-5.5312,-11.0417,-2.0168,3.4182,2.2288,1.3361,-11.6,14.47,-36.63,39.81,-15.22,17.29,59,2020-06-14 00:55:04:195
-10.1186,-6.372,7.1459,-3.9404,4.4023,7.8271,-5.5312,-11.0417,-2.0168,3.4182,2.2288,1.3361,-11.6,14.47,-36.63,39.81,-15.22,17.29,69,2020-06-14 00:55:04:205
-8.7827,-6.0212,3.9724,-3.9404,4.4023,7.8271,-5.5312,-11.0417,-2.0168,3.4182,2.2288,1.3361,-11.6,14.47,-36.63,39.81,-15.22,17.29,79,2020-06-14 00:55:04:215
-8.7827,-6.0212,3.9724,-3.9404,4.4023,7.8271,-5.5312,-11.0417,-2.0168,3.4182,2.2288,1.3361,-3.26,11.81,-40.33,38.31,-26.67,26.72,89,2020-06-14 00:55:04:225
-8.7827,-6.0212,3.9724,-4.191,5.2621,7.1356,-4.0728,-11.3072,-4.3614,2.7503,2.0701,2.2501,-3.26,11.81,-40.33,38.31,-26.67,26.72,99,2020-06-14 00:55:04:235
-7.5269,-5.3341,2.47,-4.191,5.2621,7.1356,-4.0728,-11.3072,-4.3614,2.7503,2.0701,2.2501,-3.26,11.81,-40.33,38.31,-26.67,26.72,109,2020-06-14 00:55:04:245
-7.5269,-5.3341,2.47,-4.191,5.2621,7.1356,-4.0728,-11.3072,-4.3614,2.7503,2.0701,2.2501,-3.26,11.81,-40.33,38.31,-26.67,26.72,119,2020-06-14 00:55:04:255
-4.6072,-5.0552,1.1819,-4.1279,6.0538,6.5178,-1.9402,-11.4609,-4.8481,2.076,1.5524,3.2973,1.05,6.61,-41.24,38.31,-26.67,26.72,129,2020-06-14 00:55:04:265
-4.6072,-5.0552,1.1819,-4.1279,6.0538,6.5178,-1.9402,-11.4609,-4.8481,2.076,1.5524,3.2973,1.05,6.61,-41.24,38.31,-26.67,26.72,139,2020-06-14 00:55:04:275
-4.6072,-5.0552,1.1819,-3.7253,6.7985,6.0061,1.3019,-11.9282,-5.884,2.076,1.5524,3.2973,1.05,6.61,-41.24,38.31,-26.67,26.72,149,2020-06-14 00:55:04:285
-1.721,-4.6709,0.0076,-3.7253,6.7985,6.0061,1.3019,-11.9282,-5.884,1.6744,1.0581,3.6744,1.05,6.61,-41.24,38.31,-26.67,26.72,159,2020-06-14 00:55:04:295
-1.721,-4.6709,0.0076,-3.7253,6.7985,6.0061,1.3019,-11.9282,-5.884,1.6744,1.0581,3.6744,9.5,12.61,-32.41,14.71,-43.89,31.81,169,2020-06-14 00:55:04:305
-1.721,-4.6709,0.0076,-3.1139,7.4192,5.6062,2.8577,-12.0078,-6.5681,1.6744,1.0581,3.6744,9.5,12.61,-32.41,14.71,-43.89,31.81,180,2020-06-14 00:55:04:316
