ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
5.790148,0.301683,9.492604,3.536191,1.515953,-0.503861,-1.405403,-0.105487,-0.062462,29.2628,14.119,-31.4672,5,2020-06-14 10:36:17:733
5.790148,0.301683,9.492604,3.536191,1.515953,-0.503861,-1.405403,-0.105487,-0.062462,29.2628,14.119,-31.4672,14,2020-06-14 10:36:17:742
5.862013,0.184304,8.867379,3.366391,1.721435,-0.818925,-1.155128,-0.222637,0.173968,29.2628,14.119,-31.4672,24,2020-06-14 10:36:17:752
5.862013,0.184304,8.867379,3.366391,1.721435,-0.818925,-1.155128,-0.222637,0.173968,29.2628,14.119,-31.4672,35,2020-06-14 10:36:17:763
5.862013,0.184304,8.867379,3.366391,1.721435,-0.818925,-1.155128,-0.222637,0.173968,29.6042,15.6817,-30.7548,44,2020-06-14 10:36:17:772
6.551917,0.023805,8.302041,4.104083,1.943248,-1.323395,-0.936803,-0.182167,0.364603,29.6042,15.6817,-30.7548,55,2020-06-14 10:36:17:783
6.551917,0.023805,8.302041,4.104083,1.943248,-1.323395,-0.936803,-0.182167,0.364603,29.6042,15.6817,-30.7548,64,2020-06-14 10:36:17:792
6.551917,0.023805,8.302041,4.104083,1.943248,-1.323395,-0.936803,-0.182167,0.364603,29.8282,16.9547,-30.8131,74,2020-06-14 10:36:17:802
6.602222,-0.369057,7.463616,4.091976,1.871701,-1.988519,-0.936803,-0.182167,0.364603,29.8282,16.9547,-30.8131,85,2020-06-14 10:36:17:813
6.602222,-0.369057,7.463616,4.091976,1.871701,-1.988519,-0.900593,-0.131047,0.615943,29.8282,16.9547,-30.8131,95,2020-06-14 10:36:17:823
6.147077,-0.67089,7.039613,4.091976,1.871701,-1.988519,-0.900593,-0.131047,0.615943,29.4511,18.0543,-30.8151,105,2020-06-14 10:36:17:833
6.147077,-0.67089,7.039613,3.629954,1.799964,-2.54619,-0.900593,-0.131047,0.615943,29.4511,18.0543,-30.8151,116,2020-06-14 10:36:17:844
6.147077,-0.67089,7.039613,3.629954,1.799964,-2.54619,-0.900593,-0.131047,0.615943,29.4511,18.0543,-30.8151,124,2020-06-14 10:36:17:852
5.816499,-0.924813,7.516317,3.629954,1.799964,-2.54619,-1.006028,-0.005377,1.025968,29.3811,18.7447,-30.9822,135,2020-06-14 10:36:17:863
5.816499,-0.924813,7.516317,3.253191,1.852206,-1.81146,-1.006028,-0.005377,1.025968,29.3811,18.7447,-30.9822,144,2020-06-14 10:36:17:872
5.816499,-0.924813,7.516317,3.253191,1.852206,-1.81146,-1.006028,-0.005377,1.025968,29.3811,18.7447,-30.9822,155,2020-06-14 10:36:17:883
4.831948,-1.444636,7.739099,3.253191,1.852206,-1.81146,-0.659903,-0.185362,1.199563,29.3811,18.7447,-30.9822,165,2020-06-14 10:36:17:893
4.831948,-1.444636,7.739099,2.244451,1.517467,-1.724752,-0.659903,-0.185362,1.199563,29.654,19.4031,-30.7587,175,2020-06-14 10:36:17:903
4.831948,-1.444636,7.739099,2.244451,1.517467,-1.724752,-0.659903,-0.185362,1.199563,29.654,19.4031,-30.7587,184,2020-06-14 10:36:17:912
4.017478,-2.309412,6.653937,2.244451,1.517467,-1.724752,-0.668423,-0.696562,1.457293,29.654,19.4031,-30.7587,195,2020-06-14 10:36:17:923
4.017478,-2.309412,6.653937,1.345333,0.736401,-2.947848,-0.668423,-0.696562,1.457293,29.4801,18.9328,-29.8806,204,2020-06-14 10:36:17:932
4.017478,-2.309412,6.653937,1.345333,0.736401,-2.947848,-0.668423,-0.696562,1.457293,29.4801,18.9328,-29.8806,215,2020-06-14 10:36:17:943
3.373088,-3.365827,6.047876,1.345333,0.736401,-2.947848,-0.976208,-1.030972,1.718218,29.4801,18.9328,-29.8806,224,2020-06-14 10:36:17:952
3.373088,-3.365827,6.047876,0.776988,0.240029,-2.634084,-0.976208,-1.030972,1.718218,29.4801,18.9328,-29.8806,234,2020-06-14 10:36:17:962
3.373088,-3.365827,6.047876,0.776988,0.240029,-2.634084,-0.976208,-1.030972,1.718218,29.9412,17.5985,-29.7191,245,2020-06-14 10:36:17:973
2.779004,-3.804204,6.732989,0.776988,0.240029,-2.634084,-0.721673,-1.560277,1.825783,29.9412,17.5985,-29.7191,255,2020-06-14 10:36:17:983
2.779004,-3.804204,6.732989,0.016921,0.26508,-2.148682,-0.721673,-1.560277,1.825783,29.9412,17.5985,-29.7191,264,2020-06-14 10:36:17:992
2.779004,-4.062918,6.570095,0.016921,0.26508,-2.148682,-0.721673,-1.560277,1.825783,29.8941,16.5806,-30.3802,275,2020-06-14 10:36:18:003
2.508313,-4.062918,6.570095,0.016921,0.26508,-2.148682,-0.721673,-1.560277,1.825783,29.8941,16.5806,-30.3802,286,2020-06-14 10:36:18:014
2.508313,-4.062918,6.570095,-0.370377,0.289086,-2.145927,-0.256268,-1.464427,1.784248,29.8941,16.5806,-30.3802,295,2020-06-14 10:36:18:023
2.913152,-4.292886,5.611895,-0.370377,0.289086,-2.145927,-0.256268,-1.464427,1.784248,29.8941,16.5806,-30.3802,304,2020-06-14 10:36:18:032
2.913152,-4.292886,5.611895,-0.370377,0.289086,-2.145927,-0.256268,-1.464427,1.784248,29.2589,15.8407,-31.9803,315,2020-06-14 10:36:18:043
2.913152,-4.292886,5.611895,-0.056082,0.215945,-3.114772,-0.208343,-0.656092,1.752298,29.2589,15.8407,-31.9803,325,2020-06-14 10:36:18:053
2.525081,-4.048545,5.178309,-0.056082,0.215945,-3.114772,-0.208343,-0.656092,1.752298,29.2589,15.8407,-31.9803,334,2020-06-14 10:36:18:062
