ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.7809,-3.4211,19.7825,1.5036,-0.7808,9.6592,1.6551,-2.5321,11.1913,3.7825,-0.3172,0.9792,2.49,35.53,-16.94,352.09,9.99,-8.63,13,2020-06-14 00:57:46:222
3.7809,-3.4211,19.7825,1.5361,0.278,9.6816,3.541,-3.7727,6.6628,3.7825,-0.3172,0.9792,1.06,29.7,-20.67,352.09,9.99,-8.63,23,2020-06-14 00:57:46:232
5.5047,-3.4929,16.196,1.5361,0.278,9.6816,3.541,-3.7727,6.6628,3.8635,0.2272,0.7673,1.06,29.7,-20.67,352.09,9.99,-8.63,33,2020-06-14 00:57:46:242
5.5047,-3.4929,16.196,1.5361,0.278,9.6816,3.541,-3.7727,6.6628,3.8635,0.2272,0.7673,1.06,29.7,-20.67,352.09,9.99,-8.63,43,2020-06-14 00:57:46:252
6.7222,-3.6174,13.5875,1.5361,0.278,9.6816,3.541,-3.7727,6.6628,3.8635,0.2272,0.7673,1.06,29.7,-20.67,352.09,9.99,-8.63,53,2020-06-14 00:57:46:262
6.7222,-3.6174,13.5875,1.4439,1.3517,9.6051,5.1445,-5.0257,3.498,3.9935,0.6405,0.3593,2.84,25.78,-25.79,346.85,-7.92,-8.55,63,2020-06-14 00:57:46:272
6.7222,-3.6174,13.5875,1.4439,1.3517,9.6051,5.1445,-5.0257,3.498,3.9935,0.6405,0.3593,2.84,25.78,-25.79,346.85,-7.92,-8.55,73,2020-06-14 00:57:46:282
7.3662,-3.3457,10.7695,1.2939,2.4745,9.4007,6.0074,-5.9644,0.6677,3.9935,0.6405,0.3593,2.84,25.78,-25.79,346.85,-7.92,-8.55,83,2020-06-14 00:57:46:292
7.3662,-3.3457,10.7695,1.2939,2.4745,9.4007,6.0074,-5.9644,0.6677,4.215,0.6821,-0.2437,2.84,25.78,-25.79,346.85,-7.92,-8.55,92,2020-06-14 00:57:46:301
7.3662,-3.3457,10.7695,1.2939,2.4745,9.4007,6.0074,-5.9644,0.6677,4.215,0.6821,-0.2437,4.36,22.98,-29.73,346.85,-7.92,-8.55,103,2020-06-14 00:57:46:312
7.6487,-2.8357,8.4603,1.1078,3.6401,9.0384,6.5131,-6.6455,-1.83,4.215,0.6821,-0.2437,4.36,22.98,-29.73,346.85,-7.92,-8.55,113,2020-06-14 00:57:46:322
7.6487,-2.8357,8.4603,1.1078,3.6401,9.0384,6.5131,-6.6455,-1.83,4.3525,0.7737,-0.9883,4.36,22.98,-29.73,346.85,-7.92,-8.55,123,2020-06-14 00:57:46:332
7.632,-2.6107,5.4843,1.1078,3.6401,9.0384,6.5131,-6.6455,-1.83,4.3525,0.7737,-0.9883,4.36,22.98,-29.73,346.85,-7.92,-8.55,133,2020-06-14 00:57:46:342
7.632,-2.6107,5.4843,0.8913,4.4224,8.7074,6.614,-7.7026,-4.5512,4.3525,0.7737,-0.9883,0.73,19.38,-31.72,350.56,-21.79,-6.99,143,2020-06-14 00:57:46:352
7.632,-2.6107,5.4843,0.8913,4.4224,8.7074,6.614,-7.7026,-4.5512,4.5751,1.1806,-1.8629,0.73,19.38,-31.72,350.56,-21.79,-6.99,153,2020-06-14 00:57:46:362
6.6946,-2.5233,2.1468,0.8913,4.4224,8.7074,6.614,-7.7026,-4.5512,4.5751,1.1806,-1.8629,0.73,19.38,-31.72,350.56,-21.79,-6.99,163,2020-06-14 00:57:46:372
6.6946,-2.5233,2.1468,0.2787,5.7744,7.9214,6.614,-7.7026,-4.5512,4.5751,1.1806,-1.8629,0.73,19.38,-31.72,350.56,-21.79,-6.99,173,2020-06-14 00:57:46:382
6.6946,-2.5233,2.1468,0.2787,5.7744,7.9214,5.9758,-8.6875,-7.672,4.6678,0.8088,-2.3263,1.77,13.53,-35.47,350.56,-21.79,-6.99,183,2020-06-14 00:57:46:392
5.8782,-2.2372,-2.1005,0.2787,5.7744,7.9214,5.9758,-8.6875,-7.672,4.6678,0.8088,-2.3263,1.77,13.53,-35.47,350.56,-21.79,-6.99,193,2020-06-14 00:57:46:402
5.8782,-2.2372,-2.1005,-0.2917,6.8019,7.0583,5.9758,-8.6875,-7.672,4.6678,0.8088,-2.3263,1.77,13.53,-35.47,350.56,-21.79,-6.99,203,2020-06-14 00:57:46:412
5.8782,-2.2372,-2.1005,-0.2917,6.8019,7.0583,5.441,-9.0055,-11.1074,3.7953,-0.1829,-2.7982,1.77,13.53,-35.47,350.56,-21.79,-6.99,213,2020-06-14 00:57:46:422
4.2298,-1.1682,-5.1831,-0.2917,6.8019,7.0583,5.441,-9.0055,-11.1074,3.7953,-0.1829,-2.7982,-2.26,10.97,-35.53,6.06,-43.92,2.37,223,2020-06-14 00:57:46:432
4.2298,-1.1682,-5.1831,-0.824,7.4961,6.269,4.0664,-8.1259,-11.9248,3.7953,-0.1829,-2.7982,-2.26,10.97,-35.53,6.06,-43.92,2.37,233,2020-06-14 00:57:46:442
2.5563,-0.0369,-5.5254,-0.824,7.4961,6.269,4.0664,-8.1259,-11.9248,2.5128,-0.8732,-3.073,-2.26,10.97,-35.53,6.06,-43.92,2.37,243,2020-06-14 00:57:46:452
2.5563,-0.0369,-5.5254,-0.824,7.4961,6.269,4.0664,-8.1259,-11.9248,2.5128,-0.8732,-3.073,-2.26,10.97,-35.53,6.06,-43.92,2.37,254,2020-06-14 00:57:46:463
2.5563,-0.0369,-5.5254,-1.2733,7.8083,5.7948,3.1057,-7.9791,-11.2416,2.5128,-0.8732,-3.073,-2.04,5.15,-37.14,6.06,-43.92,2.37,263,2020-06-14 00:57:46:472
1.188,0.0888,-5.5063,-1.2733,7.8083,5.7948,3.1057,-7.9791,-11.2416,1.6201,-0.9627,-3.2935,-2.04,5.15,-37.14,6.06,-43.92,2.37,273,2020-06-14 00:57:46:482
1.188,0.0888,-5.5063,-1.2733,7.8083,5.7948,3.1057,-7.9791,-11.2416,1.6201,-0.9627,-3.2935,-2.04,5.15,-37.14,6.06,-43.92,2.37,283,2020-06-14 00:57:46:492
1.188,0.0888,-5.5063,-1.9983,7.9544,5.3763,3.1057,-7.9791,-11.2416,1.6201,-0.9627,-3.2935,-2.04,5.15,-37.14,6.06,-43.92,2.37,293,2020-06-14 00:57:46:502
-0.9034,-0.0166,-5.3686,-1.9983,7.9544,5.3763,1.5509,-8.0129,-10.8407,1.6201,-0.9627,-3.2935,-3.59,2.57,-37.93,29.92,-54.21,20.39,303,2020-06-14 00:57:46:512
-0.9034,-0.0166,-5.3686,-1.9983,7.9544,5.3763,1.5509,-8.0129,-10.8407,0.7934,-1.1172,-3.4501,-3.59,2.57,-37.93,29.92,-54.21,20.39,313,2020-06-14 00:57:46:522
-3.0366,-0.1961,-4.6683,-2.6488,7.8501,5.2469,-0.0326,-8.0443,-9.9742,0.7934,-1.1172,-3.4501,-3.59,2.57,-37.93,29.92,-54.21,20.39,323,2020-06-14 00:57:46:532
-3.0366,-0.1961,-4.6683,-2.6488,7.8501,5.2469,-0.0326,-8.0443,-9.9742,0.7934,-1.1172,-3.4501,-3.59,2.57,-37.93,29.92,-54.21,20.39,333,2020-06-14 00:57:46:542
-3.0366,-0.1961,-4.6683,-2.6488,7.8501,5.2469,-0.0326,-8.0443,-9.9742,0.1266,-2.0195,-3.4768,-5.22,1.93,-37.22,29.92,-54.21,20.39,343,2020-06-14 00:57:46:552
-5.5158,-0.8402,-3.4042,-2.6488,7.8501,5.2469,-0.0326,-8.0443,-9.9742,0.1266,-2.0195,-3.4768,-5.22,1.93,-37.22,29.92,-54.21,20.39,353,2020-06-14 00:57:46:562
-5.5158,-0.8402,-3.4042,-3.2216,7.4927,5.4453,-2.4007,-8.3072,-8.73,0.1266,-2.0195,-3.4768,-5.22,1.93,-37.22,29.92,-54.21,20.39,363,2020-06-14 00:57:46:572
-5.5158,-0.8402,-3.4042,-3.2216,7.4927,5.4453,-2.4007,-8.3072,-8.73,-0.5968,-2.8578,-3.4246,-5.22,1.93,-37.22,29.92,-54.21,20.39,373,2020-06-14 00:57:46:582
-7.2635,-2.4395,-1.8898,-3.2216,7.4927,5.4453,-2.4007,-8.3072,-8.73,-0.5968,-2.8578,-3.4246,-9.29,0.66,-37.95,50.76,-49.82,30.61,383,2020-06-14 00:57:46:592
-7.2635,-2.4395,-1.8898,-3.5054,6.8058,6.1289,-4.6763,-9.7311,-7.1264,-0.5968,-2.8578,-3.4246,-9.29,0.66,-37.95,50.76,-49.82,30.61,393,2020-06-14 00:57:46:602
-7.2635,-2.4395,-1.8898,-3.5054,6.8058,6.1289,-4.6763,-9.7311,-7.1264,-2.6325,-2.7385,-3.007,-9.29,0.66,-37.95,50.76,-49.82,30.61,403,2020-06-14 00:57:46:612
-9.951,-3.9502,0.6612,-3.5054,6.8058,6.1289,-4.6763,-9.7311,-7.1264,-2.6325,-2.7385,-3.007,-9.29,0.66,-37.95,50.76,-49.82,30.61,413,2020-06-14 00:57:46:622
-9.951,-3.9502,0.6612,-3.6365,5.8552,6.9759,-8.5617,-10.8022,-4.4695,-2.6325,-2.7385,-3.007,-10.99,9.75,-29.59,50.76,-49.82,30.61,423,2020-06-14 00:57:46:632
-9.951,-3.9502,0.6612,-3.6365,5.8552,6.9759,-8.5617,-10.8022,-4.4695,-4.2783,-1.587,-1.7606,-10.99,9.75,-29.59,50.76,-49.82,30.61,433,2020-06-14 00:57:46:642
-14.7945,-5.7339,4.7601,-3.6365,5.8552,6.9759,-8.5617,-10.8022,-4.4695,-4.2783,-1.587,-1.7606,-10.99,9.75,-29.59,50.76,-49.82,30.61,443,2020-06-14 00:57:46:652
-14.7945,-5.7339,4.7601,-3.5858,4.6074,7.8794,-12.418,-10.8991,-0.3149,-4.2783,-1.587,-1.7606,-10.99,9.75,-29.59,50.76,-49.82,30.61,454,2020-06-14 00:57:46:663
-14.7945,-5.7339,4.7601,-3.5858,4.6074,7.8794,-12.418,-10.8991,-0.3149,-5.6173,-1.3068,0.4509,-14.52,16.25,-27.21,47.51,-28.02,24.47,463,2020-06-14 00:57:46:672
-15.2147,-8.3197,11.9391,-3.5858,4.6074,7.8794,-12.418,-10.8991,-0.3149,-5.6173,-1.3068,0.4509,-14.52,16.25,-27.21,47.51,-28.02,24.47,473,2020-06-14 00:57:46:682
-15.2147,-8.3197,11.9391,-3.2161,3.17,8.7051,-10.781,-12.1134,6.1211,-5.6173,-1.3068,0.4509,-14.52,16.25,-27.21,47.51,-28.02,24.47,482,2020-06-14 00:57:46:691
-12.1717,-9.2881,17.5559,-3.2161,3.17,8.7051,-10.781,-12.1134,6.1211,-6.1329,-0.9893,2.868,-14.52,16.25,-27.21,47.51,-28.02,24.47,493,2020-06-14 00:57:46:702
-12.1717,-9.2881,17.5559,-3.2161,3.17,8.7051,-10.781,-12.1134,6.1211,-6.1329,-0.9893,2.868,-14.13,28.61,-28.63,47.51,-28.02,24.47,503,2020-06-14 00:57:46:712
-12.1717,-9.2881,17.5559,-2.7737,1.7146,9.2486,-7.25,-10.7264,12.279,-6.1329,-0.9893,2.868,-14.13,28.61,-28.63,47.51,-28.02,24.47,513,2020-06-14 00:57:46:722
-8.3146,-8.3819,24.3374,-2.7737,1.7146,9.2486,-7.25,-10.7264,12.279,-5.5865,-0.7806,4.3082,-14.13,28.61,-28.63,47.51,-28.02,24.47,523,2020-06-14 00:57:46:732
-8.3146,-8.3819,24.3374,-2.7737,1.7146,9.2486,-7.25,-10.7264,12.279,-5.5865,-0.7806,4.3082,-14.13,28.61,-28.63,47.51,-28.02,24.47,533,2020-06-14 00:57:46:742
-8.3146,-8.3819,24.3374,-2.4178,0.5282,9.4892,-3.1955,-7.2077,19.8636,-5.5865,-0.7806,4.3082,-11.16,37.68,-21.25,22.31,-10.07,16.69,543,2020-06-14 00:57:46:752
-4.5042,-5.71,30.7156,-2.4178,0.5282,9.4892,-3.1955,-7.2077,19.8636,-2.9169,-0.8562,4.5788,-11.16,37.68,-21.25,22.31,-10.07,16.69,553,2020-06-14 00:57:46:762
-4.5042,-5.71,30.7156,-2.4178,0.5282,9.4892,-3.1955,-7.2077,19.8636,-2.9169,-0.8562,4.5788,-11.16,37.68,-21.25,22.31,-10.07,16.69,563,2020-06-14 00:57:46:772
-2.7218,-3.0704,29.6418,-2.0802,0.1802,9.5818,-0.8591,-3.5993,20.518,-2.9169,-0.8562,4.5788,-11.16,37.68,-21.25,22.31,-10.07,16.69,573,2020-06-14 00:57:46:782
-2.7218,-3.0704,29.6418,-2.0802,0.1802,9.5818,-0.8591,-3.5993,20.518,0.5186,-1.3846,4.3093,-4.79,43.49,-16.84,22.31,-10.07,16.69,584,2020-06-14 00:57:46:793
-2.7218,-3.0704,29.6418,-2.0802,0.1802,9.5818,-0.8591,-3.5993,20.518,0.5186,-1.3846,4.3093,-4.79,43.49,-16.84,22.31,-10.07,16.69,593,2020-06-14 00:57:46:802
0.1202,-1.3262,24.4404,-1.6005,0.6661,9.6522,-0.8591,-3.5993,20.518,0.5186,-1.3846,4.3093,-4.79,43.49,-16.84,22.31,-10.07,16.69,603,2020-06-14 00:57:46:812
0.1202,-1.3262,24.4404,-1.6005,0.6661,9.6522,2.346,-1.6883,13.0298,1.9897,-1.13,3.9982,-4.79,43.49,-16.84,22.31,-10.07,16.69,613,2020-06-14 00:57:46:822
0.1202,-1.3262,24.4404,-1.6005,0.6661,9.6522,2.346,-1.6883,13.0298,1.9897,-1.13,3.9982,0.13,44.11,-16.14,3.33,-3.89,9.42,623,2020-06-14 00:57:46:832
3.0495,0.7113,19.3228,-1.1993,1.369,9.6363,2.346,-1.6883,13.0298,1.9897,-1.13,3.9982,0.13,44.11,-16.14,3.33,-3.89,9.42,633,2020-06-14 00:57:46:842
3.0495,0.7113,19.3228,-1.1993,1.369,9.6363,5.3932,-0.3954,8.7258,1.6605,0.3753,3.5923,0.13,44.11,-16.14,3.33,-3.89,9.42,643,2020-06-14 00:57:46:852
6.1416,1.6953,17.9569,-1.1993,1.369,9.6363,5.3932,-0.3954,8.7258,1.6605,0.3753,3.5923,0.13,44.11,-16.14,3.33,-3.89,9.42,653,2020-06-14 00:57:46:862
6.1416,1.6953,17.9569,-1.1345,1.8672,9.5602,5.3932,-0.3954,8.7258,1.6605,0.3753,3.5923,2.72,40.83,-20.54,3.33,-3.89,9.42,663,2020-06-14 00:57:46:872
6.1416,1.6953,17.9569,-1.1345,1.8672,9.5602,7.9113,-0.0878,7.2516,2.1367,0.9122,2.5729,2.72,40.83,-20.54,3.33,-3.89,9.42,673,2020-06-14 00:57:46:882
6.8167,2.4638,15.2,-1.1345,1.8672,9.5602,7.9113,-0.0878,7.2516,2.1367,0.9122,2.5729,2.72,40.83,-20.54,3.33,-3.89,9.42,683,2020-06-14 00:57:46:892
6.8167,2.4638,15.2,-1.1466,2.5695,9.3943,7.9113,-0.0878,7.2516,2.1367,0.9122,2.5729,2.72,40.83,-20.54,3.33,-3.89,9.42,693,2020-06-14 00:57:46:902
6.8167,2.4638,15.2,-1.1466,2.5695,9.3943,7.9113,-0.0878,7.2516,2.1367,0.9122,2.5729,2.72,40.83,-20.54,3.33,-3.89,9.42,703,2020-06-14 00:57:46:912
6.0937,2.9379,12.7064,-1.1466,2.5695,9.3943,7.4337,-0.1426,3.5161,2.8867,0.1931,1.6418,6.94,38.2,-22.07,354.26,-15.19,6.96,713,2020-06-14 00:57:46:922
6.0937,2.9379,12.7064,-0.9948,3.4385,9.13,7.4337,-0.1426,3.5161,2.8867,0.1931,1.6418,6.94,38.2,-22.07,354.26,-15.19,6.96,723,2020-06-14 00:57:46:932
5.6208,2.8206,7.4332,-0.9948,3.4385,9.13,7.4337,-0.1426,3.5161,2.8867,0.1931,1.6418,6.94,38.2,-22.07,354.26,-15.19,6.96,733,2020-06-14 00:57:46:942
5.6208,2.8206,7.4332,-0.9948,3.4385,9.13,6.5221,-1.4068,-2.0323,3.2851,0.1228,0.7012,15.04,25.54,-28.69,354.26,-15.19,6.96,743,2020-06-14 00:57:46:952
5.6208,2.8206,7.4332,-0.8633,4.3419,8.7506,6.5221,-1.4068,-2.0323,3.2851,0.1228,0.7012,15.04,25.54,-28.69,354.26,-15.19,6.96,753,2020-06-14 00:57:46:962
4.9576,2.8912,3.7521,-0.8633,4.3419,8.7506,6.5221,-1.4068,-2.0323,3.2851,0.1228,0.7012,15.04,25.54,-28.69,354.26,-15.19,6.96,763,2020-06-14 00:57:46:972
4.9576,2.8912,3.7521,-0.9276,4.9768,8.3989,5.7252,-2.0639,-5.6245,2.6662,0.8141,0.2037,15.04,25.54,-28.69,354.26,-15.19,6.96,773,2020-06-14 00:57:46:982
4.9576,2.8912,3.7521,-0.9276,4.9768,8.3989,5.7252,-2.0639,-5.6245,2.6662,0.8141,0.2037,15.2,21.01,-30.26,341.17,-30.5,6.3,783,2020-06-14 00:57:46:992
4.225,3.121,2.1492,-0.9276,4.9768,8.3989,5.7252,-2.0639,-5.6245,2.6662,0.8141,0.2037,15.2,21.01,-30.26,341.17,-30.5,6.3,793,2020-06-14 00:57:47:002
4.225,3.121,2.1492,-0.9276,4.9768,8.3989,5.1499,-2.5065,-6.4073,2.1197,0.8642,-0.0104,15.2,21.01,-30.26,341.17,-30.5,6.3,804,2020-06-14 00:57:47:013
3.6959,3.1258,1.3387,-1.1126,5.5543,8.0052,5.1499,-2.5065,-6.4073,2.1197,0.8642,-0.0104,15.2,21.01,-30.26,341.17,-30.5,6.3,813,2020-06-14 00:57:47:022
3.6959,3.1258,1.3387,-1.1126,5.5543,8.0052,4.9525,-3.0474,-7.0596,2.1197,0.8642,-0.0104,-2.97,8.22,-36.7,341.17,-30.5,6.3,823,2020-06-14 00:57:47:032
3.6959,3.1258,1.3387,-1.1126,5.5543,8.0052,4.9525,-3.0474,-7.0596,1.9727,0.5244,-0.1361,-2.97,8.22,-36.7,341.17,-30.5,6.3,833,2020-06-14 00:57:47:042
3.6851,2.5859,0.0578,-1.2707,6.1133,7.5619,4.9525,-3.0474,-7.0596,1.9727,0.5244,-0.1361,-2.97,8.22,-36.7,341.17,-30.5,6.3,843,2020-06-14 00:57:47:052
3.6851,2.5859,0.0578,-1.2707,6.1133,7.5619,4.9525,-3.0474,-7.0596,1.9727,0.5244,-0.1361,-2.97,8.22,-36.7,341.17,-30.5,6.3,853,2020-06-14 00:57:47:062
3.1069,1.8533,-1.6253,-1.2707,6.1133,7.5619,4.7494,-4.5178,-8.4919,1.7841,0.3188,-0.3481,-3.62,3.69,-38.26,21.44,-38.56,9.54,863,2020-06-14 00:57:47:072
3.1069,1.8533,-1.6253,-1.3833,6.523,7.1908,4.7494,-4.5178,-8.4919,1.7841,0.3188,-0.3481,-3.62,3.69,-38.26,21.44,-38.56,9.54,873,2020-06-14 00:57:47:082
3.1069,1.8533,-1.6253,-1.3833,6.523,7.1908,4.7494,-4.5178,-8.4919,1.7841,0.3188,-0.3481,-3.62,3.69,-38.26,21.44,-38.56,9.54,883,2020-06-14 00:57:47:092
2.3779,1.3876,-2.7961,-1.3833,6.523,7.1908,3.9274,-5.2995,-9.7069,1.1087,-0.201,-0.5356,-3.62,3.69,-38.26,21.44,-38.56,9.54,893,2020-06-14 00:57:47:102
2.3779,1.3876,-2.7961,-1.4539,6.7886,6.9261,3.9274,-5.2995,-9.7069,1.1087,-0.201,-0.5356,-3.53,1.1,-38.35,21.44,-38.56,9.54,903,2020-06-14 00:57:47:112
2.3779,1.3876,-2.7961,-1.4539,6.7886,6.9261,3.563,-5.8969,-10.0895,1.1087,-0.201,-0.5356,-3.53,1.1,-38.35,21.44,-38.56,9.54,913,2020-06-14 00:57:47:122
2.0427,0.6383,-3.5454,-1.4539,6.7886,6.9261,3.563,-5.8969,-10.0895,1.1087,-0.201,-0.5356,-3.53,1.1,-38.35,21.44,-38.56,9.54,923,2020-06-14 00:57:47:132
2.0427,0.6383,-3.5454,-1.4539,6.7886,6.9261,3.563,-5.8969,-10.0895,1.1087,-0.201,-0.5356,-3.53,1.1,-38.35,21.44,-38.56,9.54,933,2020-06-14 00:57:47:142
2.0427,0.6383,-3.5454,-1.4244,6.8458,6.8758,3.7139,-6.6409,-10.2996,-0.0939,-0.8647,-0.5814,-4.33,0.46,-39.07,24.39,-44.27,11.7,943,2020-06-14 00:57:47:152
2.4593,-0.1315,-3.0654,-1.4244,6.8458,6.8758,3.7139,-6.6409,-10.2996,-0.0939,-0.8647,-0.5814,-4.33,0.46,-39.07,24.39,-44.27,11.7,953,2020-06-14 00:57:47:162
2.4593,-0.1315,-3.0654,-1.283,6.4967,7.233,3.7139,-6.6409,-10.2996,-0.0939,-0.8647,-0.5814,-4.33,0.46,-39.07,24.39,-44.27,11.7,963,2020-06-14 00:57:47:172
2.9681,-0.9922,-1.4014,-1.283,6.4967,7.233,4.1683,-7.142,-8.7977,-2.4162,-1.0522,-0.6559,-4.33,0.46,-39.07,24.39,-44.27,11.7,973,2020-06-14 00:57:47:182
