ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.12087,-0.785874,8.819469,-0.25242,0.101094,-1.154776,-0.582158,-0.334462,0.365668,38.4133,-7.0091,-21.4149,6,2020-06-14 10:43:41:927
-1.12087,-0.785874,8.819469,-0.25242,0.101094,-1.154776,-0.125273,-0.329137,0.342238,38.5048,-6.3892,-22.1799,15,2020-06-14 10:43:41:936
-1.015468,-0.663703,8.670948,-0.255801,0.390648,-1.146326,-0.125273,-0.329137,0.342238,38.5048,-6.3892,-22.1799,26,2020-06-14 10:43:41:947
-1.015468,-0.663703,8.670948,-0.255801,0.390648,-1.146326,-0.125273,-0.329137,0.342238,38.5048,-6.3892,-22.1799,36,2020-06-14 10:43:41:957
-1.015468,-0.663703,8.670948,-0.255801,0.390648,-1.146326,-0.061373,-0.287602,0.187813,38.2445,-6.4739,-22.045,45,2020-06-14 10:43:41:966
-1.453844,-0.656517,8.369115,-0.255801,0.390648,-1.146326,-0.061373,-0.287602,0.187813,38.2445,-6.4739,-22.045,55,2020-06-14 10:43:41:976
-1.453844,-0.656517,8.369115,-0.691124,0.361086,-1.636528,-0.061373,-0.287602,0.187813,38.2445,-6.4739,-22.045,65,2020-06-14 10:43:41:986
-1.453844,-0.656517,8.369115,-0.691124,0.361086,-1.636528,-0.201953,-0.382387,0.123913,38.2445,-6.4739,-22.045,76,2020-06-14 10:43:41:997
-1.978459,-0.426549,8.539195,-0.691124,0.361086,-1.636528,-0.201953,-0.382387,0.123913,37.5424,-6.685,-22.8991,85,2020-06-14 10:43:42:006
-1.978459,-0.426549,8.539195,-1.407609,0.738535,-1.25767,-0.201953,-0.382387,0.123913,37.5424,-6.685,-22.8991,96,2020-06-14 10:43:42:017
