ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-5.2776,-0.0704,8.823,0.0625,2.7653,9.4085,-4.9138,-2.7665,-0.992,-0.2274,-0.4251,-1.8898,12.31,28.51,-28.09,340.89,-16.85,-0.85,10,2020-06-27 14:40:54:440
-7.351,-0.9491,10.5648,0.0625,2.7653,9.4085,-4.9138,-2.7665,-0.992,-0.2274,-0.4251,-1.8898,12.31,28.51,-28.09,340.89,-16.85,-0.85,21,2020-06-27 14:40:54:451
-7.351,-0.9491,10.5648,0.0625,2.7653,9.4085,-7.4397,-3.6548,1.1221,-0.3232,-0.3868,-1.3795,12.31,28.51,-28.09,340.89,-16.85,-0.85,30,2020-06-27 14:40:54:460
-7.351,-0.9491,10.5648,0.0074,2.6506,9.4416,-7.4397,-3.6548,1.1221,-0.3232,-0.3868,-1.3795,12.31,28.51,-28.09,340.89,-16.85,-0.85,39,2020-06-27 14:40:54:469
-8.1183,-1.2364,10.5576,0.0074,2.6506,9.4416,-7.4397,-3.6548,1.1221,-0.3232,-0.3868,-1.3795,11.58,25.93,-28.17,340.89,-16.85,-0.85,50,2020-06-27 14:40:54:480
-8.1183,-1.2364,10.5576,0.0074,2.6506,9.4416,-7.9953,-3.9486,0.7485,0.1987,-0.4858,-0.5699,11.58,25.93,-28.17,340.89,-16.85,-0.85,60,2020-06-27 14:40:54:490
-8.1183,-1.2364,10.5576,0.0299,2.6527,9.441,-7.9953,-3.9486,0.7485,0.1987,-0.4858,-0.5699,11.58,25.93,-28.17,340.89,-16.85,-0.85,69,2020-06-27 14:40:54:499
-7.1163,-1.2915,8.7081,0.0299,2.6527,9.441,-7.9953,-3.9486,0.7485,0.1987,-0.4858,-0.5699,11.58,25.93,-28.17,340.89,-16.85,-0.85,79,2020-06-27 14:40:54:509
-7.1163,-1.2915,8.7081,0.0299,2.6527,9.441,-6.8562,-4.096,-1.7342,0.1987,-0.4858,-0.5699,11.51,27.86,-29.53,340.97,-15.69,-0.18,90,2020-06-27 14:40:54:520
-6.0138,-1.6171,5.9739,0.0511,2.7228,9.4209,-6.8562,-4.096,-1.7342,0.3724,-0.244,-0.0245,11.51,27.86,-29.53,340.97,-15.69,-0.18,100,2020-06-27 14:40:54:530
