ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.8407,-3.7,15.4346,0.4936,0.3379,9.7884,3.3726,-4.0132,5.1954,4.2734,-0.4038,0.0075,21.35,24.71,-27.75,324.13,5.93,-1.85,7,2020-06-27 14:50:34:746
3.7689,-4.3261,11.7188,0.4936,0.3379,9.7884,3.3726,-4.0132,5.1954,4.2734,-0.4038,0.0075,21.35,24.71,-27.75,324.13,5.93,-1.85,16,2020-06-27 14:50:34:755
3.7689,-4.3261,11.7188,0.6233,1.5486,9.6635,3.1496,-5.9734,1.2028,4.2734,-0.4038,0.0075,21.35,24.71,-27.75,324.13,5.93,-1.85,26,2020-06-27 14:50:34:765
3.7689,-4.3261,11.7188,0.6233,1.5486,9.6635,3.1496,-5.9734,1.2028,4.0635,-0.1492,-0.5401,19.85,20.82,-31.43,319.18,-9.09,-3.69,37,2020-06-27 14:50:34:776
3.6923,-4.3381,8.434,0.6233,1.5486,9.6635,3.1496,-5.9734,1.2028,4.0635,-0.1492,-0.5401,19.85,20.82,-31.43,319.18,-9.09,-3.69,47,2020-06-27 14:50:34:786
3.6923,-4.3381,8.434,0.6316,2.6644,9.4166,2.8318,-7.127,-2.0631,4.0635,-0.1492,-0.5401,19.85,20.82,-31.43,319.18,-9.09,-3.69,56,2020-06-27 14:50:34:795
3.6923,-4.3381,8.434,0.6316,2.6644,9.4166,2.8318,-7.127,-2.0631,3.5554,0.3419,-0.9864,19.85,20.82,-31.43,319.18,-9.09,-3.69,67,2020-06-27 14:50:34:806
2.2989,-3.4068,6.4372,0.6316,2.6644,9.4166,2.8318,-7.127,-2.0631,3.5554,0.3419,-0.9864,20.76,18.21,-33.65,319.18,-9.09,-3.69,77,2020-06-27 14:50:34:816
2.2989,-3.4068,6.4372,0.4496,3.6296,9.0991,1.6161,-7.1351,-3.8939,3.5554,0.3419,-0.9864,20.76,18.21,-33.65,319.18,-9.09,-3.69,86,2020-06-27 14:50:34:825
1.9793,-2.6717,3.8934,0.4496,3.6296,9.0991,1.6161,-7.1351,-3.8939,3.2688,0.4782,-0.9736,20.76,18.21,-33.65,319.18,-9.09,-3.69,97,2020-06-27 14:50:34:836
1.9793,-2.6717,3.8934,0.4496,3.6296,9.0991,1.6161,-7.1351,-3.8939,3.2688,0.4782,-0.9736,20.76,18.21,-33.65,319.18,-9.09,-3.69,106,2020-06-27 14:50:34:845
1.9793,-2.6717,3.8934,0.2289,4.469,8.7262,1.9092,-7.0714,-5.6802,3.2688,0.4782,-0.9736,16.79,14.34,-36.59,328.32,-27.11,-1.5,117,2020-06-27 14:50:34:856
2.9142,-1.8876,2.968,0.2289,4.469,8.7262,1.9092,-7.0714,-5.6802,2.8502,0.2886,-0.7734,16.79,14.34,-36.59,328.32,-27.11,-1.5,127,2020-06-27 14:50:34:866
2.9142,-1.8876,2.968,0.2289,4.469,8.7262,1.9092,-7.0714,-5.6802,2.8502,0.2886,-0.7734,16.79,14.34,-36.59,328.32,-27.11,-1.5,136,2020-06-27 14:50:34:875
2.9142,-1.8876,2.968,0.069,5.1701,8.3328,3.8292,-7.0456,-6.3967,2.8502,0.2886,-0.7734,16.79,14.34,-36.59,328.32,-27.11,-1.5,147,2020-06-27 14:50:34:886
5.312,-1.5692,1.3088,0.069,5.1701,8.3328,3.8292,-7.0456,-6.3967,2.4283,0.2055,-0.9875,19.91,9.78,-39.25,328.32,-27.11,-1.5,156,2020-06-27 14:50:34:895
5.312,-1.5692,1.3088,0.069,5.1701,8.3328,3.8292,-7.0456,-6.3967,2.4283,0.2055,-0.9875,19.91,9.78,-39.25,328.32,-27.11,-1.5,166,2020-06-27 14:50:34:905
5.312,-1.5692,1.3088,-0.1281,5.7312,7.9566,6.191,-7.6193,-7.4185,2.4283,0.2055,-0.9875,19.91,9.78,-39.25,328.32,-27.11,-1.5,177,2020-06-27 14:50:34:916
5.1851,-1.6482,0.9461,-0.1281,5.7312,7.9566,6.191,-7.6193,-7.4185,2.4283,0.2055,-0.9875,19.91,9.78,-39.25,328.32,-27.11,-1.5,186,2020-06-27 14:50:34:925
5.1851,-1.6482,0.9461,-0.1281,5.7312,7.9566,6.191,-7.6193,-7.4185,1.7338,0.2002,-1.878,19.16,7.83,-41.44,329.09,-35.76,0.92,196,2020-06-27 14:50:34:935
