ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5502,-0.505,1.5279,-0.4767,5.4062,8.168,-0.8728,-5.6741,-7.0676,-0.1027,0.0148,3.0573,23.71,15.56,-30.96,335.31,-30.81,9.61,10,2020-06-27 14:53:34:255
-0.5502,-0.505,1.5279,-0.4767,5.4062,8.168,-0.8728,-5.6741,-7.0676,-0.1027,0.0148,3.0573,19.79,18.82,-30.07,331.1,-33.45,3.34,20,2020-06-27 14:53:34:265
-0.5502,-0.505,1.5279,-0.4767,5.4062,8.168,-0.8728,-5.6741,-7.0676,-0.3573,-0.2568,3.3854,19.79,18.82,-30.07,331.1,-33.45,3.34,30,2020-06-27 14:53:34:275
2.0738,-0.7923,1.9145,0.132,5.3295,8.231,1.6647,-6.0993,-6.1857,-0.3573,-0.2568,3.3854,19.79,18.82,-30.07,331.1,-33.45,3.34,39,2020-06-27 14:53:34:284
2.0738,-0.7923,1.9145,0.132,5.3295,8.231,1.6647,-6.0993,-6.1857,-0.3573,-0.2568,3.3854,19.79,18.82,-30.07,331.1,-33.45,3.34,50,2020-06-27 14:53:34:295
2.0738,-0.7923,1.9145,0.132,5.3295,8.231,1.6647,-6.0993,-6.1857,-0.3573,-0.2568,3.3854,22.33,16.89,-27.31,331.1,-33.45,3.34,59,2020-06-27 14:53:34:304
4.2274,-0.9515,0.6432,0.6174,5.1576,8.318,3.7117,-6.0613,-7.4799,-0.5299,0.213,2.9913,22.33,16.89,-27.31,331.1,-33.45,3.34,70,2020-06-27 14:53:34:315
4.2274,-0.9515,0.6432,0.6174,5.1576,8.318,3.7117,-6.0613,-7.4799,-0.5299,0.213,2.9913,22.33,16.89,-27.31,331.1,-33.45,3.34,79,2020-06-27 14:53:34:324
4.4944,-0.7061,1.6272,0.6174,5.1576,8.318,3.7117,-6.0613,-7.4799,-1.5163,-0.0192,2.7708,22.33,16.89,-27.31,331.1,-33.45,3.34,90,2020-06-27 14:53:34:335
4.4944,-0.7061,1.6272,0.6174,5.1576,8.318,3.8079,-5.4004,-5.9393,-1.5163,-0.0192,2.7708,22.4,14.93,-29.51,318.84,-31.73,-4.24,100,2020-06-27 14:53:34:345
4.4944,-0.7061,1.6272,1.0577,4.7301,8.5251,3.8079,-5.4004,-5.9393,-1.5163,-0.0192,2.7708,22.4,14.93,-29.51,318.84,-31.73,-4.24,110,2020-06-27 14:53:34:355
5.8483,-0.6019,4.0729,1.0577,4.7301,8.5251,3.8079,-5.4004,-5.9393,-1.7273,0.2471,2.4927,22.4,14.93,-29.51,318.84,-31.73,-4.24,120,2020-06-27 14:53:34:365
5.8483,-0.6019,4.0729,1.0577,4.7301,8.5251,5.0634,-4.7698,-4.3124,-1.7273,0.2471,2.4927,22.4,14.93,-29.51,318.84,-31.73,-4.24,129,2020-06-27 14:53:34:374
7.8929,-1.3717,3.7042,1.4007,4.074,8.8097,5.0634,-4.7698,-4.3124,-1.7273,0.2471,2.4927,24.0,16.22,-28.05,318.84,-31.73,-4.24,140,2020-06-27 14:53:34:385
7.8929,-1.3717,3.7042,1.4007,4.074,8.8097,5.0634,-4.7698,-4.3124,-1.7273,0.2471,2.4927,24.0,16.22,-28.05,318.84,-31.73,-4.24,150,2020-06-27 14:53:34:395
7.8929,-1.3717,3.7042,1.4007,4.074,8.8097,6.9274,-5.0655,-4.8032,-2.3366,0.4591,1.5542,24.0,16.22,-28.05,318.84,-31.73,-4.24,159,2020-06-27 14:53:34:404
10.4416,-1.4591,7.0226,1.5265,3.3357,9.0947,6.9274,-5.0655,-4.8032,-2.3366,0.4591,1.5542,24.0,16.22,-28.05,318.84,-31.73,-4.24,170,2020-06-27 14:53:34:415
10.4416,-1.4591,7.0226,1.5265,3.3357,9.0947,6.9274,-5.0655,-4.8032,-2.3366,0.4591,1.5542,27.35,14.91,-28.12,305.11,-19.89,-9.53,180,2020-06-27 14:53:34:425
10.4416,-1.4591,7.0226,1.5265,3.3357,9.0947,9.6734,-4.1354,1.1652,-3.143,-0.1354,0.4485,27.35,14.91,-28.12,305.11,-19.89,-9.53,190,2020-06-27 14:53:34:435
11.0688,-1.7404,11.0987,1.6599,2.4114,9.3595,9.6734,-4.1354,1.1652,-3.143,-0.1354,0.4485,27.35,14.91,-28.12,305.11,-19.89,-9.53,199,2020-06-27 14:53:34:444
11.0688,-1.7404,11.0987,1.6599,2.4114,9.3595,9.6734,-4.1354,1.1652,-3.143,-0.1354,0.4485,27.35,14.91,-28.12,305.11,-19.89,-9.53,210,2020-06-27 14:53:34:455
11.1215,-2.1594,12.5915,1.6599,2.4114,9.3595,9.3813,-3.998,2.8908,-3.2879,0.6806,-0.2354,24.66,20.77,-24.36,305.11,-19.89,-9.53,219,2020-06-27 14:53:34:464
11.1215,-2.1594,12.5915,1.5584,1.4579,9.5716,9.3813,-3.998,2.8908,-3.2879,0.6806,-0.2354,24.66,20.77,-24.36,305.11,-19.89,-9.53,230,2020-06-27 14:53:34:475
11.1215,-2.1594,12.5915,1.5584,1.4579,9.5716,9.3813,-3.998,2.8908,-3.2879,0.6806,-0.2354,24.66,20.77,-24.36,305.11,-19.89,-9.53,240,2020-06-27 14:53:34:485
11.9954,-1.6039,16.518,1.5584,1.4579,9.5716,10.5625,-2.4585,6.566,-3.2985,1.0258,-0.8234,24.66,20.77,-24.36,305.11,-19.89,-9.53,250,2020-06-27 14:53:34:495
11.9954,-1.6039,16.518,1.3186,0.488,9.7053,10.5625,-2.4585,6.566,-3.2985,1.0258,-0.8234,27.04,23.36,-20.74,308.85,-2.85,-7.74,259,2020-06-27 14:53:34:504
11.9954,-1.6039,16.518,1.3186,0.488,9.7053,10.5625,-2.4585,6.566,-3.2985,1.0258,-0.8234,27.04,23.36,-20.74,308.85,-2.85,-7.74,270,2020-06-27 14:53:34:515
12.8142,-2.4814,18.9565,1.3186,0.488,9.7053,11.7188,-2.2967,9.3428,-2.7211,1.2538,-1.7928,27.04,23.36,-20.74,308.85,-2.85,-7.74,280,2020-06-27 14:53:34:525
12.8142,-2.4814,18.9565,1.0685,-0.3114,9.7433,11.7188,-2.2967,9.3428,-2.7211,1.2538,-1.7928,27.04,23.36,-20.74,308.85,-2.85,-7.74,289,2020-06-27 14:53:34:534
12.8142,-2.4814,18.9565,1.0685,-0.3114,9.7433,11.7188,-2.2967,9.3428,-2.7211,1.2538,-1.7928,24.09,29.7,-18.11,308.85,-2.85,-7.74,300,2020-06-27 14:53:34:545
