ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,11,2020-06-27 14:59:56:521
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,20,2020-06-27 14:59:56:530
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,31,2020-06-27 14:59:56:541
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,40,2020-06-27 14:59:56:550
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,51,2020-06-27 14:59:56:561
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,60,2020-06-27 14:59:56:570
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,71,2020-06-27 14:59:56:581
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,80,2020-06-27 14:59:56:590
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,91,2020-06-27 14:59:56:601
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,100,2020-06-27 14:59:56:610
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,111,2020-06-27 14:59:56:621
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,120,2020-06-27 14:59:56:630
-0.3407,-0.5397,9.0277,0.351,-0.3687,9.7934,-0.5321,-0.1191,-0.9224,-0.2284,-0.0714,-0.0245,16.55,34.82,-19.14,333.69,1.58,-1.57,131,2020-06-27 14:59:56:641
-0.0079,-0.4954,8.9679,0.353,-0.3807,9.7929,-0.4353,-0.119,-0.9201,-0.2423,-0.0405,-0.017,15.7,35.47,-19.11,334.05,2.23,-2.06,140,2020-06-27 14:59:56:650
-0.0079,-0.4954,8.9679,0.353,-0.3807,9.7929,-0.4353,-0.119,-0.9201,-0.2423,-0.0405,-0.017,15.7,35.47,-19.11,334.05,2.23,-2.06,151,2020-06-27 14:59:56:661
-2.7469,-4.2567,9.989,-0.9059,-1.0819,9.7046,-0.4353,-0.119,-0.9201,-0.2423,-0.0405,-0.017,15.7,35.47,-19.11,334.05,2.23,-2.06,163,2020-06-27 14:59:56:673
-2.7469,-4.2567,9.989,-0.9059,-1.0819,9.7046,-1.1709,-3.3286,-2.2421,2.9066,0.115,0.6775,15.7,35.47,-19.11,334.05,2.23,-2.06,171,2020-06-27 14:59:56:681
-2.7469,-4.2567,9.989,-0.9059,-1.0819,9.7046,-1.1709,-3.3286,-2.2421,2.9066,0.115,0.6775,15.7,35.47,-19.11,334.05,2.23,-2.06,181,2020-06-27 14:59:56:691
-2.7469,-4.2567,9.989,-0.9059,-1.0819,9.7046,-1.1709,-3.3286,-2.2421,2.9066,0.115,0.6775,21.62,31.61,-19.24,334.05,2.23,-2.06,190,2020-06-27 14:59:56:700
-2.7469,-4.2567,9.989,-0.9059,-1.0819,9.7046,-1.1709,-3.3286,-2.2421,2.9066,0.115,0.6775,21.62,31.61,-19.24,334.05,2.23,-2.06,201,2020-06-27 14:59:56:711
-2.7469,-4.2567,9.989,-0.9059,-1.0819,9.7046,-1.1709,-3.3286,-2.2421,2.9066,0.115,0.6775,21.62,31.61,-19.24,334.05,2.23,-2.06,210,2020-06-27 14:59:56:720
0.1908,-2.5305,2.2234,-0.9879,0.0087,9.7568,0.8876,-3.0813,-7.0286,3.0462,-0.2142,0.685,23.32,30.29,-21.42,325.33,-0.05,5.78,221,2020-06-27 14:59:56:731
0.1908,-2.5305,2.2234,-0.9879,0.0087,9.7568,0.8876,-3.0813,-7.0286,3.0462,-0.2142,0.685,23.32,30.29,-21.42,325.33,-0.05,5.78,231,2020-06-27 14:59:56:741
0.1908,-2.5305,2.2234,-0.9879,0.0087,9.7568,0.8876,-3.0813,-7.0286,3.0462,-0.2142,0.685,23.32,30.29,-21.42,325.33,-0.05,5.78,241,2020-06-27 14:59:56:751
-0.7693,0.7113,1.0873,-0.8998,1.1253,9.7002,0.1452,-0.4703,-9.0291,0.889,-0.0097,0.7159,23.32,30.29,-21.42,325.33,-0.05,5.78,250,2020-06-27 14:59:56:760
