ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.1645,-4.4746,8.3753,-1.5323,-1.7083,9.5344,1.7468,-3.5247,-1.6144,3.0739,-0.2525,1.7002,28.63,29.69,-15.49,314.9,10.03,9.13,8,2020-06-27 15:02:34:235
0.1645,-4.4746,8.3753,-1.4988,-0.7766,9.6603,1.7468,-3.5247,-1.6144,3.0739,-0.2525,1.7002,28.63,29.69,-15.49,314.9,10.03,9.13,18,2020-06-27 15:02:34:245
0.1645,-4.4746,8.3753,-1.4988,-0.7766,9.6603,1.7468,-3.5247,-1.6144,3.0739,-0.2525,1.7002,28.63,29.69,-15.49,314.9,10.03,9.13,28,2020-06-27 15:02:34:255
0.198,-3.6737,5.7106,-1.4988,-0.7766,9.6603,1.5224,-3.1308,-4.9999,2.7074,-0.4283,1.2496,28.63,29.69,-15.49,314.9,10.03,9.13,38,2020-06-27 15:02:34:265
0.198,-3.6737,5.7106,-1.3895,0.0224,9.7077,1.5224,-3.1308,-4.9999,2.7074,-0.4283,1.2496,30.37,27.08,-17.72,314.9,10.03,9.13,47,2020-06-27 15:02:34:274
-0.8255,-2.1534,3.3582,-1.3895,0.0224,9.7077,1.5224,-3.1308,-4.9999,2.7074,-0.4283,1.2496,30.37,27.08,-17.72,314.9,10.03,9.13,58,2020-06-27 15:02:34:285
-0.8255,-2.1534,3.3582,-1.3895,0.0224,9.7077,0.5861,-2.6647,-7.4108,2.1673,-0.0874,0.881,30.37,27.08,-17.72,314.9,10.03,9.13,68,2020-06-27 15:02:34:295
-0.8255,-2.1534,3.3582,-1.341,0.6866,9.6902,0.5861,-2.6647,-7.4108,2.1673,-0.0874,0.881,30.37,27.08,-17.72,314.9,10.03,9.13,77,2020-06-27 15:02:34:304
-0.5131,-1.5752,0.9078,-1.341,0.6866,9.6902,0.5861,-2.6647,-7.4108,2.1673,-0.0874,0.881,28.91,21.89,-20.72,312.5,-4.01,7.88,88,2020-06-27 15:02:34:315
-0.5131,-1.5752,0.9078,-1.341,0.6866,9.6902,0.8862,-2.6492,-9.4681,1.541,-0.0033,0.7383,28.91,21.89,-20.72,312.5,-4.01,7.88,98,2020-06-27 15:02:34:325
-0.5131,-1.5752,0.9078,-1.318,1.1787,9.6459,0.8862,-2.6492,-9.4681,1.541,-0.0033,0.7383,28.91,21.89,-20.72,312.5,-4.01,7.88,108,2020-06-27 15:02:34:335
-0.5071,-1.4435,0.0459,-1.318,1.1787,9.6459,0.8862,-2.6492,-9.4681,1.541,-0.0033,0.7383,28.91,21.89,-20.72,312.5,-4.01,7.88,118,2020-06-27 15:02:34:345
-0.5071,-1.4435,0.0459,-1.318,1.1787,9.6459,0.8567,-2.6672,-9.7157,1.541,-0.0033,0.7383,30.8,18.62,-28.13,312.5,-4.01,7.88,128,2020-06-27 15:02:34:355
0.1154,-0.7205,1.1735,-1.2293,1.4246,9.6244,0.8567,-2.6672,-9.7157,0.7473,-0.4272,0.751,30.8,18.62,-28.13,312.5,-4.01,7.88,142,2020-06-27 15:02:34:369
0.1154,-0.7205,1.1735,-1.2293,1.4246,9.6244,0.8567,-2.6672,-9.7157,0.7473,-0.4272,0.751,30.8,18.62,-28.13,312.5,-4.01,7.88,148,2020-06-27 15:02:34:375
0.1154,-0.7205,1.1735,-1.2293,1.4246,9.6244,1.6142,-1.961,-8.2133,0.7473,-0.4272,0.751,30.8,18.62,-28.13,312.5,-4.01,7.88,157,2020-06-27 15:02:34:384
1.2203,-0.0632,2.78,-1.0359,1.5653,9.6253,1.6142,-1.961,-8.2133,0.0379,-0.3175,0.6243,29.27,15.39,-28.94,307.93,-8.35,7.28,168,2020-06-27 15:02:34:395
1.2203,-0.0632,2.78,-1.0359,1.5653,9.6253,1.6142,-1.961,-8.2133,0.0379,-0.3175,0.6243,29.27,15.39,-28.94,307.93,-8.35,7.28,177,2020-06-27 15:02:34:404
1.2203,-0.0632,2.78,-1.0359,1.5653,9.6253,2.5107,-1.2719,-5.5449,0.0379,-0.3175,0.6243,29.27,15.39,-28.94,307.93,-8.35,7.28,188,2020-06-27 15:02:34:415
1.8512,0.643,6.0014,-0.9521,1.5309,9.6395,2.5107,-1.2719,-5.5449,-0.2082,-0.1481,0.4538,29.27,15.39,-28.94,307.93,-8.35,7.28,198,2020-06-27 15:02:34:425
1.8512,0.643,6.0014,-0.9521,1.5309,9.6395,2.5107,-1.2719,-5.5449,-0.2082,-0.1481,0.4538,31.67,17.32,-27.47,307.93,-8.35,7.28,208,2020-06-27 15:02:34:435
1.8512,0.643,6.0014,-0.9521,1.5309,9.6395,3.2091,-0.7676,-3.0958,-0.2082,-0.1481,0.4538,31.67,17.32,-27.47,307.93,-8.35,7.28,218,2020-06-27 15:02:34:445
3.7833,0.5365,6.7209,-0.7629,1.5099,9.6596,3.2091,-0.7676,-3.0958,-0.2082,-0.1481,0.4538,31.67,17.32,-27.47,307.93,-8.35,7.28,228,2020-06-27 15:02:34:455
3.7833,0.5365,6.7209,-0.7629,1.5099,9.6596,3.2091,-0.7676,-3.0958,-0.1741,-0.7756,0.2813,31.67,17.32,-27.47,307.93,-8.35,7.28,238,2020-06-27 15:02:34:465
3.7833,0.5365,6.7209,-0.7629,1.5099,9.6596,3.2091,-0.7676,-3.0958,-0.1741,-0.7756,0.2813,30.89,16.01,-31.06,306.35,-8.86,4.52,247,2020-06-27 15:02:34:474
