ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-7.5473,-0.7121,3.1978,-1.6369,4.0435,8.783,-5.6545,-4.7529,-5.9758,0.7133,0.2332,1.8184,17.82,25.88,-35.17,343.71,-22.5,10.63,7,2020-06-27 15:04:13:692
-6.2281,-0.5517,2.7669,-1.6369,4.0435,8.783,-5.6545,-4.7529,-5.9758,0.7133,0.2332,1.8184,17.82,25.88,-35.17,343.71,-22.5,10.63,18,2020-06-27 15:04:13:703
-6.2281,-0.5517,2.7669,-1.6369,4.0435,8.783,-5.6545,-4.7529,-5.9758,0.7133,0.2332,1.8184,17.82,25.88,-35.17,343.71,-22.5,10.63,27,2020-06-27 15:04:13:712
-6.2281,-0.5517,2.7669,-1.4844,4.235,8.7196,-4.153,-4.6646,-5.7975,0.2137,0.3887,2.4821,18.74,23.29,-34.55,343.71,-22.5,10.63,38,2020-06-27 15:04:13:723
-4.3426,-0.5732,2.731,-1.4844,4.235,8.7196,-4.153,-4.6646,-5.7975,0.2137,0.3887,2.4821,18.74,23.29,-34.55,343.71,-22.5,10.63,48,2020-06-27 15:04:13:733
-4.3426,-0.5732,2.731,-1.4844,4.235,8.7196,-1.766,-5.2757,-6.5881,0.2137,0.3887,2.4821,18.74,23.29,-34.55,343.71,-22.5,10.63,58,2020-06-27 15:04:13:743
-4.3426,-0.5732,2.731,-1.4844,4.235,8.7196,-1.766,-5.2757,-6.5881,0.2137,0.3887,2.4821,18.74,23.29,-34.55,343.71,-22.5,10.63,68,2020-06-27 15:04:13:753
-2.5661,-0.9515,1.6488,-1.1669,4.3705,8.701,-1.766,-5.2757,-6.5881,-0.0921,0.0085,2.9252,24.75,24.91,-29.7,330.74,-26.47,7.64,78,2020-06-27 15:04:13:763
-2.5661,-0.9515,1.6488,-1.1669,4.3705,8.701,-1.766,-5.2757,-6.5881,-0.0921,0.0085,2.9252,24.75,24.91,-29.7,330.74,-26.47,7.64,87,2020-06-27 15:04:13:772
0.6984,-1.2723,1.8032,-1.1669,4.3705,8.701,0.2927,-5.5967,-6.9697,-0.8282,-0.2749,3.5079,24.75,24.91,-29.7,330.74,-26.47,7.64,98,2020-06-27 15:04:13:783
