ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
3.9186,-7.6062,11.7978,-0.2212,-0.6517,9.7825,4.3842,-7.2637,7.0955,-4.4916,-0.0331,-0.2024,20.7,30.94,-20.59,325.18,3.81,1.3,8,2020-06-27 15:07:28:624
2.8879,-8.5734,19.6292,-0.003,-2.059,9.5881,4.3842,-7.2637,7.0955,-4.563,-0.7181,-0.9193,20.7,30.94,-20.59,325.18,3.81,1.3,18,2020-06-27 15:07:28:634
2.8879,-8.5734,19.6292,-0.003,-2.059,9.5881,4.3842,-7.2637,7.0955,-4.563,-0.7181,-0.9193,20.7,30.94,-20.59,325.18,3.81,1.3,28,2020-06-27 15:07:28:644
2.8879,-8.5734,19.6292,-0.003,-2.059,9.5881,1.4476,-5.604,12.2874,-4.563,-0.7181,-0.9193,20.7,30.94,-20.59,325.18,3.81,1.3,38,2020-06-27 15:07:28:654
0.8121,-8.0754,23.5785,-0.003,-2.059,9.5881,1.4476,-5.604,12.2874,-4.0996,-1.0408,-0.9065,20.29,33.57,-12.6,325.18,3.81,1.3,48,2020-06-27 15:07:28:664
0.8121,-8.0754,23.5785,0.3648,-3.2434,9.2476,1.4476,-5.604,12.2874,-4.0996,-1.0408,-0.9065,20.29,33.57,-12.6,325.18,3.81,1.3,57,2020-06-27 15:07:28:673
0.8121,-8.0754,23.5785,0.3648,-3.2434,9.2476,-0.4183,-4.2295,17.0844,-4.0996,-1.0408,-0.9065,20.29,33.57,-12.6,325.18,3.81,1.3,68,2020-06-27 15:07:28:684
-0.2905,-7.5511,27.147,0.3648,-3.2434,9.2476,-0.4183,-4.2295,17.0844,-3.6053,-0.2344,-0.4559,19.54,34.44,-11.11,324.58,19.31,-2.26,77,2020-06-27 15:07:28:693
-0.2905,-7.5511,27.147,0.533,-4.3643,8.7658,-0.4183,-4.2295,17.0844,-3.6053,-0.2344,-0.4559,19.54,34.44,-11.11,324.58,19.31,-2.26,88,2020-06-27 15:07:28:704
-0.2905,-7.5511,27.147,0.533,-4.3643,8.7658,-0.9026,-2.3658,20.655,-3.6053,-0.2344,-0.4559,19.54,34.44,-11.11,324.58,19.31,-2.26,97,2020-06-27 15:07:28:713
