ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-17.069,-3.3349,14.3021,0.0057,1.6907,9.6598,-17.0775,-5.0747,4.5703,-0.5118,-0.4954,-1.4871,4.9,32.95,-27.35,352.12,-11.34,-0.45,8,2020-06-27 15:10:20:689
-15.5906,-2.4742,15.4262,-0.0472,1.552,9.683,-15.0732,-3.8409,5.8831,-0.3339,-0.146,0.1438,2.38,34.28,-24.45,352.12,-11.34,-0.45,18,2020-06-27 15:10:20:699
-15.5906,-2.4742,15.4262,-0.0472,1.552,9.683,-15.0732,-3.8409,5.8831,-0.3339,-0.146,0.1438,2.38,34.28,-24.45,352.12,-11.34,-0.45,27,2020-06-27 15:10:20:708
-15.5906,-2.4742,15.4262,-0.0472,1.552,9.683,-15.0732,-3.8409,5.8831,-0.3339,-0.146,0.1438,2.38,34.28,-24.45,352.12,-11.34,-0.45,38,2020-06-27 15:10:20:719
-10.1557,-0.8414,17.2434,-0.1171,1.4457,9.6988,-8.9887,-1.9674,7.5,0.0805,0.099,1.0972,2.38,34.28,-24.45,352.12,-11.34,-0.45,47,2020-06-27 15:10:20:728
-10.1557,-0.8414,17.2434,-0.1171,1.4457,9.6988,-8.9887,-1.9674,7.5,0.0805,0.099,1.0972,2.36,34.92,-25.14,357.46,-8.48,0.69,58,2020-06-27 15:10:20:739
-6.3669,0.4814,17.6863,-0.1171,1.4457,9.6988,-8.9887,-1.9674,7.5,0.0805,0.099,1.0972,2.36,34.92,-25.14,357.46,-8.48,0.69,68,2020-06-27 15:10:20:749
-6.3669,0.4814,17.6863,-0.1218,1.5083,9.6892,-5.3664,-0.7976,7.7901,0.4864,-0.1066,1.2762,2.36,34.92,-25.14,357.46,-8.48,0.69,78,2020-06-27 15:10:20:759
-6.3669,0.4814,17.6863,-0.1218,1.5083,9.6892,-5.3664,-0.7976,7.7901,0.4864,-0.1066,1.2762,2.36,34.92,-25.14,357.46,-8.48,0.69,88,2020-06-27 15:10:20:769
-4.0936,1.3685,17.5391,-0.1218,1.5083,9.6892,-5.3664,-0.7976,7.7901,0.4864,-0.1066,1.2762,2.38,34.28,-24.45,357.46,-8.48,0.69,98,2020-06-27 15:10:20:779
