ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.6635,-0.0106,7.7301,-0.2759,2.3615,9.5141,-0.7816,-1.7394,-0.6675,0.4938,-1.1633,-1.7119,16.24,28.97,-26.02,336.72,-13.49,2.58,4,2020-06-27 15:13:45:026
-1.6635,-0.0106,7.7301,-0.2759,2.3615,9.5141,-1.5139,-2.4156,-1.9338,0.4938,-1.1633,-1.7119,16.24,28.97,-26.02,336.72,-13.49,2.58,15,2020-06-27 15:13:45:037
-1.6635,-0.0106,7.7301,-0.2759,2.3615,9.5141,-1.5139,-2.4156,-1.9338,0.4938,-1.1633,-1.7119,16.24,28.97,-26.02,336.72,-13.49,2.58,25,2020-06-27 15:13:45:047
-2.5578,0.1582,6.8622,-0.0896,2.4535,9.4944,-1.5139,-2.4156,-1.9338,0.0059,-0.9663,-1.7246,12.88,30.91,-28.78,336.72,-13.49,2.58,35,2020-06-27 15:13:45:057
-2.5578,0.1582,6.8622,-0.0896,2.4535,9.4944,-2.7169,-2.409,-2.4439,0.0059,-0.9663,-1.7246,12.88,30.91,-28.78,336.72,-13.49,2.58,49,2020-06-27 15:13:45:071
-2.5578,0.1582,6.8622,0.0394,2.3968,9.5092,-2.7169,-2.409,-2.4439,0.0059,-0.9663,-1.7246,12.88,30.91,-28.78,336.72,-13.49,2.58,55,2020-06-27 15:13:45:077
-4.1272,-1.064,8.5405,0.0394,2.3968,9.5092,-2.7169,-2.409,-2.4439,0.0059,-0.9663,-1.7246,12.88,30.91,-28.78,336.72,-13.49,2.58,65,2020-06-27 15:13:45:087
-4.1272,-1.064,8.5405,0.0394,2.3968,9.5092,-4.7028,-3.5901,-0.7426,-0.4053,-1.1165,-1.8716,7.11,30.95,-28.73,349.15,-14.15,-0.24,75,2020-06-27 15:13:45:097
-4.1272,-1.064,8.5405,0.1842,2.2473,9.5439,-4.7028,-3.5901,-0.7426,-0.4053,-1.1165,-1.8716,7.11,30.95,-28.73,349.15,-14.15,-0.24,85,2020-06-27 15:13:45:107
-6.4914,-1.4291,9.3473,0.1842,2.2473,9.5439,-4.7028,-3.5901,-0.7426,-0.4053,-1.1165,-1.8716,7.11,30.95,-28.73,349.15,-14.15,-0.24,95,2020-06-27 15:13:45:117
-6.4914,-1.4291,9.3473,0.1842,2.2473,9.5439,-7.6669,-3.5915,0.2943,-0.8346,-0.7735,-1.7917,7.11,30.95,-28.73,349.15,-14.15,-0.24,105,2020-06-27 15:13:45:127
-9.3705,-1.8374,11.9427,0.2071,1.9738,9.6037,-7.6669,-3.5915,0.2943,-0.8346,-0.7735,-1.7917,7.09,31.59,-28.71,349.15,-14.15,-0.24,115,2020-06-27 15:13:45:137
-9.3705,-1.8374,11.9427,0.2071,1.9738,9.6037,-7.6669,-3.5915,0.2943,-0.8346,-0.7735,-1.7917,7.09,31.59,-28.71,349.15,-14.15,-0.24,125,2020-06-27 15:13:45:147
