ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.7334,-6.6605,4.0047,-0.9032,3.2643,9.2032,-0.314,-9.6257,-6.1337,4.4129,1.3219,-0.1108,27.65,20.71,-27.48,319.61,-19.44,5.61,12,2020-06-27 15:16:22:142
-1.7904,-5.0827,2.8626,-0.9032,3.2643,9.2032,-0.314,-9.6257,-6.1337,3.7003,1.4828,0.0554,27.65,20.71,-27.48,319.61,-19.44,5.61,23,2020-06-27 15:16:22:153
-1.7904,-5.0827,2.8626,-1.3156,4.2732,8.7281,-0.314,-9.6257,-6.1337,3.7003,1.4828,0.0554,27.65,20.71,-27.48,319.61,-19.44,5.61,33,2020-06-27 15:16:22:163
-1.7904,-5.0827,2.8626,-1.3156,4.2732,8.7281,-0.4085,-9.4477,-7.5238,3.7003,1.4828,0.0554,27.65,20.71,-27.48,319.61,-19.44,5.61,42,2020-06-27 15:16:22:172
-1.9772,-4.3046,0.9509,-1.3156,4.2732,8.7281,-0.4085,-9.4477,-7.5238,3.7003,1.4828,0.0554,28.08,15.1,-31.21,319.61,-19.44,5.61,53,2020-06-27 15:16:22:183
-1.9772,-4.3046,0.9509,-1.5959,5.154,8.189,-0.4085,-9.4477,-7.5238,3.3967,0.8692,0.343,28.08,15.1,-31.21,319.61,-19.44,5.61,64,2020-06-27 15:16:22:194
-1.4947,-3.4295,-1.2518,-1.5959,5.154,8.189,0.0693,-9.4205,-9.1505,3.3967,0.8692,0.343,28.08,15.1,-31.21,319.61,-19.44,5.61,73,2020-06-27 15:16:22:203
-1.4947,-3.4295,-1.2518,-1.5959,5.154,8.189,0.0693,-9.4205,-9.1505,3.3967,0.8692,0.343,28.08,15.1,-31.21,319.61,-19.44,5.61,83,2020-06-27 15:16:22:213
-1.4947,-3.4295,-1.2518,-1.6568,5.9352,7.6288,0.0693,-9.4205,-9.1505,3.075,0.3078,0.5838,26.58,22.62,-17.1,324.41,-37.24,12.25,93,2020-06-27 15:16:22:223
0.0495,-2.7424,-3.4736,-1.6568,5.9352,7.6288,0.0693,-9.4205,-9.1505,3.075,0.3078,0.5838,26.58,22.62,-17.1,324.41,-37.24,12.25,102,2020-06-27 15:16:22:232
0.0495,-2.7424,-3.4736,-1.6568,5.9352,7.6288,1.6542,-9.3132,-11.0584,3.075,0.3078,0.5838,26.58,22.62,-17.1,324.41,-37.24,12.25,113,2020-06-27 15:16:22:243
0.0495,-2.7424,-3.4736,-1.617,6.5571,7.1106,1.6542,-9.3132,-11.0584,2.2664,0.3515,0.4719,26.58,22.62,-17.1,324.41,-37.24,12.25,123,2020-06-27 15:16:22:253
1.2478,-2.4072,-4.9197,-1.617,6.5571,7.1106,2.9423,-9.3948,-12.0813,2.2664,0.3515,0.4719,28.42,17.44,-17.28,324.41,-37.24,12.25,132,2020-06-27 15:16:22:262
1.2478,-2.4072,-4.9197,-1.617,6.5571,7.1106,2.9423,-9.3948,-12.0813,2.2664,0.3515,0.4719,28.42,17.44,-17.28,324.41,-37.24,12.25,142,2020-06-27 15:16:22:272
1.2478,-2.4072,-4.9197,-1.659,6.9411,6.7261,2.9423,-9.3948,-12.0813,1.345,0.5198,0.1108,28.42,17.44,-17.28,324.41,-37.24,12.25,154,2020-06-27 15:16:22:284
1.243,-2.0971,-5.5039,-1.659,6.9411,6.7261,2.9397,-9.2677,-12.229,1.345,0.5198,0.1108,28.42,17.44,-17.28,324.41,-37.24,12.25,164,2020-06-27 15:16:22:294
1.243,-2.0971,-5.5039,-1.659,6.9411,6.7261,2.9397,-9.2677,-12.229,1.345,0.5198,0.1108,28.49,15.5,-16.64,320.19,-45.06,13.86,172,2020-06-27 15:16:22:302
1.243,-2.0971,-5.5039,-1.7533,7.0935,6.5405,2.9397,-9.2677,-12.229,0.3468,0.1821,-0.2482,28.49,15.5,-16.64,320.19,-45.06,13.86,183,2020-06-27 15:16:22:313
-0.0331,-1.8254,-4.9748,-1.7533,7.0935,6.5405,1.5612,-8.9748,-11.5311,0.3468,0.1821,-0.2482,28.49,15.5,-16.64,320.19,-45.06,13.86,193,2020-06-27 15:16:22:323
-0.0331,-1.8254,-4.9748,-1.7533,7.0935,6.5405,1.5612,-8.9748,-11.5311,0.3468,0.1821,-0.2482,28.49,15.5,-16.64,320.19,-45.06,13.86,202,2020-06-27 15:16:22:332
-0.8698,-1.5919,-4.709,-1.8185,7.0868,6.53,1.5612,-8.9748,-11.5311,-0.3861,-0.0981,-0.1758,27.69,14.85,-18.07,320.19,-45.06,13.86,213,2020-06-27 15:16:22:343
-0.8698,-1.5919,-4.709,-1.8185,7.0868,6.53,0.8404,-8.5439,-11.1784,-0.3861,-0.0981,-0.1758,27.69,14.85,-18.07,320.19,-45.06,13.86,223,2020-06-27 15:16:22:353
-0.8698,-1.5919,-4.709,-1.8185,7.0868,6.53,0.8404,-8.5439,-11.1784,-0.3861,-0.0981,-0.1758,27.69,14.85,-18.07,320.19,-45.06,13.86,233,2020-06-27 15:16:22:363
-1.2266,-1.216,-4.5354,-1.8236,6.9594,6.6642,0.8404,-8.5439,-11.1784,-1.0572,-0.178,0.0394,27.69,14.85,-18.07,320.19,-45.06,13.86,242,2020-06-27 15:16:22:372
-1.2266,-1.216,-4.5354,-1.8236,6.9594,6.6642,0.5781,-8.0338,-11.2942,-1.0572,-0.178,0.0394,29.31,15.48,-18.77,321.64,-45.21,15.3,253,2020-06-27 15:16:22:383
-1.2266,-1.216,-4.5354,-1.8236,6.9594,6.6642,0.5781,-8.0338,-11.2942,-1.0572,-0.178,0.0394,29.31,15.48,-18.77,321.64,-45.21,15.3,264,2020-06-27 15:16:22:394
-1.0267,-1.3082,-4.5881,-1.7626,6.7072,6.9338,0.5781,-8.0338,-11.2942,-1.7976,-0.3654,0.2791,29.31,15.48,-18.77,321.64,-45.21,15.3,273,2020-06-27 15:16:22:403
-1.0267,-1.3082,-4.5881,-1.7626,6.7072,6.9338,0.7734,-7.9071,-11.0176,-1.7976,-0.3654,0.2791,29.31,15.48,-18.77,321.64,-45.21,15.3,283,2020-06-27 15:16:22:413
