ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.4561,-0.736,18.4381,-0.115,-1.4247,9.7019,0.6975,0.4578,8.6777,-0.76,0.5496,0.4325,22.0,30.3,-22.19,317.01,5.95,-0.43,2,2020-06-27 15:19:21:603
5.0187,0.1618,17.3332,-0.115,-1.4247,9.7019,4.7507,1.5236,7.773,-0.1805,0.7243,0.5529,22.0,30.3,-22.19,317.01,5.95,-0.43,13,2020-06-27 15:19:21:614
5.0187,0.1618,17.3332,-0.115,-1.4247,9.7019,4.7507,1.5236,7.773,-0.1805,0.7243,0.5529,22.0,30.3,-22.19,317.01,5.95,-0.43,23,2020-06-27 15:19:21:624
5.0187,0.1618,17.3332,-0.3041,-1.4441,9.695,4.7507,1.5236,7.773,-0.1805,0.7243,0.5529,26.9,31.56,-22.19,316.75,8.35,0.68,33,2020-06-27 15:19:21:634
7.8738,0.9148,14.7235,-0.3041,-1.4441,9.695,8.1462,2.3068,4.9982,0.383,0.7765,0.1215,26.9,31.56,-22.19,316.75,8.35,0.68,42,2020-06-27 15:19:21:643
7.8738,0.9148,14.7235,-0.3041,-1.4441,9.695,8.1462,2.3068,4.9982,0.383,0.7765,0.1215,26.9,31.56,-22.19,316.75,8.35,0.68,53,2020-06-27 15:19:21:654
9.1559,0.9208,12.0863,-0.474,-1.3116,9.707,8.1462,2.3068,4.9982,0.383,0.7765,0.1215,26.9,31.56,-22.19,316.75,8.35,0.68,63,2020-06-27 15:19:21:664
9.1559,0.9208,12.0863,-0.474,-1.3116,9.707,9.7279,2.1857,2.1811,0.4778,0.7318,-0.4485,26.94,30.27,-22.23,316.75,8.35,0.68,73,2020-06-27 15:19:21:674
9.1559,0.9208,12.0863,-0.474,-1.3116,9.707,9.7279,2.1857,2.1811,0.4778,0.7318,-0.4485,26.94,30.27,-22.23,316.75,8.35,0.68,85,2020-06-27 15:19:21:686
10.0525,0.5329,10.7312,-0.5869,-1.1844,9.7172,9.7279,2.1857,2.1811,0.4778,0.7318,-0.4485,26.94,30.27,-22.23,316.75,8.35,0.68,93,2020-06-27 15:19:21:694
10.0525,0.5329,10.7312,-0.5869,-1.1844,9.7172,10.7342,1.642,0.5249,0.5929,0.5166,-1.1121,26.94,30.27,-22.23,316.75,8.35,0.68,102,2020-06-27 15:19:21:703
10.0525,0.5329,10.7312,-0.5869,-1.1844,9.7172,10.7342,1.642,0.5249,0.5929,0.5166,-1.1121,27.77,30.25,-23.66,315.2,6.94,3.46,113,2020-06-27 15:19:21:714
9.3929,-0.0644,9.0289,-0.6442,-0.9974,9.7345,10.7342,1.642,0.5249,0.5929,0.5166,-1.1121,27.77,30.25,-23.66,315.2,6.94,3.46,123,2020-06-27 15:19:21:724
9.3929,-0.0644,9.0289,-0.6442,-0.9974,9.7345,9.6229,0.6996,-0.9981,0.4832,0.3291,-1.9238,27.77,30.25,-23.66,315.2,6.94,3.46,132,2020-06-27 15:19:21:733
9.3929,-0.0644,9.0289,-0.6442,-0.9974,9.7345,9.6229,0.6996,-0.9981,0.4832,0.3291,-1.9238,27.77,30.25,-23.66,315.2,6.94,3.46,143,2020-06-27 15:19:21:744
6.5498,-1.1466,8.8637,-0.6258,-0.8831,9.7467,9.6229,0.6996,-0.9981,0.4832,0.3291,-1.9238,25.27,30.92,-22.91,315.2,6.94,3.46,153,2020-06-27 15:19:21:754
6.5498,-1.1466,8.8637,-0.6258,-0.8831,9.7467,5.8849,-0.7922,-1.2771,0.4832,0.3291,-1.9238,25.27,30.92,-22.91,315.2,6.94,3.46,162,2020-06-27 15:19:21:763
1.8607,-2.6442,7.5062,-0.6258,-0.8831,9.7467,5.8849,-0.7922,-1.2771,0.7058,-0.4134,-2.2008,25.27,30.92,-22.91,315.2,6.94,3.46,173,2020-06-27 15:19:21:774
1.8607,-2.6442,7.5062,-0.4287,-0.7278,9.7702,5.8849,-0.7922,-1.2771,0.7058,-0.4134,-2.2008,25.27,30.92,-22.91,315.2,6.94,3.46,183,2020-06-27 15:19:21:784
1.8607,-2.6442,7.5062,-0.4287,-0.7278,9.7702,-0.1558,-2.4568,-3.1944,0.7058,-0.4134,-2.2008,21.93,32.23,-24.26,325.16,4.26,2.51,192,2020-06-27 15:19:21:793
-2.2178,-3.712,7.3398,-0.4287,-0.7278,9.7702,-0.1558,-2.4568,-3.1944,0.5013,-1.3444,-1.7726,21.93,32.23,-24.26,325.16,4.26,2.51,202,2020-06-27 15:19:21:803
-2.2178,-3.712,7.3398,-0.0378,-0.5976,9.7883,-0.1558,-2.4568,-3.1944,0.5013,-1.3444,-1.7726,21.93,32.23,-24.26,325.16,4.26,2.51,213,2020-06-27 15:19:21:814
-2.2178,-3.712,7.3398,-0.0378,-0.5976,9.7883,-2.7297,-2.8404,-0.744,0.5013,-1.3444,-1.7726,21.93,32.23,-24.26,325.16,4.26,2.51,223,2020-06-27 15:19:21:824
-3.5573,-3.2188,9.722,-0.0378,-0.5976,9.7883,-2.7297,-2.8404,-0.744,0.3063,-0.8352,-1.9792,16.91,34.19,-25.58,325.16,4.26,2.51,232,2020-06-27 15:19:21:833
-3.5573,-3.2188,9.722,0.2624,-0.5231,9.7892,-2.7297,-2.8404,-0.744,0.3063,-0.8352,-1.9792,16.91,34.19,-25.58,325.16,4.26,2.51,243,2020-06-27 15:19:21:844
-3.5573,-3.2188,9.722,0.2624,-0.5231,9.7892,-6.7593,-3.2566,-0.8302,0.3063,-0.8352,-1.9792,16.91,34.19,-25.58,325.16,4.26,2.51,253,2020-06-27 15:19:21:854
-9.0245,-4.0855,8.9846,0.2624,-0.5231,9.7892,-6.7593,-3.2566,-0.8302,-0.1187,-0.1577,-2.2285,16.91,34.19,-25.58,325.16,4.26,2.51,263,2020-06-27 15:19:21:864
-9.0245,-4.0855,8.9846,0.321,-0.5272,9.7872,-6.7593,-3.2566,-0.8302,-0.1187,-0.1577,-2.2285,16.04,31.35,-27.22,330.49,3.06,-1.54,273,2020-06-27 15:19:21:874
-12.3788,-3.8784,10.9898,0.321,-0.5272,9.7872,-12.4913,-3.4369,0.3301,-0.1187,-0.1577,-2.2285,16.04,31.35,-27.22,330.49,3.06,-1.54,283,2020-06-27 15:19:21:884
-12.3788,-3.8784,10.9898,0.321,-0.5272,9.7872,-12.4913,-3.4369,0.3301,-0.2955,-0.1279,-0.7925,16.04,31.35,-27.22,330.49,3.06,-1.54,292,2020-06-27 15:19:21:893
-12.3788,-3.8784,10.9898,0.274,-0.6466,9.7815,-12.4913,-3.4369,0.3301,-0.2955,-0.1279,-0.7925,16.04,31.35,-27.22,330.49,3.06,-1.54,302,2020-06-27 15:19:21:903
-8.8701,-3.2092,12.2838,0.274,-0.6466,9.7815,-9.7909,-2.7019,2.5287,-0.2955,-0.1279,-0.7925,13.82,35.14,-22.55,330.49,3.06,-1.54,313,2020-06-27 15:19:21:914
-8.8701,-3.2092,12.2838,0.274,-0.6466,9.7815,-9.7909,-2.7019,2.5287,0.1721,-0.1929,0.1108,13.82,35.14,-22.55,330.49,3.06,-1.54,322,2020-06-27 15:19:21:923
-8.8701,-3.2092,12.2838,0.2675,-0.6318,9.7826,-9.7909,-2.7019,2.5287,0.1721,-0.1929,0.1108,13.82,35.14,-22.55,330.49,3.06,-1.54,332,2020-06-27 15:19:21:933
-5.1842,-2.3593,10.3278,0.2675,-0.6318,9.7826,-5.5618,-1.7569,0.4775,0.1721,-0.1929,0.1108,13.82,35.14,-22.55,330.49,3.06,-1.54,343,2020-06-27 15:19:21:944
-5.1842,-2.3593,10.3278,0.2675,-0.6318,9.7826,-5.5618,-1.7569,0.4775,-0.1166,0.2386,0.1864,13.02,34.49,-23.28,337.24,3.69,-1.57,353,2020-06-27 15:19:21:954
-5.1842,-2.3593,10.3278,0.1779,-0.658,9.7829,-5.5618,-1.7569,0.4775,-0.1166,0.2386,0.1864,13.02,34.49,-23.28,337.24,3.69,-1.57,362,2020-06-27 15:19:21:963
-3.5549,-1.7847,11.4399,0.1779,-0.658,9.7829,-3.7037,-1.0949,1.5099,-0.1166,0.2386,0.1864,13.02,34.49,-23.28,337.24,3.69,-1.57,372,2020-06-27 15:19:21:973
-3.5549,-1.7847,11.4399,0.1779,-0.658,9.7829,-3.7037,-1.0949,1.5099,0.0166,0.1352,0.1992,13.02,34.49,-23.28,337.24,3.69,-1.57,383,2020-06-27 15:19:21:984
-2.9001,-1.3968,11.2914,0.1053,-0.6708,9.7831,-3.7037,-1.0949,1.5099,0.0166,0.1352,0.1992,11.33,35.8,-22.51,337.24,3.69,-1.57,393,2020-06-27 15:19:21:994
-2.9001,-1.3968,11.2914,0.1053,-0.6708,9.7831,-2.8785,-0.7078,1.3389,0.0166,0.1352,0.1992,11.33,35.8,-22.51,337.24,3.69,-1.57,402,2020-06-27 15:19:22:003
