ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.5023,-5.5699,15.2263,0.1368,1.7626,9.646,-1.8745,-7.5228,2.9743,4.6835,-0.7468,0.2525,20.16,27.02,-25.85,324.9,-2.55,0.49,11,2020-06-27 15:21:48:162
-2.4009,-4.9558,11.4949,0.1368,1.7626,9.646,-1.8745,-7.5228,2.9743,4.6601,-0.6094,0.114,20.16,27.02,-25.85,324.9,-2.55,0.49,20,2020-06-27 15:21:48:171
-2.4009,-4.9558,11.4949,0.2615,3.0171,9.3273,-1.8745,-7.5228,2.9743,4.6601,-0.6094,0.114,20.16,27.02,-25.85,324.9,-2.55,0.49,31,2020-06-27 15:21:48:182
-2.4009,-4.9558,11.4949,0.2615,3.0171,9.3273,-2.8403,-7.7284,-0.3507,4.6601,-0.6094,0.114,20.38,21.18,-29.6,324.9,-2.55,0.49,40,2020-06-27 15:21:48:191
-2.3842,-4.1298,8.6566,0.2615,3.0171,9.3273,-2.8403,-7.7284,-0.3507,4.3714,-0.0555,0.5859,20.38,21.18,-29.6,324.9,-2.55,0.49,51,2020-06-27 15:21:48:202
-2.3842,-4.1298,8.6566,0.3342,4.143,8.8822,-2.8403,-7.7284,-0.3507,4.3714,-0.0555,0.5859,20.38,21.18,-29.6,324.9,-2.55,0.49,60,2020-06-27 15:21:48:211
0.6529,-4.0137,4.4907,0.3342,4.143,8.8822,-0.5995,-8.7619,-4.2174,4.3714,-0.0555,0.5859,20.38,21.18,-29.6,324.9,-2.55,0.49,71,2020-06-27 15:21:48:222
0.6529,-4.0137,4.4907,0.3342,4.143,8.8822,-0.5995,-8.7619,-4.2174,3.7919,0.0766,0.9939,20.41,13.39,-38.49,322.1,-24.99,-2.16,80,2020-06-27 15:21:48:231
0.6529,-4.0137,4.4907,0.3342,4.143,8.8822,-0.5995,-8.7619,-4.2174,3.7919,0.0766,0.9939,20.41,13.39,-38.49,322.1,-24.99,-2.16,91,2020-06-27 15:21:48:242
4.2645,-3.7168,3.1751,0.4548,5.0781,8.3771,2.8518,-9.2552,-5.5977,3.7919,0.0766,0.9939,20.41,13.39,-38.49,322.1,-24.99,-2.16,101,2020-06-27 15:21:48:252
4.2645,-3.7168,3.1751,0.4548,5.0781,8.3771,2.8518,-9.2552,-5.5977,3.7919,0.0766,0.9939,20.41,13.39,-38.49,322.1,-24.99,-2.16,111,2020-06-27 15:21:48:262
4.2645,-3.7168,3.1751,0.4966,5.8841,7.8295,4.0033,-9.8725,-6.0388,3.4254,0.2364,0.3356,21.43,8.2,-39.38,322.1,-24.99,-2.16,121,2020-06-27 15:21:48:272
4.3998,-3.7192,1.9828,0.4966,5.8841,7.8295,4.0033,-9.8725,-6.0388,3.4254,0.2364,0.3356,21.43,8.2,-39.38,322.1,-24.99,-2.16,130,2020-06-27 15:21:48:281
4.3998,-3.7192,1.9828,0.4966,5.8841,7.8295,4.0033,-9.8725,-6.0388,3.4254,0.2364,0.3356,21.43,8.2,-39.38,322.1,-24.99,-2.16,141,2020-06-27 15:21:48:292
1.85,-3.9335,-0.0966,0.4905,6.6612,7.1804,1.4512,-10.9166,-7.5439,3.516,-0.2973,-0.5124,21.43,8.2,-39.38,322.1,-24.99,-2.16,151,2020-06-27 15:21:48:302
1.85,-3.9335,-0.0966,0.4905,6.6612,7.1804,1.4512,-10.9166,-7.5439,3.516,-0.2973,-0.5124,19.97,3.03,-41.67,322.5,-42.79,-3.91,160,2020-06-27 15:21:48:311
1.85,-3.9335,-0.0966,0.4905,6.6612,7.1804,1.4512,-10.9166,-7.5439,3.516,-0.2973,-0.5124,19.97,3.03,-41.67,322.5,-42.79,-3.91,171,2020-06-27 15:21:48:322
0.1824,-4.0484,-2.6919,0.5421,7.3596,6.4586,-0.4346,-11.7074,-9.8346,3.2955,-0.9876,-0.5656,19.97,3.03,-41.67,322.5,-42.79,-3.91,180,2020-06-27 15:21:48:331
0.1824,-4.0484,-2.6919,0.5421,7.3596,6.4586,-0.4346,-11.7074,-9.8346,3.2955,-0.9876,-0.5656,19.97,3.03,-41.67,322.5,-42.79,-3.91,191,2020-06-27 15:21:48:342
0.1824,-4.0484,-2.6919,0.5421,7.3596,6.4586,-0.4346,-11.7074,-9.8346,3.2955,-0.9876,-0.5656,21.81,-2.16,-42.56,322.5,-42.79,-3.91,201,2020-06-27 15:21:48:352
0.5846,-3.7204,-6.7836,0.5421,7.3596,6.4586,-0.4346,-11.7074,-9.8346,3.2955,-0.9876,-0.5656,21.81,-2.16,-42.56,322.5,-42.79,-3.91,210,2020-06-27 15:21:48:361
0.5846,-3.7204,-6.7836,0.6274,7.878,5.8064,0.0761,-11.6833,-13.0837,2.2579,-0.8257,-0.3664,21.81,-2.16,-42.56,322.5,-42.79,-3.91,221,2020-06-27 15:21:48:372
0.5846,-3.7204,-6.7836,0.6274,7.878,5.8064,0.0761,-11.6833,-13.0837,2.2579,-0.8257,-0.3664,21.81,-2.16,-42.56,322.5,-42.79,-3.91,230,2020-06-27 15:21:48:381
0.9378,-2.9483,-7.9173,0.6274,7.878,5.8064,0.0761,-11.6833,-13.0837,2.2579,-0.8257,-0.3664,16.13,-4.7,-42.61,325.61,-53.45,-6.17,241,2020-06-27 15:21:48:392
0.9378,-2.9483,-7.9173,0.6016,8.1173,5.4698,-0.0206,-10.9519,-13.3214,0.5332,-0.1449,-0.5177,16.13,-4.7,-42.61,325.61,-53.45,-6.17,250,2020-06-27 15:21:48:401
