ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.3991,-1.3358,3.9221,-0.0865,3.0113,9.3325,-1.004,-4.8516,-4.4145,1.6635,0.1459,0.6211,25.49,14.37,-33.92,314.0,-17.88,0.53,9,2020-06-27 15:26:35:139
0.3991,-1.3358,3.9221,-0.0865,3.0113,9.3325,-1.004,-4.8516,-4.4145,1.6635,0.1459,0.6211,25.49,14.37,-33.92,314.0,-17.88,0.53,19,2020-06-27 15:26:35:149
0.3991,-1.3358,3.9221,0.0602,3.604,9.1202,2.6388,-4.5996,-8.7061,2.4443,-0.4592,0.5497,25.49,14.37,-33.92,314.0,-17.88,0.53,29,2020-06-27 15:26:35:159
4.3699,-0.3063,-2.4417,0.0602,3.604,9.1202,2.6388,-4.5996,-8.7061,2.4443,-0.4592,0.5497,25.49,14.37,-33.92,314.0,-17.88,0.53,40,2020-06-27 15:26:35:170
4.3699,-0.3063,-2.4417,0.0602,3.604,9.1202,2.6388,-4.5996,-8.7061,2.4443,-0.4592,0.5497,21.51,10.51,-35.44,314.0,-17.88,0.53,49,2020-06-27 15:26:35:179
4.3699,-0.3063,-2.4417,0.1675,4.1972,8.8615,3.8977,-4.2067,-13.3653,1.7519,-0.1801,-0.5763,21.51,10.51,-35.44,314.0,-17.88,0.53,58,2020-06-27 15:26:35:188
2.8567,0.5305,-4.879,0.1675,4.1972,8.8615,3.8977,-4.2067,-13.3653,1.7519,-0.1801,-0.5763,21.51,10.51,-35.44,314.0,-17.88,0.53,69,2020-06-27 15:26:35:199
2.8567,0.5305,-4.879,0.1675,4.1972,8.8615,3.8977,-4.2067,-13.3653,1.7519,-0.1801,-0.5763,21.51,10.51,-35.44,314.0,-17.88,0.53,78,2020-06-27 15:26:35:208
2.8567,0.5305,-4.879,0.086,4.4985,8.7136,0.5714,-3.7381,-12.4603,0.5545,-0.1077,-1.1686,21.51,10.49,-38.28,319.52,-27.3,-0.57,89,2020-06-27 15:26:35:219
-0.3204,0.8693,-2.2693,0.086,4.4985,8.7136,0.5714,-3.7381,-12.4603,0.5545,-0.1077,-1.1686,21.51,10.49,-38.28,319.52,-27.3,-0.57,100,2020-06-27 15:26:35:230
