ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-7.3845,-5.1569,19.5107,0.7838,0.4715,9.7639,-8.2417,-4.8562,10.0714,3.2795,0.1618,-0.8746,-6.16,38.05,-20.64,6.29,-2.76,-4.59,4,2020-06-27 15:29:42:347
-7.4276,-5.3904,16.1684,0.7838,0.4715,9.7639,-8.1367,-6.3911,6.1512,3.924,0.2268,-0.4719,-6.16,38.05,-20.64,6.29,-2.76,-4.59,12,2020-06-27 15:29:42:355
-7.4276,-5.3904,16.1684,0.7838,0.4715,9.7639,-8.1367,-6.3911,6.1512,3.924,0.2268,-0.4719,-6.16,38.05,-20.64,6.29,-2.76,-4.59,21,2020-06-27 15:29:42:364
-7.4276,-5.3904,16.1684,0.5733,1.5906,9.6598,-8.1367,-6.3911,6.1512,3.924,0.2268,-0.4719,-6.16,38.05,-20.64,6.29,-2.76,-4.59,32,2020-06-27 15:29:42:375
-7.6526,-5.4119,13.9658,0.5733,1.5906,9.6598,-8.1485,-7.534,3.845,4.1253,1.3134,0.0746,-5.97,32.83,-27.92,6.29,-2.76,-4.59,41,2020-06-27 15:29:42:384
-7.6526,-5.4119,13.9658,0.5733,1.5906,9.6598,-8.1485,-7.534,3.845,4.1253,1.3134,0.0746,-5.97,32.83,-27.92,6.29,-2.76,-4.59,52,2020-06-27 15:29:42:395
-7.6526,-5.4119,13.9658,0.1756,2.5443,9.4692,-8.1485,-7.534,3.845,4.1253,1.3134,0.0746,-5.97,32.83,-27.92,6.29,-2.76,-4.59,62,2020-06-27 15:29:42:405
-5.9635,-4.9211,9.7699,0.1756,2.5443,9.4692,-6.037,-8.4088,0.3459,4.2723,2.0974,0.8682,-5.97,32.83,-27.92,6.29,-2.76,-4.59,72,2020-06-27 15:29:42:415
-5.9635,-4.9211,9.7699,0.1756,2.5443,9.4692,-6.037,-8.4088,0.3459,4.2723,2.0974,0.8682,-1.66,27.59,-33.81,2.19,-15.04,-1.06,82,2020-06-27 15:29:42:425
-5.2452,-4.7379,7.4176,-0.3582,3.6858,9.0806,-6.037,-8.4088,0.3459,4.2723,2.0974,0.8682,-1.66,27.59,-33.81,2.19,-15.04,-1.06,92,2020-06-27 15:29:42:435
-5.2452,-4.7379,7.4176,-0.3582,3.6858,9.0806,-4.6728,-9.2323,-1.8782,4.2254,1.7629,1.2208,-1.66,27.59,-33.81,2.19,-15.04,-1.06,105,2020-06-27 15:29:42:448
-5.2452,-4.7379,7.4176,-0.7151,4.78,8.5329,-4.6728,-9.2323,-1.8782,4.2254,1.7629,1.2208,-1.66,27.59,-33.81,2.19,-15.04,-1.06,112,2020-06-27 15:29:42:455
