ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.1827,1.5708,9.722,-0.216,1.5231,9.6852,-0.0035,0.0132,-0.0658,-0.0026,0.0159,0.0213,23.07,24.57,-27.12,322.28,-8.93,1.26,1,2020-06-27 15:33:49:064
-0.1647,1.572,9.7232,-0.216,1.5231,9.6852,-0.0035,0.0132,-0.0658,-0.0026,0.0159,0.0213,23.07,24.57,-27.12,322.28,-8.93,1.26,12,2020-06-27 15:33:49:075
-0.1647,1.572,9.7232,-0.216,1.5231,9.6852,-0.0035,0.0132,-0.0658,-0.0388,0.0148,0.0224,23.07,24.57,-27.12,322.28,-8.93,1.26,22,2020-06-27 15:33:49:085
-0.1647,1.572,9.7232,-0.2168,1.516,9.6863,0.0838,0.0448,-0.149,-0.0388,0.0148,0.0224,20.62,23.93,-27.83,322.28,-8.93,1.26,31,2020-06-27 15:33:49:094
-0.2066,1.5612,9.7759,-0.2168,1.516,9.6863,0.0838,0.0448,-0.149,-0.0388,0.0148,0.0224,20.62,23.93,-27.83,322.28,-8.93,1.26,42,2020-06-27 15:33:49:105
-0.2066,1.5612,9.7759,-0.2168,1.516,9.6863,0.0838,0.0448,-0.149,-0.0654,0.033,0.0128,20.62,23.93,-27.83,322.28,-8.93,1.26,52,2020-06-27 15:33:49:115
-0.2402,1.5193,9.8382,-0.2253,1.4963,9.6892,0.0838,0.0448,-0.149,-0.0654,0.033,0.0128,20.62,23.93,-27.83,322.28,-8.93,1.26,61,2020-06-27 15:33:49:124
-0.2402,1.5193,9.8382,-0.2253,1.4963,9.6892,0.0069,-0.0294,-0.0881,-0.0654,0.033,0.0128,22.27,23.93,-27.13,322.57,-8.78,1.33,72,2020-06-27 15:33:49:135
-0.2402,1.5193,9.8382,-0.2253,1.4963,9.6892,0.0069,-0.0294,-0.0881,-0.1017,0.0138,0.0245,22.27,23.93,-27.13,322.57,-8.78,1.33,82,2020-06-27 15:33:49:145
-0.1085,1.3996,9.9196,-0.2312,1.4683,9.6934,0.1035,-0.0827,0.0663,-0.1017,0.0138,0.0245,22.27,23.93,-27.13,322.57,-8.78,1.33,91,2020-06-27 15:33:49:154
-0.1085,1.3996,9.9196,-0.2312,1.4683,9.6934,0.1035,-0.0827,0.0663,-0.1017,0.0138,0.0245,22.27,23.93,-27.13,322.57,-8.78,1.33,102,2020-06-27 15:33:49:165
-0.1085,1.3996,9.9196,-0.2312,1.4683,9.6934,0.1035,-0.0827,0.0663,-0.1017,0.0138,0.0245,22.27,23.93,-27.13,322.57,-8.78,1.33,112,2020-06-27 15:33:49:175
0.1453,1.2141,10.0393,-0.2116,1.41,9.7025,0.6402,-0.3658,0.1949,-0.3009,-0.031,0.0128,22.16,28.33,-27.22,322.57,-8.78,1.33,122,2020-06-27 15:33:49:185
0.1453,1.2141,10.0393,-0.2116,1.41,9.7025,0.6402,-0.3658,0.1949,-0.3009,-0.031,0.0128,22.16,28.33,-27.22,322.57,-8.78,1.33,132,2020-06-27 15:33:49:195
0.1453,1.2141,10.0393,-0.2116,1.41,9.7025,0.6402,-0.3658,0.1949,-0.3009,-0.031,0.0128,22.16,28.33,-27.22,322.57,-8.78,1.33,142,2020-06-27 15:33:49:205
-0.2952,1.2033,10.7851,-0.2101,1.2265,9.7274,-0.0458,-0.1082,0.7566,-0.8079,0.0468,0.0511,24.2,27.49,-28.03,322.38,-7.18,1.24,153,2020-06-27 15:33:49:216
-0.2952,1.2033,10.7851,-0.2101,1.2265,9.7274,-0.0458,-0.1082,0.7566,-0.8079,0.0468,0.0511,24.2,27.49,-28.03,322.38,-7.18,1.24,161,2020-06-27 15:33:49:224
-0.2952,1.2033,10.7851,-0.2101,1.2265,9.7274,-0.0458,-0.1082,0.7566,-0.8079,0.0468,0.0511,24.2,27.49,-28.03,322.38,-7.18,1.24,172,2020-06-27 15:33:49:235
-1.0063,1.4535,12.0276,-0.2022,0.9411,9.7593,-0.8067,0.5567,2.106,-1.2085,-0.1375,0.1481,24.2,27.49,-28.03,322.38,-7.18,1.24,181,2020-06-27 15:33:49:244
-1.0063,1.4535,12.0276,-0.2022,0.9411,9.7593,-0.8067,0.5567,2.106,-1.2085,-0.1375,0.1481,23.42,26.22,-25.22,322.38,-7.18,1.24,192,2020-06-27 15:33:49:255
-0.9931,1.6366,14.131,-0.2022,0.9411,9.7593,-0.8067,0.5567,2.106,-1.2085,-0.1375,0.1481,23.42,26.22,-25.22,322.38,-7.18,1.24,202,2020-06-27 15:33:49:265
-0.9931,1.6366,14.131,-0.1647,0.5857,9.7878,-0.8067,0.5567,2.106,-1.2085,-0.1375,0.1481,23.42,26.22,-25.22,322.38,-7.18,1.24,212,2020-06-27 15:33:49:275
-0.9931,1.6366,14.131,-0.1647,0.5857,9.7878,-0.9185,1.0228,4.3194,-1.1009,-0.1418,0.0181,23.42,26.22,-25.22,322.38,-7.18,1.24,222,2020-06-27 15:33:49:285
-1.8946,1.3697,14.6876,-0.1647,0.5857,9.7878,-0.9185,1.0228,4.3194,-1.1009,-0.1418,0.0181,23.35,28.15,-26.58,322.69,-3.42,0.96,231,2020-06-27 15:33:49:294
-1.8946,1.3697,14.6876,-0.1185,0.2582,9.8025,-0.9185,1.0228,4.3194,-1.1009,-0.1418,0.0181,23.35,28.15,-26.58,322.69,-3.42,0.96,242,2020-06-27 15:33:49:305
-1.8946,1.3697,14.6876,-0.1185,0.2582,9.8025,-2.1566,0.8525,5.8087,-1.3416,-0.3505,0.2482,23.35,28.15,-26.58,322.69,-3.42,0.96,251,2020-06-27 15:33:49:314
-2.5578,0.5868,18.2885,-0.1185,0.2582,9.8025,-2.1566,0.8525,5.8087,-1.3416,-0.3505,0.2482,23.35,28.15,-26.58,322.69,-3.42,0.96,262,2020-06-27 15:33:49:325
-2.5578,0.5868,18.2885,-0.0386,-0.0682,9.8063,-2.1566,0.8525,5.8087,-1.3416,-0.3505,0.2482,26.6,29.44,-24.43,322.69,-3.42,0.96,272,2020-06-27 15:33:49:335
