ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-6.841,-11.5195,20.4121,1.094,-3.1326,9.2282,-7.279,-7.973,13.5588,3.5074,1.0609,-2.0219,-4.08,45.28,-16.46,3.19,18.63,-6.76,9,2020-06-27 15:36:39:639
-6.841,-11.5195,20.4121,0.9245,-2.282,9.4925,-7.794,-9.1279,10.5899,3.5074,1.0609,-2.0219,-4.08,45.28,-16.46,3.19,18.63,-6.76,20,2020-06-27 15:36:39:650
-6.841,-11.5195,20.4121,0.9245,-2.282,9.4925,-7.794,-9.1279,10.5899,4.1818,1.5318,-1.2804,-4.08,45.28,-16.46,3.19,18.63,-6.76,29,2020-06-27 15:36:39:659
-7.2935,-11.5387,16.5527,0.9245,-2.282,9.4925,-7.794,-9.1279,10.5899,4.1818,1.5318,-1.2804,-4.08,45.28,-16.46,3.19,18.63,-6.76,40,2020-06-27 15:36:39:670
-7.2935,-11.5387,16.5527,0.4075,-0.915,9.7554,-7.7359,-10.5195,5.1172,4.1818,1.5318,-1.2804,-5.54,40.07,-23.73,3.19,18.63,-6.76,50,2020-06-27 15:36:39:680
-7.2935,-11.5387,16.5527,0.4075,-0.915,9.7554,-7.7359,-10.5195,5.1172,4.1818,1.5318,-1.2804,-5.54,40.07,-23.73,3.19,18.63,-6.76,60,2020-06-27 15:36:39:690
-7.4072,-11.2681,14.21,0.4075,-0.915,9.7554,-7.7359,-10.5195,5.1172,4.2457,2.0207,-0.3121,-5.54,40.07,-23.73,3.19,18.63,-6.76,69,2020-06-27 15:36:39:699
-7.4072,-11.2681,14.21,-0.235,0.27,9.8001,-7.4112,-11.3564,3.4067,4.2457,2.0207,-0.3121,-5.54,40.07,-23.73,3.19,18.63,-6.76,80,2020-06-27 15:36:39:710
-7.1474,-11.2573,12.3712,-0.235,0.27,9.8001,-7.4112,-11.3564,3.4067,4.2457,2.0207,-0.3121,-1.28,36.13,-29.58,2.67,-1.58,1.37,90,2020-06-27 15:36:39:720
-7.1474,-11.2573,12.3712,-0.235,0.27,9.8001,-7.4112,-11.3564,3.4067,4.6483,2.0868,0.6829,-1.28,36.13,-29.58,2.67,-1.58,1.37,99,2020-06-27 15:36:39:729
-7.1474,-11.2573,12.3712,-0.8777,1.5483,9.6438,-5.7604,-12.9206,0.6164,4.6483,2.0868,0.6829,-1.28,36.13,-29.58,2.67,-1.58,1.37,110,2020-06-27 15:36:39:740
-6.0688,-11.0921,8.2137,-0.8777,1.5483,9.6438,-5.7604,-12.9206,0.6164,4.6483,2.0868,0.6829,-1.28,36.13,-29.58,2.67,-1.58,1.37,120,2020-06-27 15:36:39:750
-6.0688,-11.0921,8.2137,-0.8777,1.5483,9.6438,-5.7604,-12.9206,0.6164,4.7272,2.1912,1.5042,3.83,31.53,-35.46,2.67,-1.58,1.37,129,2020-06-27 15:36:39:759
-6.0688,-11.0921,8.2137,-1.4392,2.8639,9.2681,-4.1743,-13.6874,-3.5176,4.7272,2.1912,1.5042,3.83,31.53,-35.46,2.67,-1.58,1.37,140,2020-06-27 15:36:39:770
-5.2788,-10.314,4.626,-1.4392,2.8639,9.2681,-4.1743,-13.6874,-3.5176,4.7272,2.1912,1.5042,3.83,31.53,-35.46,2.67,-1.58,1.37,149,2020-06-27 15:36:39:779
-5.2788,-10.314,4.626,-1.4392,2.8639,9.2681,-4.1743,-13.6874,-3.5176,4.2723,2.368,2.2083,3.83,31.53,-35.46,2.67,-1.58,1.37,160,2020-06-27 15:36:39:790
-5.2788,-10.314,4.626,-1.8194,3.882,8.8199,-3.1181,-13.8689,-5.9852,4.2723,2.368,2.2083,3.83,31.53,-35.46,4.17,-23.32,11.66,169,2020-06-27 15:36:39:799
-4.2995,-8.9685,1.7003,-1.8194,3.882,8.8199,-3.1181,-13.8689,-5.9852,4.2723,2.368,2.2083,3.83,31.53,-35.46,4.17,-23.32,11.66,180,2020-06-27 15:36:39:810
-4.2995,-8.9685,1.7003,-2.113,4.9718,8.1845,-3.1181,-13.8689,-5.9852,3.6715,2.4021,2.8145,3.83,31.53,-35.46,4.17,-23.32,11.66,190,2020-06-27 15:36:39:820
-3.1419,-7.5272,-0.9633,-2.113,4.9718,8.1845,-1.3638,-13.3551,-8.4698,3.6715,2.4021,2.8145,3.83,31.53,-35.46,4.17,-23.32,11.66,200,2020-06-27 15:36:39:830
-3.1419,-7.5272,-0.9633,-2.113,4.9718,8.1845,-1.3638,-13.3551,-8.4698,3.6715,2.4021,2.8145,19.83,13.43,-46.82,4.17,-23.32,11.66,210,2020-06-27 15:36:39:840
-3.1419,-7.5272,-0.9633,-2.1759,5.8954,7.5286,-1.3638,-13.3551,-8.4698,2.8885,2.2998,3.2576,19.83,13.43,-46.82,4.17,-23.32,11.66,219,2020-06-27 15:36:39:849
-2.1292,-6.0775,-3.6256,-2.1759,5.8954,7.5286,-0.093,-12.5944,-10.8021,2.8885,2.2998,3.2576,19.83,13.43,-46.82,4.17,-23.32,11.66,230,2020-06-27 15:36:39:860
-2.1292,-6.0775,-3.6256,-2.1759,5.8954,7.5286,-0.093,-12.5944,-10.8021,2.8885,2.2998,3.2576,19.83,13.43,-46.82,4.17,-23.32,11.66,240,2020-06-27 15:36:39:870
-2.1292,-6.0775,-3.6256,-2.0564,6.5885,6.9666,-0.093,-12.5944,-10.8021,1.6667,2.3297,3.6059,26.63,7.57,-47.07,341.28,-36.95,16.12,250,2020-06-27 15:36:39:880
-1.2326,-4.6493,-5.0957,-2.0564,6.5885,6.9666,0.6271,-11.6338,-12.0249,1.6667,2.3297,3.6059,26.63,7.57,-47.07,341.28,-36.95,16.12,260,2020-06-27 15:36:39:890
-1.2326,-4.6493,-5.0957,-2.0564,6.5885,6.9666,0.6271,-11.6338,-12.0249,1.6667,2.3297,3.6059,26.63,7.57,-47.07,341.28,-36.95,16.12,270,2020-06-27 15:36:39:900
-1.2326,-4.6493,-5.0957,-1.7641,7.0124,6.6245,0.6271,-11.6338,-12.0249,0.5599,2.1624,3.8297,26.63,7.57,-47.07,341.28,-36.95,16.12,280,2020-06-27 15:36:39:910
-0.1276,-3.7623,-5.2357,-1.7641,7.0124,6.6245,1.5197,-10.9309,-11.9144,0.5599,2.1624,3.8297,34.26,1.71,-46.6,341.28,-36.95,16.12,290,2020-06-27 15:36:39:920
-0.1276,-3.7623,-5.2357,-1.7641,7.0124,6.6245,1.5197,-10.9309,-11.9144,0.5599,2.1624,3.8297,34.26,1.71,-46.6,341.28,-36.95,16.12,300,2020-06-27 15:36:39:930
