ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
7.1244,-2.7747,2.2773,0.3849,6.1951,7.5923,6.2848,-9.4558,-5.7568,2.3761,-0.6318,-1.5084,25.98,4.46,-36.3,313.5,-31.54,-2.2,3,2020-06-27 15:39:16:599
7.1244,-2.7747,2.2773,0.3849,6.1951,7.5923,6.2848,-9.4558,-5.7568,2.3761,-0.6318,-1.5084,25.98,4.46,-36.3,313.5,-31.54,-2.2,13,2020-06-27 15:39:16:609
4.14,-2.3988,0.235,0.2318,6.8905,6.974,6.2848,-9.4558,-5.7568,2.3761,-0.6318,-1.5084,25.98,4.46,-36.3,313.5,-31.54,-2.2,22,2020-06-27 15:39:16:618
4.14,-2.3988,0.235,0.2318,6.8905,6.974,3.8419,-9.6052,-7.0014,2.3602,-1.141,-1.9079,25.18,3.81,-37.03,317.14,-44.64,-1.9,32,2020-06-27 15:39:16:628
4.14,-2.3988,0.235,0.2318,6.8905,6.974,3.8419,-9.6052,-7.0014,2.3602,-1.141,-1.9079,25.18,3.81,-37.03,317.14,-44.64,-1.9,43,2020-06-27 15:39:16:639
2.4557,-2.0253,-2.3759,0.1296,7.2814,6.5677,3.8419,-9.6052,-7.0014,2.3602,-1.141,-1.9079,25.18,3.81,-37.03,317.14,-44.64,-1.9,52,2020-06-27 15:39:16:648
2.4557,-2.0253,-2.3759,0.1296,7.2814,6.5677,2.1533,-9.4148,-9.5185,1.704,-1.6278,-1.7673,25.18,3.81,-37.03,317.14,-44.64,-1.9,63,2020-06-27 15:39:16:659
2.4557,-2.0253,-2.3759,0.1296,7.2814,6.5677,2.1533,-9.4148,-9.5185,1.704,-1.6278,-1.7673,18.61,3.85,-38.26,317.14,-44.64,-1.9,73,2020-06-27 15:39:16:669
2.5239,-1.3513,-4.0195,0.1296,7.2814,6.5677,2.1533,-9.4148,-9.5185,1.704,-1.6278,-1.7673,18.61,3.85,-38.26,317.14,-44.64,-1.9,84,2020-06-27 15:39:16:680
2.5239,-1.3513,-4.0195,0.0473,7.6226,6.1696,2.5309,-9.0889,-10.3246,0.5844,-1.353,-1.7087,18.61,3.85,-38.26,317.14,-44.64,-1.9,93,2020-06-27 15:39:16:689
