ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
11.9858,3.7004,6.5102,1.2004,4.8672,8.4285,10.7245,-1.2376,-1.9777,-1.2372,-0.7692,2.0059,23.75,6.61,-34.4,311.12,-32.27,-4.22,4,2020-06-27 15:40:54:317
11.9858,3.7004,6.5102,1.2004,4.8672,8.4285,10.7245,-1.2376,-1.9777,-1.2372,-0.7692,2.0059,23.75,6.61,-34.4,311.12,-32.27,-4.22,15,2020-06-27 15:40:54:328
11.9858,3.7004,6.5102,1.2004,4.8672,8.4285,10.7245,-1.2376,-1.9777,-1.2372,-0.7692,2.0059,23.75,6.61,-34.4,311.12,-32.27,-4.22,24,2020-06-27 15:40:54:337
13.991,4.6114,7.0309,1.578,4.5626,8.536,12.6504,0.2429,-1.5878,-1.1616,-0.5434,1.077,23.75,6.61,-34.4,311.12,-32.27,-4.22,35,2020-06-27 15:40:54:348
13.991,4.6114,7.0309,1.578,4.5626,8.536,12.6504,0.2429,-1.5878,-1.1616,-0.5434,1.077,19.71,9.28,-35.45,311.12,-32.27,-4.22,44,2020-06-27 15:40:54:357
15.6035,4.7706,7.3781,1.8302,4.2072,8.6672,12.6504,0.2429,-1.5878,-1.1616,-0.5434,1.077,19.71,9.28,-35.45,311.12,-32.27,-4.22,55,2020-06-27 15:40:54:368
15.6035,4.7706,7.3781,1.8302,4.2072,8.6672,13.8071,0.5936,-1.1,-1.4183,-0.2387,-0.2024,19.71,9.28,-35.45,311.12,-32.27,-4.22,65,2020-06-27 15:40:54:378
15.6035,4.7706,7.3781,1.8302,4.2072,8.6672,13.8071,0.5936,-1.1,-1.4183,-0.2387,-0.2024,19.71,9.28,-35.45,311.12,-32.27,-4.22,75,2020-06-27 15:40:54:388
14.8062,4.1326,7.8306,1.9147,3.8689,8.8054,13.8071,0.5936,-1.1,-1.4183,-0.2387,-0.2024,19.64,11.23,-33.97,310.15,-25.41,-11.92,85,2020-06-27 15:40:54:398
14.8062,4.1326,7.8306,1.9147,3.8689,8.8054,12.4702,0.5884,-0.3165,-1.495,-0.4848,-1.6522,19.64,11.23,-33.97,310.15,-25.41,-11.92,94,2020-06-27 15:40:54:407
