ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.0323,-4.4686,7.8115,0.0469,0.9089,9.7643,1.1688,-5.269,-1.2885,-2.1736,0.2332,-0.3526,29.04,22.24,-22.29,309.4,-8.41,-0.72,3,2020-06-27 15:49:42:603
1.7686,-5.7507,11.3238,-0.0526,0.0947,9.8061,1.8982,-5.7596,2.9549,-2.9747,0.5113,-0.4154,29.04,22.24,-22.29,309.4,-8.41,-0.72,13,2020-06-27 15:49:42:613
1.7686,-5.7507,11.3238,-0.0526,0.0947,9.8061,1.8982,-5.7596,2.9549,-2.9747,0.5113,-0.4154,29.04,22.24,-22.29,309.4,-8.41,-0.72,23,2020-06-27 15:49:42:623
1.4597,-6.8221,16.3085,-0.0526,0.0947,9.8061,1.8982,-5.7596,2.9549,-2.9747,0.5113,-0.4154,29.04,22.24,-22.29,309.4,-8.41,-0.72,33,2020-06-27 15:49:42:633
1.4597,-6.8221,16.3085,-0.2323,-0.9234,9.7603,1.8982,-5.7596,2.9549,-3.5009,0.8479,-0.9981,28.05,26.78,-20.0,312.18,5.4,1.36,43,2020-06-27 15:49:42:643
1.4597,-6.8221,16.3085,-0.2323,-0.9234,9.7603,1.2962,-5.7399,8.4355,-3.5009,0.8479,-0.9981,28.05,26.78,-20.0,312.18,5.4,1.36,53,2020-06-27 15:49:42:653
0.0483,-6.6689,19.8399,-0.4451,-1.9792,9.5945,1.2962,-5.7399,8.4355,-3.5009,0.8479,-0.9981,28.05,26.78,-20.0,312.18,5.4,1.36,63,2020-06-27 15:49:42:663
0.0483,-6.6689,19.8399,-0.4451,-1.9792,9.5945,1.2962,-5.7399,8.4355,-3.3529,0.9991,-1.4424,28.05,26.78,-20.0,312.18,5.4,1.36,73,2020-06-27 15:49:42:673
0.0483,-6.6689,19.8399,-0.4451,-1.9792,9.5945,-0.9387,-4.2423,12.8108,-3.3529,0.9991,-1.4424,27.11,30.07,-12.78,312.18,5.4,1.36,83,2020-06-27 15:49:42:683
-1.6013,-6.1673,23.7999,-0.4451,-1.9792,9.5945,-0.9387,-4.2423,12.8108,-3.3529,0.9991,-1.4424,27.11,30.07,-12.78,312.18,5.4,1.36,92,2020-06-27 15:49:42:692
-1.6013,-6.1673,23.7999,-0.5874,-2.7647,9.3905,-0.7662,-2.097,16.5862,-3.0365,0.9033,-1.4903,27.11,30.07,-12.78,312.18,5.4,1.36,103,2020-06-27 15:49:42:703
-1.6013,-6.1673,23.7999,-0.5874,-2.7647,9.3905,-0.7662,-2.097,16.5862,-3.0365,0.9033,-1.4903,27.11,30.07,-12.78,312.18,5.4,1.36,113,2020-06-27 15:49:42:713
-1.4026,-5.1581,25.9858,-0.5874,-2.7647,9.3905,-0.7662,-2.097,16.5862,-3.0365,0.9033,-1.4903,26.99,33.32,-9.83,317.15,16.37,3.58,122,2020-06-27 15:49:42:722
-1.4026,-5.1581,25.9858,-0.6467,-3.6921,9.062,-0.7662,-2.097,16.5862,-2.0234,0.4665,-1.2506,26.99,33.32,-9.83,317.15,16.37,3.58,133,2020-06-27 15:49:42:733
-1.4026,-5.1581,25.9858,-0.6467,-3.6921,9.062,-0.5526,1.0595,18.4378,-2.0234,0.4665,-1.2506,26.99,33.32,-9.83,317.15,16.37,3.58,143,2020-06-27 15:49:42:743
-0.8172,-1.8374,27.2679,-0.6467,-3.6921,9.062,-0.5526,1.0595,18.4378,-2.0234,0.4665,-1.2506,26.99,33.32,-9.83,317.15,16.37,3.58,153,2020-06-27 15:49:42:753
-0.8172,-1.8374,27.2679,-0.5886,-4.0476,8.913,-0.5526,1.0595,18.4378,-2.0234,0.4665,-1.2506,26.77,27.87,-14.87,317.15,16.37,3.58,163,2020-06-27 15:49:42:763
-0.8172,-1.8374,27.2679,-0.5886,-4.0476,8.913,0.4983,3.3313,18.0913,-0.9518,0.18,-1.0631,26.77,27.87,-14.87,317.15,16.37,3.58,172,2020-06-27 15:49:42:772
0.0866,-0.566,27.1506,-0.5886,-4.0476,8.913,0.4983,3.3313,18.0913,-0.9518,0.18,-1.0631,26.77,27.87,-14.87,317.15,16.37,3.58,183,2020-06-27 15:49:42:783
0.0866,-0.566,27.1506,-0.4643,-4.1536,8.8715,0.4755,3.8155,17.5311,-0.9518,0.18,-1.0631,26.77,27.87,-14.87,317.15,16.37,3.58,192,2020-06-27 15:49:42:792
-0.5227,-0.6391,26.0158,-0.4643,-4.1536,8.8715,0.4755,3.8155,17.5311,-0.0058,-0.1726,-1.1047,25.93,28.54,-12.71,308.62,25.06,3.0,203,2020-06-27 15:49:42:803
-0.5227,-0.6391,26.0158,-0.4643,-4.1536,8.8715,0.4755,3.8155,17.5311,-0.0058,-0.1726,-1.1047,25.93,28.54,-12.71,308.62,25.06,3.0,213,2020-06-27 15:49:42:813
-0.5227,-0.6391,26.0158,-0.4643,-4.1536,8.8715,0.4755,3.8155,17.5311,-0.0058,-0.1726,-1.1047,25.93,28.54,-12.71,308.62,25.06,3.0,222,2020-06-27 15:49:42:822
-0.7286,-2.2025,23.8311,-0.2492,-4.0079,8.9468,-0.5102,2.309,14.9187,0.8347,-0.4635,-0.9332,25.93,28.54,-12.71,308.62,25.06,3.0,233,2020-06-27 15:49:42:833
-0.7286,-2.2025,23.8311,-0.2492,-4.0079,8.9468,-0.5102,2.309,14.9187,0.8347,-0.4635,-0.9332,24.23,29.85,-11.23,308.62,25.06,3.0,243,2020-06-27 15:49:42:843
-1.2864,-4.1849,22.3287,-0.2492,-4.0079,8.9468,-0.5102,2.309,14.9187,0.8347,-0.4635,-0.9332,24.23,29.85,-11.23,308.62,25.06,3.0,254,2020-06-27 15:49:42:854
-1.2864,-4.1849,22.3287,-0.0099,-3.5861,9.1274,-1.2025,-0.4283,12.6738,1.5452,-0.2216,-0.8564,24.23,29.85,-11.23,308.62,25.06,3.0,263,2020-06-27 15:49:42:863
-1.2864,-4.1849,22.3287,-0.0099,-3.5861,9.1274,-1.2025,-0.4283,12.6738,1.5452,-0.2216,-0.8564,24.23,29.85,-11.23,308.62,25.06,3.0,273,2020-06-27 15:49:42:873
-1.1715,-5.4323,20.5678,-0.0099,-3.5861,9.1274,-1.2025,-0.4283,12.6738,1.5452,-0.2216,-0.8564,24.23,29.83,-14.78,313.08,21.45,0.06,282,2020-06-27 15:49:42:882
-1.1715,-5.4323,20.5678,0.0643,-3.047,9.321,-1.2462,-2.2306,10.3432,2.1876,0.36,-0.947,24.23,29.83,-14.78,313.08,21.45,0.06,293,2020-06-27 15:49:42:893
-1.1715,-5.4323,20.5678,0.0643,-3.047,9.321,-1.2462,-2.2306,10.3432,2.1876,0.36,-0.947,24.23,29.83,-14.78,313.08,21.45,0.06,305,2020-06-27 15:49:42:905
-1.1715,-5.4323,20.5678,0.0643,-3.047,9.321,-1.2462,-2.2306,10.3432,2.1876,0.36,-0.947,24.23,29.83,-14.78,313.08,21.45,0.06,313,2020-06-27 15:49:42:913
-0.6244,-6.1457,16.9226,0.029,-2.6143,9.4517,-0.7007,-3.3171,7.0717,2.5125,0.4186,-0.947,20.91,30.48,-17.58,313.08,21.45,0.06,323,2020-06-27 15:49:42:923
-0.6244,-6.1457,16.9226,0.029,-2.6143,9.4517,-0.7007,-3.3171,7.0717,2.5125,0.4186,-0.947,20.91,30.48,-17.58,313.08,21.45,0.06,333,2020-06-27 15:49:42:933
-0.6244,-6.1457,16.9226,0.029,-2.6143,9.4517,-0.7007,-3.3171,7.0717,2.5125,0.4186,-0.947,20.91,30.48,-17.58,313.08,21.45,0.06,343,2020-06-27 15:49:42:943
-0.5095,-7.1178,12.9123,-0.0155,-1.7908,9.6417,-0.4953,-5.2033,2.7125,2.5125,0.4186,-0.947,20.91,30.48,-17.58,313.08,21.45,0.06,353,2020-06-27 15:49:42:953
-0.5095,-7.1178,12.9123,-0.0155,-1.7908,9.6417,-0.4953,-5.2033,2.7125,2.5338,-0.0203,-0.9065,20.18,27.87,-21.22,319.87,10.52,0.09,363,2020-06-27 15:49:42:963
-0.5095,-7.1178,12.9123,-0.0155,-1.7908,9.6417,-0.4953,-5.2033,2.7125,2.5338,-0.0203,-0.9065,20.18,27.87,-21.22,319.87,10.52,0.09,373,2020-06-27 15:49:42:973
-2.4021,-7.3129,11.0376,0.0252,-0.9713,9.7584,-2.4506,-6.306,0.4316,2.5338,-0.0203,-0.9065,20.18,27.87,-21.22,319.87,10.52,0.09,383,2020-06-27 15:49:42:983
-2.4021,-7.3129,11.0376,0.0252,-0.9713,9.7584,-2.4506,-6.306,0.4316,2.6297,-0.129,-0.7744,20.18,27.87,-21.22,319.87,10.52,0.09,393,2020-06-27 15:49:42:993
-1.6755,-6.7897,5.4675,0.0252,-0.9713,9.7584,-2.4506,-6.306,0.4316,2.6297,-0.129,-0.7744,18.49,29.15,-25.43,319.87,10.52,0.09,403,2020-06-27 15:49:43:003
-1.6755,-6.7897,5.4675,0.0775,-0.2468,9.8032,-1.6739,-6.3968,-5.7592,2.6297,-0.129,-0.7744,18.49,29.15,-25.43,319.87,10.52,0.09,412,2020-06-27 15:49:43:012
-1.6755,-6.7897,5.4675,0.0775,-0.2468,9.8032,-1.6739,-6.3968,-5.7592,2.6297,-0.129,-0.7744,18.49,29.15,-25.43,319.87,10.52,0.09,423,2020-06-27 15:49:43:023
-1.3152,-5.7016,1.7685,0.2209,0.4058,9.7958,-1.3869,-5.5531,-9.586,2.4145,-0.5881,-0.4144,16.11,26.55,-29.05,329.41,-2.37,-1.29,439,2020-06-27 15:49:43:039
-1.3152,-5.7016,1.7685,0.2209,0.4058,9.7958,-1.3869,-5.5531,-9.586,2.4145,-0.5881,-0.4144,16.11,26.55,-29.05,329.41,-2.37,-1.29,443,2020-06-27 15:49:43:043
-1.3152,-5.7016,1.7685,0.2209,0.4058,9.7958,-1.3869,-5.5531,-9.586,2.4145,-0.5881,-0.4144,16.11,26.55,-29.05,329.41,-2.37,-1.29,453,2020-06-27 15:49:43:053
-2.4548,-4.0532,1.5889,0.2023,0.7424,9.7764,-1.3869,-5.5531,-9.586,1.0307,0.3674,-0.4122,16.11,26.55,-29.05,329.41,-2.37,-1.29,463,2020-06-27 15:49:43:063
-2.4548,-4.0532,1.5889,0.2023,0.7424,9.7764,-2.7421,-4.775,-8.315,1.0307,0.3674,-0.4122,16.11,26.55,-29.05,329.41,-2.37,-1.29,473,2020-06-27 15:49:43:073
