ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.9278,-5.1066,10.2356,0.6377,1.0137,9.7332,1.8803,-6.0836,3.8118,-3.3401,0.3014,-0.1246,27.08,20.08,-27.14,308.08,-5.93,-3.75,12,2020-06-27 15:53:38:729
1.9278,-5.1066,10.2356,0.6377,1.0137,9.7332,1.8803,-6.0836,3.8118,-3.3401,0.3014,-0.1246,27.08,20.08,-27.14,308.08,-5.93,-3.75,21,2020-06-27 15:53:38:738
1.5351,-6.014,19.002,0.4909,-0.0519,9.7942,1.8803,-6.0836,3.8118,-3.3401,0.3014,-0.1246,27.08,20.08,-27.14,308.08,-5.93,-3.75,31,2020-06-27 15:53:38:748
1.5351,-6.014,19.002,0.4909,-0.0519,9.7942,0.1161,-4.6103,14.8877,-3.7108,1.1312,-0.7105,27.08,20.08,-27.14,308.08,-5.93,-3.75,41,2020-06-27 15:53:38:758
-0.154,-5.1018,27.8844,0.1857,-1.1398,9.7384,0.1161,-4.6103,14.8877,-3.7108,1.1312,-0.7105,26.09,24.64,-22.72,308.08,-5.93,-3.75,51,2020-06-27 15:53:38:768
-0.154,-5.1018,27.8844,0.1857,-1.1398,9.7384,0.1161,-4.6103,14.8877,-3.7108,1.1312,-0.7105,26.09,24.64,-22.72,308.08,-5.93,-3.75,61,2020-06-27 15:53:38:778
-0.154,-5.1018,27.8844,0.1857,-1.1398,9.7384,0.1161,-4.6103,14.8877,-3.0524,1.0077,-1.0983,26.09,24.64,-22.72,308.08,-5.93,-3.75,71,2020-06-27 15:53:38:788
-1.2146,-2.8357,32.8967,-0.0665,-2.006,9.5991,-0.8025,-2.0743,21.5889,-3.0524,1.0077,-1.0983,26.09,24.64,-22.72,308.08,-5.93,-3.75,81,2020-06-27 15:53:38:798
-1.2146,-2.8357,32.8967,-0.0665,-2.006,9.5991,-0.8025,-2.0743,21.5889,-3.0524,1.0077,-1.0983,29.27,27.87,-19.79,308.89,11.8,0.4,91,2020-06-27 15:53:38:808
-1.2146,-2.8357,32.8967,-0.0665,-2.006,9.5991,-1.5029,1.6858,25.9673,-2.1214,1.1142,-1.1419,29.27,27.87,-19.79,308.89,11.8,0.4,101,2020-06-27 15:53:38:818
-1.8682,-0.2093,35.8308,-0.2695,-2.4841,9.483,-1.5029,1.6858,25.9673,-2.1214,1.1142,-1.1419,29.27,27.87,-19.79,308.89,11.8,0.4,111,2020-06-27 15:53:38:828
-1.8682,-0.2093,35.8308,-0.2695,-2.4841,9.483,-1.5029,1.6858,25.9673,-2.1214,1.1142,-1.1419,29.27,27.87,-19.79,308.89,11.8,0.4,121,2020-06-27 15:53:38:838
-1.8682,-0.2093,35.8308,-0.2695,-2.4841,9.483,-0.6869,4.7645,25.1684,-0.8356,0.6338,-0.9651,25.93,29.24,-10.48,308.89,11.8,0.4,131,2020-06-27 15:53:38:848
-0.6747,2.4926,33.8388,-0.3569,-2.6346,9.4394,-0.6869,4.7645,25.1684,-0.8356,0.6338,-0.9651,25.93,29.24,-10.48,308.89,11.8,0.4,141,2020-06-27 15:53:38:858
-0.6747,2.4926,33.8388,-0.3569,-2.6346,9.4394,-0.6869,4.7645,25.1684,-0.8356,0.6338,-0.9651,25.93,29.24,-10.48,308.89,11.8,0.4,152,2020-06-27 15:53:38:869
-0.6747,2.4926,33.8388,-0.3569,-2.6346,9.4394,-0.0973,5.0523,20.0631,0.807,-0.6456,-0.7063,25.93,29.24,-10.48,308.89,11.8,0.4,161,2020-06-27 15:53:38:878
-0.1887,2.0245,28.7655,-0.1382,-2.3592,9.5176,-0.0973,5.0523,20.0631,0.807,-0.6456,-0.7063,25.83,31.8,-14.66,316.7,13.92,0.83,171,2020-06-27 15:53:38:888
-0.1887,2.0245,28.7655,-0.1382,-2.3592,9.5176,-0.0973,5.0523,20.0631,0.807,-0.6456,-0.7063,25.83,31.8,-14.66,316.7,13.92,0.83,181,2020-06-27 15:53:38:898
-0.0702,-0.4786,25.5262,-0.1382,-2.3592,9.5176,-0.2304,2.1556,15.6927,1.7839,-1.158,-0.4836,25.83,31.8,-14.66,316.7,13.92,0.83,191,2020-06-27 15:53:38:908
-0.0702,-0.4786,25.5262,0.2148,-1.8278,9.6324,-0.2304,2.1556,15.6927,1.7839,-1.158,-0.4836,25.83,31.8,-14.66,316.7,13.92,0.83,201,2020-06-27 15:53:38:918
-0.0702,-0.4786,25.5262,0.2148,-1.8278,9.6324,-0.2304,2.1556,15.6927,1.7839,-1.158,-0.4836,27.62,29.6,-17.27,316.7,13.92,0.83,212,2020-06-27 15:53:38:929
-0.7968,-3.6761,21.2932,0.2148,-1.8278,9.6324,-0.2304,2.1556,15.6927,1.7839,-1.158,-0.4836,27.62,29.6,-17.27,316.7,13.92,0.83,221,2020-06-27 15:53:38:938
-0.7968,-3.6761,21.2932,0.4142,-1.1621,9.7287,-1.3416,-2.4849,10.6184,3.1431,-0.6978,-0.5007,27.62,29.6,-17.27,316.7,13.92,0.83,232,2020-06-27 15:53:38:949
-0.7968,-3.6761,21.2932,0.4142,-1.1621,9.7287,-1.3416,-2.4849,10.6184,3.1431,-0.6978,-0.5007,27.62,29.6,-17.27,316.7,13.92,0.83,241,2020-06-27 15:53:38:958
-1.5031,-5.0635,15.4681,0.4142,-1.1621,9.7287,-1.3416,-2.4849,10.6184,3.1431,-0.6978,-0.5007,24.4,27.66,-20.87,315.64,6.81,-2.44,251,2020-06-27 15:53:38:968
-1.5031,-5.0635,15.4681,0.6383,-0.1335,9.7849,-2.3442,-5.1158,3.5388,3.8558,-0.8853,-0.4825,24.4,27.66,-20.87,315.64,6.81,-2.44,260,2020-06-27 15:53:38:977
