ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.3795,-5.3209,5.5142,-0.7088,0.7581,9.7516,2.0673,-6.1224,-4.624,-3.4849,0.4697,-1.4786,23.72,27.93,-22.41,323.41,-14.76,2.92,9,2020-06-27 15:56:16:485
0.2016,-7.3979,10.9311,-0.7088,0.7581,9.7516,2.0673,-6.1224,-4.624,-3.4849,0.4697,-1.4786,23.72,27.93,-22.41,323.41,-14.76,2.92,19,2020-06-27 15:56:16:495
0.2016,-7.3979,10.9311,-0.7226,-0.2353,9.7772,0.5415,-7.3105,2.0556,-3.8056,-0.3324,-2.1912,23.72,27.93,-22.41,323.41,-14.76,2.92,29,2020-06-27 15:56:16:505
0.2016,-7.3979,10.9311,-0.7226,-0.2353,9.7772,0.5415,-7.3105,2.0556,-3.8056,-0.3324,-2.1912,22.68,33.77,-19.36,327.26,1.37,4.23,39,2020-06-27 15:56:16:515
-2.5266,-8.5363,15.7542,-0.7226,-0.2353,9.7772,0.5415,-7.3105,2.0556,-3.8056,-0.3324,-2.1912,22.68,33.77,-19.36,327.26,1.37,4.23,49,2020-06-27 15:56:16:525
-2.5266,-8.5363,15.7542,-0.4045,-1.5581,9.6736,-4.5206,-7.8631,11.4132,-4.5918,-1.2581,-2.5044,22.68,33.77,-19.36,327.26,1.37,4.23,59,2020-06-27 15:56:16:535
-2.5266,-8.5363,15.7542,-0.4045,-1.5581,9.6736,-4.5206,-7.8631,11.4132,-4.5918,-1.2581,-2.5044,22.68,33.77,-19.36,327.26,1.37,4.23,69,2020-06-27 15:56:16:545
-7.2492,-10.095,26.7149,-0.4045,-1.5581,9.6736,-4.5206,-7.8631,11.4132,-4.5918,-1.2581,-2.5044,17.5,40.3,-14.14,327.26,1.37,4.23,79,2020-06-27 15:56:16:555
-7.2492,-10.095,26.7149,0.0483,-2.9167,9.3628,-4.5206,-7.8631,11.4132,-4.5918,-1.2581,-2.5044,17.5,40.3,-14.14,327.26,1.37,4.23,89,2020-06-27 15:56:16:565
-9.6925,-9.245,36.9477,0.0483,-2.9167,9.3628,-9.4887,-6.9443,24.0185,-4.1827,-0.9503,-1.5372,17.5,40.3,-14.14,327.26,1.37,4.23,101,2020-06-27 15:56:16:577
-9.6925,-9.245,36.9477,0.0483,-2.9167,9.3628,-9.4887,-6.9443,24.0185,-4.1827,-0.9503,-1.5372,17.5,40.3,-14.14,327.26,1.37,4.23,109,2020-06-27 15:56:16:585
-9.6925,-9.245,36.9477,0.2539,-3.8338,9.0226,-9.4887,-6.9443,24.0185,-4.1827,-0.9503,-1.5372,17.6,40.51,-8.37,332.37,23.01,-1.61,119,2020-06-27 15:56:16:595
-8.4343,-6.1589,39.0917,0.2539,-3.8338,9.0226,-8.7678,-2.2843,30.0289,-1.478,-0.1034,0.0022,17.6,40.51,-8.37,332.37,23.01,-1.61,129,2020-06-27 15:56:16:605
-8.4343,-6.1589,39.0917,0.2539,-3.8338,9.0226,-8.7678,-2.2843,30.0289,-1.478,-0.1034,0.0022,17.6,40.51,-8.37,332.37,23.01,-1.61,139,2020-06-27 15:56:16:615
-8.4343,-6.1589,39.0917,0.1958,-4.0386,8.9343,-8.7678,-2.2843,30.0289,-1.478,-0.1034,0.0022,17.6,40.51,-8.37,332.37,23.01,-1.61,149,2020-06-27 15:56:16:625
-6.6961,-3.8174,35.492,0.1958,-4.0386,8.9343,-6.3428,0.5159,25.2402,0.8581,0.3525,0.914,16.78,40.53,-6.23,332.37,23.01,-1.61,159,2020-06-27 15:56:16:635
-6.6961,-3.8174,35.492,0.1958,-4.0386,8.9343,-6.3428,0.5159,25.2402,0.8581,0.3525,0.914,16.78,40.53,-6.23,332.37,23.01,-1.61,169,2020-06-27 15:56:16:645
-2.5984,-2.7771,29.0815,-0.0934,-3.7067,9.0786,-6.3428,0.5159,25.2402,0.8581,0.3525,0.914,16.78,40.53,-6.23,332.37,23.01,-1.61,180,2020-06-27 15:56:16:656
-2.5984,-2.7771,29.0815,-0.0934,-3.7067,9.0786,-1.686,0.7639,19.103,0.8581,0.3525,0.914,16.78,40.53,-6.23,332.37,23.01,-1.61,189,2020-06-27 15:56:16:665
-2.5984,-2.7771,29.0815,-0.0934,-3.7067,9.0786,-1.686,0.7639,19.103,1.3546,1.2474,1.1271,23.46,24.12,-17.59,303.89,22.21,0.59,199,2020-06-27 15:56:16:675
