ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.3249,-8.2658,21.7984,0.3566,-2.6574,9.433,0.1053,-6.1047,12.2113,-4.7814,-1.0739,-1.1153,24.53,29.56,-14.84,317.5,8.8,-0.32,6,2020-06-27 16:00:13:300
0.3249,-8.2658,21.7984,0.3566,-2.6574,9.433,0.1053,-6.1047,12.2113,-4.7814,-1.0739,-1.1153,24.53,29.56,-14.84,317.5,8.8,-0.32,15,2020-06-27 16:00:13:309
0.3249,-8.2658,21.7984,0.3566,-2.6574,9.433,0.1053,-6.1047,12.2113,-4.7814,-1.0739,-1.1153,24.53,29.56,-14.84,317.5,8.8,-0.32,25,2020-06-27 16:00:13:319
-0.5347,-8.2694,29.6562,0.507,-3.8252,9.0156,-1.1184,-4.6264,21.0059,-4.1486,-0.0672,-0.7787,21.96,32.19,-10.47,317.5,8.8,-0.32,35,2020-06-27 16:00:13:329
-0.5347,-8.2694,29.6562,0.507,-3.8252,9.0156,-1.1184,-4.6264,21.0059,-4.1486,-0.0672,-0.7787,21.96,32.19,-10.47,317.5,8.8,-0.32,45,2020-06-27 16:00:13:339
-2.2633,-7.1118,37.1668,0.507,-3.8252,9.0156,-1.1184,-4.6264,21.0059,-4.1486,-0.0672,-0.7787,21.96,32.19,-10.47,317.5,8.8,-0.32,55,2020-06-27 16:00:13:349
-2.2633,-7.1118,37.1668,0.4884,-4.4533,8.7235,-2.7357,-2.6163,28.5774,-2.1353,0.148,-0.1981,21.96,32.19,-10.47,317.5,8.8,-0.32,65,2020-06-27 16:00:13:359
-2.2633,-7.1118,37.1668,0.4884,-4.4533,8.7235,-2.7357,-2.6163,28.5774,-2.1353,0.148,-0.1981,20.41,22.94,-12.1,307.01,27.01,-3.2,75,2020-06-27 16:00:13:369
0.2387,-5.7998,35.0982,0.4702,-4.4956,8.7028,-2.7357,-2.6163,28.5774,-2.1353,0.148,-0.1981,20.41,22.94,-12.1,307.01,27.01,-3.2,85,2020-06-27 16:00:13:379
0.2387,-5.7998,35.0982,0.4702,-4.4956,8.7028,-2.7357,-2.6163,28.5774,-2.1353,0.148,-0.1981,20.41,22.94,-12.1,307.01,27.01,-3.2,95,2020-06-27 16:00:13:389
0.2387,-5.7998,35.0982,0.4702,-4.4956,8.7028,1.143,-0.9154,23.8295,1.0243,-0.1098,0.2269,20.41,22.94,-12.1,307.01,27.01,-3.2,105,2020-06-27 16:00:13:399
3.0974,-4.8744,28.4674,0.446,-3.9797,8.9517,1.143,-0.9154,23.8295,1.0243,-0.1098,0.2269,23.75,21.62,-12.88,307.01,27.01,-3.2,115,2020-06-27 16:00:13:409
3.0974,-4.8744,28.4674,0.446,-3.9797,8.9517,3.1045,-0.5312,16.1139,1.0243,-0.1098,0.2269,23.75,21.62,-12.88,307.01,27.01,-3.2,125,2020-06-27 16:00:13:419
3.0974,-4.8744,28.4674,0.446,-3.9797,8.9517,3.1045,-0.5312,16.1139,2.6137,0.3472,-0.0809,23.75,21.62,-12.88,307.01,27.01,-3.2,135,2020-06-27 16:00:13:429
3.8324,-4.2208,23.6718,0.3703,-3.2124,9.2582,3.1045,-0.5312,16.1139,2.6137,0.3472,-0.0809,23.75,21.62,-12.88,307.01,27.01,-3.2,145,2020-06-27 16:00:13:439
3.8324,-4.2208,23.6718,0.3703,-3.2124,9.2582,3.1045,-0.5312,16.1139,2.6137,0.3472,-0.0809,22.13,20.96,-17.15,302.73,19.12,-2.29,155,2020-06-27 16:00:13:449
4.0107,-4.3345,22.2162,0.3703,-3.2124,9.2582,3.6056,-1.0444,12.8395,3.109,0.6125,-0.2429,22.13,20.96,-17.15,302.73,19.12,-2.29,165,2020-06-27 16:00:13:459
4.0107,-4.3345,22.2162,0.3703,-3.2124,9.2582,3.6056,-1.0444,12.8395,3.109,0.6125,-0.2429,22.13,20.96,-17.15,302.73,19.12,-2.29,175,2020-06-27 16:00:13:469
