ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.64788,-0.675681,8.359534,0.47922,-2.068783,-1.546123,0.052582,0.635753,1.132468,-29.6709,0.8945,-30.5848,6,2020-06-14 10:56:58:738
-0.984326,-0.817015,7.415706,0.47922,-2.068783,-1.546123,0.052582,0.635753,1.132468,-29.4062,2.1012,-31.1259,17,2020-06-14 10:56:58:749
-0.984326,-0.817015,7.415706,0.47922,-2.068783,-1.546123,0.052582,0.635753,1.132468,-29.4062,2.1012,-31.1259,26,2020-06-14 10:56:58:758
-0.984326,-0.817015,7.415706,1.049002,-2.263675,-2.509965,-0.125273,0.536708,1.221928,-29.4062,2.1012,-31.1259,37,2020-06-14 10:56:58:769
-0.778313,-0.785874,7.317491,1.049002,-2.263675,-2.509965,-0.125273,0.536708,1.221928,-28.4988,3.4165,-31.3345,47,2020-06-14 10:56:58:779
-0.778313,-0.785874,7.317491,1.049002,-2.263675,-2.509965,-0.125273,0.536708,1.221928,-28.4988,3.4165,-31.3345,57,2020-06-14 10:56:58:789
-0.778313,-0.785874,7.317491,1.568418,-2.020661,-1.413608,-0.278633,0.425948,1.327363,-28.4988,3.4165,-31.3345,66,2020-06-14 10:56:58:798
-0.074036,-0.522369,8.474517,1.568418,-2.020661,-1.413608,-0.278633,0.425948,1.327363,-28.4988,3.4165,-31.3345,77,2020-06-14 10:56:58:809
-0.074036,-0.522369,8.474517,1.568418,-2.020661,-1.413608,-0.278633,0.425948,1.327363,-27.3502,4.715,-32.1413,86,2020-06-14 10:56:58:818
-0.074036,-0.522369,8.474517,1.946469,-1.857017,-1.540635,-0.175328,0.509018,1.343338,-27.3502,4.715,-32.1413,97,2020-06-14 10:56:58:829
-0.124342,-0.496018,7.305513,1.946469,-1.857017,-1.540635,-0.175328,0.509018,1.343338,-27.3502,4.715,-32.1413,106,2020-06-14 10:56:58:838
-0.124342,-0.496018,7.305513,1.946469,-1.857017,-1.540635,-0.175328,0.509018,1.343338,-26.926,6.0291,-32.6829,117,2020-06-14 10:56:58:849
-0.124342,-0.496018,7.305513,2.153843,-1.797117,-2.136989,-0.175328,0.509018,1.343338,-26.926,6.0291,-32.6829,126,2020-06-14 10:56:58:858
0.287684,-0.280423,7.336655,2.153843,-1.797117,-2.136989,-0.181718,0.282173,1.378483,-26.926,6.0291,-32.6829,137,2020-06-14 10:56:58:869
0.287684,-0.280423,7.336655,2.153843,-1.797117,-2.136989,-0.181718,0.282173,1.378483,-26.6454,7.5731,-32.8228,146,2020-06-14 10:56:58:878
0.287684,-0.280423,7.336655,2.646417,-1.735152,-2.259518,-0.181718,0.282173,1.378483,-26.6454,7.5731,-32.8228,157,2020-06-14 10:56:58:889
0.726061,-0.337915,6.948584,2.646417,-1.735152,-2.259518,-0.139118,0.027638,1.353988,-26.6454,7.5731,-32.8228,167,2020-06-14 10:56:58:899
0.726061,-0.337915,6.948584,2.646417,-1.735152,-2.259518,-0.139118,0.027638,1.353988,-26.4938,8.2664,-32.7364,177,2020-06-14 10:56:58:909
0.726061,-0.337915,6.948584,2.977126,-1.770642,-2.315573,-0.139118,0.027638,1.353988,-26.4938,8.2664,-32.7364,189,2020-06-14 10:56:58:921
1.159646,-0.258864,6.915047,2.977126,-1.770642,-2.315573,-0.281828,0.044678,1.314583,-26.4938,8.2664,-32.7364,197,2020-06-14 10:56:58:929
1.159646,-0.258864,6.915047,2.977126,-1.770642,-2.315573,-0.281828,0.044678,1.314583,-26.0486,9.5588,-32.619,206,2020-06-14 10:56:58:938
1.159646,-0.258864,6.915047,3.483202,-1.653655,-2.395764,-0.281828,0.044678,1.314583,-26.0486,9.5588,-32.619,217,2020-06-14 10:56:58:949
1.612396,0.050156,7.142619,3.483202,-1.653655,-2.395764,-0.602393,0.236378,1.220863,-26.0486,9.5588,-32.619,227,2020-06-14 10:56:58:959
1.612396,0.050156,7.142619,3.483202,-1.653655,-2.395764,-0.602393,0.236378,1.220863,-25.5851,10.9737,-32.7166,238,2020-06-14 10:56:58:970
1.672283,0.038178,6.927024,3.656298,-1.201071,-2.502824,-0.602393,0.236378,1.220863,-25.5851,10.9737,-32.7166,246,2020-06-14 10:56:58:978
1.672283,0.038178,6.927024,3.656298,-1.201071,-2.502824,-0.801548,-0.087382,1.077088,-25.5851,10.9737,-32.7166,257,2020-06-14 10:56:58:989
1.672283,0.038178,6.927024,3.656298,-1.201071,-2.502824,-0.801548,-0.087382,1.077088,-24.6946,12.0543,-32.8245,267,2020-06-14 10:56:58:999
1.662701,-0.55351,8.960803,3.61261,-1.60821,-1.06103,-0.801548,-0.087382,1.077088,-24.6946,12.0543,-32.8245,276,2020-06-14 10:56:59:008
1.662701,-0.55351,8.960803,3.61261,-1.60821,-1.06103,-0.926153,0.186323,1.165483,-24.6946,12.0543,-32.8245,287,2020-06-14 10:56:59:019
1.662701,-0.55351,8.960803,3.61261,-1.60821,-1.06103,-0.926153,0.186323,1.165483,-24.6946,12.0543,-32.8245,296,2020-06-14 10:56:59:028
1.835177,-0.26605,9.66508,3.573267,-1.481737,0.072174,-0.926153,0.186323,1.165483,-24.1283,13.3002,-33.0734,306,2020-06-14 10:56:59:038
1.835177,-0.26605,9.66508,3.573267,-1.481737,0.072174,-1.231808,0.640013,1.181458,-24.1283,13.3002,-33.0734,317,2020-06-14 10:56:59:049
2.359792,-0.263655,9.962123,4.275709,-0.918234,0.245634,-1.231808,0.640013,1.181458,-24.1283,13.3002,-33.0734,326,2020-06-14 10:56:59:058
2.359792,-0.263655,9.962123,4.275709,-0.918234,0.245634,-1.231808,0.640013,1.181458,-23.1877,15.1533,-32.884,337,2020-06-14 10:56:59:069
2.359792,-0.263655,9.962123,4.275709,-0.918234,0.245634,-1.231808,0.640013,1.181458,-23.1877,15.1533,-32.884,347,2020-06-14 10:56:59:079
3.258104,0.179513,11.993506,5.018271,-0.553734,1.981929,-1.215833,0.189518,1.123948,-23.1877,15.1533,-32.884,356,2020-06-14 10:56:59:088
3.258104,0.179513,11.993506,5.018271,-0.553734,1.981929,-1.215833,0.189518,1.123948,-23.1877,15.1533,-32.884,367,2020-06-14 10:56:59:099
3.258104,0.179513,11.993506,5.018271,-0.553734,1.981929,-1.215833,0.189518,1.123948,-22.0549,17.6815,-32.5883,377,2020-06-14 10:56:59:109
4.530115,1.183227,13.8069,6.434031,0.923323,4.196592,-0.980468,0.247028,0.756523,-22.0549,17.6815,-32.5883,387,2020-06-14 10:56:59:119
4.530115,1.183227,13.8069,6.434031,0.923323,4.196592,-0.980468,0.247028,0.756523,-22.0549,17.6815,-32.5883,396,2020-06-14 10:56:59:128
4.530115,1.183227,13.8069,6.434031,0.923323,4.196592,-0.980468,0.247028,0.756523,-22.0549,17.6815,-32.5883,407,2020-06-14 10:56:59:139
4.039037,0.59633,13.917093,6.133424,0.678281,4.403316,-0.753623,0.267263,0.183553,-21.1916,20.8033,-32.0141,416,2020-06-14 10:56:59:148
4.039037,0.59633,13.917093,6.133424,0.678281,4.403316,-0.753623,0.267263,0.183553,-21.1916,20.8033,-32.0141,427,2020-06-14 10:56:59:159
4.039037,0.59633,13.917093,6.133424,0.678281,4.403316,-0.753623,0.267263,0.183553,-21.1916,20.8033,-32.0141,436,2020-06-14 10:56:59:168
3.35632,0.423854,13.885951,5.395377,0.620943,4.325374,-0.322298,0.138398,-0.117842,-20.7079,22.2508,-31.4729,446,2020-06-14 10:56:59:178
3.35632,0.423854,13.885951,5.395377,0.620943,4.325374,-0.322298,0.138398,-0.117842,-20.7079,22.2508,-31.4729,457,2020-06-14 10:56:59:189
3.267686,0.716105,13.239166,5.395377,0.620943,4.325374,-0.322298,0.138398,-0.117842,-20.7079,22.2508,-31.4729,467,2020-06-14 10:56:59:199
3.267686,0.716105,13.239166,5.296366,0.948159,3.681425,-0.172133,-0.180037,-0.599222,-20.2991,23.2722,-31.2544,477,2020-06-14 10:56:59:209
3.267686,0.716105,13.239166,5.296366,0.948159,3.681425,-0.172133,-0.180037,-0.599222,-20.2991,23.2722,-31.2544,487,2020-06-14 10:56:59:219
2.920339,-0.107947,13.188861,5.296366,0.948159,3.681425,-0.172133,-0.180037,-0.599222,-20.2991,23.2722,-31.2544,496,2020-06-14 10:56:59:228
2.920339,-0.107947,13.188861,4.35321,-0.094528,3.308732,-0.016643,-0.254587,-1.056107,-20.2991,23.2722,-31.2544,506,2020-06-14 10:56:59:238
2.920339,-0.107947,13.188861,4.35321,-0.094528,3.308732,-0.016643,-0.254587,-1.056107,-20.5987,23.1416,-30.751,517,2020-06-14 10:56:59:249
1.339309,-0.797851,12.436674,4.35321,-0.094528,3.308732,-0.016643,-0.254587,-1.056107,-20.5987,23.1416,-30.751,526,2020-06-14 10:56:59:258
1.339309,-0.797851,12.436674,2.894539,-0.391829,2.673168,0.078142,-0.335527,-1.095512,-20.5987,23.1416,-30.751,537,2020-06-14 10:56:59:269
1.339309,-0.797851,12.436674,2.894539,-0.391829,2.673168,0.078142,-0.335527,-1.095512,-21.2816,23.0618,-30.6388,546,2020-06-14 10:56:59:278
1.154855,-0.706822,12.084536,2.894539,-0.391829,2.673168,0.078142,-0.335527,-1.095512,-21.2816,23.0618,-30.6388,556,2020-06-14 10:56:59:288
1.154855,-0.706822,12.084536,3.215083,-0.265337,2.13023,0.078142,-0.335527,-1.095512,-21.2816,23.0618,-30.6388,567,2020-06-14 10:56:59:299
1.842364,-0.817015,11.713233,3.215083,-0.265337,2.13023,3.97E-4,-0.144892,-1.278692,-21.7867,21.7356,-30.6787,576,2020-06-14 10:56:59:308
1.842364,-0.817015,11.713233,3.215083,-0.265337,2.13023,3.97E-4,-0.144892,-1.278692,-21.7867,21.7356,-30.6787,589,2020-06-14 10:56:59:321
1.842364,-0.817015,11.713233,3.283661,-0.398762,2.039235,3.97E-4,-0.144892,-1.278692,-21.7867,21.7356,-30.6787,597,2020-06-14 10:56:59:329
0.685337,-1.346421,11.279648,3.283661,-0.398762,2.039235,-0.156158,0.212948,-1.679132,-21.7867,21.7356,-30.6787,608,2020-06-14 10:56:59:340
0.685337,-1.346421,11.279648,3.283661,-0.398762,2.039235,-0.156158,0.212948,-1.679132,-22.8987,20.68,-30.3986,616,2020-06-14 10:56:59:348
0.685337,-1.346421,11.279648,3.283661,-0.398762,2.039235,-0.156158,0.212948,-1.679132,-22.8987,20.68,-30.3986,627,2020-06-14 10:56:59:359
-0.40222,-2.045907,10.687959,1.445737,-1.23501,1.124328,-0.078413,0.185258,-1.816517,-22.8987,20.68,-30.3986,636,2020-06-14 10:56:59:368
-0.40222,-2.045907,10.687959,1.445737,-1.23501,1.124328,-0.078413,0.185258,-1.816517,-23.7504,19.6603,-30.7949,647,2020-06-14 10:56:59:379
-1.075355,-2.124958,10.805339,1.445737,-1.23501,1.124328,-0.078413,0.185258,-1.816517,-23.7504,19.6603,-30.7949,658,2020-06-14 10:56:59:390
-1.075355,-2.124958,10.805339,0.531101,-1.380744,1.116548,0.170797,-0.099097,-1.849532,-23.7504,19.6603,-30.7949,667,2020-06-14 10:56:59:399
-1.075355,-2.124958,10.805339,0.531101,-1.380744,1.116548,0.170797,-0.099097,-1.849532,-25.0372,18.1279,-30.7212,677,2020-06-14 10:56:59:409
-1.72214,-2.115376,10.457991,0.531101,-1.380744,1.116548,0.170797,-0.099097,-1.849532,-25.0372,18.1279,-30.7212,686,2020-06-14 10:56:59:418
-1.72214,-2.115376,10.457991,-0.353715,-1.37926,0.457578,0.314572,0.085148,-1.848467,-25.0372,18.1279,-30.7212,696,2020-06-14 10:56:59:428
-1.72214,-2.115376,10.457991,-0.353715,-1.37926,0.457578,0.314572,0.085148,-1.848467,-25.0372,18.1279,-30.7212,707,2020-06-14 10:56:59:439
-2.186867,-2.381277,9.578842,-0.353715,-1.37926,0.457578,0.314572,0.085148,-1.848467,-26.2581,16.1698,-30.8723,716,2020-06-14 10:56:59:448
-2.186867,-2.381277,9.578842,-0.353715,-1.37926,0.457578,0.314572,0.085148,-1.848467,-26.2581,16.1698,-30.8723,727,2020-06-14 10:56:59:459
-2.186867,-2.381277,9.578842,-0.862725,-1.905616,-0.36514,0.210202,0.135203,-1.819712,-26.2581,16.1698,-30.8723,736,2020-06-14 10:56:59:468
-2.673154,-3.028062,9.190771,-0.862725,-1.905616,-0.36514,0.210202,0.135203,-1.819712,-26.235,14.4702,-30.9792,746,2020-06-14 10:56:59:478
-2.673154,-3.028062,9.190771,-0.862725,-1.905616,-0.36514,0.210202,0.135203,-1.819712,-26.235,14.4702,-30.9792,757,2020-06-14 10:56:59:489
-3.322334,-2.838817,9.413553,-1.731549,-2.080966,-0.323859,0.155887,0.062783,-1.624817,-26.235,14.4702,-30.9792,766,2020-06-14 10:56:59:498
-3.322334,-2.838817,9.413553,-1.731549,-2.080966,-0.323859,0.155887,0.062783,-1.624817,-26.9205,13.1133,-30.865,776,2020-06-14 10:56:59:508
-3.322334,-2.838817,9.413553,-1.731549,-2.080966,-0.323859,0.155887,0.062783,-1.624817,-26.9205,13.1133,-30.865,786,2020-06-14 10:56:59:518
-3.322334,-2.838817,9.413553,-1.731549,-2.080966,-0.323859,0.155887,0.062783,-1.624817,-26.9205,13.1133,-30.865,796,2020-06-14 10:56:59:528
-3.310357,-2.314203,9.526141,-1.837354,-1.521294,0.003727,0.136717,0.317318,-1.422467,-26.9205,13.1133,-30.865,807,2020-06-14 10:56:59:539
-3.310357,-2.314203,9.526141,-1.837354,-1.521294,0.003727,0.136717,0.317318,-1.422467,-27.9002,11.1691,-31.0725,816,2020-06-14 10:56:59:548
-3.310357,-2.314203,9.526141,-1.837354,-1.521294,0.003727,0.136717,0.317318,-1.422467,-27.9002,11.1691,-31.0725,826,2020-06-14 10:56:59:558
-3.679264,-2.651968,8.5368,-1.899576,-1.666014,-0.953826,0.240022,0.380153,-1.291472,-27.9002,11.1691,-31.0725,837,2020-06-14 10:56:59:569
-3.679264,-2.651968,8.5368,-1.899576,-1.666014,-0.953826,0.240022,0.380153,-1.291472,-27.6073,10.2887,-31.9075,847,2020-06-14 10:56:59:579
-4.134409,-2.433978,7.72233,-1.899576,-1.666014,-0.953826,0.240022,0.380153,-1.291472,-27.6073,10.2887,-31.9075,857,2020-06-14 10:56:59:589
-4.134409,-2.433978,7.72233,-2.389799,-1.562282,-1.899045,0.218722,0.244898,-1.133852,-27.6073,10.2887,-31.9075,867,2020-06-14 10:56:59:599
-4.134409,-2.433978,7.72233,-2.389799,-1.562282,-1.899045,0.218722,0.244898,-1.133852,-27.6074,8.8291,-31.9024,876,2020-06-14 10:56:59:608
-3.765502,-2.158495,7.528295,-2.389799,-1.562282,-1.899045,0.218722,0.244898,-1.133852,-27.6074,8.8291,-31.9024,887,2020-06-14 10:56:59:619
-3.765502,-2.158495,7.528295,-2.389799,-1.562282,-1.899045,0.218722,0.244898,-1.133852,-27.6074,8.8291,-31.9024,897,2020-06-14 10:56:59:629
-3.801434,-2.187241,7.425288,-1.917849,-1.197294,-2.122685,0.131392,0.192713,-1.074212,-27.6074,8.8291,-31.9024,906,2020-06-14 10:56:59:638
-3.801434,-2.187241,7.425288,-1.917849,-1.197294,-2.122685,0.131392,0.192713,-1.074212,-27.6012,6.8922,-32.0249,917,2020-06-14 10:56:59:649
-3.801434,-2.187241,7.425288,-1.917849,-1.197294,-2.122685,0.131392,0.192713,-1.074212,-27.6012,6.8922,-32.0249,926,2020-06-14 10:56:59:658
-4.687769,-2.335762,7.061172,-2.513147,-1.358082,-2.422178,-0.011318,0.270458,-1.051847,-27.6012,6.8922,-32.0249,936,2020-06-14 10:56:59:668
-4.687769,-2.335762,7.061172,-2.513147,-1.358082,-2.422178,-0.011318,0.270458,-1.051847,-27.6613,5.3703,-32.3872,947,2020-06-14 10:56:59:679
-4.687769,-2.335762,7.061172,-2.513147,-1.358082,-2.422178,-0.011318,0.270458,-1.051847,-27.6613,5.3703,-32.3872,956,2020-06-14 10:56:59:688
-4.963252,-2.225569,7.346237,-3.098308,-1.19757,-2.35176,-0.110363,0.150113,-0.839912,-27.6613,5.3703,-32.3872,967,2020-06-14 10:56:59:699
-4.963252,-2.225569,7.346237,-3.098308,-1.19757,-2.35176,-0.110363,0.150113,-0.839912,-27.6613,5.3703,-32.3872,977,2020-06-14 10:56:59:709
-4.963252,-2.225569,7.346237,-3.098308,-1.19757,-2.35176,-0.110363,0.150113,-0.839912,-27.0989,3.9499,-32.7463,987,2020-06-14 10:56:59:719
-5.00158,-2.03393,8.280482,-3.035951,-0.817016,-1.229325,-0.062438,0.283238,-0.760037,-27.0989,3.9499,-32.7463,996,2020-06-14 10:56:59:728
-5.00158,-2.03393,8.280482,-3.035951,-0.817016,-1.229325,-0.062438,0.283238,-0.760037,-27.0989,3.9499,-32.7463,1006,2020-06-14 10:56:59:738
-5.550149,-2.024347,8.019372,-3.035951,-0.817016,-1.229325,-0.062438,0.283238,-0.760037,-27.0989,3.9499,-32.7463,1016,2020-06-14 10:56:59:748
-5.550149,-2.024347,8.019372,-3.671904,-0.788869,-1.473056,-0.265853,0.576113,-0.702527,-27.0081,3.1743,-33.1005,1027,2020-06-14 10:56:59:759
-5.550149,-2.024347,8.019372,-3.671904,-0.788869,-1.473056,-0.265853,0.576113,-0.702527,-27.0081,3.1743,-33.1005,1036,2020-06-14 10:56:59:768
-6.141838,-2.158495,8.354742,-3.671904,-0.788869,-1.473056,-0.265853,0.576113,-0.702527,-27.0081,3.1743,-33.1005,1047,2020-06-14 10:56:59:779
-6.141838,-2.158495,8.354742,-4.011476,-0.705997,-0.909003,-0.469268,0.920108,-0.519347,-27.0081,3.1743,-33.1005,1057,2020-06-14 10:56:59:789
-6.141838,-2.158495,8.354742,-4.011476,-0.705997,-0.909003,-0.469268,0.920108,-0.519347,-27.1857,2.8968,-33.3684,1067,2020-06-14 10:56:59:799
-6.481999,-2.000392,8.141543,-4.011476,-0.705997,-0.909003,-0.469268,0.920108,-0.519347,-27.1857,2.8968,-33.3684,1076,2020-06-14 10:56:59:808
-6.481999,-2.000392,8.141543,-4.020142,-0.404299,-1.162036,-0.449033,0.856208,-0.457577,-27.1857,2.8968,-33.3684,1086,2020-06-14 10:56:59:818
-6.731131,-2.055489,8.172684,-4.020142,-0.404299,-1.162036,-0.449033,0.856208,-0.457577,-26.1426,3.1143,-33.635,1097,2020-06-14 10:56:59:829
