sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
5.501;4.118;10.179;3.6634;1.028;2.5775;1.3196;-1.5022;4.081;-14.82;11.76;-31.81;6;2020-06-19 14:19:18:868
5.501;4.118;10.179;2.011;0.8537;1.4178;1.0053;-1.1225;2.8156;-14.8;12.41;-31.39;16;2020-06-19 14:19:18:878
5.501;4.118;10.179;2.011;0.8537;1.4178;1.0053;-1.1225;2.8156;-14.8;12.41;-31.39;26;2020-06-19 14:19:18:888
5.119;3.844;10.454;2.011;0.8537;1.4178;1.0053;-1.1225;2.8156;-14.8;12.41;-31.39;37;2020-06-19 14:19:18:899
5.119;3.844;10.454;1.5559;0.4704;2.0199;1.0053;-1.1225;2.8156;-14.8;12.41;-31.39;48;2020-06-19 14:19:18:910
5.119;3.844;10.454;1.5559;0.4704;2.0199;0.4878;-0.6765;1.5055;-14.8;13.3;-31.0;57;2020-06-19 14:19:18:919
5.119;3.844;10.454;1.5559;0.4704;2.0199;0.4878;-0.6765;1.5055;-14.8;13.3;-31.0;66;2020-06-19 14:19:18:928
4.893;3.432;10.385;1.1925;0.2567;1.8773;0.4878;-0.6765;1.5055;-14.8;13.3;-31.0;76;2020-06-19 14:19:18:938
4.893;3.432;10.385;1.1925;0.2567;1.8773;0.1791;-0.5216;0.9802;-15.0;13.7;-30.8;87;2020-06-19 14:19:18:949
4.226;2.853;10.395;1.1925;0.2567;1.8773;0.1791;-0.5216;0.9802;-15.0;13.7;-30.8;97;2020-06-19 14:19:18:959
4.226;2.853;10.395;0.0447;-0.4468;1.9706;0.1791;-0.5216;0.9802;-15.0;13.7;-30.8;106;2020-06-19 14:19:18:968
4.226;2.853;10.395;0.0447;-0.4468;1.9706;-0.5847;-0.1285;-0.0283;-15.1;14.4;-30.5;116;2020-06-19 14:19:18:978
2.647;1.863;10.748;0.0447;-0.4468;1.9706;-0.5847;-0.1285;-0.0283;-15.1;14.4;-30.5;127;2020-06-19 14:19:18:989
2.647;1.863;10.748;-1.0679;-1.0058;2.1379;-0.5847;-0.1285;-0.0283;-15.1;14.4;-30.5;137;2020-06-19 14:19:18:999
2.647;1.863;10.748;-1.0679;-1.0058;2.1379;-0.5847;-0.1285;-0.0283;-15.1;14.4;-30.5;146;2020-06-19 14:19:19:008
-0.117;0.813;10.12;-1.0679;-1.0058;2.1379;-1.4756;0.482;-1.2235;-15.1;14.7;-30.3;156;2020-06-19 14:19:19:018
-0.117;0.813;10.12;-4.0428;-1.8905;0.8631;-1.4756;0.482;-1.2235;-15.1;14.7;-30.3;167;2020-06-19 14:19:19:029
-0.117;0.813;10.12;-4.0428;-1.8905;0.8631;-1.4756;0.482;-1.2235;-15.1;14.7;-30.3;176;2020-06-19 14:19:19:038
-2.157;0.147;9.542;-4.0428;-1.8905;0.8631;-2.2956;1.3995;-2.8825;-15.0;14.8;-30.1;187;2020-06-19 14:19:19:049
-2.157;0.147;9.542;-4.6432;-1.9939;0.1846;-2.2956;1.3995;-2.8825;-15.0;14.8;-30.1;197;2020-06-19 14:19:19:059
-2.157;0.147;9.542;-4.6432;-1.9939;0.1846;-2.2956;1.3995;-2.8825;-15.0;14.8;-30.1;206;2020-06-19 14:19:19:068
-3.089;0.176;9.522;-4.6432;-1.9939;0.1846;-2.6343;2.4696;-5.1667;-15.1;14.8;-29.9;216;2020-06-19 14:19:19:078
-3.089;0.176;9.522;-4.3987;-1.2986;-0.0073;-2.6343;2.4696;-5.1667;-15.1;14.8;-29.9;227;2020-06-19 14:19:19:089
-3.089;0.176;9.522;-4.3987;-1.2986;-0.0073;-2.6343;2.4696;-5.1667;-15.1;14.8;-29.9;237;2020-06-19 14:19:19:099
-4.089;0.254;10.464;-4.3987;-1.2986;-0.0073;-1.9977;3.1026;-5.6126;-15.1;14.7;-29.8;246;2020-06-19 14:19:19:108
-4.089;0.254;10.464;-3.8798;-0.9155;1.41;-1.9977;3.1026;-5.6126;-15.1;14.7;-29.8;256;2020-06-19 14:19:19:118
-4.089;0.254;10.464;-3.8798;-0.9155;1.41;-1.9977;3.1026;-5.6126;-15.1;14.7;-29.8;267;2020-06-19 14:19:19:129
-3.265;0.804;12.366;-3.8798;-0.9155;1.41;-1.9977;3.1026;-5.6126;-15.1;14.7;-29.8;277;2020-06-19 14:19:19:139
-3.265;0.804;12.366;-3.8798;-0.9155;1.41;-1.9977;3.1026;-5.6126;-15.1;14.7;-29.8;287;2020-06-19 14:19:19:149
-3.265;0.804;12.366;-2.3771;-0.1899;2.6504;-1.1926;2.9822;-4.5567;-15.2;14.6;-29.7;297;2020-06-19 14:19:19:159
-2.088;1.804;13.514;-2.3771;-0.1899;2.6504;-1.1926;2.9822;-4.5567;-15.2;14.6;-29.7;307;2020-06-19 14:19:19:169
-2.088;1.804;13.514;-2.3771;-0.1899;2.6504;-1.1926;2.9822;-4.5567;-15.2;14.6;-29.7;316;2020-06-19 14:19:19:178
-2.088;1.804;13.514;-0.4114;1.2108;4.0608;-0.175;1.5053;-1.7701;-15.5;14.5;-29.6;326;2020-06-19 14:19:19:188
-1.824;2.451;13.327;-0.4114;1.2108;4.0608;-0.175;1.5053;-1.7701;-15.5;14.5;-29.6;336;2020-06-19 14:19:19:198
-1.824;2.451;13.327;-0.4114;1.2108;4.0608;-0.175;1.5053;-1.7701;-15.5;14.5;-29.6;346;2020-06-19 14:19:19:208
-1.824;2.451;13.327;-0.2376;1.4591;3.2668;0.3304;0.6101;-0.4387;-15.7;14.5;-29.6;356;2020-06-19 14:19:19:218
-1.824;2.451;13.327;-0.2376;1.4591;3.2668;0.3304;0.6101;-0.4387;-15.7;14.5;-29.6;367;2020-06-19 14:19:19:229
-1.461;2.834;11.964;-0.2376;1.4591;3.2668;0.3304;0.6101;-0.4387;-15.7;14.5;-29.6;376;2020-06-19 14:19:19:238
-1.461;2.834;11.964;0.4644;1.7545;1.9773;0.6559;0.1163;0.1456;-15.9;14.3;-29.7;386;2020-06-19 14:19:19:248
-0.421;3.461;11.013;0.4644;1.7545;1.9773;0.6559;0.1163;0.1456;-15.9;14.3;-29.7;396;2020-06-19 14:19:19:258
-0.421;3.461;11.013;0.4644;1.7545;1.9773;0.6559;0.1163;0.1456;-15.9;14.3;-29.7;406;2020-06-19 14:19:19:268
-0.421;3.461;11.013;1.1704;1.862;0.5298;1.0203;-0.4477;0.8163;-16.2;14.0;-30.1;416;2020-06-19 14:19:19:278
-0.098;3.569;9.483;1.1704;1.862;0.5298;1.0203;-0.4477;0.8163;-16.2;14.0;-30.1;427;2020-06-19 14:19:19:289
-0.098;3.569;9.483;1.1704;1.862;0.5298;1.0203;-0.4477;0.8163;-16.2;14.0;-30.1;437;2020-06-19 14:19:19:299
-0.098;3.569;9.483;1.1704;1.862;0.5298;1.0203;-0.4477;0.8163;-16.2;14.0;-30.1;446;2020-06-19 14:19:19:308
-0.431;3.187;7.629;0.9816;1.4763;-0.6557;1.1288;-0.547;0.954;-16.4;13.8;-30.4;456;2020-06-19 14:19:19:318
-0.431;3.187;7.629;0.9816;1.4763;-0.6557;1.1288;-0.547;0.954;-16.4;13.8;-30.4;467;2020-06-19 14:19:19:329
-0.431;3.187;7.629;0.9816;1.4763;-0.6557;1.1288;-0.547;0.954;-16.4;13.8;-30.4;477;2020-06-19 14:19:19:339
-0.813;2.373;5.795;0.1288;-0.1972;-3.6213;1.1101;-0.2665;0.4874;-16.8;13.2;-30.9;487;2020-06-19 14:19:19:349
-0.813;2.373;5.795;0.1288;-0.1972;-3.6213;1.1101;-0.2665;0.4874;-16.8;13.2;-30.9;497;2020-06-19 14:19:19:359
-0.813;2.373;5.795;0.1288;-0.1972;-3.6213;1.1101;-0.2665;0.4874;-16.8;13.2;-30.9;506;2020-06-19 14:19:19:368
-0.813;2.373;5.795;0.1288;-0.1972;-3.6213;1.1101;-0.2665;0.4874;-16.8;13.2;-30.9;516;2020-06-19 14:19:19:378
-0.402;1.637;4.677;0.5323;-1.1498;-4.6783;0.8483;-0.1197;0.013;-17.1;12.8;-31.2;526;2020-06-19 14:19:19:388
-0.402;1.637;4.677;0.5323;-1.1498;-4.6783;0.8483;-0.1197;0.013;-17.1;12.8;-31.2;536;2020-06-19 14:19:19:398
-0.402;1.637;4.677;0.5323;-1.1498;-4.6783;0.8483;-0.1197;0.013;-17.1;12.8;-31.2;546;2020-06-19 14:19:19:408
0.451;1.372;3.824;1.2501;-1.5663;-5.4972;0.6011;-0.3835;0.1321;-17.2;12.1;-31.5;556;2020-06-19 14:19:19:418
0.451;1.372;3.824;1.2501;-1.5663;-5.4972;0.6011;-0.3835;0.1321;-17.2;12.1;-31.5;567;2020-06-19 14:19:19:429
0.088;1.216;3.952;1.2501;-1.5663;-5.4972;0.6011;-0.3835;0.1321;-17.2;12.1;-31.5;577;2020-06-19 14:19:19:439
0.088;1.216;3.952;0.3002;-1.9508;-5.6016;0.2721;-0.5522;0.2753;-17.3;11.18;-32.02;587;2020-06-19 14:19:19:449
0.088;1.216;3.952;0.3002;-1.9508;-5.6016;0.2721;-0.5522;0.2753;-17.3;11.18;-32.02;597;2020-06-19 14:19:19:459
-0.598;0.97;2.942;0.3002;-1.9508;-5.6016;0.2721;-0.5522;0.2753;-17.3;11.18;-32.02;606;2020-06-19 14:19:19:468
-0.598;0.97;2.942;0.0817;-2.004;-6.6786;0.1838;-0.1544;-0.1924;-17.4;10.6;-32.4;618;2020-06-19 14:19:19:480
-0.598;0.97;2.942;0.0817;-2.004;-6.6786;0.1838;-0.1544;-0.1924;-17.4;10.6;-32.4;626;2020-06-19 14:19:19:488
-0.147;1.245;2.569;0.0817;-2.004;-6.6786;0.1838;-0.1544;-0.1924;-17.4;10.6;-32.4;636;2020-06-19 14:19:19:498
-0.147;1.245;2.569;0.9008;-1.6617;-6.2839;0.3782;-0.0959;0.153;-17.4;10.2;-32.6;647;2020-06-19 14:19:19:509
-0.147;1.245;2.569;0.9008;-1.6617;-6.2839;0.3782;-0.0959;0.153;-17.4;10.2;-32.6;657;2020-06-19 14:19:19:519
1.588;1.922;5.119;0.9008;-1.6617;-6.2839;0.3782;-0.0959;0.153;-17.4;10.2;-32.6;667;2020-06-19 14:19:19:529
1.588;1.922;5.119;1.2115;-1.5569;-3.3475;0.4296;-1.0692;2.3938;-17.4;9.7;-32.9;677;2020-06-19 14:19:19:539
1.588;1.922;5.119;1.2115;-1.5569;-3.3475;0.4296;-1.0692;2.3938;-17.4;9.7;-32.9;686;2020-06-19 14:19:19:548
0.549;1.471;6.757;1.2115;-1.5569;-3.3475;0.4296;-1.0692;2.3938;-17.4;9.7;-32.9;696;2020-06-19 14:19:19:558
0.549;1.471;6.757;-0.4678;-1.8798;-2.2923;0.4296;-1.0692;2.3938;-17.4;9.7;-32.9;706;2020-06-19 14:19:19:568
0.549;1.471;6.757;-0.4678;-1.8798;-2.2923;0.4296;-1.0692;2.3938;-17.4;9.7;-32.9;716;2020-06-19 14:19:19:578
0.549;1.471;6.757;-0.4678;-1.8798;-2.2923;-0.9188;-0.7146;0.7992;-17.3;9.5;-32.9;726;2020-06-19 14:19:19:588
0.098;0.863;7.727;-0.3218;-1.8036;-1.2346;-0.9188;-0.7146;0.7992;-17.3;9.5;-32.9;736;2020-06-19 14:19:19:598
0.098;0.863;7.727;-0.3218;-1.8036;-1.2346;-0.9188;-0.7146;0.7992;-17.3;9.5;-32.9;747;2020-06-19 14:19:19:609
0.735;0.813;9.463;-0.3218;-1.8036;-1.2346;-1.7401;-0.2707;-0.3104;-17.2;9.7;-32.8;757;2020-06-19 14:19:19:619
0.735;0.813;9.463;0.018;-1.1318;0.6968;-1.7401;-0.2707;-0.3104;-17.2;9.7;-32.8;767;2020-06-19 14:19:19:629
0.735;0.813;9.463;0.018;-1.1318;0.6968;-1.7401;-0.2707;-0.3104;-17.2;9.7;-32.8;777;2020-06-19 14:19:19:639
0.009;1.019;11.895;0.018;-1.1318;0.6968;-1.8474;-0.1709;-0.5667;-17.2;10.2;-32.5;786;2020-06-19 14:19:19:648
0.009;1.019;11.895;-0.9125;-0.7384;2.9434;-1.8474;-0.1709;-0.5667;-17.2;10.2;-32.5;796;2020-06-19 14:19:19:658
0.009;1.019;11.895;-0.9125;-0.7384;2.9434;-1.8474;-0.1709;-0.5667;-17.2;10.2;-32.5;806;2020-06-19 14:19:19:668
-0.313;0.892;13.219;-0.9125;-0.7384;2.9434;-1.4956;0.5172;-0.8633;-16.98;13.2;-31.01;816;2020-06-19 14:19:19:678
-0.313;0.892;13.219;-0.1546;-0.0097;3.4115;-1.4956;0.5172;-0.8633;-16.98;13.2;-31.01;826;2020-06-19 14:19:19:688
-0.313;0.892;13.219;-0.1546;-0.0097;3.4115;-1.4956;0.5172;-0.8633;-16.98;13.2;-31.01;836;2020-06-19 14:19:19:698
1.225;2.03;13.347;-0.1546;-0.0097;3.4115;-0.7277;0.2783;0.2217;-16.76;14.54;-30.73;846;2020-06-19 14:19:19:708
1.225;2.03;13.347;1.0917;0.916;4.081;-0.7277;0.2783;0.2217;-16.76;14.54;-30.73;856;2020-06-19 14:19:19:718
1.225;2.03;13.347;1.0917;0.916;4.081;-0.7277;0.2783;0.2217;-16.76;14.54;-30.73;866;2020-06-19 14:19:19:728
0.882;1.667;14.278;1.0917;0.916;4.081;-0.7277;0.2783;0.2217;-16.76;14.54;-30.73;876;2020-06-19 14:19:19:738
0.882;1.667;14.278;0.0252;0.198;4.4739;-0.1382;-0.053;1.131;-16.6;16.99;-31.44;886;2020-06-19 14:19:19:748
0.882;1.667;14.278;0.0252;0.198;4.4739;-0.1382;-0.053;1.131;-16.6;16.99;-31.44;896;2020-06-19 14:19:19:758
