sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.117;2.383;9.689;0.1486;0.0874;-0.1885;0.1531;-0.0164;0.4841;-10.7;13.7;-23.8;26;2020-06-14 18:22:56:378
-0.117;2.383;9.689;0.1486;0.0874;-0.1885;0.1531;-0.0164;0.4841;-10.7;13.7;-23.8;37;2020-06-14 18:22:56:389
-0.117;2.383;9.689;0.0093;0.0972;0.2742;0.1531;-0.0164;0.4841;-10.7;13.7;-23.8;46;2020-06-14 18:22:56:398
-0.088;2.314;9.846;0.0093;0.0972;0.2742;0.0578;0.0168;0.3713;-10.6;13.8;-23.8;56;2020-06-14 18:22:56:408
-0.088;2.314;9.846;0.0093;0.0972;0.2742;0.0578;0.0168;0.3713;-10.6;13.8;-23.8;66;2020-06-14 18:22:56:418
-0.088;2.314;9.846;0.0286;-0.0864;0.2926;0.0578;0.0168;0.3713;-10.6;13.8;-23.8;76;2020-06-14 18:22:56:428
-0.088;2.314;9.846;0.0286;-0.0864;0.2926;0.0578;0.0168;0.3713;-10.6;13.8;-23.8;86;2020-06-14 18:22:56:438
-0.147;2.157;9.856;0.0286;-0.0864;0.2926;-0.0012;0.0079;0.2941;-10.5;13.9;-23.9;96;2020-06-14 18:22:56:448
-0.147;2.157;9.856;-0.076;-0.3024;0.4667;-0.0012;0.0079;0.2941;-10.5;13.9;-23.9;106;2020-06-14 18:22:56:458
-0.147;2.157;9.856;-0.076;-0.3024;0.4667;-0.0012;0.0079;0.2941;-10.5;13.9;-23.9;116;2020-06-14 18:22:56:468
-0.235;1.833;10.169;-0.076;-0.3024;0.4667;-0.2745;0.0615;0.1242;-10.3;14.0;-23.8;126;2020-06-14 18:22:56:478
-0.235;1.833;10.169;-0.076;-0.3024;0.4667;-0.2745;0.0615;0.1242;-10.3;14.0;-23.8;136;2020-06-14 18:22:56:488
-0.353;1.824;10.326;-0.1236;-0.408;0.7255;-0.2745;0.0615;0.1242;-10.3;14.0;-23.8;147;2020-06-14 18:22:56:499
-0.353;1.824;10.326;-0.1236;-0.408;0.7255;-0.2745;0.0615;0.1242;-10.3;14.0;-23.8;156;2020-06-14 18:22:56:508
-0.353;1.824;10.326;-0.1236;-0.408;0.7255;-0.3567;0.0883;0.0394;-10.1;14.1;-23.8;166;2020-06-14 18:22:56:518
-0.608;2.304;10.169;-0.2245;-0.0714;0.6529;-0.3567;0.0883;0.0394;-10.1;14.1;-23.8;176;2020-06-14 18:22:56:528
-0.608;2.304;10.169;-0.2245;-0.0714;0.6529;-0.3567;0.0883;0.0394;-10.1;14.1;-23.8;186;2020-06-14 18:22:56:538
-0.608;2.304;10.169;-0.6529;0.4176;0.5737;-0.0548;0.2407;-0.3137;-10.0;14.2;-23.5;197;2020-06-14 18:22:56:549
-0.912;2.628;10.209;-0.6529;0.4176;0.5737;-0.0548;0.2407;-0.3137;-10.0;14.2;-23.5;206;2020-06-14 18:22:56:558
-0.912;2.628;10.209;-0.6529;0.4176;0.5737;-0.0548;0.2407;-0.3137;-10.0;14.2;-23.5;216;2020-06-14 18:22:56:568
-0.912;2.628;10.209;0.0535;1.0266;0.7845;-0.0548;0.2407;-0.3137;-10.0;14.4;-23.5;227;2020-06-14 18:22:56:579
-0.912;2.628;10.209;0.0535;1.0266;0.7845;-0.0548;0.2407;-0.3137;-10.0;14.4;-23.5;237;2020-06-14 18:22:56:589
0.019;3.412;10.611;0.0535;1.0266;0.7845;0.378;0.2095;0.0826;-10.0;14.4;-23.5;246;2020-06-14 18:22:56:598
0.019;3.412;10.611;0.8111;1.1205;1.942;0.378;0.2095;0.0826;-9.8;14.5;-23.5;256;2020-06-14 18:22:56:608
0.519;3.363;11.876;0.8111;1.1205;1.942;0.378;0.2095;0.0826;-9.8;14.5;-23.5;266;2020-06-14 18:22:56:618
0.519;3.363;11.876;0.8111;1.1205;1.942;0.4389;-0.1965;0.8472;-9.8;14.5;-23.5;276;2020-06-14 18:22:56:628
0.519;3.363;11.876;0.8111;1.1205;1.942;0.4389;-0.1965;0.8472;-9.8;14.5;-23.5;286;2020-06-14 18:22:56:638
0.519;3.363;11.876;0.7494;0.7747;2.5961;0.4389;-0.1965;0.8472;-9.7;14.6;-23.5;296;2020-06-14 18:22:56:648
0.627;2.961;12.111;0.7494;0.7747;2.5961;0.1774;-0.3435;0.8828;-9.7;14.6;-23.5;306;2020-06-14 18:22:56:658
0.627;2.961;12.111;0.7494;0.7747;2.5961;0.1774;-0.3435;0.8828;-9.7;14.6;-23.5;316;2020-06-14 18:22:56:668
1.304;3.275;11.944;1.1855;0.8192;2.451;0.1774;-0.3435;0.8828;-9.5;14.7;-23.5;327;2020-06-14 18:22:56:679
1.304;3.275;11.944;1.1855;0.8192;2.451;0.1373;-0.4873;1.0563;-9.5;14.7;-23.5;337;2020-06-14 18:22:56:689
1.304;3.275;11.944;1.1855;0.8192;2.451;0.1373;-0.4873;1.0563;-9.5;14.7;-23.5;346;2020-06-14 18:22:56:698
1.019;3.059;12.337;0.6751;0.5849;2.8542;0.1373;-0.4873;1.0563;-9.4;14.7;-23.5;356;2020-06-14 18:22:56:708
1.019;3.059;12.337;0.6751;0.5849;2.8542;0.1373;-0.4873;1.0563;-9.4;14.7;-23.5;368;2020-06-14 18:22:56:720
1.019;3.059;12.337;0.6751;0.5849;2.8542;0.09;-0.519;0.9071;-9.4;14.7;-23.5;376;2020-06-14 18:22:56:728
0.549;2.844;12.611;0.1252;0.3936;3.1255;0.09;-0.519;0.9071;-9.4;14.7;-23.5;386;2020-06-14 18:22:56:738
0.549;2.844;12.611;0.1252;0.3936;3.1255;0.09;-0.519;0.9071;-9.3;14.6;-23.5;396;2020-06-14 18:22:56:748
0.549;2.844;12.611;0.1252;0.3936;3.1255;-0.1971;-0.0938;0.3474;-9.3;14.6;-23.5;406;2020-06-14 18:22:56:758
0.549;2.844;12.611;0.1252;0.3936;3.1255;-0.1971;-0.0938;0.3474;-9.3;14.6;-23.5;416;2020-06-14 18:22:56:768
0.402;2.853;12.739;-0.0736;0.4199;3.4313;-0.1971;-0.0938;0.3474;-9.2;14.4;-23.6;426;2020-06-14 18:22:56:778
0.402;2.853;12.739;-0.0736;0.4199;3.4313;-0.1971;-0.0938;0.3474;-9.2;14.4;-23.6;436;2020-06-14 18:22:56:788
0.402;2.853;12.739;-0.0736;0.4199;3.4313;-0.1802;-0.0715;-0.126;-9.2;14.4;-23.6;446;2020-06-14 18:22:56:798
0.892;2.991;11.385;0.4377;0.6695;1.8684;-0.1802;-0.0715;-0.126;-9.3;14.2;-23.8;457;2020-06-14 18:22:56:809
0.892;2.991;11.385;0.4377;0.6695;1.8684;-0.1802;-0.0715;-0.126;-9.3;14.2;-23.8;466;2020-06-14 18:22:56:818
1.402;3.167;9.983;0.8436;0.7869;0.4865;0.1237;-0.3645;-0.239;-9.3;14.2;-23.8;476;2020-06-14 18:22:56:828
1.402;3.167;9.983;0.8436;0.7869;0.4865;0.1237;-0.3645;-0.239;-9.4;14.0;-24.1;486;2020-06-14 18:22:56:838
1.402;3.167;9.983;0.8436;0.7869;0.4865;0.1237;-0.3645;-0.239;-9.4;14.0;-24.1;496;2020-06-14 18:22:56:848
0.764;2.971;8.953;0.0915;0.4739;-0.5058;0.3317;-0.3965;-0.1477;-9.4;14.0;-24.1;506;2020-06-14 18:22:56:858
0.764;2.971;8.953;0.0915;0.4739;-0.5058;0.3317;-0.3965;-0.1477;-9.4;13.3;-24.7;516;2020-06-14 18:22:56:868
0.764;2.971;8.953;0.0915;0.4739;-0.5058;0.3317;-0.3965;-0.1477;-9.4;13.3;-24.7;526;2020-06-14 18:22:56:878
0.402;2.873;6.864;-0.2929;0.222;-2.5511;0.4697;-0.2677;-0.4725;-9.4;13.3;-24.7;536;2020-06-14 18:22:56:888
