sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.058;3.412;4.315;-0.0227;-1.391;-4.8595;0.3803;0.1934;-0.4201;-15.4;5.8;-43.2;5;2020-06-17 15:18:10:698
-0.274;2.912;3.206;-0.0227;-1.391;-4.8595;0.8359;0.31;0.0098;-15.3;5.6;-43.2;14;2020-06-17 15:18:10:707
-0.274;2.912;3.206;-0.2668;-2.1782;-5.3462;0.8359;0.31;0.0098;-15.3;5.6;-43.2;24;2020-06-17 15:18:10:717
-0.274;2.912;3.206;-0.2668;-2.1782;-5.3462;0.8359;0.31;0.0098;-15.3;5.6;-43.2;34;2020-06-17 15:18:10:727
-0.558;2.638;3.304;-0.2668;-2.1782;-5.3462;0.8359;0.31;0.0098;-15.3;5.6;-43.2;45;2020-06-17 15:18:10:738
-0.558;2.638;3.304;-0.3461;-2.4625;-5.0685;0.9624;0.3741;-0.1711;-15.3;5.2;-43.2;54;2020-06-17 15:18:10:747
-0.558;2.638;3.304;-0.3461;-2.4625;-5.0685;0.9624;0.3741;-0.1711;-15.3;5.2;-43.2;64;2020-06-17 15:18:10:757
-1.127;2.363;3.981;-0.3461;-2.4625;-5.0685;0.9624;0.3741;-0.1711;-15.3;5.2;-43.2;75;2020-06-17 15:18:10:768
-1.127;2.363;3.981;-0.6807;-3.0271;-4.0006;0.5239;0.4599;-0.8639;-15.2;5.1;-43.2;84;2020-06-17 15:18:10:777
-1.127;2.363;3.981;-0.6807;-3.0271;-4.0006;0.5239;0.4599;-0.8639;-15.2;5.1;-43.2;94;2020-06-17 15:18:10:787
-0.676;1.902;4.471;-0.6807;-3.0271;-4.0006;0.5239;0.4599;-0.8639;-15.2;5.1;-43.2;104;2020-06-17 15:18:10:797
-0.676;1.902;4.471;0.4311;-3.2905;-3.888;-0.2074;0.2451;-1.1858;-15.2;5.0;-43.3;115;2020-06-17 15:18:10:808
-0.676;1.902;4.471;0.4311;-3.2905;-3.888;-0.2074;0.2451;-1.1858;-15.2;5.0;-43.3;125;2020-06-17 15:18:10:818
-0.147;1.471;4.874;0.4311;-3.2905;-3.888;-0.2074;0.2451;-1.1858;-15.2;5.0;-43.3;134;2020-06-17 15:18:10:827
-0.147;1.471;4.874;0.4736;-3.4648;-3.0448;-1.06;-0.2353;-0.9909;-15.2;5.0;-43.1;144;2020-06-17 15:18:10:837
-0.147;1.471;4.874;0.4736;-3.4648;-3.0448;-1.06;-0.2353;-0.9909;-15.2;5.0;-43.1;154;2020-06-17 15:18:10:847
-0.912;0.813;6.943;0.4736;-3.4648;-3.0448;-1.06;-0.2353;-0.9909;-15.2;5.0;-43.1;165;2020-06-17 15:18:10:858
-0.912;0.813;6.943;0.4736;-3.4648;-3.0448;-1.06;-0.2353;-0.9909;-15.2;5.0;-43.1;174;2020-06-17 15:18:10:867
-0.912;0.813;6.943;0.0488;-2.9187;-1.4668;-2.5481;-0.6572;-2.3247;-15.2;5.3;-42.8;185;2020-06-17 15:18:10:878
-0.47;0.951;8.208;0.0488;-2.9187;-1.4668;-2.5481;-0.6572;-2.3247;-15.2;5.3;-42.8;194;2020-06-17 15:18:10:887
-0.47;0.951;8.208;0.0488;-2.9187;-1.4668;-2.5481;-0.6572;-2.3247;-15.2;5.3;-42.8;204;2020-06-17 15:18:10:897
-0.47;0.951;8.208;0.8695;-1.7347;-0.699;-2.6158;-0.8253;-2.1169;-15.4;5.8;-42.5;215;2020-06-17 15:18:10:908
0.411;1.088;9.081;0.8695;-1.7347;-0.699;-2.6158;-0.8253;-2.1169;-15.4;5.8;-42.5;224;2020-06-17 15:18:10:917
0.411;1.088;9.081;0.8695;-1.7347;-0.699;-2.6158;-0.8253;-2.1169;-15.4;5.8;-42.5;235;2020-06-17 15:18:10:928
0.411;1.088;9.081;1.9502;-1.1908;-0.0023;-2.3497;-1.1565;-0.982;-15.75;7.59;-40.91;244;2020-06-17 15:18:10:937
1.735;1.206;9.846;1.9502;-1.1908;-0.0023;-2.3497;-1.1565;-0.982;-15.75;7.59;-40.91;255;2020-06-17 15:18:10:948
1.735;1.206;9.846;1.9502;-1.1908;-0.0023;-2.3497;-1.1565;-0.982;-15.75;7.59;-40.91;264;2020-06-17 15:18:10:957
1.735;1.206;9.846;2.5939;-0.0218;2.7479;-2.3497;-1.1565;-0.982;-15.75;7.59;-40.91;274;2020-06-17 15:18:10:967
3.324;2.128;14.494;2.5939;-0.0218;2.7479;-1.2275;-1.8674;2.3495;-17.11;11.83;-37.06;284;2020-06-17 15:18:10:977
3.324;2.128;14.494;2.5939;-0.0218;2.7479;-1.2275;-1.8674;2.3495;-17.11;11.83;-37.06;294;2020-06-17 15:18:10:987
3.324;2.128;14.494;2.5397;0.8802;8.0956;-1.2275;-1.8674;2.3495;-17.11;11.83;-37.06;305;2020-06-17 15:18:10:998
3.177;2.441;17.809;2.5397;0.8802;8.0956;-0.611;-1.5951;2.5822;-17.41;13.79;-35.53;314;2020-06-17 15:18:11:007
3.177;2.441;17.809;2.5397;0.8802;8.0956;-0.611;-1.5951;2.5822;-17.41;13.79;-35.53;325;2020-06-17 15:18:11:018
3.177;2.441;17.809;1.3575;0.924;6.3402;-0.611;-1.5951;2.5822;-17.41;13.79;-35.53;334;2020-06-17 15:18:11:027
2.363;2.451;15.161;1.3575;0.924;6.3402;-0.2309;-0.8951;1.5761;-17.93;13.71;-34.85;344;2020-06-17 15:18:11:037
2.363;2.451;15.161;1.3575;0.924;6.3402;-0.2309;-0.8951;1.5761;-17.93;13.71;-34.85;354;2020-06-17 15:18:11:047
2.363;2.451;15.161;0.4628;0.9946;4.6876;-0.2309;-0.8951;1.5761;-17.93;13.71;-34.85;365;2020-06-17 15:18:11:058
1.686;2.412;14.102;0.4628;0.9946;4.6876;-0.2309;-0.8951;1.5761;-17.93;13.71;-34.85;374;2020-06-17 15:18:11:067
1.686;2.412;14.102;0.4628;0.9946;4.6876;0.028;-0.2079;0.3177;-17.14;13.6;-33.5;384;2020-06-17 15:18:11:077
1.686;2.412;14.102;0.1109;0.9749;4.3379;0.028;-0.2079;0.3177;-17.14;13.6;-33.5;395;2020-06-17 15:18:11:088
1.216;2.54;13.347;0.1109;0.9749;4.3379;0.028;-0.2079;0.3177;-17.14;13.6;-33.5;404;2020-06-17 15:18:11:097
1.216;2.54;13.347;0.1109;0.9749;4.3379;0.1341;0.1038;-0.1938;-17.72;13.64;-33.31;415;2020-06-17 15:18:11:108
1.216;2.54;13.347;-0.2868;0.8942;2.8857;0.1341;0.1038;-0.1938;-17.72;13.64;-33.31;425;2020-06-17 15:18:11:118
