sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.873;3.736;9.169;-0.5412;-0.1651;0.3686;-0.2251;0.4049;-1.0763;-18.4;5.0;-44.1;6;2020-06-17 15:22:53:460
-2.0;3.991;8.414;-0.5412;-0.1651;0.3686;-0.2251;0.4049;-1.0763;-18.4;5.0;-44.1;16;2020-06-17 15:22:53:470
-2.0;3.991;8.414;0.3209;0.0891;-0.2775;-0.2251;0.4049;-1.0763;-18.4;5.0;-44.1;27;2020-06-17 15:22:53:481
-2.0;3.991;8.414;0.3209;0.0891;-0.2775;-0.2251;0.4049;-1.0763;-18.4;5.0;-44.1;37;2020-06-17 15:22:53:491
-1.794;4.069;8.296;0.3209;0.0891;-0.2775;-0.1009;0.1968;-0.5321;-18.1;4.8;-44.2;46;2020-06-17 15:22:53:500
-1.794;4.069;8.296;0.3209;0.0891;-0.2775;-0.1009;0.1968;-0.5321;-18.1;4.8;-44.2;56;2020-06-17 15:22:53:510
-1.794;4.069;8.296;0.754;0.2865;-0.3792;-0.1009;0.1968;-0.5321;-18.1;4.8;-44.2;68;2020-06-17 15:22:53:522
-1.323;4.334;8.179;0.754;0.2865;-0.3792;0.1209;-0.0992;0.5435;-17.6;4.4;-44.4;77;2020-06-17 15:22:53:531
-1.323;4.334;8.179;0.754;0.2865;-0.3792;0.1209;-0.0992;0.5435;-17.6;4.4;-44.4;87;2020-06-17 15:22:53:541
-1.323;4.334;8.179;0.9357;0.2253;-0.986;0.1209;-0.0992;0.5435;-17.6;4.4;-44.4;96;2020-06-17 15:22:53:550
-1.019;4.383;7.374;0.9357;0.2253;-0.986;0.2669;-0.1439;0.9888;-17.3;4.2;-44.5;106;2020-06-17 15:22:53:560
-1.019;4.383;7.374;0.9357;0.2253;-0.986;0.2669;-0.1439;0.9888;-17.3;4.2;-44.5;116;2020-06-17 15:22:53:570
-1.019;4.383;7.374;1.0055;-0.0083;-1.9847;0.2669;-0.1439;0.9888;-17.3;4.2;-44.5;127;2020-06-17 15:22:53:581
-0.902;4.128;6.129;1.0055;-0.0083;-1.9847;0.4699;-0.0586;1.2918;-16.9;3.9;-44.6;136;2020-06-17 15:22:53:590
-0.902;4.128;6.129;1.0055;-0.0083;-1.9847;0.4699;-0.0586;1.2918;-16.9;3.9;-44.6;149;2020-06-17 15:22:53:603
-0.902;4.128;6.129;1.0055;-0.0083;-1.9847;0.4699;-0.0586;1.2918;-16.9;3.9;-44.6;157;2020-06-17 15:22:53:611
-1.471;3.187;5.109;0.26;-1.3985;-3.3841;0.4699;-0.0586;1.2918;-16.9;3.9;-44.6;166;2020-06-17 15:22:53:620
-1.471;3.187;5.109;0.26;-1.3985;-3.3841;0.5582;0.147;0.6012;-16.5;3.5;-44.5;176;2020-06-17 15:22:53:630
-1.471;3.187;5.109;0.26;-1.3985;-3.3841;0.5582;0.147;0.6012;-16.5;3.5;-44.5;189;2020-06-17 15:22:53:643
-1.265;2.647;5.089;0.3437;-1.8551;-3.3568;0.5582;0.147;0.6012;-16.5;3.5;-44.5;197;2020-06-17 15:22:53:651
-1.265;2.647;5.089;0.3437;-1.8551;-3.3568;0.5582;0.147;0.6012;-16.5;3.5;-44.5;206;2020-06-17 15:22:53:660
-1.265;2.647;5.089;0.3437;-1.8551;-3.3568;0.2751;0.1133;0.0414;-16.2;3.2;-44.6;216;2020-06-17 15:22:53:670
-1.265;2.647;5.089;0.3437;-1.8551;-3.3568;0.2751;0.1133;0.0414;-16.2;3.2;-44.6;226;2020-06-17 15:22:53:680
-0.715;2.451;5.56;1.174;-2.1249;-2.7543;0.2751;0.1133;0.0414;-16.2;3.2;-44.6;236;2020-06-17 15:22:53:690
-0.715;2.451;5.56;1.174;-2.1249;-2.7543;-0.3393;-0.2822;0.3024;-15.9;3.0;-44.7;248;2020-06-17 15:22:53:702
-0.715;2.451;5.56;1.174;-2.1249;-2.7543;-0.3393;-0.2822;0.3024;-15.9;3.0;-44.7;257;2020-06-17 15:22:53:711
0.813;2.844;5.864;1.174;-2.1249;-2.7543;-0.3393;-0.2822;0.3024;-15.9;3.0;-44.7;266;2020-06-17 15:22:53:720
0.813;2.844;5.864;2.5126;-1.4591;-2.9227;-0.512;-0.6581;1.72;-15.6;3.0;-44.7;277;2020-06-17 15:22:53:731
0.813;2.844;5.864;2.5126;-1.4591;-2.9227;-0.512;-0.6581;1.72;-15.6;3.0;-44.7;286;2020-06-17 15:22:53:740
2.079;3.285;5.648;2.5126;-1.4591;-2.9227;-0.512;-0.6581;1.72;-15.6;3.0;-44.7;296;2020-06-17 15:22:53:750
2.079;3.285;5.648;2.5126;-1.4591;-2.9227;-0.512;-0.6581;1.72;-15.6;3.0;-44.7;306;2020-06-17 15:22:53:760
2.079;3.285;5.648;2.343;-1.2649;-2.69;-0.0673;-0.8858;4.3671;-15.4;3.4;-44.7;316;2020-06-17 15:22:53:770
2.373;3.363;6.296;2.343;-1.2649;-2.69;-0.0673;-0.8858;4.3671;-15.4;3.4;-44.7;326;2020-06-17 15:22:53:780
2.373;3.363;6.296;2.343;-1.2649;-2.69;-0.0673;-0.8858;4.3671;-15.4;3.4;-44.7;337;2020-06-17 15:22:53:791
