sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.196;-0.176;14.887;-0.3195;-0.2052;4.9249;-0.2375;0.1243;0.0286;-16.5;25.5;-38.4;5;2020-06-17 15:30:43:876
-0.196;-0.176;14.887;-0.0234;-0.2335;5.7183;-0.2375;0.1243;0.0286;-16.5;25.5;-38.4;15;2020-06-17 15:30:43:886
-0.127;-0.117;16.044;-0.0234;-0.2335;5.7183;-0.2375;0.1243;0.0286;-16.5;25.5;-38.4;25;2020-06-17 15:30:43:896
-0.127;-0.117;16.044;-0.0234;-0.2335;5.7183;-0.1943;0.07;-0.0297;-16.4;26.0;-38.2;36;2020-06-17 15:30:43:907
-0.127;-0.117;16.044;-8.0E-4;-0.1287;7.297;-0.1943;0.07;-0.0297;-16.4;26.0;-38.2;45;2020-06-17 15:30:43:916
0.117;-0.215;17.279;-8.0E-4;-0.1287;7.297;-0.1943;0.07;-0.0297;-16.4;26.0;-38.2;55;2020-06-17 15:30:43:926
0.117;-0.215;17.279;-8.0E-4;-0.1287;7.297;-0.1943;0.07;-0.0297;-16.4;26.0;-38.2;65;2020-06-17 15:30:43:936
0.117;-0.215;17.279;0.7585;-0.3385;6.6587;-0.1602;-0.1121;0.0851;-16.2;26.2;-37.9;75;2020-06-17 15:30:43:946
1.088;-0.421;15.583;0.7585;-0.3385;6.6587;-0.1602;-0.1121;0.0851;-16.2;26.2;-37.9;86;2020-06-17 15:30:43:957
1.088;-0.421;15.583;0.7585;-0.3385;6.6587;-0.1602;-0.1121;0.0851;-16.2;26.2;-37.9;95;2020-06-17 15:30:43:966
1.088;-0.421;15.583;1.2087;-0.3308;4.9146;-0.1741;-0.3395;0.2794;-16.1;26.2;-37.8;106;2020-06-17 15:30:43:977
1.52;-0.245;13.219;1.2087;-0.3308;4.9146;-0.1741;-0.3395;0.2794;-16.1;26.2;-37.8;117;2020-06-17 15:30:43:988
1.52;-0.245;13.219;1.2087;-0.3308;4.9146;-0.1741;-0.3395;0.2794;-16.1;26.2;-37.8;126;2020-06-17 15:30:43:997
1.52;-0.245;13.219;1.2087;-0.3308;4.9146;-0.1741;-0.3395;0.2794;-16.1;26.2;-37.8;135;2020-06-17 15:30:44:006
1.52;-0.245;13.219;1.2087;-0.3308;4.9146;-0.1741;-0.3395;0.2794;-16.1;26.2;-37.8;145;2020-06-17 15:30:44:016
1.657;0.166;10.326;1.2195;0.2704;0.5305;-0.0266;-0.7006;0.4002;-16.0;25.7;-37.8;155;2020-06-17 15:30:44:026
