sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.872;0.715;9.483;-0.9162;-0.5437;-0.0509;-0.2558;0.5924;-0.7558;-28.0;13.2;-35.8;10;2020-06-17 15:42:04:908
-0.872;0.715;9.483;-0.9162;-0.5437;-0.0509;-0.2558;0.5924;-0.7558;-28.0;13.2;-35.8;19;2020-06-17 15:42:04:917
-1.735;0.137;10.081;-0.9162;-0.5437;-0.0509;-0.2558;0.5924;-0.7558;-28.0;13.2;-35.8;30;2020-06-17 15:42:04:928
-1.735;0.137;10.081;-0.9162;-0.5437;-0.0509;-0.2558;0.5924;-0.7558;-28.0;13.2;-35.8;40;2020-06-17 15:42:04:938
-1.735;0.137;10.081;-1.7515;-1.3426;0.7333;-0.6861;1.0204;-1.3468;-28.0;13.1;-35.6;49;2020-06-17 15:42:04:947
-2.726;-0.813;10.65;-1.7515;-1.3426;0.7333;-0.6861;1.0204;-1.3468;-28.0;13.1;-35.6;59;2020-06-17 15:42:04:957
-2.726;-0.813;10.65;-1.7515;-1.3426;0.7333;-0.6861;1.0204;-1.3468;-28.0;13.1;-35.6;69;2020-06-17 15:42:04:967
-2.726;-0.813;10.65;-2.0986;-1.7723;1.1847;-1.0914;1.4262;-1.768;-28.1;13.2;-35.4;80;2020-06-17 15:42:04:978
-3.412;-1.627;10.964;-2.0986;-1.7723;1.1847;-1.0914;1.4262;-1.768;-28.1;13.2;-35.4;89;2020-06-17 15:42:04:987
-3.412;-1.627;10.964;-2.0986;-1.7723;1.1847;-1.0914;1.4262;-1.768;-28.1;13.2;-35.4;100;2020-06-17 15:42:04:998
-3.412;-1.627;10.964;-1.7303;-2.0021;1.1093;-1.3426;1.5901;-1.862;-28.1;13.3;-35.2;110;2020-06-17 15:42:05:008
