sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.157;5.05;6.237;1.0938;-0.7377;-1.0667;-0.3126;0.0494;-0.128;-22.4;-8.1;-42.8;6;2020-06-17 16:43:34:565
-1.157;5.05;6.237;1.0938;-0.7377;-1.0667;-0.3126;0.0494;-0.128;-22.4;-8.1;-42.8;16;2020-06-17 16:43:34:575
0.078;4.874;5.433;1.9859;-1.006;-1.7574;-0.2023;-0.0594;1.1284;-21.8;-8.1;-43.3;29;2020-06-17 16:43:34:588
0.078;4.874;5.433;1.9859;-1.006;-1.7574;-0.2023;-0.0594;1.1284;-21.8;-8.1;-43.3;38;2020-06-17 16:43:34:597
0.078;4.874;5.433;1.9859;-1.006;-1.7574;-0.2023;-0.0594;1.1284;-21.8;-8.1;-43.3;47;2020-06-17 16:43:34:606
0.078;4.874;5.433;1.9859;-1.006;-1.7574;-0.2023;-0.0594;1.1284;-21.8;-8.1;-43.3;57;2020-06-17 16:43:34:616
0.411;4.726;4.707;2.1978;-1.0639;-2.0779;-0.1609;-0.0759;1.456;-21.7;-8.1;-43.4;66;2020-06-17 16:43:34:625
0.411;4.726;4.707;2.1978;-1.0639;-2.0779;-0.1609;-0.0759;1.456;-21.7;-8.1;-43.4;76;2020-06-17 16:43:34:635
0.411;4.726;4.707;2.1978;-1.0639;-2.0779;-0.1609;-0.0759;1.456;-21.7;-8.1;-43.4;86;2020-06-17 16:43:34:645
0.99;4.109;3.128;2.0471;-2.2012;-4.0925;0.4226;0.2504;2.7296;-20.9;-7.9;-43.7;96;2020-06-17 16:43:34:655
0.99;4.109;3.128;2.0471;-2.2012;-4.0925;0.4226;0.2504;2.7296;-20.9;-7.9;-43.7;106;2020-06-17 16:43:34:665
0.99;4.109;3.128;2.0471;-2.2012;-4.0925;0.4226;0.2504;2.7296;-20.9;-7.9;-43.7;116;2020-06-17 16:43:34:675
2.49;4.373;3.226;2.6234;-2.42;-4.0765;0.789;0.4884;3.6907;-20.4;-7.6;-43.9;126;2020-06-17 16:43:34:685
2.49;4.373;3.226;2.6234;-2.42;-4.0765;0.789;0.4884;3.6907;-20.4;-7.6;-43.9;137;2020-06-17 16:43:34:696
2.49;4.373;3.226;2.6234;-2.42;-4.0765;0.789;0.4884;3.6907;-20.4;-7.6;-43.9;146;2020-06-17 16:43:34:705
3.471;4.726;3.834;2.793;-2.2919;-3.353;0.789;0.4884;3.6907;-20.4;-7.6;-43.9;157;2020-06-17 16:43:34:716
3.471;4.726;3.834;2.793;-2.2919;-3.353;1.3208;0.9493;6.012;-19.6;-6.9;-44.2;166;2020-06-17 16:43:34:725
3.471;4.726;3.834;2.793;-2.2919;-3.353;1.3208;0.9493;6.012;-19.6;-6.9;-44.2;176;2020-06-17 16:43:34:735
3.942;4.795;4.746;2.0899;-2.2652;-2.1317;1.3208;0.9493;6.012;-19.6;-6.9;-44.2;190;2020-06-17 16:43:34:749
3.942;4.795;4.746;2.0899;-2.2652;-2.1317;1.3208;0.9493;6.012;-19.6;-6.9;-44.2;196;2020-06-17 16:43:34:755
3.942;4.795;4.746;2.0899;-2.2652;-2.1317;1.3236;1.1358;6.3743;-17.8;-2.81;-46.11;206;2020-06-17 16:43:34:765
3.942;4.795;4.746;2.0899;-2.2652;-2.1317;1.3236;1.1358;6.3743;-17.8;-2.81;-46.11;217;2020-06-17 16:43:34:776
4.089;4.638;5.119;1.2576;-2.1531;-1.328;1.3236;1.1358;6.3743;-17.8;-2.81;-46.11;226;2020-06-17 16:43:34:785
4.089;4.638;5.119;1.2576;-2.1531;-1.328;1.3236;1.1358;6.3743;-17.8;-2.81;-46.11;236;2020-06-17 16:43:34:795
4.089;4.638;5.119;1.2576;-2.1531;-1.328;0.8331;0.7965;4.9738;-16.09;1.18;-46.32;246;2020-06-17 16:43:34:805
4.687;4.02;5.374;0.8183;-2.4006;-0.9484;0.8331;0.7965;4.9738;-16.09;1.18;-46.32;256;2020-06-17 16:43:34:815
4.687;4.02;5.374;0.8183;-2.4006;-0.9484;0.8331;0.7965;4.9738;-16.09;1.18;-46.32;266;2020-06-17 16:43:34:825
4.687;4.02;5.374;0.8183;-2.4006;-0.9484;0.3999;0.6294;4.4333;-14.34;4.46;-45.37;276;2020-06-17 16:43:34:835
6.198;4.05;6.717;1.6368;-1.8511;0.3503;0.3999;0.6294;4.4333;-14.34;4.46;-45.37;286;2020-06-17 16:43:34:845
6.198;4.05;6.717;1.6368;-1.8511;0.3503;0.3999;0.6294;4.4333;-14.34;4.46;-45.37;296;2020-06-17 16:43:34:855
6.198;4.05;6.717;1.6368;-1.8511;0.3503;0.3999;0.6294;4.4333;-14.34;4.46;-45.37;306;2020-06-17 16:43:34:865
6.815;3.422;8.59;1.7005;-1.6181;1.5384;-0.3398;0.4162;3.9563;-13.84;9.67;-45.73;316;2020-06-17 16:43:34:875
6.815;3.422;8.59;1.7005;-1.6181;1.5384;-0.3398;0.4162;3.9563;-13.84;9.67;-45.73;328;2020-06-17 16:43:34:887
6.815;3.422;8.59;1.7005;-1.6181;1.5384;-0.3398;0.4162;3.9563;-13.84;9.67;-45.73;337;2020-06-17 16:43:34:896
6.531;2.971;9.787;1.0848;-1.5388;2.9929;-1.2956;0.4216;2.8635;-14.15;12.72;-44.21;346;2020-06-17 16:43:34:905
6.531;2.971;9.787;1.0848;-1.5388;2.9929;-1.2956;0.4216;2.8635;-14.15;12.72;-44.21;356;2020-06-17 16:43:34:915
6.531;2.971;9.787;1.0848;-1.5388;2.9929;-1.2956;0.4216;2.8635;-14.15;12.72;-44.21;366;2020-06-17 16:43:34:925
6.129;2.549;11.111;0.7068;-1.2347;3.8689;-1.2956;0.4216;2.8635;-14.15;12.72;-44.21;376;2020-06-17 16:43:34:935
6.129;2.549;11.111;0.7068;-1.2347;3.8689;-2.4536;0.7186;1.0407;-13.58;16.21;-44.52;386;2020-06-17 16:43:34:945
6.129;2.549;11.111;0.7068;-1.2347;3.8689;-2.4536;0.7186;1.0407;-13.58;16.21;-44.52;396;2020-06-17 16:43:34:955
6.129;2.549;11.111;0.7068;-1.2347;3.8689;-2.4536;0.7186;1.0407;-13.58;16.21;-44.52;406;2020-06-17 16:43:34:965
5.384;2.373;11.101;0.4528;-0.7765;3.5514;-2.6177;0.7122;-0.1174;-13.24;17.56;-42.68;416;2020-06-17 16:43:34:975
5.384;2.373;11.101;0.4528;-0.7765;3.5514;-2.6177;0.7122;-0.1174;-13.24;17.56;-42.68;426;2020-06-17 16:43:34:985
5.384;2.373;11.101;0.4528;-0.7765;3.5514;-2.6177;0.7122;-0.1174;-13.24;17.56;-42.68;436;2020-06-17 16:43:34:995
5.384;2.373;11.101;0.4528;-0.7765;3.5514;-2.6177;0.7122;-0.1174;-13.24;17.56;-42.68;447;2020-06-17 16:43:35:006
5.384;2.373;11.101;0.4528;-0.7765;3.5514;-2.6177;0.7122;-0.1174;-13.24;17.56;-42.68;456;2020-06-17 16:43:35:015
