sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.637;2.0;5.148;-0.7496;-1.7199;-3.6606;0.2024;0.5751;-1.6752;-12.2;11.3;-42.4;20;2020-06-17 16:59:15:218
-1.882;1.441;5.001;-0.5381;-2.2674;-3.8728;0.2024;0.5751;-1.6752;-12.2;11.3;-42.4;30;2020-06-17 16:59:15:228
-1.882;1.441;5.001;-0.5381;-2.2674;-3.8728;-0.0894;0.6027;-2.2204;-12.2;10.7;-42.8;40;2020-06-17 16:59:15:238
-1.882;1.441;5.001;-0.5381;-2.2674;-3.8728;-0.0894;0.6027;-2.2204;-12.2;10.7;-42.8;50;2020-06-17 16:59:15:248
-1.882;1.441;5.001;-0.5381;-2.2674;-3.8728;-0.0894;0.6027;-2.2204;-12.2;10.7;-42.8;60;2020-06-17 16:59:15:258
-1.647;1.196;4.697;-0.1011;-2.4018;-4.1089;-0.3361;0.5961;-2.4697;-12.2;10.3;-42.9;71;2020-06-17 16:59:15:269
-1.647;1.196;4.697;-0.1011;-2.4018;-4.1089;-0.3361;0.5961;-2.4697;-12.2;10.3;-42.9;80;2020-06-17 16:59:15:278
-1.294;1.068;4.707;-0.1011;-2.4018;-4.1089;-0.3361;0.5961;-2.4697;-12.2;10.3;-42.9;90;2020-06-17 16:59:15:288
-1.294;1.068;4.707;0.8674;-2.2276;-4.2724;-0.5074;0.3732;-2.1551;-12.2;10.0;-42.9;102;2020-06-17 16:59:15:300
-1.294;1.068;4.707;0.8674;-2.2276;-4.2724;-0.5074;0.3732;-2.1551;-12.2;10.0;-42.9;110;2020-06-17 16:59:15:308
-1.265;1.137;4.491;0.8674;-2.2276;-4.2724;-0.5074;0.3732;-2.1551;-12.2;10.0;-42.9;120;2020-06-17 16:59:15:318
-1.265;1.137;4.491;0.8674;-2.2276;-4.2724;-0.5074;0.3732;-2.1551;-12.2;10.0;-42.9;130;2020-06-17 16:59:15:328
-1.265;1.137;4.491;0.9658;-1.9057;-4.6876;-0.5436;0.2335;-1.5996;-12.3;9.8;-42.8;140;2020-06-17 16:59:15:338
-1.216;0.804;3.854;0.9658;-1.9057;-4.6876;-0.5436;0.2335;-1.5996;-12.3;9.8;-42.8;150;2020-06-17 16:59:15:348
-1.216;0.804;3.854;0.9658;-1.9057;-4.6876;-0.5436;0.2335;-1.5996;-12.3;9.8;-42.8;160;2020-06-17 16:59:15:358
-0.392;0.186;3.844;2.0848;-2.4721;-5.2644;-0.6204;0.15;-1.2847;-12.4;9.8;-42.5;170;2020-06-17 16:59:15:368
-0.392;0.186;3.844;2.0848;-2.4721;-5.2644;-0.6204;0.15;-1.2847;-12.4;9.8;-42.5;180;2020-06-17 16:59:15:378
-0.392;0.186;3.844;2.0848;-2.4721;-5.2644;-0.6204;0.15;-1.2847;-12.4;9.8;-42.5;190;2020-06-17 16:59:15:388
1.48;-0.215;11.121;2.9476;-2.3841;-0.8294;-2.0749;-1.6786;-0.3716;-12.7;10.3;-42.0;203;2020-06-17 16:59:15:401
1.48;-0.215;11.121;2.9476;-2.3841;-0.8294;-2.0749;-1.6786;-0.3716;-12.7;10.3;-42.0;210;2020-06-17 16:59:15:408
1.48;-0.215;11.121;2.9476;-2.3841;-0.8294;-2.0749;-1.6786;-0.3716;-12.7;10.3;-42.0;221;2020-06-17 16:59:15:419
3.049;0.941;17.515;3.256;-0.6854;6.0761;-2.792;-3.3656;1.8398;-13.64;13.76;-38.71;230;2020-06-17 16:59:15:428
3.049;0.941;17.515;3.256;-0.6854;6.0761;-2.792;-3.3656;1.8398;-13.64;13.76;-38.71;240;2020-06-17 16:59:15:438
3.049;0.941;17.515;3.256;-0.6854;6.0761;-2.792;-3.3656;1.8398;-13.64;13.76;-38.71;251;2020-06-17 16:59:15:449
3.677;2.265;19.221;3.2201;1.0618;9.1934;-2.792;-3.3656;1.8398;-13.64;13.76;-38.71;260;2020-06-17 16:59:15:458
3.677;2.265;19.221;3.2201;1.0618;9.1934;-0.8978;-2.8352;4.5609;-13.33;18.36;-36.46;270;2020-06-17 16:59:15:468
3.677;2.265;19.221;3.2201;1.0618;9.1934;-0.8978;-2.8352;4.5609;-13.33;18.36;-36.46;280;2020-06-17 16:59:15:478
2.824;2.755;18.878;2.0986;1.7685;9.5438;-0.8978;-2.8352;4.5609;-13.33;18.36;-36.46;290;2020-06-17 16:59:15:488
2.824;2.755;18.878;2.0986;1.7685;9.5438;-0.8978;-2.8352;4.5609;-13.33;18.36;-36.46;300;2020-06-17 16:59:15:498
2.824;2.755;18.878;2.0986;1.7685;9.5438;0.2499;-1.5727;3.8102;-13.79;19.35;-35.13;310;2020-06-17 16:59:15:508
2.579;3.236;16.338;1.2607;2.0507;7.5548;0.2499;-1.5727;3.8102;-13.79;19.35;-35.13;320;2020-06-17 16:59:15:518
2.579;3.236;16.338;1.2607;2.0507;7.5548;0.2499;-1.5727;3.8102;-13.79;19.35;-35.13;330;2020-06-17 16:59:15:528
2.579;3.236;16.338;1.2607;2.0507;7.5548;0.7833;-0.5309;1.9814;-14.12;20.63;-34.93;340;2020-06-17 16:59:15:538
2.579;3.236;16.338;1.2607;2.0507;7.5548;0.7833;-0.5309;1.9814;-14.12;20.63;-34.93;350;2020-06-17 16:59:15:548
2.922;3.677;14.632;1.4463;2.3738;5.4312;0.7833;-0.5309;1.9814;-14.12;20.63;-34.93;360;2020-06-17 16:59:15:558
2.922;3.677;14.632;1.4463;2.3738;5.4312;0.7833;-0.5309;1.9814;-14.12;20.63;-34.93;370;2020-06-17 16:59:15:568
2.922;3.677;14.632;1.4463;2.3738;5.4312;0.9503;-0.3835;1.6023;-13.96;20.74;-35.78;380;2020-06-17 16:59:15:578
3.0;3.403;13.71;1.5044;2.1071;4.4299;0.9503;-0.3835;1.6023;-13.96;20.74;-35.78;390;2020-06-17 16:59:15:588
3.0;3.403;13.71;1.5044;2.1071;4.4299;0.9503;-0.3835;1.6023;-13.96;20.74;-35.78;400;2020-06-17 16:59:15:598
2.481;2.765;12.798;1.5044;2.1071;4.4299;0.9065;-0.2746;1.2126;-13.78;20.48;-36.2;410;2020-06-17 16:59:15:608
2.481;2.765;12.798;0.8161;1.0247;3.2919;0.9065;-0.2746;1.2126;-13.78;20.48;-36.2;420;2020-06-17 16:59:15:618
2.481;2.765;12.798;0.8161;1.0247;3.2919;0.9065;-0.2746;1.2126;-13.78;20.48;-36.2;430;2020-06-17 16:59:15:628
2.481;2.765;12.798;0.8161;1.0247;3.2919;0.9065;-0.2746;1.2126;-13.78;20.48;-36.2;440;2020-06-17 16:59:15:638
1.627;2.157;12.042;-0.0639;0.3428;2.5544;0.56;-0.138;0.7209;-13.7;19.91;-36.96;450;2020-06-17 16:59:15:648
1.627;2.157;12.042;-0.0639;0.3428;2.5544;0.56;-0.138;0.7209;-13.7;19.91;-36.96;460;2020-06-17 16:59:15:658
0.637;1.676;11.062;-0.0639;0.3428;2.5544;0.56;-0.138;0.7209;-13.7;19.91;-36.96;470;2020-06-17 16:59:15:668
0.637;1.676;11.062;-0.9474;-0.1304;1.5547;0.0435;0.2348;-0.0835;-13.8;20.5;-35.6;480;2020-06-17 16:59:15:678
0.637;1.676;11.062;-0.9474;-0.1304;1.5547;0.0435;0.2348;-0.0835;-13.8;20.5;-35.6;491;2020-06-17 16:59:15:689
0.098;1.706;10.375;-0.9474;-0.1304;1.5547;0.0435;0.2348;-0.0835;-13.8;20.5;-35.6;500;2020-06-17 16:59:15:698
0.098;1.706;10.375;-0.9474;-0.1304;1.5547;0.0435;0.2348;-0.0835;-13.8;20.5;-35.6;511;2020-06-17 16:59:15:709
0.098;1.706;10.375;-1.2703;-0.0621;0.8273;-0.1698;0.5289;-0.5857;-13.6;20.8;-35.6;520;2020-06-17 16:59:15:718
-0.647;1.971;9.071;-1.2703;-0.0621;0.8273;-0.1698;0.5289;-0.5857;-13.6;20.8;-35.6;530;2020-06-17 16:59:15:728
-0.647;1.971;9.071;-1.7181;0.2017;-0.5147;-0.1698;0.5289;-0.5857;-13.6;20.8;-35.6;540;2020-06-17 16:59:15:738
-0.647;1.971;9.071;-1.7181;0.2017;-0.5147;-0.0833;0.8528;-1.1605;-13.2;20.7;-36.1;550;2020-06-17 16:59:15:748
-0.647;1.971;9.071;-1.7181;0.2017;-0.5147;-0.0833;0.8528;-1.1605;-13.2;20.7;-36.1;561;2020-06-17 16:59:15:759
-1.794;1.402;8.532;-2.4309;-0.3978;-1.0863;-0.0833;0.8528;-1.1605;-13.2;20.7;-36.1;570;2020-06-17 16:59:15:768
-1.794;1.402;8.532;-2.4309;-0.3978;-1.0863;-0.0833;0.8528;-1.1605;-13.2;20.7;-36.1;580;2020-06-17 16:59:15:778
-1.794;1.402;8.532;-2.4309;-0.3978;-1.0863;-0.1425;1.2639;-1.9111;-12.97;20.23;-36.77;590;2020-06-17 16:59:15:788
