sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.176;4.079;8.198;-3.649;-0.9929;0.1424;1.397;-0.6543;0.9716;-13.7;16.3;-31.3;6;2020-06-18 14:50:55:041
0.176;4.079;8.198;-3.649;-0.9929;0.1424;0.1801;0.5384;-1.1533;-14.0;16.0;-31.9;15;2020-06-18 14:50:55:050
-2.343;2.353;8.453;-3.649;-0.9929;0.1424;0.1801;0.5384;-1.1533;-14.0;16.0;-31.9;25;2020-06-18 14:50:55:060
-2.343;2.353;8.453;-5.7245;-2.4758;0.0973;0.1801;0.5384;-1.1533;-14.0;16.0;-31.9;35;2020-06-18 14:50:55:070
-2.343;2.353;8.453;-5.7245;-2.4758;0.0973;-1.2826;1.4929;-3.2279;-14.3;15.7;-32.4;45;2020-06-18 14:50:55:080
-2.343;2.353;8.453;-5.7245;-2.4758;0.0973;-1.2826;1.4929;-3.2279;-14.3;15.7;-32.4;56;2020-06-18 14:50:55:091
-6.09;0.421;8.522;-6.2133;-3.0895;-0.3268;-1.2826;1.4929;-3.2279;-14.3;15.7;-32.4;66;2020-06-18 14:50:55:101
-6.09;0.421;8.522;-6.2133;-3.0895;-0.3268;-2.354;2.4112;-5.828;-14.7;15.4;-33.0;76;2020-06-18 14:50:55:111
-6.09;0.421;8.522;-6.2133;-3.0895;-0.3268;-2.354;2.4112;-5.828;-14.7;15.4;-33.0;86;2020-06-18 14:50:55:121
-8.355;-0.784;9.424;-7.0752;-3.8518;-0.2833;-2.354;2.4112;-5.828;-14.7;15.4;-33.0;96;2020-06-18 14:50:55:131
-8.355;-0.784;9.424;-7.0752;-3.8518;-0.2833;-2.354;2.4112;-5.828;-14.7;15.4;-33.0;105;2020-06-18 14:50:55:140
-8.355;-0.784;9.424;-7.0752;-3.8518;-0.2833;-2.2259;3.9956;-8.2472;-15.2;15.0;-34.0;116;2020-06-18 14:50:55:151
-8.012;-0.215;11.287;-5.7917;-2.8434;1.5798;-2.2259;3.9956;-8.2472;-15.2;15.0;-34.0;125;2020-06-18 14:50:55:160
-8.012;-0.215;11.287;-5.7917;-2.8434;1.5798;-2.2259;3.9956;-8.2472;-15.2;15.0;-34.0;135;2020-06-18 14:50:55:170
-8.012;-0.215;11.287;-5.7917;-2.8434;1.5798;-1.6543;3.7568;-6.8704;-15.4;14.8;-34.3;145;2020-06-18 14:50:55:180
-6.58;0.686;11.023;-3.0762;-0.9828;2.4863;-1.6543;3.7568;-6.8704;-15.4;14.8;-34.3;155;2020-06-18 14:50:55:190
-6.58;0.686;11.023;-3.0762;-0.9828;2.4863;-1.6543;3.7568;-6.8704;-15.4;14.8;-34.3;165;2020-06-18 14:50:55:200
-6.58;0.686;11.023;-3.0762;-0.9828;2.4863;-0.8318;2.5278;-4.0641;-15.7;14.5;-34.9;175;2020-06-18 14:50:55:210
-5.501;1.225;9.993;-1.4054;0.0466;1.4949;-0.8318;2.5278;-4.0641;-15.7;14.5;-34.9;185;2020-06-18 14:50:55:220
-5.501;1.225;9.993;-1.4054;0.0466;1.4949;-0.8318;2.5278;-4.0641;-15.7;14.5;-34.9;195;2020-06-18 14:50:55:230
-5.501;1.225;9.993;-1.4054;0.0466;1.4949;-0.8318;2.5278;-4.0641;-15.7;14.5;-34.9;205;2020-06-18 14:50:55:240
-4.432;1.833;9.905;-0.2001;0.7342;1.2975;-0.0912;1.0089;-1.4762;-16.2;14.2;-35.4;215;2020-06-18 14:50:55:250
-4.432;1.833;9.905;-0.2001;0.7342;1.2975;-0.0912;1.0089;-1.4762;-16.2;14.2;-35.4;225;2020-06-18 14:50:55:260
-4.432;1.833;9.905;-0.2001;0.7342;1.2975;-0.0912;1.0089;-1.4762;-16.2;14.2;-35.4;235;2020-06-18 14:50:55:270
-1.078;3.138;9.189;1.9817;1.5578;1.0994;-0.0912;1.0089;-1.4762;-16.2;14.2;-35.4;245;2020-06-18 14:50:55:280
-1.078;3.138;9.189;1.9817;1.5578;1.0994;0.2682;-0.3103;0.0584;-16.7;14.0;-35.5;256;2020-06-18 14:50:55:291
-1.078;3.138;9.189;1.9817;1.5578;1.0994;0.2682;-0.3103;0.0584;-16.7;14.0;-35.5;267;2020-06-18 14:50:55:302
3.893;5.472;7.58;6.345;3.198;-0.8354;0.2682;-0.3103;0.0584;-16.7;14.0;-35.5;278;2020-06-18 14:50:55:313
