sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.068;0.196;11.797;1.5403;-0.2224;2.0111;-0.6628;-1.3885;1.5663;-11.78;19.08;-26.7;5;2020-06-18 14:55:18:856
1.225;0.735;13.661;1.5403;-0.2224;2.0111;-0.6628;-1.3885;1.5663;-11.78;19.08;-26.7;15;2020-06-18 14:55:18:866
1.225;0.735;13.661;1.1125;0.4952;4.5183;-0.6628;-1.3885;1.5663;-11.78;19.08;-26.7;26;2020-06-18 14:55:18:877
1.225;0.735;13.661;1.1125;0.4952;4.5183;-0.6628;-1.3885;1.5663;-11.78;19.08;-26.7;36;2020-06-18 14:55:18:887
1.117;0.921;14.739;1.1125;0.4952;4.5183;-0.1276;-1.1759;1.5789;-11.62;20.39;-24.51;46;2020-06-18 14:55:18:897
1.117;0.921;14.739;1.1125;0.4952;4.5183;-0.1276;-1.1759;1.5789;-11.62;20.39;-24.51;56;2020-06-18 14:55:18:907
1.117;0.921;14.739;0.4928;0.4031;4.9456;-0.1276;-1.1759;1.5789;-11.62;20.39;-24.51;65;2020-06-18 14:55:18:916
0.784;0.411;14.347;0.4928;0.4031;4.9456;0.0698;-0.7;1.0912;-11.76;21.9;-21.61;75;2020-06-18 14:55:18:926
0.784;0.411;14.347;0.4928;0.4031;4.9456;0.0698;-0.7;1.0912;-11.76;21.9;-21.61;85;2020-06-18 14:55:18:936
0.784;0.411;14.347;0.6353;-0.0939;4.6764;0.0698;-0.7;1.0912;-11.76;21.9;-21.61;95;2020-06-18 14:55:18:946
1.971;0.264;15.867;0.6353;-0.0939;4.6764;-0.0417;-0.4621;0.7019;-11.68;23.22;-21.72;106;2020-06-18 14:55:18:957
1.971;0.264;15.867;0.6353;-0.0939;4.6764;-0.0417;-0.4621;0.7019;-11.68;23.22;-21.72;116;2020-06-18 14:55:18:967
1.971;0.264;15.867;1.9551;-0.0335;7.8753;-0.0417;-0.4621;0.7019;-11.68;23.22;-21.72;126;2020-06-18 14:55:18:977
1.971;0.264;15.867;1.9551;-0.0335;7.8753;-0.0417;-0.4621;0.7019;-11.68;23.22;-21.72;135;2020-06-18 14:55:18:986
2.677;0.176;18.339;1.9551;-0.0335;7.8753;-0.1148;-0.6568;0.728;-11.5;23.61;-19.81;145;2020-06-18 14:55:18:996
2.677;0.176;18.339;1.9551;-0.0335;7.8753;-0.1148;-0.6568;0.728;-11.5;23.61;-19.81;156;2020-06-18 14:55:19:007
2.677;0.176;18.339;1.7652;-0.2708;8.8468;-0.1148;-0.6568;0.728;-11.5;23.61;-19.81;165;2020-06-18 14:55:19:016
1.569;-0.735;16.524;1.7652;-0.2708;8.8468;-0.2406;-0.584;0.6674;-11.51;23.92;-19.52;175;2020-06-18 14:55:19:026
1.569;-0.735;16.524;1.7652;-0.2708;8.8468;-0.2406;-0.584;0.6674;-11.51;23.92;-19.52;185;2020-06-18 14:55:19:036
1.569;-0.735;16.524;0.5673;-0.8508;5.8478;-0.2406;-0.584;0.6674;-11.51;23.92;-19.52;196;2020-06-18 14:55:19:047
0.568;-1.392;13.876;0.5673;-0.8508;5.8478;-0.508;-0.1321;0.1028;-11.76;23.56;-19.93;206;2020-06-18 14:55:19:057
0.568;-1.392;13.876;0.5673;-0.8508;5.8478;-0.508;-0.1321;0.1028;-11.76;23.56;-19.93;215;2020-06-18 14:55:19:066
