sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.196;1.863;15.249;-0.2601;0.1777;5.1769;-1.0222;-0.0697;-0.0866;-12.1;16.1;-27.8;8;2020-06-18 14:58:21:582
-0.196;1.863;15.249;-0.2601;0.1777;5.1769;-1.0222;-0.0697;-0.0866;-12.1;16.1;-27.8;18;2020-06-18 14:58:21:592
-0.196;1.863;15.249;-0.2601;0.1777;5.1769;-0.6552;-0.394;0.4848;-12.13;17.0;-26.93;27;2020-06-18 14:58:21:601
1.353;2.186;15.446;1.6235;0.8231;5.7388;-0.6552;-0.394;0.4848;-12.13;17.0;-26.93;37;2020-06-18 14:58:21:611
1.353;2.186;15.446;1.6235;0.8231;5.7388;-0.6552;-0.394;0.4848;-12.13;17.0;-26.93;47;2020-06-18 14:58:21:621
1.353;2.186;15.446;1.6235;0.8231;5.7388;-0.3711;-0.6743;1.032;-12.01;17.7;-25.97;57;2020-06-18 14:58:21:631
0.764;2.059;14.406;0.7586;0.7027;4.6943;-0.3711;-0.6743;1.032;-12.01;17.7;-25.97;67;2020-06-18 14:58:21:641
0.764;2.059;14.406;0.7586;0.7027;4.6943;-0.3711;-0.6743;1.032;-12.01;17.7;-25.97;77;2020-06-18 14:58:21:651
0.764;2.059;14.406;0.7586;0.7027;4.6943;-0.3711;-0.6743;1.032;-12.01;17.7;-25.97;88;2020-06-18 14:58:21:662
-0.186;1.078;13.465;0.0142;0.0272;4.2394;-0.1562;-0.4755;0.9624;-12.02;18.77;-24.73;98;2020-06-18 14:58:21:672
-0.186;1.078;13.465;0.0142;0.0272;4.2394;-0.1562;-0.4755;0.9624;-12.02;18.77;-24.73;108;2020-06-18 14:58:21:682
-0.186;1.078;13.465;0.0142;0.0272;4.2394;-0.1562;-0.4755;0.9624;-12.02;18.77;-24.73;118;2020-06-18 14:58:21:692
-0.823;0.598;11.258;-0.8664;-0.5638;1.5208;-0.397;0.0712;0.0308;-12.31;19.27;-24.23;128;2020-06-18 14:58:21:702
-0.823;0.598;11.258;-0.8664;-0.5638;1.5208;-0.397;0.0712;0.0308;-12.31;19.27;-24.23;138;2020-06-18 14:58:21:712
-0.823;0.598;11.258;-0.8664;-0.5638;1.5208;-0.397;0.0712;0.0308;-12.31;19.27;-24.23;148;2020-06-18 14:58:21:722
-1.059;0.353;10.375;-0.9672;-0.6417;0.8528;-0.397;0.0712;0.0308;-12.31;19.27;-24.23;158;2020-06-18 14:58:21:732
-1.059;0.353;10.375;-0.9672;-0.6417;0.8528;-0.4857;0.3707;-0.3142;-11.9;19.1;-24.2;168;2020-06-18 14:58:21:742
-1.059;0.353;10.375;-0.9672;-0.6417;0.8528;-0.4857;0.3707;-0.3142;-11.9;19.1;-24.2;178;2020-06-18 14:58:21:752
-0.588;0.284;9.914;-0.6233;-0.6386;0.4473;-0.4857;0.3707;-0.3142;-11.9;19.1;-24.2;188;2020-06-18 14:58:21:762
-0.588;0.284;9.914;-0.6233;-0.6386;0.4473;-0.516;0.4317;-0.4641;-11.9;19.7;-23.6;198;2020-06-18 14:58:21:772
-0.588;0.284;9.914;-0.6233;-0.6386;0.4473;-0.516;0.4317;-0.4641;-11.9;19.7;-23.6;208;2020-06-18 14:58:21:782
0.617;0.47;9.081;0.4581;-0.3688;-0.4459;-0.516;0.4317;-0.4641;-11.9;19.7;-23.6;218;2020-06-18 14:58:21:792
0.617;0.47;9.081;0.4581;-0.3688;-0.4459;-0.4346;0.092;-0.1112;-11.9;20.1;-23.0;228;2020-06-18 14:58:21:802
0.617;0.47;9.081;0.4581;-0.3688;-0.4459;-0.4346;0.092;-0.1112;-11.9;20.1;-23.0;238;2020-06-18 14:58:21:812
2.402;0.912;8.796;1.941;0.0485;-0.9552;-0.4346;0.092;-0.1112;-11.9;20.1;-23.0;247;2020-06-18 14:58:21:821
2.402;0.912;8.796;1.941;0.0485;-0.9552;-0.2045;-0.711;0.7036;-11.8;20.4;-22.7;257;2020-06-18 14:58:21:831
2.402;0.912;8.796;1.941;0.0485;-0.9552;-0.2045;-0.711;0.7036;-11.8;20.4;-22.7;269;2020-06-18 14:58:21:843
4.462;1.745;9.679;3.2565;0.5973;-0.7971;-0.2045;-0.711;0.7036;-11.8;20.4;-22.7;277;2020-06-18 14:58:21:851
4.462;1.745;9.679;3.2565;0.5973;-0.7971;-0.2045;-0.711;0.7036;-11.8;20.4;-22.7;287;2020-06-18 14:58:21:861
4.462;1.745;9.679;3.2565;0.5973;-0.7971;0.6777;-2.3232;2.6224;-11.6;20.8;-22.4;298;2020-06-18 14:58:21:872
4.677;1.882;10.493;3.2565;0.5973;-0.7971;0.6777;-2.3232;2.6224;-11.6;20.8;-22.4;308;2020-06-18 14:58:21:882
4.677;1.882;10.493;2.8261;0.8035;1.3961;0.6777;-2.3232;2.6224;-11.6;20.8;-22.4;317;2020-06-18 14:58:21:891
4.677;1.882;10.493;2.8261;0.8035;1.3961;0.9284;-2.3886;2.8704;-11.5;21.0;-22.3;327;2020-06-18 14:58:21:901
4.403;1.559;11.552;2.8261;0.8035;1.3961;0.9284;-2.3886;2.8704;-11.5;21.0;-22.3;337;2020-06-18 14:58:21:911
4.403;1.559;11.552;2.1791;0.4571;2.0653;0.9284;-2.3886;2.8704;-11.5;21.0;-22.3;348;2020-06-18 14:58:21:922
4.403;1.559;11.552;2.1791;0.4571;2.0653;0.8471;-1.9275;2.4127;-11.2;21.2;-22.0;358;2020-06-18 14:58:21:932
4.403;1.559;11.552;2.1791;0.4571;2.0653;0.8471;-1.9275;2.4127;-11.2;21.2;-22.0;368;2020-06-18 14:58:21:942
3.658;0.902;10.768;0.9098;-0.2095;1.4205;0.8471;-1.9275;2.4127;-11.2;21.2;-22.0;378;2020-06-18 14:58:21:952
3.658;0.902;10.768;0.9098;-0.2095;1.4205;0.8471;-1.9275;2.4127;-11.2;21.2;-22.0;388;2020-06-18 14:58:21:962
3.658;0.902;10.768;0.9098;-0.2095;1.4205;0.3205;-0.7853;1.6237;-10.8;21.6;-22.2;398;2020-06-18 14:58:21:972
2.785;0.598;10.16;-0.112;-0.4354;0.849;0.3205;-0.7853;1.6237;-10.8;21.6;-22.2;408;2020-06-18 14:58:21:982
2.785;0.598;10.16;-0.112;-0.4354;0.849;0.3205;-0.7853;1.6237;-10.8;21.6;-22.2;418;2020-06-18 14:58:21:992
2.785;0.598;10.16;-0.112;-0.4354;0.849;-0.0976;-0.0725;0.8845;-10.6;21.9;-22.8;428;2020-06-18 14:58:22:002
1.019;-0.009;10.209;-1.7621;-0.8969;0.8477;-0.0976;-0.0725;0.8845;-10.6;21.9;-22.8;439;2020-06-18 14:58:22:013
1.019;-0.009;10.209;-1.7621;-0.8969;0.8477;-0.0976;-0.0725;0.8845;-10.6;21.9;-22.8;448;2020-06-18 14:58:22:022
1.019;-0.009;10.209;-1.7621;-0.8969;0.8477;-0.545;0.58;0.0656;-10.6;22.2;-23.3;458;2020-06-18 14:58:22:032
1.019;-0.009;10.209;-1.7621;-0.8969;0.8477;-0.545;0.58;0.0656;-10.6;22.2;-23.3;468;2020-06-18 14:58:22:042
1.019;-0.009;10.209;-1.7621;-0.8969;0.8477;-0.545;0.58;0.0656;-10.6;22.2;-23.3;478;2020-06-18 14:58:22:052
-2.451;-0.941;9.179;-3.8363;-1.4164;-0.0097;-1.3043;1.8858;-1.6351;-10.94;23.02;-26.01;488;2020-06-18 14:58:22:062
-2.451;-0.941;9.179;-3.8363;-1.4164;-0.0097;-1.3043;1.8858;-1.6351;-10.94;23.02;-26.01;498;2020-06-18 14:58:22:072
-2.451;-0.941;9.179;-3.8363;-1.4164;-0.0097;-1.3043;1.8858;-1.6351;-10.94;23.02;-26.01;508;2020-06-18 14:58:22:082
-4.089;-1.157;8.492;-4.9779;-1.4795;-1.1667;-1.5132;2.361;-2.4082;-11.72;23.3;-27.33;518;2020-06-18 14:58:22:092
-4.089;-1.157;8.492;-4.9779;-1.4795;-1.1667;-1.5132;2.361;-2.4082;-11.72;23.3;-27.33;529;2020-06-18 14:58:22:103
-4.089;-1.157;8.492;-4.9779;-1.4795;-1.1667;-1.5132;2.361;-2.4082;-11.72;23.3;-27.33;537;2020-06-18 14:58:22:111
-4.089;-1.157;8.492;-4.9779;-1.4795;-1.1667;-1.5132;2.361;-2.4082;-11.72;23.3;-27.33;549;2020-06-18 14:58:22:123
-4.815;-1.186;8.434;-3.7514;-0.8742;-1.3094;-1.1201;4.6016;-5.7284;-15.79;24.48;-32.01;558;2020-06-18 14:58:22:132
-4.815;-1.186;8.434;-3.7514;-0.8742;-1.3094;-1.1201;4.6016;-5.7284;-15.79;24.48;-32.01;568;2020-06-18 14:58:22:142
-4.815;-1.186;8.434;-3.7514;-0.8742;-1.3094;-1.1201;4.6016;-5.7284;-15.79;24.48;-32.01;578;2020-06-18 14:58:22:152
-3.432;-0.176;10.003;-2.2745;-0.1564;-0.3648;-0.5072;4.1405;-4.9833;-16.42;24.72;-31.92;588;2020-06-18 14:58:22:162
-3.432;-0.176;10.003;-2.2745;-0.1564;-0.3648;-0.5072;4.1405;-4.9833;-16.42;24.72;-31.92;598;2020-06-18 14:58:22:172
-3.432;-0.176;10.003;-2.2745;-0.1564;-0.3648;-0.5072;4.1405;-4.9833;-16.42;24.72;-31.92;608;2020-06-18 14:58:22:182
-2.853;-0.019;10.15;-0.2122;0.429;0.7166;-0.5072;4.1405;-4.9833;-16.42;24.72;-31.92;618;2020-06-18 14:58:22:192
-2.853;-0.019;10.15;-0.2122;0.429;0.7166;0.4099;1.8123;-1.9463;-17.04;25.26;-31.86;628;2020-06-18 14:58:22:202
-2.853;-0.019;10.15;-0.2122;0.429;0.7166;0.4099;1.8123;-1.9463;-17.04;25.26;-31.86;638;2020-06-18 14:58:22:212
-2.255;0.147;9.61;0.2859;0.4287;0.3784;0.4099;1.8123;-1.9463;-17.04;25.26;-31.86;648;2020-06-18 14:58:22:222
-2.255;0.147;9.61;0.2859;0.4287;0.3784;0.4597;0.7368;-0.8832;-17.14;25.24;-33.17;658;2020-06-18 14:58:22:232
-2.255;0.147;9.61;0.2859;0.4287;0.3784;0.4597;0.7368;-0.8832;-17.14;25.24;-33.17;667;2020-06-18 14:58:22:241
