sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
0.598;0.402;8.384;0.0457;-0.0689;-0.703;0.0368;-0.1309;-0.525;-19.07;23.1;-27.67;7;2020-06-18 15:14:36:348
0.598;0.402;8.384;0.0457;-0.0689;-0.703;0.0368;-0.1309;-0.525;-19.07;23.1;-27.67;17;2020-06-18 15:14:36:358
0.598;0.402;8.384;0.7548;0.2492;-1.8294;0.0775;-0.278;-0.4599;-18.44;21.17;-29.79;27;2020-06-18 15:14:36:368
1.314;0.794;6.864;0.7548;0.2492;-1.8294;0.0775;-0.278;-0.4599;-18.44;21.17;-29.79;36;2020-06-18 15:14:36:377
1.314;0.794;6.864;0.7548;0.2492;-1.8294;0.0775;-0.278;-0.4599;-18.44;21.17;-29.79;47;2020-06-18 15:14:36:388
1.314;0.794;6.864;1.2449;0.4322;-3.6057;0.2947;-0.6871;0.0396;-18.08;18.44;-31.44;57;2020-06-18 15:14:36:398
1.314;0.794;6.864;1.2449;0.4322;-3.6057;0.2947;-0.6871;0.0396;-18.08;18.44;-31.44;67;2020-06-18 15:14:36:408
1.755;0.863;4.697;1.2449;0.4322;-3.6057;0.2947;-0.6871;0.0396;-18.08;18.44;-31.44;77;2020-06-18 15:14:36:418
1.755;0.863;4.697;0.4687;0.2064;-6.2587;0.6101;-1.237;0.6142;-17.97;16.69;-30.84;86;2020-06-18 15:14:36:427
1.755;0.863;4.697;0.4687;0.2064;-6.2587;0.6101;-1.237;0.6142;-17.97;16.69;-30.84;97;2020-06-18 15:14:36:438
0.98;0.794;3.206;0.4687;0.2064;-6.2587;0.6101;-1.237;0.6142;-17.97;16.69;-30.84;106;2020-06-18 15:14:36:447
0.98;0.794;3.206;-0.3925;0.1169;-6.7461;0.7451;-1.1505;0.6936;-18.39;16.58;-32.01;116;2020-06-18 15:14:36:457
0.333;0.931;2.765;-0.3925;0.1169;-6.7461;0.7451;-1.1505;0.6936;-18.39;16.58;-32.01;129;2020-06-18 15:14:36:470
0.333;0.931;2.765;-0.3925;0.1169;-6.7461;0.7451;-1.1505;0.6936;-18.39;16.58;-32.01;136;2020-06-18 15:14:36:477
0.333;0.931;2.765;-0.3925;0.1169;-6.7461;0.7451;-1.1505;0.6936;-18.39;16.58;-32.01;147;2020-06-18 15:14:36:488
