sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
3.53;1.402;11.317;0.8742;-0.3888;2.2818;-1.253;-0.3594;0.1177;-15.74;20.89;-28.01;5;2020-06-18 15:19:51:224
3.53;1.402;11.317;0.8742;-0.3888;2.2818;-1.0406;-0.2779;-0.104;-15.74;20.89;-28.01;16;2020-06-18 15:19:51:235
3.53;1.402;11.317;0.0635;-0.5507;2.7669;-1.0406;-0.2779;-0.104;-16.47;21.63;-27.0;25;2020-06-18 15:19:51:244
2.677;0.872;12.278;0.0635;-0.5507;2.7669;-1.0406;-0.2779;-0.104;-16.47;21.63;-27.0;36;2020-06-18 15:19:51:255
2.677;0.872;12.278;0.0635;-0.5507;2.7669;-1.0917;0.0243;-0.6268;-16.47;21.63;-27.0;46;2020-06-18 15:19:51:265
2.402;0.99;12.386;-0.3079;-0.4772;3.0734;-1.0917;0.0243;-0.6268;-18.24;22.76;-26.18;58;2020-06-18 15:19:51:277
2.402;0.99;12.386;-0.3079;-0.4772;3.0734;-1.0917;0.0243;-0.6268;-18.24;22.76;-26.18;66;2020-06-18 15:19:51:285
2.402;0.99;12.386;-0.3079;-0.4772;3.0734;-1.1361;0.3747;-1.2042;-18.24;22.76;-26.18;76;2020-06-18 15:19:51:295
2.402;0.99;12.386;-0.3079;-0.4772;3.0734;-1.1361;0.3747;-1.2042;-18.24;22.76;-26.18;86;2020-06-18 15:19:51:305
1.873;1.206;12.847;-0.5152;0.0733;3.4037;-1.1361;0.3747;-1.2042;-17.03;21.65;-23.21;96;2020-06-18 15:19:51:315
1.873;1.206;12.847;-0.5152;0.0733;3.4037;-0.9498;0.585;-1.5254;-17.03;21.65;-23.21;106;2020-06-18 15:19:51:325
1.873;1.206;12.847;-0.5152;0.0733;3.4037;-0.9498;0.585;-1.5254;-17.03;21.65;-23.21;115;2020-06-18 15:19:51:334
1.873;1.206;12.847;-0.5152;0.0733;3.4037;-0.9498;0.585;-1.5254;-17.03;21.65;-23.21;125;2020-06-18 15:19:51:344
0.872;1.431;14.053;-0.9499;0.2961;4.3345;-0.9498;0.585;-1.5254;-17.97;21.85;-22.11;136;2020-06-18 15:19:51:355
0.872;1.431;14.053;-0.9499;0.2961;4.3345;-0.7081;0.9701;-1.8233;-17.97;21.85;-22.11;146;2020-06-18 15:19:51:365
0.872;1.431;14.053;-0.9499;0.2961;4.3345;-0.7081;0.9701;-1.8233;-17.97;21.85;-22.11;156;2020-06-18 15:19:51:375
0.578;1.323;13.71;-1.0143;0.3761;4.4705;-0.7081;0.9701;-1.8233;-17.44;21.83;-22.4;165;2020-06-18 15:19:51:384
0.578;1.323;13.71;-1.0143;0.3761;4.4705;-0.4783;1.1097;-1.6397;-17.44;21.83;-22.4;175;2020-06-18 15:19:51:394
0.578;1.323;13.71;-1.0143;0.3761;4.4705;-0.4783;1.1097;-1.6397;-17.44;21.83;-22.4;186;2020-06-18 15:19:51:405
0.441;1.412;12.69;-0.8168;0.4277;3.1799;-0.4783;1.1097;-1.6397;-16.46;21.88;-21.2;196;2020-06-18 15:19:51:415
0.441;1.412;12.69;-0.8168;0.4277;3.1799;-0.1575;1.0053;-0.794;-16.46;21.88;-21.2;206;2020-06-18 15:19:51:425
0.441;1.412;12.69;-0.8168;0.4277;3.1799;-0.1575;1.0053;-0.794;-16.46;21.88;-21.2;216;2020-06-18 15:19:51:435
-0.47;1.029;12.582;-1.0894;0.222;2.889;-0.1575;1.0053;-0.794;-15.72;22.21;-21.06;226;2020-06-18 15:19:51:445
-0.47;1.029;12.582;-1.0894;0.222;2.889;-0.1575;1.0053;-0.794;-15.72;22.21;-21.06;236;2020-06-18 15:19:51:455
-0.47;1.029;12.582;-1.0894;0.222;2.889;-0.1356;1.0917;-0.415;-15.72;22.21;-21.06;246;2020-06-18 15:19:51:465
-1.402;0.784;12.288;-1.8438;-0.1938;2.598;-0.1356;1.0917;-0.415;-15.81;22.42;-20.52;255;2020-06-18 15:19:51:474
-1.402;0.784;12.288;-1.8438;-0.1938;2.598;-0.1356;1.0917;-0.415;-15.81;22.42;-20.52;266;2020-06-18 15:19:51:485
-1.402;0.784;12.288;-1.8438;-0.1938;2.598;-0.2657;1.3767;-0.5449;-15.81;22.42;-20.52;276;2020-06-18 15:19:51:495
-1.873;0.637;12.758;-1.8664;-0.1829;2.7574;-0.2657;1.3767;-0.5449;-15.81;22.42;-20.52;286;2020-06-18 15:19:51:505
-1.873;0.637;12.758;-1.8664;-0.1829;2.7574;-0.2657;1.3767;-0.5449;-16.31;22.29;-21.54;296;2020-06-18 15:19:51:515
-1.873;0.637;12.758;-1.8664;-0.1829;2.7574;-0.2657;1.3767;-0.5449;-16.31;22.29;-21.54;306;2020-06-18 15:19:51:525
-2.873;0.353;12.955;-1.8664;-0.1829;2.7574;-0.3261;1.5309;-0.9088;-16.31;22.29;-21.54;315;2020-06-18 15:19:51:534
-2.873;0.353;12.955;-2.4645;-0.3712;3.1843;-0.3261;1.5309;-0.9088;-16.31;22.29;-21.54;326;2020-06-18 15:19:51:545
-2.873;0.353;12.955;-2.4645;-0.3712;3.1843;-0.3261;1.5309;-0.9088;-16.39;21.83;-21.79;337;2020-06-18 15:19:51:556
-3.353;0.137;11.993;-2.4645;-0.3712;3.1843;-0.3261;1.5309;-0.9088;-16.39;21.83;-21.79;346;2020-06-18 15:19:51:565
-3.353;0.137;11.993;-2.2036;-0.3877;1.7833;-0.3071;1.6239;-1.4416;-16.39;21.83;-21.79;356;2020-06-18 15:19:51:575
-3.353;0.137;11.993;-2.2036;-0.3877;1.7833;-0.3071;1.6239;-1.4416;-16.39;21.83;-21.79;366;2020-06-18 15:19:51:585
-2.932;0.264;10.522;-2.2036;-0.3877;1.7833;-0.3071;1.6239;-1.4416;-16.32;21.13;-22.05;375;2020-06-18 15:19:51:594
-2.932;0.264;10.522;-1.5455;-0.2187;0.8264;-0.3071;1.6239;-1.4416;-16.32;21.13;-22.05;386;2020-06-18 15:19:51:605
-2.932;0.264;10.522;-1.5455;-0.2187;0.8264;-0.1459;1.4126;-1.5877;-16.32;21.13;-22.05;395;2020-06-18 15:19:51:614
-2.647;0.5;9.512;-1.5455;-0.2187;0.8264;-0.1459;1.4126;-1.5877;-16.47;20.25;-23.43;405;2020-06-18 15:19:51:624
-2.647;0.5;9.512;-0.9142;0.0708;-0.1306;-0.1459;1.4126;-1.5877;-16.47;20.25;-23.43;415;2020-06-18 15:19:51:634
-2.647;0.5;9.512;-0.9142;0.0708;-0.1306;0.0946;1.1009;-1.5758;-16.47;20.25;-23.43;425;2020-06-18 15:19:51:644
-2.461;0.823;8.836;-0.9142;0.0708;-0.1306;0.0946;1.1009;-1.5758;-16.55;18.77;-25.26;436;2020-06-18 15:19:51:655
-2.461;0.823;8.836;-0.4625;0.3771;-0.7542;0.0946;1.1009;-1.5758;-16.55;18.77;-25.26;446;2020-06-18 15:19:51:665
-2.461;0.823;8.836;-0.4625;0.3771;-0.7542;0.3577;0.8383;-1.4143;-16.55;18.77;-25.26;456;2020-06-18 15:19:51:675
-1.706;1.206;8.365;-0.4625;0.3771;-0.7542;0.3577;0.8383;-1.4143;-16.55;18.77;-25.26;465;2020-06-18 15:19:51:684
-1.706;1.206;8.365;0.4476;0.6553;-1.1857;0.3577;0.8383;-1.4143;-16.32;17.21;-26.62;475;2020-06-18 15:19:51:694
-1.706;1.206;8.365;0.4476;0.6553;-1.1857;0.6448;0.2316;-0.844;-16.32;17.21;-26.62;485;2020-06-18 15:19:51:704
-1.706;1.206;8.365;0.4476;0.6553;-1.1857;0.6448;0.2316;-0.844;-16.32;17.21;-26.62;495;2020-06-18 15:19:51:714
-1.216;1.441;7.825;0.9283;0.7114;-1.7158;0.6448;0.2316;-0.844;-16.71;16.72;-27.48;505;2020-06-18 15:19:51:724
-1.216;1.441;7.825;0.9283;0.7114;-1.7158;0.6448;0.2316;-0.844;-16.71;16.72;-27.48;515;2020-06-18 15:19:51:734
-1.216;1.441;7.825;0.9283;0.7114;-1.7158;0.8623;-0.247;-0.3587;-16.71;16.72;-27.48;525;2020-06-18 15:19:51:744
-0.843;1.892;7.257;1.1576;0.817;-2.2826;0.8623;-0.247;-0.3587;-16.52;15.31;-28.37;535;2020-06-18 15:19:51:754
-0.843;1.892;7.257;1.1576;0.817;-2.2826;0.8623;-0.247;-0.3587;-16.52;15.31;-28.37;545;2020-06-18 15:19:51:764
-0.843;1.892;7.257;1.1576;0.817;-2.2826;1.0486;-0.4986;0.2264;-16.52;15.31;-28.37;555;2020-06-18 15:19:51:774
-0.254;2.432;6.188;1.4198;0.9233;-2.956;1.0486;-0.4986;0.2264;-16.55;14.48;-29.26;566;2020-06-18 15:19:51:785
-0.254;2.432;6.188;1.4198;0.9233;-2.956;1.0486;-0.4986;0.2264;-16.55;14.48;-29.26;576;2020-06-18 15:19:51:795
-0.254;2.432;6.188;1.4198;0.9233;-2.956;1.2689;-0.6704;0.6437;-16.55;14.48;-29.26;585;2020-06-18 15:19:51:804
0.568;3.03;5.452;1.4198;0.9233;-2.956;1.2689;-0.6704;0.6437;-16.55;14.48;-29.26;595;2020-06-18 15:19:51:814
0.568;3.03;5.452;2.0795;1.0136;-3.9441;1.2689;-0.6704;0.6437;-16.77;13.87;-29.69;605;2020-06-18 15:19:51:824
0.568;3.03;5.452;2.0795;1.0136;-3.9441;1.8619;-1.1154;1.9226;-16.77;13.87;-29.69;615;2020-06-18 15:19:51:834
1.206;3.569;6.041;2.0795;1.0136;-3.9441;1.8619;-1.1154;1.9226;-16.77;13.87;-29.69;625;2020-06-18 15:19:51:844
1.206;3.569;6.041;2.0901;0.8821;-3.3487;1.8619;-1.1154;1.9226;-16.77;13.87;-29.69;635;2020-06-18 15:19:51:854
1.206;3.569;6.041;2.0901;0.8821;-3.3487;1.8619;-1.1154;1.9226;-16.59;13.49;-29.23;646;2020-06-18 15:19:51:865
1.137;3.648;6.776;2.0901;0.8821;-3.3487;2.0717;-1.3197;2.6742;-16.59;13.49;-29.23;656;2020-06-18 15:19:51:875
1.137;3.648;6.776;1.3845;0.3321;-2.4488;2.0717;-1.3197;2.6742;-16.59;13.49;-29.23;665;2020-06-18 15:19:51:884
1.137;3.648;6.776;1.3845;0.3321;-2.4488;2.0717;-1.3197;2.6742;-16.6;13.6;-29.7;675;2020-06-18 15:19:51:894
0.804;3.628;7.09;1.3845;0.3321;-2.4488;1.8029;-1.0686;2.563;-16.6;13.6;-29.7;685;2020-06-18 15:19:51:904
0.804;3.628;7.09;0.3856;-0.2233;-1.8137;1.8029;-1.0686;2.563;-16.6;13.6;-29.7;696;2020-06-18 15:19:51:915
0.804;3.628;7.09;0.3856;-0.2233;-1.8137;1.8029;-1.0686;2.563;-16.4;12.7;-30.3;706;2020-06-18 15:19:51:925
0.627;3.667;7.531;0.3856;-0.2233;-1.8137;1.33;-0.622;1.9007;-16.4;12.7;-30.3;716;2020-06-18 15:19:51:935
0.627;3.667;7.531;0.3856;-0.2233;-1.8137;1.33;-0.622;1.9007;-16.4;12.7;-30.3;726;2020-06-18 15:19:51:945
0.627;3.667;7.531;0.1936;-0.3111;-1.1682;1.33;-0.622;1.9007;-16.4;12.7;-30.3;736;2020-06-18 15:19:51:955
1.019;3.991;7.982;0.1936;-0.3111;-1.1682;1.33;-0.622;1.9007;-16.3;12.2;-30.6;745;2020-06-18 15:19:51:964
1.019;3.991;7.982;0.1936;-0.3111;-1.1682;0.657;-0.2596;1.0629;-16.3;12.2;-30.6;755;2020-06-18 15:19:51:974
1.019;3.991;7.982;0.2641;-0.1056;-0.6348;0.657;-0.2596;1.0629;-16.3;12.2;-30.6;765;2020-06-18 15:19:51:984
0.843;4.109;8.512;0.2641;-0.1056;-0.6348;0.657;-0.2596;1.0629;-16.2;11.9;-30.8;775;2020-06-18 15:19:51:994
0.843;4.109;8.512;0.2641;-0.1056;-0.6348;0.4659;-0.2009;0.7708;-16.2;11.9;-30.8;785;2020-06-18 15:19:52:004
0.843;4.109;8.512;-0.0773;-0.1972;-0.1744;0.4659;-0.2009;0.7708;-16.2;11.9;-30.8;795;2020-06-18 15:19:52:014
0.863;4.118;8.649;-0.0773;-0.1972;-0.1744;0.4659;-0.2009;0.7708;-16.1;11.6;-30.9;805;2020-06-18 15:19:52:024
0.863;4.118;8.649;-0.0773;-0.1972;-0.1744;0.1823;-0.1049;0.3238;-16.1;11.6;-30.9;815;2020-06-18 15:19:52:034
0.863;4.118;8.649;-0.0773;-0.1972;-0.1744;0.1823;-0.1049;0.3238;-16.1;11.6;-30.9;825;2020-06-18 15:19:52:044
2.049;4.815;8.6;0.375;0.0943;-0.1961;0.1823;-0.1049;0.3238;-16.1;11.6;-30.9;835;2020-06-18 15:19:52:054
2.049;4.815;8.6;0.375;0.0943;-0.1961;0.3025;-0.2095;0.721;-16.1;11.5;-31.2;845;2020-06-18 15:19:52:064
2.049;4.815;8.6;0.375;0.0943;-0.1961;0.3025;-0.2095;0.721;-16.1;11.5;-31.2;855;2020-06-18 15:19:52:074
1.775;4.717;9.169;0.8689;0.4561;0.27;0.3025;-0.2095;0.721;-16.1;11.5;-31.2;865;2020-06-18 15:19:52:084
1.775;4.717;9.169;0.8689;0.4561;0.27;0.3025;-0.2095;0.721;-16.1;11.5;-31.2;875;2020-06-18 15:19:52:094
1.775;4.717;9.169;0.8689;0.4561;0.27;0.288;-0.2531;0.7805;-15.9;11.6;-31.2;885;2020-06-18 15:19:52:104
0.637;4.256;9.297;-0.5864;-0.1152;0.6049;0.288;-0.2531;0.7805;-15.9;11.6;-31.2;895;2020-06-18 15:19:52:114
0.637;4.256;9.297;-0.5864;-0.1152;0.6049;0.288;-0.2531;0.7805;-15.9;11.6;-31.2;905;2020-06-18 15:19:52:124
0.637;4.256;9.297;-0.5864;-0.1152;0.6049;-0.0592;-0.0206;-0.0128;-16.0;11.8;-31.1;917;2020-06-18 15:19:52:136
0.637;4.256;9.297;-0.5864;-0.1152;0.6049;-0.0592;-0.0206;-0.0128;-16.0;11.8;-31.1;926;2020-06-18 15:19:52:145
-0.107;3.814;8.757;-1.107;-0.4881;0.1154;-0.0592;-0.0206;-0.0128;-16.0;11.8;-31.1;936;2020-06-18 15:19:52:155
-0.107;3.814;8.757;-1.107;-0.4881;0.1154;-0.3691;0.2791;-0.9494;-16.0;11.9;-30.9;946;2020-06-18 15:19:52:165
-0.107;3.814;8.757;-1.107;-0.4881;0.1154;-0.3691;0.2791;-0.9494;-16.0;11.9;-30.9;956;2020-06-18 15:19:52:175
-0.225;3.824;8.728;-0.9824;-0.379;-0.0762;-0.3691;0.2791;-0.9494;-16.0;11.9;-30.9;966;2020-06-18 15:19:52:185
-0.225;3.824;8.728;-0.9824;-0.379;-0.0762;-0.3691;0.2791;-0.9494;-16.0;11.9;-30.9;980;2020-06-18 15:19:52:199
-0.225;3.824;8.728;-0.9824;-0.379;-0.0762;-0.3454;0.3542;-1.1305;-16.1;12.0;-30.7;986;2020-06-18 15:19:52:205
-0.088;3.893;8.796;-0.5677;-0.243;-0.0819;-0.3454;0.3542;-1.1305;-16.1;12.0;-30.7;996;2020-06-18 15:19:52:215
-0.088;3.893;8.796;-0.5677;-0.243;-0.0819;-0.3454;0.3542;-1.1305;-16.1;12.0;-30.7;1006;2020-06-18 15:19:52:225
-0.088;3.893;8.796;-0.5677;-0.243;-0.0819;-0.3454;0.3542;-1.1305;-16.1;12.0;-30.7;1015;2020-06-18 15:19:52:234
-0.049;3.912;9.032;-0.4011;-0.1854;0.0914;-0.2756;0.3121;-0.8952;-16.1;12.1;-30.6;1025;2020-06-18 15:19:52:244
-0.049;3.912;9.032;-0.4011;-0.1854;0.0914;-0.2756;0.3121;-0.8952;-16.1;12.1;-30.6;1036;2020-06-18 15:19:52:255
