sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.274;1.206;8.934;0.5886;-0.0953;-0.8504;0.083;-0.4789;0.8552;-8.8;17.0;-36.3;5;2020-06-18 17:06:38:763
1.274;1.206;8.934;0.2498;0.0777;-1.0506;0.083;-0.4789;0.8552;-8.8;17.0;-36.3;15;2020-06-18 17:06:38:773
0.882;1.333;8.149;0.2498;0.0777;-1.0506;0.1515;-0.4302;0.6071;-8.9;16.5;-37.0;25;2020-06-18 17:06:38:783
0.882;1.333;8.149;0.2498;0.0777;-1.0506;0.1515;-0.4302;0.6071;-8.9;16.5;-37.0;35;2020-06-18 17:06:38:793
0.882;1.333;8.149;-0.4039;-0.0632;-2.7316;0.1515;-0.4302;0.6071;-8.9;16.5;-37.0;45;2020-06-18 17:06:38:803
0.529;1.294;6.413;-0.4039;-0.0632;-2.7316;0.2195;-0.2331;-0.0571;-9.1;16.0;-37.9;55;2020-06-18 17:06:38:813
0.529;1.294;6.413;-0.4039;-0.0632;-2.7316;0.2195;-0.2331;-0.0571;-9.1;16.0;-37.9;65;2020-06-18 17:06:38:823
0.529;1.294;6.413;-0.2939;0.0139;-3.3704;0.2195;-0.2331;-0.0571;-9.1;16.0;-37.9;75;2020-06-18 17:06:38:833
0.529;1.294;6.413;-0.2939;0.0139;-3.3704;0.2195;-0.2331;-0.0571;-9.1;16.0;-37.9;85;2020-06-18 17:06:38:843
0.706;2.039;7.061;-0.2939;0.0139;-3.3704;0.5649;-0.1176;-0.0273;-9.3;15.2;-38.8;95;2020-06-18 17:06:38:853
0.706;2.039;7.061;-0.2385;0.3741;-2.5567;0.5649;-0.1176;-0.0273;-9.3;15.2;-38.8;105;2020-06-18 17:06:38:863
0.706;2.039;7.061;-0.2385;0.3741;-2.5567;0.5649;-0.1176;-0.0273;-9.3;15.2;-38.8;115;2020-06-18 17:06:38:873
0.725;2.373;7.492;-0.2385;0.3741;-2.5567;0.8438;-0.0099;0.0677;-9.4;14.7;-39.4;125;2020-06-18 17:06:38:883
0.725;2.373;7.492;-0.2385;0.3741;-2.5567;0.8438;-0.0099;0.0677;-9.4;14.7;-39.4;135;2020-06-18 17:06:38:893
0.725;2.373;7.492;-0.0463;0.398;-2.3428;0.8438;-0.0099;0.0677;-9.4;14.7;-39.4;145;2020-06-18 17:06:38:903
1.471;2.667;6.806;-0.0463;0.398;-2.3428;1.1097;-0.0895;0.4491;-9.6;14.1;-40.0;155;2020-06-18 17:06:38:913
1.471;2.667;6.806;-0.0463;0.398;-2.3428;1.1097;-0.0895;0.4491;-9.6;14.1;-40.0;165;2020-06-18 17:06:38:923
