sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-0.706;-0.274;11.454;-0.4022;-0.7798;1.6657;-1.0718;0.1703;-0.903;-10.93;17.59;-33.75;19;2020-06-18 17:14:39:304
-0.176;-0.402;14.7;0.0169;-0.5662;4.5319;-0.8689;0.1297;-0.5546;-10.46;18.14;-31.92;29;2020-06-18 17:14:39:314
-0.176;-0.402;14.7;0.0169;-0.5662;4.5319;-0.8689;0.1297;-0.5546;-10.46;18.14;-31.92;39;2020-06-18 17:14:39:324
-0.176;-0.402;14.7;0.0169;-0.5662;4.5319;-0.8689;0.1297;-0.5546;-10.46;18.14;-31.92;49;2020-06-18 17:14:39:334
-0.147;-0.666;15.465;0.0169;-0.5662;4.5319;-0.8689;0.1297;-0.5546;-10.46;18.14;-31.92;59;2020-06-18 17:14:39:344
-0.147;-0.666;15.465;0.143;-0.6762;6.2712;-0.6672;-0.1188;-0.0475;-10.79;18.67;-28.92;70;2020-06-18 17:14:39:355
-0.147;-0.666;15.465;0.143;-0.6762;6.2712;-0.6672;-0.1188;-0.0475;-10.79;18.67;-28.92;79;2020-06-18 17:14:39:364
-0.058;-0.892;17.034;0.143;-0.6762;6.2712;-0.6672;-0.1188;-0.0475;-10.79;18.67;-28.92;89;2020-06-18 17:14:39:374
-0.058;-0.892;17.034;0.1677;-0.7433;7.2313;-0.5649;-0.1894;-0.1159;-10.7;19.06;-29.5;99;2020-06-18 17:14:39:384
-0.058;-0.892;17.034;0.1677;-0.7433;7.2313;-0.5649;-0.1894;-0.1159;-10.7;19.06;-29.5;110;2020-06-18 17:14:39:395
-0.058;-0.892;17.034;0.1677;-0.7433;7.2313;-0.5649;-0.1894;-0.1159;-10.7;19.06;-29.5;119;2020-06-18 17:14:39:404
-0.382;-1.284;17.24;-0.1403;-0.9426;7.764;-0.5649;-0.1894;-0.1159;-10.7;19.06;-29.5;128;2020-06-18 17:14:39:413
-0.382;-1.284;17.24;-0.1403;-0.9426;7.764;-0.491;-0.0866;-0.1599;-11.64;19.76;-28.29;139;2020-06-18 17:14:39:424
-0.382;-1.284;17.24;-0.1403;-0.9426;7.764;-0.491;-0.0866;-0.1599;-11.64;19.76;-28.29;149;2020-06-18 17:14:39:434
-0.323;-1.265;16.073;-0.2114;-0.9455;6.6411;-0.491;-0.0866;-0.1599;-11.64;19.76;-28.29;159;2020-06-18 17:14:39:444
-0.323;-1.265;16.073;-0.2114;-0.9455;6.6411;-0.4352;-0.0042;-0.3734;-11.59;19.93;-28.2;170;2020-06-18 17:14:39:455
-0.323;-1.265;16.073;-0.2114;-0.9455;6.6411;-0.4352;-0.0042;-0.3734;-11.59;19.93;-28.2;180;2020-06-18 17:14:39:465
-0.235;-0.715;15.328;-0.0113;-0.3536;5.831;-0.4352;-0.0042;-0.3734;-11.59;19.93;-28.2;189;2020-06-18 17:14:39:474
-0.235;-0.715;15.328;-0.0113;-0.3536;5.831;-0.4352;-0.0042;-0.3734;-11.59;19.93;-28.2;199;2020-06-18 17:14:39:484
-0.235;-0.715;15.328;-0.0113;-0.3536;5.831;-0.1465;-0.0339;-0.1045;-11.4;20.0;-28.3;209;2020-06-18 17:14:39:494
0.0;-0.117;13.906;0.0418;0.2021;4.6634;-0.1465;-0.0339;-0.1045;-11.4;20.0;-28.3;219;2020-06-18 17:14:39:504
0.0;-0.117;13.906;0.0418;0.2021;4.6634;-0.1465;-0.0339;-0.1045;-11.4;20.0;-28.3;229;2020-06-18 17:14:39:514
0.0;-0.117;13.906;0.0418;0.2021;4.6634;0.1013;-0.0905;0.0342;-11.4;20.0;-28.1;239;2020-06-18 17:14:39:524
0.0;-0.117;13.906;0.0418;0.2021;4.6634;0.1013;-0.0905;0.0342;-11.4;20.0;-28.1;249;2020-06-18 17:14:39:534
0.225;0.323;12.199;0.3303;0.7165;2.4014;0.1013;-0.0905;0.0342;-11.4;20.0;-28.1;259;2020-06-18 17:14:39:544
0.225;0.323;12.199;0.3303;0.7165;2.4014;0.3083;-0.189;0.329;-11.4;20.0;-28.2;269;2020-06-18 17:14:39:554
0.225;0.323;12.199;0.3303;0.7165;2.4014;0.3083;-0.189;0.329;-11.4;20.0;-28.2;279;2020-06-18 17:14:39:564
0.402;0.323;9.914;0.2965;0.4997;1.1216;0.3083;-0.189;0.329;-11.4;20.0;-28.2;289;2020-06-18 17:14:39:574
0.402;0.323;9.914;0.2965;0.4997;1.1216;0.3083;-0.189;0.329;-11.4;20.0;-28.2;299;2020-06-18 17:14:39:584
0.402;0.323;9.914;0.2965;0.4997;1.1216;0.3832;-0.2645;0.3822;-11.09;18.67;-31.07;309;2020-06-18 17:14:39:594
0.833;0.617;6.884;0.7564;0.6517;-2.0968;0.3832;-0.2645;0.3822;-11.09;18.67;-31.07;319;2020-06-18 17:14:39:604
0.833;0.617;6.884;0.7564;0.6517;-2.0968;0.3832;-0.2645;0.3822;-11.09;18.67;-31.07;329;2020-06-18 17:14:39:614
0.833;0.617;6.884;0.7564;0.6517;-2.0968;0.4806;-0.4407;0.5392;-10.95;17.13;-33.32;339;2020-06-18 17:14:39:624
0.274;0.794;5.335;0.3724;0.7532;-4.1262;0.4806;-0.4407;0.5392;-10.95;17.13;-33.32;349;2020-06-18 17:14:39:634
0.274;0.794;5.335;0.3724;0.7532;-4.1262;0.4806;-0.4407;0.5392;-10.95;17.13;-33.32;359;2020-06-18 17:14:39:644
-0.127;0.764;4.746;0.3724;0.7532;-4.1262;0.6143;-0.3627;0.2996;-11.78;15.69;-35.6;369;2020-06-18 17:14:39:654
-0.127;0.764;4.746;-0.3987;0.5515;-5.0537;0.6143;-0.3627;0.2996;-11.78;15.69;-35.6;379;2020-06-18 17:14:39:664
-0.127;0.764;4.746;-0.3987;0.5515;-5.0537;0.6143;-0.3627;0.2996;-11.78;15.69;-35.6;389;2020-06-18 17:14:39:674
-0.127;0.764;4.746;-0.3987;0.5515;-5.0537;0.6143;-0.3627;0.2996;-11.78;15.69;-35.6;399;2020-06-18 17:14:39:684
0.647;1.127;4.197;0.1445;0.5521;-5.7114;0.8313;-0.158;0.2783;-10.77;14.65;-35.75;410;2020-06-18 17:14:39:695
0.647;1.127;4.197;0.1445;0.5521;-5.7114;0.8313;-0.158;0.2783;-10.77;14.65;-35.75;419;2020-06-18 17:14:39:704
0.647;1.127;4.197;0.1445;0.5521;-5.7114;0.8313;-0.158;0.2783;-10.77;14.65;-35.75;429;2020-06-18 17:14:39:714
0.804;1.294;5.256;0.3924;0.5268;-5.1847;0.8313;-0.158;0.2783;-10.77;14.65;-35.75;439;2020-06-18 17:14:39:724
0.804;1.294;5.256;0.3924;0.5268;-5.1847;1.2137;-0.4527;1.3156;-10.79;13.73;-38.36;449;2020-06-18 17:14:39:734
0.804;1.294;5.256;0.3924;0.5268;-5.1847;1.2137;-0.4527;1.3156;-10.79;13.73;-38.36;459;2020-06-18 17:14:39:744
1.824;1.794;6.56;0.6071;0.343;-3.3731;1.2137;-0.4527;1.3156;-10.79;13.73;-38.36;469;2020-06-18 17:14:39:754
1.824;1.794;6.56;0.6071;0.343;-3.3731;1.2137;-0.4527;1.3156;-10.79;13.73;-38.36;479;2020-06-18 17:14:39:764
1.824;1.794;6.56;0.6071;0.343;-3.3731;1.5553;-0.8836;2.558;-11.35;13.29;-38.55;489;2020-06-18 17:14:39:774
3.108;2.598;7.786;1.4992;0.756;-2.2917;1.5553;-0.8836;2.558;-11.35;13.29;-38.55;499;2020-06-18 17:14:39:784
3.108;2.598;7.786;1.4992;0.756;-2.2917;1.5553;-0.8836;2.558;-11.35;13.29;-38.55;509;2020-06-18 17:14:39:794
