sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
1.814;4.285;6.766;3.0475;-0.317;-1.6152;2.3944;-6.8632;-6.1126;6.1;-13.4;-10.0;5;2020-06-18 17:19:02:225
2.912;4.53;7.041;3.0475;-0.317;-1.6152;1.5251;-6.8665;-5.6266;6.6;-12.9;-9.8;15;2020-06-18 17:19:02:235
2.912;4.53;7.041;3.0475;-0.317;-1.6152;1.5251;-6.8665;-5.6266;6.6;-12.9;-9.8;25;2020-06-18 17:19:02:245
2.912;4.53;7.041;3.0226;-0.1667;-1.2248;1.5251;-6.8665;-5.6266;6.6;-12.9;-9.8;35;2020-06-18 17:19:02:255
3.844;4.844;7.443;3.0226;-0.1667;-1.2248;1.5251;-6.8665;-5.6266;6.6;-12.9;-9.8;44;2020-06-18 17:19:02:264
3.844;4.844;7.443;3.0226;-0.1667;-1.2248;0.3891;-6.2459;-3.4503;7.3;-12.0;-9.7;55;2020-06-18 17:19:02:275
3.844;4.844;7.443;3.0226;-0.1667;-1.2248;0.3891;-6.2459;-3.4503;7.3;-12.0;-9.7;65;2020-06-18 17:19:02:285
3.844;4.844;7.443;3.0226;-0.1667;-1.2248;0.3891;-6.2459;-3.4503;7.3;-12.0;-9.7;75;2020-06-18 17:19:02:295
3.844;4.844;7.443;3.0226;-0.1667;-1.2248;0.3891;-6.2459;-3.4503;7.3;-12.0;-9.7;85;2020-06-18 17:19:02:305
4.05;5.021;8.08;2.4005;-7.0E-4;-0.4419;0.1862;-5.8197;-2.8888;7.5;-11.8;-9.6;95;2020-06-18 17:19:02:315
4.05;5.021;8.08;2.4005;-7.0E-4;-0.4419;0.1862;-5.8197;-2.8888;7.5;-11.8;-9.6;105;2020-06-18 17:19:02:325
4.05;5.021;8.08;2.4005;-7.0E-4;-0.4419;0.1862;-5.8197;-2.8888;7.5;-11.8;-9.6;115;2020-06-18 17:19:02:335
3.971;5.168;8.787;1.3604;0.2387;0.7222;0.1862;-5.8197;-2.8888;7.5;-11.8;-9.6;125;2020-06-18 17:19:02:345
3.971;5.168;8.787;1.3604;0.2387;0.7222;-0.6648;-2.3999;-1.1787;8.79;-8.96;-8.95;135;2020-06-18 17:19:02:355
3.971;5.168;8.787;1.3604;0.2387;0.7222;-0.6648;-2.3999;-1.1787;8.79;-8.96;-8.95;145;2020-06-18 17:19:02:365
2.873;4.736;8.904;1.3604;0.2387;0.7222;-0.6648;-2.3999;-1.1787;8.79;-8.96;-8.95;155;2020-06-18 17:19:02:375
2.873;4.736;8.904;-0.204;0.0426;0.8251;-0.8519;-1.4091;-1.307;9.22;-8.19;-8.94;165;2020-06-18 17:19:02:385
2.873;4.736;8.904;-0.204;0.0426;0.8251;-0.8519;-1.4091;-1.307;9.22;-8.19;-8.94;175;2020-06-18 17:19:02:395
2.824;4.854;9.061;-0.204;0.0426;0.8251;-0.8519;-1.4091;-1.307;9.22;-8.19;-8.94;185;2020-06-18 17:19:02:405
2.824;4.854;9.061;-0.0577;0.2389;1.2447;-0.919;-0.9702;-1.5941;9.15;-7.23;-8.85;195;2020-06-18 17:19:02:415
2.824;4.854;9.061;-0.0577;0.2389;1.2447;-0.919;-0.9702;-1.5941;9.15;-7.23;-8.85;205;2020-06-18 17:19:02:425
3.148;4.834;9.895;-0.0577;0.2389;1.2447;-0.919;-0.9702;-1.5941;9.15;-7.23;-8.85;215;2020-06-18 17:19:02:435
3.148;4.834;9.895;0.3704;0.3085;1.7429;-0.8529;-0.5348;-1.1972;9.17;-6.69;-8.64;225;2020-06-18 17:19:02:445
3.148;4.834;9.895;0.3704;0.3085;1.7429;-0.8529;-0.5348;-1.1972;9.17;-6.69;-8.64;235;2020-06-18 17:19:02:455
3.216;4.962;9.914;0.3704;0.3085;1.7429;-0.8529;-0.5348;-1.1972;9.17;-6.69;-8.64;245;2020-06-18 17:19:02:465
3.216;4.962;9.914;0.3704;0.3085;1.7429;-0.8529;-0.5348;-1.1972;9.17;-6.69;-8.64;255;2020-06-18 17:19:02:475
3.216;4.962;9.914;0.1149;0.4995;1.9311;-0.7748;-0.3793;-1.0883;9.4;-5.7;-8.2;269;2020-06-18 17:19:02:489
2.814;4.756;10.365;0.1149;0.4995;1.9311;-0.7748;-0.3793;-1.0883;9.4;-5.7;-8.2;275;2020-06-18 17:19:02:495
2.814;4.756;10.365;0.1149;0.4995;1.9311;-0.7748;-0.3793;-1.0883;9.4;-5.7;-8.2;285;2020-06-18 17:19:02:505
2.814;4.756;10.365;0.0378;0.1945;1.8336;-0.9245;-0.348;-1.3928;9.4;-4.9;-8.1;295;2020-06-18 17:19:02:515
2.794;4.511;9.934;0.0378;0.1945;1.8336;-0.9245;-0.348;-1.3928;9.4;-4.9;-8.1;305;2020-06-18 17:19:02:525
2.794;4.511;9.934;0.0378;0.1945;1.8336;-0.9245;-0.348;-1.3928;9.4;-4.9;-8.1;315;2020-06-18 17:19:02:535
2.794;4.511;9.934;-0.0424;0.4986;0.8548;-0.65;-0.1692;-1.0053;9.4;-4.1;-7.7;325;2020-06-18 17:19:02:545
2.794;4.511;9.934;-0.0424;0.4986;0.8548;-0.65;-0.1692;-1.0053;9.4;-4.1;-7.7;335;2020-06-18 17:19:02:555
2.373;4.56;9.463;-0.0424;0.4986;0.8548;-0.65;-0.1692;-1.0053;9.4;-4.1;-7.7;345;2020-06-18 17:19:02:565
2.373;4.56;9.463;-0.3602;0.2606;1.0849;-0.65;-0.1692;-1.0053;9.4;-4.1;-7.7;355;2020-06-18 17:19:02:575
2.373;4.56;9.463;-0.3602;0.2606;1.0849;-0.3295;0.2038;-0.5054;9.3;-3.3;-7.3;366;2020-06-18 17:19:02:586
1.745;4.089;9.414;-0.3602;0.2606;1.0849;-0.3295;0.2038;-0.5054;9.3;-3.3;-7.3;375;2020-06-18 17:19:02:595
1.745;4.089;9.414;-0.7658;-0.1599;0.6033;-0.3295;0.2038;-0.5054;9.3;-3.3;-7.3;386;2020-06-18 17:19:02:606
1.745;4.089;9.414;-0.7658;-0.1599;0.6033;-0.3746;0.4241;-0.5181;9.0;-2.9;-7.2;395;2020-06-18 17:19:02:615
1.137;3.785;8.934;-0.7658;-0.1599;0.6033;-0.3746;0.4241;-0.5181;9.0;-2.9;-7.2;405;2020-06-18 17:19:02:625
1.137;3.785;8.934;-1.2336;-0.4248;0.323;-0.3746;0.4241;-0.5181;9.0;-2.9;-7.2;415;2020-06-18 17:19:02:635
0.627;3.373;9.002;-1.2336;-0.4248;0.323;-0.4389;0.7234;-0.5089;8.7;-2.5;-7.0;425;2020-06-18 17:19:02:645
0.627;3.373;9.002;-1.7804;-0.8112;-0.2146;-0.4389;0.7234;-0.5089;8.7;-2.5;-7.0;435;2020-06-18 17:19:02:655
0.627;3.373;9.002;-1.7804;-0.8112;-0.2146;-0.4389;0.7234;-0.5089;8.7;-2.5;-7.0;445;2020-06-18 17:19:02:665
-0.284;2.608;8.198;-1.7804;-0.8112;-0.2146;-0.4389;0.7234;-0.5089;8.7;-2.5;-7.0;455;2020-06-18 17:19:02:675
-0.284;2.608;8.198;-1.7804;-0.8112;-0.2146;-0.5823;1.3575;-0.307;8.3;-2.2;-6.8;465;2020-06-18 17:19:02:685
-0.284;2.608;8.198;-2.0366;-1.2832;-1.3247;-0.5823;1.3575;-0.307;8.3;-2.2;-6.8;475;2020-06-18 17:19:02:695
-0.735;2.402;7.531;-2.0366;-1.2832;-1.3247;-0.5823;1.3575;-0.307;8.3;-2.2;-6.8;486;2020-06-18 17:19:02:706
-0.735;2.402;7.531;-2.0366;-1.2832;-1.3247;-0.6604;1.5307;-0.5181;8.0;-2.0;-6.5;495;2020-06-18 17:19:02:715
-0.49;2.304;7.688;-1.009;-1.2812;-1.2539;-0.6604;1.5307;-0.5181;8.0;-2.0;-6.5;505;2020-06-18 17:19:02:725
-0.49;2.304;7.688;-1.009;-1.2812;-1.2539;-0.6604;1.5307;-0.5181;8.0;-2.0;-6.5;514;2020-06-18 17:19:02:734
-0.49;2.304;7.688;-1.009;-1.2812;-1.2539;-0.7401;1.3324;-0.1713;7.6;-1.8;-6.3;526;2020-06-18 17:19:02:746
-0.49;2.304;7.688;-1.009;-1.2812;-1.2539;-0.7401;1.3324;-0.1713;7.6;-1.8;-6.3;535;2020-06-18 17:19:02:755
-0.696;2.039;8.473;-1.0934;-1.1971;-0.7488;-0.7401;1.3324;-0.1713;7.6;-1.8;-6.3;545;2020-06-18 17:19:02:765
-0.696;2.039;8.473;-1.0934;-1.1971;-0.7488;-0.7401;1.3324;-0.1713;7.6;-1.8;-6.3;555;2020-06-18 17:19:02:775
-0.696;2.039;8.473;-1.0934;-1.1971;-0.7488;-0.9286;1.3197;-0.159;7.2;-1.6;-6.0;566;2020-06-18 17:19:02:786
-1.716;1.637;9.297;-1.4496;-1.2811;-0.191;-0.9286;1.3197;-0.159;7.2;-1.6;-6.0;575;2020-06-18 17:19:02:795
-1.716;1.637;9.297;-1.4496;-1.2811;-0.191;-0.9286;1.3197;-0.159;7.2;-1.6;-6.0;586;2020-06-18 17:19:02:806
-1.716;1.637;9.297;-1.4496;-1.2811;-0.191;-1.1407;1.2012;-1.267;6.8;-1.5;-5.8;595;2020-06-18 17:19:02:815
-1.314;1.706;9.1;-1.1043;-1.0779;-0.1755;-1.1407;1.2012;-1.267;6.8;-1.5;-5.8;605;2020-06-18 17:19:02:825
-1.314;1.706;9.1;-1.1043;-1.0779;-0.1755;-1.1407;1.2012;-1.267;6.8;-1.5;-5.8;616;2020-06-18 17:19:02:836
-1.314;1.706;9.1;-1.1043;-1.0779;-0.1755;-0.9675;0.8058;-1.8438;6.4;-1.2;-5.7;625;2020-06-18 17:19:02:845
-0.892;1.961;9.63;-1.1043;-1.0779;-0.1755;-0.9675;0.8058;-1.8438;6.4;-1.2;-5.7;634;2020-06-18 17:19:02:854
