sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-1.0;1.961;9.493;-2.8616;-0.242;-0.4575;0.1435;0.929;1.2329;6.8;0.0;-4.2;8;2020-06-18 17:23:15:946
-2.971;2.128;10.924;-4.251;0.016;1.434;-0.0488;2.7496;0.2191;6.3;-0.2;-4.1;19;2020-06-18 17:23:15:957
-2.971;2.128;10.924;-4.251;0.016;1.434;-0.0488;2.7496;0.2191;6.3;-0.2;-4.1;29;2020-06-18 17:23:15:967
-2.971;2.128;10.924;-4.251;0.016;1.434;-0.0488;2.7496;0.2191;6.3;-0.2;-4.1;39;2020-06-18 17:23:15:977
-4.491;2.088;11.081;-4.5152;0.0398;1.4908;-0.222;3.941;-0.6391;5.6;-0.5;-4.4;49;2020-06-18 17:23:15:987
-4.491;2.088;11.081;-4.5152;0.0398;1.4908;-0.222;3.941;-0.6391;5.6;-0.5;-4.4;59;2020-06-18 17:23:15:997
-4.491;2.088;11.081;-4.5152;0.0398;1.4908;-0.222;3.941;-0.6391;5.6;-0.5;-4.4;70;2020-06-18 17:23:16:008
-5.227;2.186;10.611;-4.0362;0.2126;1.0788;-0.222;3.941;-0.6391;5.6;-0.5;-4.4;79;2020-06-18 17:23:16:017
-5.227;2.186;10.611;-4.0362;0.2126;1.0788;-0.222;3.941;-0.6391;5.6;-0.5;-4.4;89;2020-06-18 17:23:16:027
-5.227;2.186;10.611;-4.0362;0.2126;1.0788;-0.3423;4.1444;0.449;4.8;-0.8;-4.5;100;2020-06-18 17:23:16:038
-5.197;2.412;9.699;-3.1014;0.388;0.4199;-0.3423;4.1444;0.449;4.8;-0.8;-4.5;109;2020-06-18 17:23:16:047
-5.197;2.412;9.699;-3.1014;0.388;0.4199;-0.3423;4.1444;0.449;4.8;-0.8;-4.5;119;2020-06-18 17:23:16:057
-5.197;2.412;9.699;-3.1014;0.388;0.4199;-1.0991;4.0008;4.109;4.0;-1.1;-4.7;129;2020-06-18 17:23:16:067
-5.05;2.432;9.954;-2.1727;0.4873;0.6582;-1.0991;4.0008;4.109;4.0;-1.1;-4.7;139;2020-06-18 17:23:16:077
-5.05;2.432;9.954;-2.1727;0.4873;0.6582;-1.0991;4.0008;4.109;4.0;-1.1;-4.7;149;2020-06-18 17:23:16:087
-5.05;2.432;9.954;-2.1727;0.4873;0.6582;-1.0991;4.0008;4.109;4.0;-1.1;-4.7;159;2020-06-18 17:23:16:097
-5.05;2.432;9.954;-2.1727;0.4873;0.6582;-1.6439;4.062;5.7478;3.4;-1.3;-5.0;169;2020-06-18 17:23:16:107
-4.619;2.559;9.895;-1.3075;0.6058;1.0638;-1.6439;4.062;5.7478;3.4;-1.3;-5.0;179;2020-06-18 17:23:16:117
-4.619;2.559;9.895;-1.3075;0.6058;1.0638;-1.6439;4.062;5.7478;3.4;-1.3;-5.0;189;2020-06-18 17:23:16:127
-4.619;2.559;9.895;-1.3075;0.6058;1.0638;-2.9848;3.5967;8.6286;2.7;-1.6;-5.4;201;2020-06-18 17:23:16:139
-4.619;2.559;9.895;-1.3075;0.6058;1.0638;-2.9848;3.5967;8.6286;2.7;-1.6;-5.4;209;2020-06-18 17:23:16:147
-4.02;2.579;9.159;-0.218;0.4937;0.364;-2.9848;3.5967;8.6286;2.7;-1.6;-5.4;219;2020-06-18 17:23:16:157
-4.02;2.579;9.159;-0.218;0.4937;0.364;-2.2202;2.167;6.236;2.3;-1.7;-5.7;228;2020-06-18 17:23:16:166
-4.02;2.579;9.159;-0.218;0.4937;0.364;-2.2202;2.167;6.236;2.3;-1.7;-5.7;239;2020-06-18 17:23:16:177
-3.059;2.569;9.012;0.4732;0.4193;0.2234;-2.2202;2.167;6.236;2.3;-1.7;-5.7;249;2020-06-18 17:23:16:187
-3.059;2.569;9.012;0.4732;0.4193;0.2234;-2.2202;2.167;6.236;2.3;-1.7;-5.7;259;2020-06-18 17:23:16:197
-3.059;2.569;9.012;0.4732;0.4193;0.2234;-1.0261;0.7877;3.3163;1.9;-1.7;-6.0;269;2020-06-18 17:23:16:207
-2.324;2.647;9.032;1.1977;0.4413;0.2674;-1.0261;0.7877;3.3163;1.9;-1.7;-6.0;279;2020-06-18 17:23:16:217
-2.324;2.647;9.032;1.1977;0.4413;0.2674;0.654;-0.7064;-0.6983;1.7;-1.9;-6.0;289;2020-06-18 17:23:16:227
-2.324;2.647;9.032;1.1977;0.4413;0.2674;0.654;-0.7064;-0.6983;1.7;-1.9;-6.0;300;2020-06-18 17:23:16:238
